year,row,column,r_c,r_r,r_poi,FAR
1,17,47,0.4,0.4,0.4,1.9
1,51,16,0.4,0.2,0.4,2.1
1,11,8,0.6,0.3,0.1,2.1
1,13,11,0.4,0.3,0.3,2.2
1,19,48,0.2,0.6,0.2,1.9
1,47,40,0.3,0.3,0.4,2.1
1,9,35,0.5,0.2,0.3,1.9
1,20,42,0.4,0.3,0.3,2.2
1,24,49,0.1,0.6,0.3,2.0
1,45,17,0.6,0.2,0.2,2.1
1,15,8,0.6,0.2,0.2,1.8
1,48,18,0.6,0.1,0.3,2.2
1,14,6,0.2,0.7,0.1,2.2
1,50,12,0.4,0.3,0.3,2.0
1,2,12,0.1,0.6,0.3,1.9
1,37,27,0.3,0.3,0.4,1.9
1,6,8,0.4,0.2,0.4,1.9
1,42,7,0.1,0.6,0.3,1.9
1,17,44,0.4,0.2,0.4,2.2
1,13,47,0.4,0.2,0.4,1.8
1,8,11,0.4,0.3,0.3,1.9
1,48,15,0.6,0.2,0.2,2.2
1,9,9,0.6,0.1,0.3,2.0
1,22,48,0.7,0.2,0.1,2.1
1,17,12,0.7,0.2,0.1,2.2
1,39,30,0.6,0.1,0.3,1.9
1,11,7,0.5,0.2,0.3,2.2
1,20,45,0.5,0.2,0.3,2.0
1,8,12,0.3,0.5,0.2,1.9
1,6,27,0.4,0.4,0.4,1.8
2,48,25,0.7,0.2,0.1,1.8
2,20,36,0.5,0.2,0.3,1.8
2,41,4,0.6,0.1,0.3,1.8
2,39,45,0.2,0.7,0.1,1.9
2,23,52,0.4,0.3,0.3,2.0
2,3,9,0.5,0.2,0.3,1.9
2,44,9,0.6,0.3,0.1,2.1
2,30,39,0.1,0.7,0.2,2.2
2,9,25,0.2,0.6,0.2,2.1
2,34,27,0.3,0.3,0.4,2.0
2,54,15,0.7,0.2,0.1,2.1
2,9,41,0.5,0.2,0.3,2.0
2,34,38,0.4,0.3,0.3,2.1
2,11,30,0.1,0.6,0.3,1.8
2,9,17,0.4,0.4,0.4,2.1
2,38,24,0.1,0.7,0.2,2.0
2,53,14,0.1,0.7,0.2,1.8
2,9,36,0.1,0.7,0.2,1.9
2,39,49,0.7,0.2,0.1,2.2
2,21,51,0.6,0.3,0.1,1.9
2,28,12,0.2,0.4,0.4,2.1
2,53,4,0.6,0.1,0.3,1.8
2,20,44,0.3,0.5,0.2,2.1
2,4,18,0.6,0.1,0.3,1.8
2,3,19,0.6,0.3,0.1,1.9
2,39,32,0.2,0.6,0.2,2.2
2,39,31,0.7,0.2,0.1,1.9
2,18,45,0.1,0.7,0.2,1.8
2,5,26,0.4,0.2,0.4,2.0
2,28,16,0.4,0.4,0.4,2.0
3,32,32,0.5,0.2,0.3,1.8
3,19,3,0.6,0.1,0.3,1.9
3,29,34,0.7,0.2,0.1,1.8
3,37,13,0.2,0.4,0.4,2.0
3,42,27,0.1,0.6,0.3,1.9
3,26,40,0.2,0.4,0.4,1.8
3,5,8,0.6,0.1,0.3,2.1
3,12,6,0.6,0.2,0.2,2.0
3,39,10,0.3,0.5,0.2,1.8
3,5,22,0.2,0.6,0.2,1.8
3,34,16,0.1,0.6,0.3,1.8
3,53,11,0.2,0.6,0.2,1.9
3,10,25,0.6,0.2,0.2,2.0
3,38,18,0.2,0.7,0.1,1.9
