year,R_M,R_T,R_P,weighted_R_M,weighted_R_T,weighted_R_P
0,6985728868772.629,0.18935346603393555,0.00052769855,698572.8868772628,3787.069320678711,10553.97093296051
1,204656938011.2117,0.03650212287902832,6.120652e-05,20465.693801121168,730.0424575805664,1224.130392074585
2,104395478756.95888,0.02559041976928711,7.638149e-05,10439.547875695887,511.8083953857422,1527.629792690277
3,113829460891.2,0.01730656623840332,2.1623448e-05,11382.94608912,346.1313247680664,432.4689507484436
4,38681754369.29499,0.018228769302368164,4.578568e-05,3868.175436929499,364.5753860473633,915.7136082649231
5,58425866756.65979,0.0040340423583984375,6.4963475e-05,5842.586675665979,80.68084716796875,1299.2694973945618
6,10375071199.467457,0.0016374588012695312,7.247552e-05,1037.5071199467457,32.749176025390625,1449.5104551315308
7,428716884452.4139,0.01043248176574707,2.6689842e-05,42871.68844524139,208.6496353149414,533.7968468666077
8,96761093926.267,0.005412101745605469,5.276501e-05,9676.109392626699,108.24203491210938,1055.300235748291
9,70294590987.93309,-0.0009932518005371094,8.137897e-06,7029.459098793309,-19.865036010742188,162.75793313980103
