,year,ID,FAR,r_c,r_r,r_poi
0,9,48,2.2,0.2,0.7,0.1
1,3,3965,2.1,0.6,0.2,0.2
2,3,9296,2.1,0.6,0.2,0.2
3,3,9299,2.1,0.6,0.2,0.2
4,3,9300,2.1,0.6,0.2,0.2
5,3,9301,2.1,0.6,0.2,0.2
6,3,9302,2.1,0.6,0.2,0.2
7,3,9303,2.1,0.6,0.2,0.2
8,3,9304,2.1,0.6,0.2,0.2
9,4,9305,2.1,0.6,0.2,0.2
10,4,9306,2.1,0.6,0.2,0.2
11,4,9309,2.1,0.6,0.2,0.2
12,4,9310,2.1,0.6,0.2,0.2
13,4,9311,2.1,0.6,0.2,0.2
14,4,9312,2.1,0.6,0.2,0.2
15,4,9313,2.1,0.6,0.2,0.2
16,4,9314,2.1,0.6,0.2,0.2
17,4,9316,2.1,0.6,0.2,0.2
18,4,9317,2.1,0.6,0.2,0.2
19,4,9318,2.1,0.6,0.2,0.2
20,4,9319,2.1,0.6,0.2,0.2
21,4,9322,2.1,0.6,0.2,0.2
22,4,9324,2.1,0.6,0.2,0.2
23,4,9326,2.1,0.6,0.2,0.2
24,4,9327,2.1,0.6,0.2,0.2
25,4,9328,2.1,0.6,0.2,0.2
26,4,9331,2.1,0.6,0.2,0.2
27,4,9334,2.1,0.6,0.2,0.2
28,4,9335,2.1,0.6,0.2,0.2
29,4,9507,2.1,0.6,0.2,0.2
30,1,9578,2.0,0.7,0.2,0.1
31,9,11966,2.2,0.2,0.7,0.1
32,9,11969,2.2,0.2,0.7,0.1
33,1,12759,2.0,0.7,0.2,0.1
34,4,12826,2.1,0.6,0.2,0.2
35,4,12831,2.1,0.6,0.2,0.2
36,4,12836,2.1,0.6,0.2,0.2
37,4,12838,2.1,0.6,0.2,0.2
38,9,13346,2.2,0.2,0.7,0.1
39,4,13715,2.1,0.6,0.2,0.2
40,9,13763,2.2,0.2,0.7,0.1
41,1,14012,2.0,0.7,0.2,0.1
42,8,14036,1.8,0.3,0.3,0.4
43,8,14037,1.8,0.3,0.3,0.4
44,4,14043,2.1,0.6,0.2,0.2
45,11,14046,1.9,0.4,0.2,0.3
46,8,14049,1.8,0.3,0.3,0.4
47,8,14052,1.8,0.3,0.3,0.4
48,4,14061,2.1,0.6,0.2,0.2
49,9,14107,2.2,0.2,0.7,0.1
50,9,14121,2.2,0.2,0.7,0.1
51,9,14122,2.2,0.2,0.7,0.1
52,6,14123,2.1,0.1,0.7,0.2
53,9,14124,2.2,0.2,0.7,0.1
54,9,14125,2.2,0.2,0.7,0.1
55,4,14127,2.1,0.6,0.2,0.2
56,6,14128,2.1,0.1,0.7,0.2
57,6,14142,2.2,0.1,0.6,0.3
58,6,14143,2.2,0.1,0.6,0.3
59,6,14144,2.2,0.1,0.6,0.3
60,10,14145,2.1,0.4,0.4,0.3
61,1,14146,2.0,0.7,0.2,0.1
62,1,14147,2.0,0.7,0.2,0.1
63,1,14148,2.0,0.7,0.2,0.1
64,1,14149,2.0,0.7,0.2,0.1
65,1,14150,2.0,0.7,0.2,0.1
66,6,14151,2.1,0.1,0.7,0.2
67,1,14152,2.0,0.7,0.2,0.1
68,3,14163,2.2,0.3,0.3,0.4
69,4,14187,2.1,0.6,0.2,0.2
70,5,14188,2.1,0.6,0.2,0.2
71,1,14193,2.1,0.6,0.2,0.2
72,1,14194,2.1,0.6,0.2,0.2
73,1,14195,2.1,0.6,0.2,0.2
74,1,14196,2.1,0.6,0.2,0.2
75,1,14198,2.1,0.6,0.2,0.2
76,2,14199,2.1,0.6,0.2,0.2
77,2,14200,2.1,0.6,0.2,0.2
78,2,14202,2.1,0.6,0.2,0.2
79,3,14206,2.2,0.3,0.3,0.4
80,1,14207,2.1,0.6,0.2,0.2
81,1,14208,2.1,0.6,0.2,0.2
82,1,14209,2.1,0.6,0.2,0.2
83,1,14210,2.1,0.6,0.2,0.2
84,1,14211,2.1,0.6,0.2,0.2
85,1,14212,2.1,0.6,0.2,0.2
86,1,14213,2.1,0.6,0.2,0.2
87,1,14214,2.1,0.6,0.2,0.2
88,1,14215,2.1,0.6,0.2,0.2
89,1,14216,2.1,0.6,0.2,0.2
90,1,14217,2.1,0.6,0.2,0.2
91,2,14218,2.1,0.6,0.2,0.2
92,2,14219,2.1,0.6,0.2,0.2
93,1,14220,2.1,0.6,0.2,0.2
94,5,14283,2.1,0.6,0.2,0.2
95,8,14291,1.8,0.3,0.3,0.4
96,8,14292,1.8,0.3,0.3,0.4
97,8,14293,1.8,0.3,0.3,0.4
98,8,14295,1.8,0.3,0.3,0.4
99,11,14322,1.9,0.4,0.2,0.3
100,11,14323,1.9,0.4,0.2,0.3
101,5,14331,2.1,0.6,0.2,0.2
102,11,14337,1.9,0.4,0.2,0.3
103,11,14338,1.9,0.4,0.2,0.3
104,11,14339,1.9,0.4,0.2,0.3
105,11,14340,1.9,0.4,0.2,0.3
106,11,14341,1.9,0.4,0.2,0.3
107,11,14342,1.9,0.4,0.2,0.3
108,11,14343,1.9,0.4,0.2,0.3
109,11,14344,1.9,0.4,0.2,0.3
110,11,14345,1.9,0.4,0.2,0.3
111,11,14346,1.9,0.4,0.2,0.3
112,11,14347,1.9,0.4,0.2,0.3
113,11,14348,1.9,0.4,0.2,0.3
114,11,14349,1.9,0.4,0.2,0.3
115,11,14350,1.9,0.4,0.2,0.3
116,12,14358,1.9,0.4,0.2,0.3
117,12,14359,1.9,0.4,0.2,0.3
118,8,14360,1.8,0.3,0.3,0.4
119,8,14361,1.8,0.3,0.3,0.4
120,8,14362,1.8,0.3,0.3,0.4
121,8,14363,1.8,0.3,0.3,0.4
122,8,14364,1.8,0.3,0.3,0.4
123,8,14365,1.8,0.3,0.3,0.4
124,8,14366,1.8,0.3,0.3,0.4
125,8,14367,1.8,0.3,0.3,0.4
126,8,14368,1.8,0.3,0.3,0.4
127,9,14369,1.8,0.3,0.3,0.4
128,9,14370,1.8,0.3,0.3,0.4
129,9,14371,1.8,0.3,0.3,0.4
130,5,14372,2.1,0.6,0.2,0.2
131,12,14373,1.9,0.4,0.2,0.3
132,12,14374,1.9,0.4,0.2,0.3
133,12,14375,1.9,0.4,0.2,0.3
134,12,14376,1.9,0.4,0.2,0.3
135,12,14377,1.9,0.4,0.2,0.3
136,12,14378,1.9,0.4,0.2,0.3
137,12,14379,1.9,0.4,0.2,0.3
138,12,14380,1.9,0.4,0.2,0.3
139,12,14381,1.9,0.4,0.2,0.3
140,12,14382,1.9,0.4,0.2,0.3
141,12,14383,1.9,0.4,0.2,0.3
142,12,14384,1.9,0.4,0.2,0.3
143,12,14386,1.9,0.4,0.2,0.3
144,12,14387,1.9,0.4,0.2,0.3
145,12,14388,1.9,0.4,0.2,0.3
146,12,14389,1.9,0.4,0.2,0.3
147,2,14413,2.1,0.3,0.5,0.2
148,9,14416,1.8,0.3,0.3,0.4
149,5,14418,2.1,0.6,0.2,0.2
150,9,14424,1.8,0.3,0.3,0.4
151,12,14433,1.9,0.4,0.2,0.3
152,12,14434,1.9,0.4,0.2,0.3
153,12,14435,1.9,0.4,0.2,0.3
154,12,14436,1.9,0.4,0.2,0.3
155,12,14437,1.9,0.4,0.2,0.3
156,9,14438,1.8,0.3,0.3,0.4
157,9,14439,1.8,0.3,0.3,0.4
158,5,14445,2.1,0.6,0.2,0.2
159,5,14462,2.1,0.6,0.2,0.2
160,5,14469,2.1,0.6,0.2,0.2
161,9,14541,2.2,0.2,0.7,0.1
162,10,14563,2.2,0.2,0.7,0.1
163,10,14564,2.2,0.2,0.7,0.1
164,10,14565,2.2,0.2,0.7,0.1
165,10,14566,2.2,0.2,0.7,0.1
166,10,14602,2.2,0.2,0.7,0.1
167,6,14605,2.1,0.1,0.7,0.2
168,6,14606,2.1,0.1,0.7,0.2
169,6,14620,2.2,0.1,0.6,0.3
170,10,14622,2.2,0.2,0.7,0.1
171,6,14623,2.1,0.1,0.7,0.2
172,10,14625,2.2,0.2,0.7,0.1
173,5,14626,2.1,0.6,0.2,0.2
174,5,14627,2.1,0.6,0.2,0.2
175,6,14628,2.1,0.1,0.7,0.2
176,10,14629,2.2,0.2,0.7,0.1
177,10,14630,2.2,0.2,0.7,0.1
178,6,14631,2.1,0.1,0.7,0.2
179,6,14632,2.1,0.1,0.7,0.2
180,6,14633,2.1,0.1,0.7,0.2
181,10,14634,2.2,0.2,0.7,0.1
182,10,14636,2.2,0.2,0.7,0.1
183,10,14638,2.2,0.2,0.7,0.1
184,10,14639,2.2,0.2,0.7,0.1
185,5,14640,2.1,0.6,0.2,0.2
186,5,14641,2.1,0.6,0.2,0.2
187,5,14644,2.1,0.6,0.2,0.2
188,5,14645,2.1,0.6,0.2,0.2
189,10,14646,2.2,0.2,0.7,0.1
190,10,14647,2.2,0.2,0.7,0.1
191,10,14648,2.2,0.2,0.7,0.1
192,10,14649,2.2,0.2,0.7,0.1
193,10,14650,2.2,0.2,0.7,0.1
194,10,14651,2.2,0.2,0.7,0.1
195,10,14652,2.2,0.2,0.7,0.1
196,10,14653,2.2,0.2,0.7,0.1
197,10,14654,2.2,0.2,0.7,0.1
198,10,14655,2.2,0.2,0.7,0.1
199,10,14656,2.2,0.2,0.7,0.1
200,10,14657,2.2,0.2,0.7,0.1
201,10,14658,2.2,0.2,0.7,0.1
202,10,14659,2.2,0.2,0.7,0.1
203,6,14660,2.1,0.1,0.7,0.2
204,5,14686,2.1,0.6,0.2,0.2
205,10,14694,2.2,0.2,0.7,0.1
206,10,14703,2.2,0.2,0.7,0.1
207,5,14767,2.1,0.6,0.2,0.2
208,5,14768,2.1,0.6,0.2,0.2
209,5,14780,2.1,0.6,0.2,0.2
210,5,14781,2.1,0.6,0.2,0.2
211,5,14784,2.1,0.6,0.2,0.2
212,5,14785,2.1,0.6,0.2,0.2
213,5,14786,2.1,0.6,0.2,0.2
214,5,14787,2.1,0.6,0.2,0.2
215,5,14789,2.1,0.6,0.2,0.2
216,5,14800,2.1,0.6,0.2,0.2
217,6,14802,2.2,0.1,0.6,0.3
218,6,14803,2.2,0.1,0.6,0.3
219,6,14804,2.2,0.1,0.6,0.3
220,6,14805,2.2,0.1,0.6,0.3
221,6,14806,2.2,0.1,0.6,0.3
222,6,14807,2.2,0.1,0.6,0.3
223,7,14808,2.2,0.1,0.6,0.3
224,11,14809,2.1,0.4,0.4,0.3
225,5,14812,2.1,0.6,0.2,0.2
226,5,14813,2.1,0.6,0.2,0.2
227,5,14814,2.1,0.6,0.2,0.2
228,5,14815,2.1,0.6,0.2,0.2
229,7,14831,2.2,0.1,0.6,0.3
230,3,14832,2.2,0.3,0.3,0.4
231,7,14840,2.2,0.1,0.6,0.3
232,7,14842,2.2,0.1,0.6,0.3
233,7,14843,2.2,0.1,0.6,0.3
234,7,14844,2.2,0.1,0.6,0.3
235,7,14845,2.2,0.1,0.6,0.3
236,7,14846,2.2,0.1,0.6,0.3
237,7,14847,2.2,0.1,0.6,0.3
238,7,14848,2.2,0.1,0.6,0.3
239,7,14849,2.2,0.1,0.6,0.3
240,7,14850,2.2,0.1,0.6,0.3
241,7,14851,2.2,0.1,0.6,0.3
242,7,14852,2.2,0.1,0.6,0.3
243,7,14853,2.2,0.1,0.6,0.3
244,7,14854,2.2,0.1,0.6,0.3
245,7,14855,2.2,0.1,0.6,0.3
246,7,14856,2.2,0.1,0.6,0.3
247,7,14857,2.2,0.1,0.6,0.3
248,7,14858,2.2,0.1,0.6,0.3
249,7,14859,2.2,0.1,0.6,0.3
250,3,14860,2.2,0.3,0.3,0.4
251,3,14861,2.2,0.3,0.3,0.4
252,3,14862,2.2,0.3,0.3,0.4
253,11,14863,2.1,0.4,0.4,0.3
254,11,14864,2.1,0.4,0.4,0.3
255,11,14865,2.1,0.4,0.4,0.3
256,11,14866,2.1,0.4,0.4,0.3
257,11,14867,2.1,0.4,0.4,0.3
258,11,14868,2.1,0.4,0.4,0.3
259,11,14869,2.1,0.4,0.4,0.3
260,11,14870,2.1,0.4,0.4,0.3
261,11,14871,2.1,0.4,0.4,0.3
262,11,14872,2.1,0.4,0.4,0.3
263,3,14873,2.2,0.3,0.3,0.4
264,7,14874,2.2,0.1,0.6,0.3
265,1,14876,2.0,0.7,0.2,0.1
266,1,14878,2.0,0.7,0.2,0.1
267,1,14879,2.0,0.7,0.2,0.1
268,7,14880,2.0,0.3,0.3,0.4
269,2,14888,2.1,0.3,0.5,0.2
270,3,14889,2.2,0.3,0.3,0.4
271,3,14890,2.2,0.3,0.3,0.4
272,3,14891,2.2,0.3,0.3,0.4
273,3,14892,2.2,0.3,0.3,0.4
274,3,14893,2.2,0.3,0.3,0.4
275,3,14894,2.2,0.3,0.3,0.4
276,3,14895,2.2,0.3,0.3,0.4
277,3,14896,2.2,0.3,0.3,0.4
278,2,14897,2.1,0.3,0.5,0.2
279,2,14898,2.1,0.3,0.5,0.2
280,2,14899,2.1,0.3,0.5,0.2
281,2,14900,2.1,0.3,0.5,0.2
282,2,14901,2.1,0.3,0.5,0.2
283,2,14902,2.1,0.3,0.5,0.2
284,7,14903,2.0,0.3,0.3,0.4
285,7,14904,2.0,0.3,0.3,0.4
286,7,14905,2.0,0.3,0.3,0.4
287,7,14915,2.0,0.3,0.3,0.4
288,2,14919,2.1,0.3,0.5,0.2
289,2,14920,2.1,0.3,0.5,0.2
290,3,14921,2.1,0.3,0.5,0.2
291,9,14922,2.0,0.3,0.5,0.2
292,9,14923,2.0,0.3,0.5,0.2
293,9,14924,2.0,0.3,0.5,0.2
294,9,14925,2.0,0.3,0.5,0.2
295,9,14926,2.0,0.3,0.5,0.2
296,9,14927,2.0,0.3,0.5,0.2
297,9,14928,2.0,0.3,0.5,0.2
298,12,14929,2.0,0.3,0.5,0.2
299,12,14930,2.0,0.3,0.5,0.2
300,7,14931,2.0,0.3,0.3,0.4
301,7,14932,2.0,0.3,0.3,0.4
302,8,14933,2.0,0.3,0.3,0.4
303,8,14934,2.0,0.3,0.3,0.4
304,8,14935,2.0,0.3,0.3,0.4
305,8,14936,2.0,0.3,0.3,0.4
306,8,14937,2.0,0.3,0.3,0.4
307,8,14938,2.0,0.3,0.3,0.4
308,8,14947,2.0,0.3,0.3,0.4
309,8,14948,2.0,0.3,0.3,0.4
310,8,14949,2.0,0.3,0.3,0.4
311,3,14961,2.1,0.3,0.5,0.2
312,12,14962,2.0,0.3,0.5,0.2
313,8,14963,2.0,0.3,0.3,0.4
314,3,14973,2.2,0.3,0.3,0.4
315,8,14977,2.0,0.3,0.3,0.4
316,8,14978,2.0,0.3,0.3,0.4
317,5,15078,2.1,0.6,0.2,0.2
318,6,15079,2.1,0.6,0.2,0.2
319,6,15166,2.1,0.6,0.2,0.2
320,6,15167,2.1,0.6,0.2,0.2
321,6,15234,2.1,0.6,0.2,0.2
322,6,15273,2.1,0.6,0.2,0.2
323,6,15274,2.1,0.6,0.2,0.2
324,6,15282,2.1,0.6,0.2,0.2
325,6,15299,2.1,0.6,0.2,0.2
326,6,15309,2.1,0.6,0.2,0.2
327,2,15330,2.1,0.6,0.2,0.2
328,2,15340,2.1,0.6,0.2,0.2
329,2,15341,2.1,0.6,0.2,0.2
330,2,15347,2.1,0.6,0.2,0.2
331,2,15348,2.1,0.6,0.2,0.2
332,2,15349,2.1,0.6,0.2,0.2
333,2,15350,2.1,0.6,0.2,0.2
334,2,15351,2.1,0.6,0.2,0.2
335,2,15352,2.1,0.6,0.2,0.2
336,12,15354,2.0,0.3,0.5,0.2
337,2,15355,2.1,0.6,0.2,0.2
338,2,15356,2.1,0.6,0.2,0.2
339,2,15357,2.1,0.6,0.2,0.2
340,2,15358,2.1,0.6,0.2,0.2
341,2,15359,2.1,0.6,0.2,0.2
342,1,15361,2.1,0.6,0.2,0.2
343,12,15363,1.9,0.4,0.2,0.3
344,9,15366,1.8,0.3,0.3,0.4
