ID,顺序,容积率,改造方案
243,3,2,433
406,1,2,433
892,3,2,433
3584,8,2,433
4628,6,2,433
6377,1,2,433
7312,5,2,523
9495,3,2,433
9496,3,2,523
9498,3,2,523
9872,1,2,433
9925,1,2,433
11797,6,2,523
11827,3,2,523
11966,4,2,523
11967,1,2,433
11969,12,2,433
12044,1,2,433
12090,6,2,523
12091,6,2,523
12633,8,2,433
12678,2,2,523
12696,12,2,523
12715,2,2,523
12729,6,2,523
12769,1,2,433
12800,3,2,523
12917,11,2,433
13009,6,2,523
13346,5,2,523
13763,5,2,523
13957,3,2,523
14043,2,2,523
14044,12,2,523
14045,12,2,523
14048,11,2,433
14050,2,2,523
14054,1,2,433
14055,11,2,433
14057,1,2,523
14060,1,2,523
14067,11,2,433
14068,8,2,433
14069,2,2,523
14070,2,2,433
14071,12,2,523
14072,2,2,433
14073,8,2,523
14074,12,2,523
14075,1,2,433
14076,7,2,523
14079,9,2,433
14080,11,2,433
14081,8,2,523
14082,8,2,523
14083,2,2,433
14084,10,2,433
14085,5,2,433
14086,11,2,433
14087,11,2,433
14088,11,2,433
14089,8,2,523
14090,8,2,523
14092,9,2,433
14093,5,2,433
14094,6,2,523
14095,8,2,523
14096,9,2,433
14097,11,2,433
14098,5,2,433
14099,2,2,433
14100,5,2,433
14101,3,2,523
14102,3,2,523
14103,10,2,433
14104,10,2,433
14106,2,2,433
14107,8,2,523
14108,9,2,433
14109,3,2,523
14110,3,2,523
14111,8,2,523
14113,2,2,523
14114,8,2,523
14115,3,2,523
14116,3,2,433
14117,3,2,433
14118,6,2,523
14119,3,2,433
14121,8,2,523
14122,8,2,523
14123,7,2,523
14124,8,2,523
14135,6,2,523
14142,6,2,523
14143,4,2,433
14144,4,2,433
14151,10,2,433
14153,9,2,523
14156,9,2,523
14158,5,2,433
14160,5,2,523
14162,9,2,523
14163,12,2,433
14172,5,2,523
14173,8,2,433
14174,8,2,433
14175,8,2,433
14176,3,2,433
14177,2,2,523
14184,12,2,433
14191,8,2,433
14197,12,2,433
14203,5,2,523
14204,1,2,523
14205,2,2,523
14284,2,2,523
14285,2,2,523
14301,12,2,433
14303,12,2,433
14309,11,2,433
14310,12,2,523
14324,12,2,523
14326,12,2,523
14327,12,2,523
14328,12,2,523
14331,2,2,523
14334,11,2,433
14335,11,2,433
14336,3,2,433
14440,1,2,523
14444,4,2,433
14447,11,2,433
14448,7,2,523
14449,8,2,433
14450,11,2,523
14453,2,2,523
14455,4,2,523
14456,7,2,523
14457,4,2,523
14458,11,2,523
14459,2,2,433
14462,2,2,433
14464,12,2,523
14466,12,2,523
14467,11,2,523
14468,11,2,523
14470,2,2,433
14471,1,2,523
14472,5,2,523
14473,6,2,523
14474,1,2,523
14475,10,2,433
14476,11,2,523
14482,9,2,523
14485,6,2,523
14486,3,2,523
14487,4,2,523
14488,1,2,433
14489,11,2,523
14490,10,2,433
14491,6,2,523
14492,11,2,523
14493,11,2,523
14494,9,2,523
14498,10,2,433
14499,7,2,523
14500,7,2,523
14501,7,2,523
14503,7,2,523
14504,7,2,523
14505,7,2,523
14506,7,2,523
14507,7,2,523
14508,9,2,433
14509,11,2,523
14510,9,2,433
14511,9,2,433
14512,6,2,523
14513,9,2,433
14514,9,2,433
14516,6,2,523
14517,9,2,433
14518,6,2,523
14519,6,2,433
14522,9,2,523
14523,7,2,523
14525,11,2,523
14526,10,2,433
14528,10,2,433
14529,10,2,433
14530,8,2,433
14531,9,2,523
14533,10,2,433
14535,9,2,523
14536,9,2,523
14537,10,2,433
14538,10,2,523
14539,2,2,523
14540,5,2,523
14541,4,2,523
14542,5,2,523
14543,5,2,523
14544,2,2,523
14545,10,2,523
14546,10,2,523
14552,4,2,523
14555,11,2,433
14556,11,2,433
14560,8,2,433
14563,3,2,523
14564,6,2,433
14565,3,2,523
14566,4,2,433
14567,6,2,433
14569,12,2,523
14570,12,2,433
14571,12,2,433
14572,1,2,433
14573,4,2,433
