ID,顺序,容积率,改造方案
3965,5,2,334
4628,7,2,334
9296,7,2,334
9299,7,2,334
9300,7,2,334
9302,7,2,334
9303,7,2,334
9309,7,2,334
9310,7,2,334
9311,7,2,334
9312,7,2,334
9313,7,2,334
9314,7,2,334
9316,7,2,334
9317,7,2,334
9318,7,2,334
9319,7,2,334
9322,7,2,334
9324,7,2,334
9326,7,2,334
9327,8,2,334
9328,5,2,334
9331,8,2,334
9334,5,2,334
9335,12,2,334
9495,8,2,334
9496,8,2,334
9498,8,2,334
9507,4,2,334
9578,11,2,334
12633,5,2,334
12696,9,2,334
12729,8,2,334
12800,11,2,334
12826,8,2,334
12831,5,2,334
12836,8,2,334
12838,12,2,334
13009,8,2,334
13715,5,2,334
13957,8,2,334
14031,6,2,334
14042,2,2,334
14044,12,2,334
14045,12,2,334
14049,8,2,334
14054,5,2,334
14056,12,2,334
14063,3,2,334
14073,8,2,334
14074,6,2,334
14088,5,2,334
14091,12,2,334
14092,5,2,334
14103,9,2,334
14104,9,2,334
14106,12,2,334
14112,8,2,334
14118,8,2,334
14120,11,2,334
14127,4,2,334
14128,3,2,334
14137,12,2,334
14139,2,2,334
14140,12,2,334
14141,2,2,334
14146,8,2,334
14147,8,2,334
14148,11,2,334
14149,11,2,334
14151,6,2,334
14153,3,2,334
14160,3,2,334
14163,1,2,334
14168,11,2,334
14173,10,2,334
14174,10,2,334
14175,10,2,334
14176,11,2,334
14179,1,2,334
14193,1,2,334
14196,6,2,334
14197,11,2,334
14198,1,2,334
14199,2,2,334
14202,2,2,334
14218,6,2,334
14219,6,2,334
14221,1,2,334
14222,1,2,334
14230,1,2,334
14231,11,2,334
14234,8,2,334
14235,8,2,334
14236,8,2,334
14237,6,2,334
14238,8,2,334
14239,6,2,334
14240,2,2,334
14254,2,2,334
14263,10,2,334
14264,11,2,334
14276,8,2,334
14278,4,2,334
14281,5,2,334
14289,3,2,334
14290,1,2,334
14294,2,2,334
14296,5,2,334
14297,2,2,334
14316,8,2,334
14317,5,2,334
14318,5,2,334
14319,8,2,334
14337,2,2,334
14340,2,2,334
14358,2,2,334
14365,1,2,334
14366,1,2,334
14371,1,2,334
14385,8,2,334
14414,11,2,334
14417,3,2,334
14418,10,2,334
14420,11,2,334
14423,2,2,334
14425,1,2,334
14426,1,2,334
14427,1,2,334
14428,1,2,334
14429,1,2,334
14430,1,2,334
14431,1,2,334
14432,1,2,334
14446,4,2,334
14461,2,2,334
14464,12,2,334
14466,12,2,334
14482,5,2,334
14488,11,2,334
14495,4,2,334
14527,12,2,334
14535,5,2,334
14545,10,2,334
14546,10,2,334
14547,3,2,334
14548,3,2,334
14549,3,2,334
14552,3,2,334
14557,10,2,334
14558,11,2,334
14567,4,2,334
14568,6,2,334
14569,6,2,334
14570,3,2,334
14571,3,2,334
14572,11,2,334
14579,11,2,334
14591,2,2,334
14596,1,2,334
14608,4,2,334
14612,3,2,334
14613,3,2,334
14614,6,2,334
14615,6,2,334
14616,5,2,334
14617,6,2,334
14618,5,2,334
14619,4,2,334
14621,11,2,334
14644,6,2,334
14663,8,2,334
14676,8,2,334
14724,11,2,334
14739,11,2,334
14753,4,2,334
14755,10,2,334
14756,10,2,334
14758,4,2,334
14759,4,2,334
14760,4,2,334
14765,10,2,334
14766,10,2,334
14767,2,2,334
14769,8,2,334
14774,2,2,334
14775,1,2,334
14776,3,2,334
14777,3,2,334
14778,3,2,334
14779,3,2,334
14782,6,2,334
14792,5,2,334
14793,6,2,334
14795,6,2,334
14796,6,2,334
14797,6,2,334
14798,6,2,334
14799,6,2,334
14801,4,2,334
14812,1,2,334
14813,3,2,334
14815,6,2,334
14816,8,2,334
14817,6,2,334
14818,4,2,334
14819,4,2,334
14825,10,2,334
14826,10,2,334
14828,7,2,334
14829,6,2,334
14830,6,2,334
14831,8,2,334
14832,3,2,334
14841,8,2,334
14863,4,2,334
14872,6,2,334
14875,2,2,334
14876,9,2,334
14878,9,2,334
14880,1,2,334
14885,11,2,334
14887,3,2,334
14897,7,2,334
14901,4,2,334
14915,11,2,334
14929,10,2,334
14931,2,2,334
14932,2,2,334
14933,2,2,334
14934,2,2,334
14935,2,2,334
14936,4,2,334
14937,4,2,334
14938,4,2,334
14947,1,2,334
14948,2,2,334
14949,2,2,334
14960,7,2,334
