,ID,year,FAR,r_c,r_r,r_poi
0,14630,1,2.2,0.7,0.2,0.1
1,14135,1,2.2,0.7,0.2,0.1
2,14553,1,2.2,0.7,0.2,0.1
3,14869,1,2.2,0.7,0.2,0.1
4,15066,1,2.2,0.7,0.2,0.1
5,14790,1,2.2,0.7,0.2,0.1
6,14162,1,2.2,0.7,0.2,0.1
7,15156,1,2.2,0.7,0.2,0.1
8,14776,1,2.2,0.7,0.2,0.1
9,15363,1,2.2,0.7,0.2,0.1
10,14126,1,2.2,0.7,0.2,0.1
11,14042,1,2.2,0.7,0.2,0.1
12,15243,1,2.2,0.7,0.2,0.1
13,14391,1,2.2,0.7,0.2,0.1
14,14973,1,2.2,0.7,0.2,0.1
15,14649,1,2.2,0.7,0.2,0.1
16,15014,1,2.2,0.7,0.2,0.1
17,15131,1,2.2,0.7,0.2,0.1
18,14591,1,2.2,0.7,0.2,0.1
19,14433,1,2.2,0.7,0.2,0.1
20,14927,1,2.2,0.7,0.2,0.1
21,15297,1,2.2,0.7,0.2,0.1
22,14561,1,2.2,0.7,0.2,0.1
23,9331,1,2.2,0.7,0.2,0.1
24,14901,1,2.2,0.7,0.2,0.1
25,15198,1,2.2,0.7,0.2,0.1
26,14865,1,2.2,0.7,0.2,0.1
27,15331,1,2.2,0.7,0.2,0.1
28,15353,1,2.2,0.7,0.2,0.1
29,15176,1,2.2,0.7,0.2,0.1
30,15549,2,2.2,0.7,0.2,0.1
31,14874,2,2.2,0.7,0.2,0.1
32,14513,2,2.2,0.7,0.2,0.1
33,48,2,2.2,0.7,0.2,0.1
34,15046,2,2.2,0.7,0.2,0.1
35,14232,2,2.2,0.7,0.2,0.1
36,14282,2,2.2,0.7,0.2,0.1
37,14873,2,2.2,0.7,0.2,0.1
38,15233,2,2.2,0.7,0.2,0.1
39,14179,2,2.2,0.7,0.2,0.1
40,15354,2,2.2,0.7,0.2,0.1
41,14318,2,2.2,0.7,0.2,0.1
42,14792,2,2.2,0.7,0.2,0.1
43,14208,2,2.2,0.7,0.2,0.1
44,15172,2,2.2,0.7,0.2,0.1
45,14253,2,2.2,0.7,0.2,0.1
46,14943,2,2.2,0.7,0.2,0.1
47,14143,2,2.2,0.7,0.2,0.1
48,15182,2,2.2,0.7,0.2,0.1
