,ID,year,FAR,r_c,r_r,r_poi
0,243,3,2,0.4,0.3,0.3
1,406,1,2,0.4,0.3,0.3
2,892,3,2,0.4,0.3,0.3
3,3584,8,2,0.4,0.3,0.3
4,4628,6,2,0.4,0.3,0.3
5,6377,1,2,0.4,0.3,0.3
6,7312,5,2,0.5,0.2,0.3
7,9495,3,2,0.4,0.3,0.3
8,9496,3,2,0.5,0.2,0.3
9,9498,3,2,0.5,0.2,0.3
10,9872,1,2,0.4,0.3,0.3
11,9925,1,2,0.4,0.3,0.3
12,11797,6,2,0.5,0.2,0.3
13,11827,3,2,0.5,0.2,0.3
14,11966,4,2,0.5,0.2,0.3
15,11967,1,2,0.4,0.3,0.3
16,11969,12,2,0.4,0.3,0.3
17,12044,1,2,0.4,0.3,0.3
18,12090,6,2,0.5,0.2,0.3
19,12091,6,2,0.5,0.2,0.3
20,12633,8,2,0.4,0.3,0.3
21,12678,2,2,0.5,0.2,0.3
22,12696,12,2,0.5,0.2,0.3
23,12715,2,2,0.5,0.2,0.3
24,12729,6,2,0.5,0.2,0.3
25,12769,1,2,0.4,0.3,0.3
26,12800,3,2,0.5,0.2,0.3
27,12917,11,2,0.4,0.3,0.3
28,13009,6,2,0.5,0.2,0.3
29,13346,5,2,0.5,0.2,0.3
30,13763,5,2,0.5,0.2,0.3
31,13957,3,2,0.5,0.2,0.3
32,14043,2,2,0.5,0.2,0.3
33,14044,12,2,0.5,0.2,0.3
34,14045,12,2,0.5,0.2,0.3
35,14048,11,2,0.4,0.3,0.3
36,14050,2,2,0.5,0.2,0.3
37,14054,1,2,0.4,0.3,0.3
38,14055,11,2,0.4,0.3,0.3
39,14057,1,2,0.5,0.2,0.3
40,14060,1,2,0.5,0.2,0.3
41,14067,11,2,0.4,0.3,0.3
42,14068,8,2,0.4,0.3,0.3
43,14069,2,2,0.5,0.2,0.3
44,14070,2,2,0.4,0.3,0.3
45,14071,12,2,0.5,0.2,0.3
46,14072,2,2,0.4,0.3,0.3
47,14073,8,2,0.5,0.2,0.3
48,14074,12,2,0.5,0.2,0.3
49,14075,1,2,0.4,0.3,0.3
50,14076,7,2,0.5,0.2,0.3
51,14079,9,2,0.4,0.3,0.3
52,14080,11,2,0.4,0.3,0.3
53,14081,8,2,0.5,0.2,0.3
54,14082,8,2,0.5,0.2,0.3
55,14083,2,2,0.4,0.3,0.3
56,14084,10,2,0.4,0.3,0.3
57,14085,5,2,0.4,0.3,0.3
58,14086,11,2,0.4,0.3,0.3
59,14087,11,2,0.4,0.3,0.3
60,14088,11,2,0.4,0.3,0.3
61,14089,8,2,0.5,0.2,0.3
62,14090,8,2,0.5,0.2,0.3
63,14092,9,2,0.4,0.3,0.3
64,14093,5,2,0.4,0.3,0.3
65,14094,6,2,0.5,0.2,0.3
66,14095,8,2,0.5,0.2,0.3
67,14096,9,2,0.4,0.3,0.3
68,14097,11,2,0.4,0.3,0.3
69,14098,5,2,0.4,0.3,0.3
70,14099,2,2,0.4,0.3,0.3
71,14100,5,2,0.4,0.3,0.3
72,14101,3,2,0.5,0.2,0.3
73,14102,3,2,0.5,0.2,0.3
74,14103,10,2,0.4,0.3,0.3
75,14104,10,2,0.4,0.3,0.3
76,14106,2,2,0.4,0.3,0.3
77,14107,8,2,0.5,0.2,0.3
78,14108,9,2,0.4,0.3,0.3
79,14109,3,2,0.5,0.2,0.3
80,14110,3,2,0.5,0.2,0.3
81,14111,8,2,0.5,0.2,0.3
82,14113,2,2,0.5,0.2,0.3
83,14114,8,2,0.5,0.2,0.3
84,14115,3,2,0.5,0.2,0.3
85,14116,3,2,0.4,0.3,0.3
86,14117,3,2,0.4,0.3,0.3
87,14118,6,2,0.5,0.2,0.3
88,14119,3,2,0.4,0.3,0.3
89,14121,8,2,0.5,0.2,0.3
90,14122,8,2,0.5,0.2,0.3
91,14123,7,2,0.5,0.2,0.3
92,14124,8,2,0.5,0.2,0.3
93,14135,6,2,0.5,0.2,0.3
94,14142,6,2,0.5,0.2,0.3
95,14143,4,2,0.4,0.3,0.3
96,14144,4,2,0.4,0.3,0.3
97,14151,10,2,0.4,0.3,0.3
98,14153,9,2,0.5,0.2,0.3
99,14156,9,2,0.5,0.2,0.3
100,14158,5,2,0.4,0.3,0.3
101,14160,5,2,0.5,0.2,0.3
102,14162,9,2,0.5,0.2,0.3
103,14163,12,2,0.4,0.3,0.3
104,14172,5,2,0.5,0.2,0.3
105,14173,8,2,0.4,0.3,0.3
106,14174,8,2,0.4,0.3,0.3
107,14175,8,2,0.4,0.3,0.3
108,14176,3,2,0.4,0.3,0.3
109,14177,2,2,0.5,0.2,0.3
110,14184,12,2,0.4,0.3,0.3
111,14191,8,2,0.4,0.3,0.3
112,14197,12,2,0.4,0.3,0.3
113,14203,5,2,0.5,0.2,0.3
114,14204,1,2,0.5,0.2,0.3
115,14205,2,2,0.5,0.2,0.3
116,14284,2,2,0.5,0.2,0.3
117,14285,2,2,0.5,0.2,0.3
118,14301,12,2,0.4,0.3,0.3
119,14303,12,2,0.4,0.3,0.3
120,14309,11,2,0.4,0.3,0.3
121,14310,12,2,0.5,0.2,0.3
122,14324,12,2,0.5,0.2,0.3
123,14326,12,2,0.5,0.2,0.3
124,14327,12,2,0.5,0.2,0.3
125,14328,12,2,0.5,0.2,0.3
126,14331,2,2,0.5,0.2,0.3
127,14334,11,2,0.4,0.3,0.3
128,14335,11,2,0.4,0.3,0.3
129,14336,3,2,0.4,0.3,0.3
130,14440,1,2,0.5,0.2,0.3
131,14444,4,2,0.4,0.3,0.3
132,14447,11,2,0.4,0.3,0.3
133,14448,7,2,0.5,0.2,0.3
134,14449,8,2,0.4,0.3,0.3
135,14450,11,2,0.5,0.2,0.3
136,14453,2,2,0.5,0.2,0.3
137,14455,4,2,0.5,0.2,0.3
138,14456,7,2,0.5,0.2,0.3
139,14457,4,2,0.5,0.2,0.3
140,14458,11,2,0.5,0.2,0.3
141,14459,2,2,0.4,0.3,0.3
142,14462,2,2,0.4,0.3,0.3
143,14464,12,2,0.5,0.2,0.3
144,14466,12,2,0.5,0.2,0.3
145,14467,11,2,0.5,0.2,0.3
146,14468,11,2,0.5,0.2,0.3
147,14470,2,2,0.4,0.3,0.3
148,14471,1,2,0.5,0.2,0.3
149,14472,5,2,0.5,0.2,0.3
150,14473,6,2,0.5,0.2,0.3
151,14474,1,2,0.5,0.2,0.3
152,14475,10,2,0.4,0.3,0.3
153,14476,11,2,0.5,0.2,0.3
154,14482,9,2,0.5,0.2,0.3
155,14485,6,2,0.5,0.2,0.3
156,14486,3,2,0.5,0.2,0.3
157,14487,4,2,0.5,0.2,0.3
158,14488,1,2,0.4,0.3,0.3
159,14489,11,2,0.5,0.2,0.3
160,14490,10,2,0.4,0.3,0.3
161,14491,6,2,0.5,0.2,0.3
162,14492,11,2,0.5,0.2,0.3
163,14493,11,2,0.5,0.2,0.3
164,14494,9,2,0.5,0.2,0.3
165,14498,10,2,0.4,0.3,0.3
166,14499,7,2,0.5,0.2,0.3
167,14500,7,2,0.5,0.2,0.3
168,14501,7,2,0.5,0.2,0.3
169,14503,7,2,0.5,0.2,0.3
170,14504,7,2,0.5,0.2,0.3
171,14505,7,2,0.5,0.2,0.3
172,14506,7,2,0.5,0.2,0.3
173,14507,7,2,0.5,0.2,0.3
174,14508,9,2,0.4,0.3,0.3
175,14509,11,2,0.5,0.2,0.3
176,14510,9,2,0.4,0.3,0.3
177,14511,9,2,0.4,0.3,0.3
178,14512,6,2,0.5,0.2,0.3
179,14513,9,2,0.4,0.3,0.3
180,14514,9,2,0.4,0.3,0.3
181,14516,6,2,0.5,0.2,0.3
182,14517,9,2,0.4,0.3,0.3
183,14518,6,2,0.5,0.2,0.3
184,14519,6,2,0.4,0.3,0.3
185,14522,9,2,0.5,0.2,0.3
186,14523,7,2,0.5,0.2,0.3
187,14525,11,2,0.5,0.2,0.3
188,14526,10,2,0.4,0.3,0.3
189,14528,10,2,0.4,0.3,0.3
190,14529,10,2,0.4,0.3,0.3
191,14530,8,2,0.4,0.3,0.3
192,14531,9,2,0.5,0.2,0.3
193,14533,10,2,0.4,0.3,0.3
194,14535,9,2,0.5,0.2,0.3
195,14536,9,2,0.5,0.2,0.3
196,14537,10,2,0.4,0.3,0.3
197,14538,10,2,0.5,0.2,0.3
198,14539,2,2,0.5,0.2,0.3
199,14540,5,2,0.5,0.2,0.3
200,14541,4,2,0.5,0.2,0.3
201,14542,5,2,0.5,0.2,0.3
202,14543,5,2,0.5,0.2,0.3
203,14544,2,2,0.5,0.2,0.3
204,14545,10,2,0.5,0.2,0.3
205,14546,10,2,0.5,0.2,0.3
206,14552,4,2,0.5,0.2,0.3
207,14555,11,2,0.4,0.3,0.3
208,14556,11,2,0.4,0.3,0.3
209,14560,8,2,0.4,0.3,0.3
210,14563,3,2,0.5,0.2,0.3
211,14564,6,2,0.4,0.3,0.3
212,14565,3,2,0.5,0.2,0.3
213,14566,4,2,0.4,0.3,0.3
214,14567,6,2,0.4,0.3,0.3
215,14569,12,2,0.5,0.2,0.3
216,14570,12,2,0.4,0.3,0.3
217,14571,12,2,0.4,0.3,0.3
218,14572,1,2,0.4,0.3,0.3
219,14573,4,2,0.4,0.3,0.3
220,14574,4,2,0.4,0.3,0.3
221,14575,4,2,0.4,0.3,0.3
222,14576,4,2,0.5,0.2,0.3
223,14577,4,2,0.5,0.2,0.3
224,14578,4,2,0.5,0.2,0.3
225,14579,7,2,0.5,0.2,0.3
226,14580,6,2,0.4,0.3,0.3
227,14581,1,2,0.4,0.3,0.3
228,14582,10,2,0.5,0.2,0.3
229,14583,8,2,0.5,0.2,0.3
230,14584,6,2,0.4,0.3,0.3
231,14585,10,2,0.5,0.2,0.3
232,14586,2,2,0.5,0.2,0.3
233,14587,3,2,0.5,0.2,0.3
234,14588,3,2,0.5,0.2,0.3
235,14592,2,2,0.5,0.2,0.3
236,14593,2,2,0.5,0.2,0.3
237,14594,3,2,0.5,0.2,0.3
238,14595,2,2,0.5,0.2,0.3
239,14597,3,2,0.5,0.2,0.3
240,14598,10,2,0.5,0.2,0.3
241,14599,6,2,0.4,0.3,0.3
242,14600,6,2,0.4,0.3,0.3
243,14601,10,2,0.5,0.2,0.3
244,14603,6,2,0.4,0.3,0.3
245,14605,7,2,0.5,0.2,0.3
246,14606,7,2,0.5,0.2,0.3
247,14609,5,2,0.5,0.2,0.3
248,14621,8,2,0.5,0.2,0.3
249,14622,11,2,0.4,0.3,0.3
250,14623,8,2,0.5,0.2,0.3
251,14624,3,2,0.5,0.2,0.3
252,14627,2,2,0.5,0.2,0.3
253,14630,8,2,0.5,0.2,0.3
254,14631,7,2,0.5,0.2,0.3
255,14632,7,2,0.5,0.2,0.3
256,14633,1,2,0.5,0.2,0.3
257,14634,11,2,0.4,0.3,0.3
258,14635,7,2,0.5,0.2,0.3
259,14639,6,2,0.4,0.3,0.3
260,14642,10,2,0.5,0.2,0.3
261,14643,7,2,0.4,0.3,0.3
262,14646,4,2,0.5,0.2,0.3
263,14647,4,2,0.5,0.2,0.3
264,14654,3,2,0.5,0.2,0.3
265,14656,4,2,0.5,0.2,0.3
266,14657,4,2,0.4,0.3,0.3
267,14658,4,2,0.4,0.3,0.3
268,14659,7,2,0.4,0.3,0.3
269,14660,1,2,0.5,0.2,0.3
270,14685,10,2,0.5,0.2,0.3
271,14688,4,2,0.4,0.3,0.3
