,year,ID,r_c,r_r,r_poi,FAR
0,1,14102.0,0.6,0.2,0.2,2.2
1,1,14490.0,0.6,0.1,0.3,1.8
2,1,14701.0,0.3,0.3,0.4,1.9
3,1,11966.0,0.1,0.7,0.2,2.0
4,1,14057.0,0.2,0.7,0.1,2.1
5,1,14755.0,0.4,0.2,0.4,2.0
6,2,14121.0,0.3,0.3,0.4,1.8
7,2,14624.0,0.2,0.7,0.1,2.2
8,2,14700.0,0.3,0.5,0.2,2.1
9,2,14514.0,0.2,0.4,0.4,1.8
10,2,14484.0,0.4,0.3,0.3,1.8
11,2,48.0,0.2,0.7,0.1,1.8
12,3,12678.0,0.2,0.7,0.1,2.1
13,3,14659.0,0.7,0.2,0.1,2.1
14,3,14483.0,0.1,0.6,0.3,2.2
15,3,14851.0,0.2,0.6,0.2,1.8
16,3,14100.0,0.2,0.7,0.1,2.1
17,3,14631.0,0.2,0.4,0.4,2.2
18,4,14837.0,0.1,0.7,0.2,2.2
19,4,14756.0,0.5,0.2,0.3,1.8
20,4,14652.0,0.4,0.2,0.4,2.0
21,4,14628.0,0.4,0.2,0.4,2.2
22,4,14726.0,0.1,0.7,0.2,2.1
23,4,14623.0,0.6,0.2,0.2,2.1
24,5,14503.0,0.3,0.3,0.4,1.9
25,5,14532.0,0.2,0.7,0.1,2.1
26,5,14721.0,0.6,0.3,0.1,2.0
27,5,14521.0,0.4,0.2,0.4,2.0
28,5,14128.0,0.1,0.7,0.2,2.2
29,5,14702.0,0.6,0.3,0.1,1.9
30,6,6377.0,0.6,0.1,0.3,1.8
31,6,14079.0,0.3,0.5,0.2,1.9
32,6,14513.0,0.1,0.6,0.3,2.0
33,6,14656.0,0.1,0.7,0.2,2.1
34,6,14682.0,0.2,0.7,0.1,2.1
35,6,14729.0,0.4,0.3,0.3,1.9
36,7,15543.0,0.6,0.1,0.3,2.1
37,7,14709.0,0.3,0.5,0.2,2.1
38,7,14088.0,0.6,0.3,0.1,2.1
39,7,14050.0,0.4,0.3,0.3,1.8
40,7,14601.0,0.4,0.2,0.4,2.0
41,7,14092.0,0.7,0.2,0.1,2.2
42,8,14497.0,0.7,0.2,0.1,2.2
43,8,14515.0,0.1,0.6,0.3,2.2
44,8,14519.0,0.4,0.2,0.4,1.8
45,8,14766.0,0.2,0.7,0.1,2.1
46,8,14539.0,0.2,0.4,0.4,1.9
47,8,11969.0,0.2,0.7,0.1,1.9
48,9,14499.0,0.4,0.2,0.4,2.2
49,9,14125.0,0.6,0.2,0.2,1.9
50,9,14482.0,0.4,0.2,0.4,2.1
51,9,14501.0,0.6,0.2,0.2,2.2
52,9,12715.0,0.3,0.5,0.2,2.1
53,9,14681.0,0.4,0.3,0.3,2.0
54,10,14117.0,0.6,0.2,0.2,2.2
55,10,14131.0,0.7,0.2,0.1,1.8
56,10,14685.0,0.4,0.2,0.4,1.9
57,10,14713.0,0.1,0.6,0.3,1.9
58,10,14695.0,0.5,0.2,0.3,1.9
59,10,14475.0,0.4,0.3,0.3,1.8
60,11,15560.0,0.4,0.2,0.4,2.0
61,11,14634.0,0.2,0.7,0.1,2.1
62,11,14605.0,0.2,0.4,0.4,2.1
63,11,14504.0,0.2,0.7,0.1,2.1
64,11,14101.0,0.2,0.7,0.1,2.1
65,11,14660.0,0.6,0.2,0.2,2.2
66,12,14835.0,0.1,0.6,0.3,1.8
67,12,14703.0,0.1,0.7,0.2,2.0
68,12,14654.0,0.6,0.3,0.1,2.0
69,12,14511.0,0.2,0.7,0.1,2.2
70,12,14603.0,0.5,0.2,0.3,2.0
71,12,14099.0,0.6,0.3,0.1,2.2
