,year,ID,r_c,r_r,r_poi,FAR
0,1,14695.0,0.3,0.5,0.2,2.1
1,1,14709.0,0.3,0.5,0.2,2.2
2,1,14519.0,0.2,0.6,0.2,1.8
3,1,14701.0,0.7,0.2,0.1,2.0
4,1,14490.0,0.4,0.2,0.4,1.8
5,1,14703.0,0.4,0.3,0.3,2.1
6,2,14100.0,0.3,0.5,0.2,2.2
7,2,14653.0,0.6,0.2,0.2,2.2
8,2,6377.0,0.6,0.2,0.2,2.0
9,2,14634.0,0.6,0.3,0.1,2.2
10,2,14601.0,0.2,0.4,0.4,2.0
11,2,14512.0,0.6,0.3,0.1,1.8
12,3,14541.0,0.5,0.2,0.3,2.2
13,3,15543.0,0.2,0.4,0.4,2.1
14,3,15542.0,0.5,0.2,0.3,2.1
15,3,14497.0,0.2,0.4,0.4,2.1
16,3,14660.0,0.6,0.3,0.1,1.9
17,3,14647.0,0.5,0.2,0.3,2.1
18,4,14708.0,0.4,0.2,0.4,1.9
19,4,14075.0,0.3,0.3,0.4,2.2
20,4,14079.0,0.6,0.3,0.1,2.1
21,4,14659.0,0.7,0.2,0.1,1.8
22,4,14628.0,0.6,0.3,0.1,2.1
23,4,14682.0,0.6,0.2,0.2,1.8
24,5,14513.0,0.6,0.2,0.2,2.1
25,5,14656.0,0.1,0.7,0.2,2.1
26,5,14532.0,0.7,0.2,0.1,1.9
27,5,14735.0,0.2,0.4,0.4,2.0
28,5,14761.0,0.6,0.2,0.2,2.2
29,5,14700.0,0.4,0.2,0.4,1.9
30,6,14092.0,0.6,0.3,0.1,2.1
31,6,14102.0,0.6,0.3,0.1,2.2
32,6,14754.0,0.4,0.2,0.4,2.2
33,6,14766.0,0.3,0.5,0.2,2.1
34,6,14472.0,0.7,0.2,0.1,2.2
35,6,14685.0,0.2,0.7,0.1,2.0
36,7,14605.0,0.6,0.1,0.3,1.8
37,7,14681.0,0.5,0.2,0.3,2.2
38,7,14691.0,0.2,0.7,0.1,2.2
39,7,14759.0,0.6,0.2,0.2,1.8
40,7,14725.0,0.2,0.4,0.4,2.1
41,7,14099.0,0.6,0.2,0.2,2.0
42,8,14057.0,0.7,0.2,0.1,1.8
43,8,14076.0,0.4,0.2,0.4,2.0
44,8,14499.0,0.4,0.2,0.4,2.2
45,8,14581.0,0.7,0.2,0.1,1.8
46,8,14649.0,0.2,0.4,0.4,1.9
47,8,14336.0,0.7,0.2,0.1,2.0
48,9,15544.0,0.2,0.6,0.2,2.1
49,9,14638.0,0.7,0.2,0.1,2.2
50,9,14636.0,0.4,0.3,0.3,2.1
51,9,15545.0,0.3,0.5,0.2,1.9
52,9,14509.0,0.6,0.3,0.1,2.2
53,9,14757.0,0.1,0.6,0.3,2.1
54,10,14756.0,0.7,0.2,0.1,1.9
55,10,14762.0,0.2,0.6,0.2,1.9
56,10,14631.0,0.6,0.2,0.2,2.0
57,10,14633.0,0.5,0.2,0.3,1.8
58,10,14131.0,0.7,0.2,0.1,2.0
59,10,14630.0,0.4,0.3,0.3,2.1
60,11,14482.0,0.6,0.2,0.2,2.2
61,11,14471.0,0.7,0.2,0.1,2.1
62,11,14501.0,0.6,0.1,0.3,2.2
63,11,14654.0,0.4,0.2,0.4,2.0
64,11,14624.0,0.2,0.7,0.1,1.9
65,11,14563.0,0.2,0.6,0.2,1.8
66,12,14684.0,0.1,0.7,0.2,1.9
67,12,14732.0,0.4,0.2,0.4,1.8
68,12,14838.0,0.1,0.7,0.2,2.0
69,12,14675.0,0.2,0.4,0.4,2.1
70,12,12715.0,0.6,0.1,0.3,2.1
71,12,14088.0,0.7,0.2,0.1,2.1
