,year,ID,r_c,r_r,r_poi,FAR
0,1,14703.0,0.6,0.2,0.2,1.8
1,1,14057.0,0.5,0.2,0.3,2.0
2,1,14543.0,0.5,0.2,0.3,2.0
3,1,14100.0,0.4,0.2,0.4,2.0
4,1,14700.0,0.2,0.6,0.2,2.2
5,1,15544.0,0.5,0.2,0.3,2.1
6,2,14540.0,0.4,0.2,0.4,1.9
7,2,14611.0,0.2,0.4,0.4,1.8
8,2,14563.0,0.1,0.7,0.2,1.8
9,2,14802.0,0.4,0.2,0.4,2.2
10,2,14490.0,0.7,0.2,0.1,1.8
11,2,14659.0,0.6,0.1,0.3,2.1
12,3,14757.0,0.6,0.1,0.3,2.2
13,3,14658.0,0.6,0.3,0.1,1.9
14,3,15543.0,0.6,0.2,0.2,1.9
15,3,14633.0,0.2,0.6,0.2,2.0
16,3,14601.0,0.3,0.3,0.4,1.9
17,3,14593.0,0.4,0.2,0.4,1.9
18,4,14602.0,0.4,0.3,0.3,2.2
19,4,14099.0,0.6,0.3,0.1,1.9
20,4,14766.0,0.6,0.1,0.3,2.0
21,4,14054.0,0.3,0.5,0.2,2.2
22,4,14724.0,0.4,0.2,0.4,1.9
23,4,14727.0,0.2,0.4,0.4,1.9
24,5,14760.0,0.7,0.2,0.1,1.8
25,5,14075.0,0.6,0.3,0.1,1.8
26,5,14685.0,0.5,0.2,0.3,2.1
27,5,14539.0,0.7,0.2,0.1,2.1
28,5,14069.0,0.4,0.2,0.4,2.1
29,5,14660.0,0.2,0.4,0.4,2.2
30,6,14102.0,0.6,0.1,0.3,2.2
31,6,14472.0,0.4,0.3,0.3,1.9
32,6,14656.0,0.1,0.7,0.2,1.9
33,6,14609.0,0.5,0.2,0.3,1.9
34,6,14709.0,0.7,0.2,0.1,2.2
35,6,14131.0,0.7,0.2,0.1,2.0
36,7,14836.0,0.4,0.3,0.3,2.0
37,7,14722.0,0.1,0.7,0.2,1.9
38,7,14128.0,0.6,0.3,0.1,2.2
39,7,14628.0,0.6,0.3,0.1,1.9
40,7,14542.0,0.4,0.2,0.4,2.0
41,7,14726.0,0.2,0.7,0.1,2.1
42,8,14708.0,0.4,0.3,0.3,2.2
43,8,14510.0,0.4,0.2,0.4,2.2
44,8,14524.0,0.4,0.2,0.4,2.2
45,8,14471.0,0.4,0.3,0.3,2.0
46,8,6377.0,0.7,0.2,0.1,1.8
47,8,14092.0,0.6,0.3,0.1,1.8
48,9,14482.0,0.6,0.1,0.3,1.9
49,9,14765.0,0.6,0.3,0.1,1.8
50,9,14497.0,0.6,0.2,0.2,2.1
51,9,14532.0,0.5,0.2,0.3,2.2
52,9,14688.0,0.6,0.2,0.2,1.9
53,9,14508.0,0.1,0.7,0.2,2.2
54,10,14653.0,0.2,0.4,0.4,2.1
55,10,11969.0,0.3,0.3,0.4,2.2
56,10,14475.0,0.6,0.2,0.2,1.8
57,10,11966.0,0.3,0.3,0.4,2.1
58,10,15542.0,0.7,0.2,0.1,2.2
59,10,14761.0,0.4,0.3,0.3,2.0
60,11,14088.0,0.6,0.3,0.1,2.2
61,11,14507.0,0.6,0.2,0.2,2.1
62,11,15554.0,0.5,0.2,0.3,2.2
63,11,14513.0,0.4,0.2,0.4,2.1
64,11,14521.0,0.2,0.4,0.4,2.0
65,11,14723.0,0.6,0.2,0.2,1.9
66,12,14837.0,0.3,0.3,0.4,1.9
67,12,14595.0,0.4,0.2,0.4,2.1
68,12,14535.0,0.6,0.1,0.3,2.2
69,12,14581.0,0.6,0.1,0.3,2.0
70,12,14506.0,0.3,0.3,0.4,2.0
71,12,14681.0,0.1,0.6,0.3,1.9
