,year,ID,r_c,r_r,r_poi,FAR
0,1,14057.0,0.3,0.5,0.2,2.2
1,1,14659.0,0.7,0.2,0.1,2.1
2,1,14483.0,0.1,0.6,0.3,2.2
3,1,14504.0,0.6,0.2,0.2,2.0
4,1,14713.0,0.1,0.6,0.3,1.9
5,1,14353.0,0.2,0.6,0.2,2.1
6,2,14653.0,0.3,0.5,0.2,1.9
7,2,14657.0,0.2,0.7,0.1,1.9
8,2,14131.0,0.6,0.3,0.1,2.0
9,2,14690.0,0.6,0.3,0.1,1.8
10,2,15560.0,0.2,0.6,0.2,2.2
11,2,14766.0,0.6,0.1,0.3,2.2
12,3,14482.0,0.6,0.1,0.3,1.8
13,3,14102.0,0.3,0.3,0.4,2.2
14,3,14711.0,0.4,0.3,0.3,2.1
15,3,6377.0,0.4,0.2,0.4,1.8
16,3,14490.0,0.5,0.2,0.3,2.1
17,3,14332.0,0.1,0.7,0.2,1.9
18,4,14757.0,0.6,0.3,0.1,2.2
19,4,14564.0,0.1,0.6,0.3,2.2
20,4,14673.0,0.2,0.4,0.4,2.2
21,4,14735.0,0.6,0.3,0.1,2.1
22,4,14631.0,0.6,0.1,0.3,2.0
23,4,14532.0,0.1,0.7,0.2,2.0
24,5,14521.0,0.4,0.2,0.4,1.9
25,5,14099.0,0.5,0.2,0.3,1.8
26,5,14849.0,0.1,0.6,0.3,2.2
27,5,14804.0,0.2,0.6,0.2,2.2
28,5,14610.0,0.6,0.3,0.1,2.1
29,5,15543.0,0.4,0.2,0.4,2.0
30,6,14595.0,0.6,0.3,0.1,2.2
31,6,14498.0,0.4,0.2,0.4,1.8
32,6,14544.0,0.5,0.2,0.3,2.0
33,6,14484.0,0.2,0.7,0.1,1.8
34,6,14628.0,0.6,0.3,0.1,2.1
35,6,14700.0,0.3,0.3,0.4,1.8
36,7,14635.0,0.1,0.6,0.3,2.0
37,7,14477.0,0.7,0.2,0.1,2.0
38,7,14660.0,0.6,0.2,0.2,2.1
39,7,14717.0,0.4,0.2,0.4,1.8
40,7,14685.0,0.4,0.2,0.4,2.1
41,7,14500.0,0.6,0.3,0.1,2.1
42,8,14719.0,0.4,0.3,0.3,1.8
43,8,48.0,0.1,0.7,0.2,2.1
44,8,14730.0,0.1,0.7,0.2,1.8
45,8,14518.0,0.6,0.1,0.3,2.1
46,8,14638.0,0.6,0.2,0.2,2.0
47,8,14475.0,0.3,0.3,0.4,2.1
48,9,14510.0,0.7,0.2,0.1,2.0
49,9,14681.0,0.4,0.2,0.4,2.2
50,9,11969.0,0.2,0.7,0.1,1.8
51,9,14563.0,0.3,0.3,0.4,1.9
52,9,14520.0,0.4,0.3,0.3,2.2
53,9,14125.0,0.3,0.3,0.4,2.1
54,10,14649.0,0.4,0.2,0.4,1.8
55,10,14075.0,0.1,0.6,0.3,1.8
56,10,14842.0,0.2,0.7,0.1,2.2
57,10,14100.0,0.1,0.7,0.2,1.9
58,10,14728.0,0.6,0.2,0.2,2.2
59,10,14497.0,0.7,0.2,0.1,2.1
60,11,14703.0,0.1,0.7,0.2,1.8
61,11,13346.0,0.6,0.1,0.3,1.8
62,11,14601.0,0.4,0.3,0.3,2.0
63,11,14586.0,0.4,0.2,0.4,1.8
64,11,14758.0,0.4,0.2,0.4,1.9
65,11,14636.0,0.7,0.2,0.1,2.0
66,12,14655.0,0.1,0.6,0.3,2.1
67,12,14732.0,0.6,0.1,0.3,2.1
68,12,14513.0,0.6,0.2,0.2,2.2
69,12,14718.0,0.3,0.5,0.2,2.2
70,12,14701.0,0.3,0.5,0.2,2.0
71,12,14541.0,0.3,0.3,0.4,2.2
