,ID,year,FAR,r_c,r_r,r_poi
0,48,1,2.2,0.7,0.2,0.1
1,14693,1,2.2,0.7,0.2,0.1
2,14766,1,2.2,0.7,0.2,0.1
3,14143,1,2.2,0.7,0.2,0.1
4,14490,1,2.2,0.7,0.2,0.1
5,15543,1,2.2,0.7,0.2,0.1
6,14732,2,2.2,0.7,0.2,0.1
7,14653,2,2.2,0.7,0.2,0.1
8,14660,2,2.2,0.7,0.2,0.1
9,14717,2,2.2,0.7,0.2,0.1
10,14076,2,2.2,0.7,0.2,0.1
11,14757,2,2.2,0.7,0.2,0.1
12,14532,3,2.2,0.7,0.2,0.1
13,14596,3,2.2,0.7,0.2,0.1
14,14126,3,2.2,0.7,0.2,0.1
15,14656,3,2.2,0.7,0.2,0.1
16,14682,3,2.2,0.7,0.2,0.1
17,14651,3,2.2,0.7,0.2,0.1
18,14652,4,2.2,0.7,0.2,0.1
19,14700,4,2.2,0.7,0.2,0.1
20,14855,4,2.2,0.7,0.2,0.1
21,14684,4,2.2,0.7,0.2,0.1
22,14601,4,2.2,0.7,0.2,0.1
23,14661,4,2.2,0.7,0.2,0.1
24,14054,5,2.2,0.7,0.2,0.1
25,14681,5,2.2,0.7,0.2,0.1
26,14144,5,2.2,0.7,0.2,0.1
27,14595,5,2.2,0.7,0.2,0.1
28,14667,5,2.2,0.7,0.2,0.1
29,15545,5,2.2,0.7,0.2,0.1
30,14075,6,2.2,0.7,0.2,0.1
31,14659,6,2.2,0.7,0.2,0.1
32,14685,6,2.2,0.7,0.2,0.1
33,14649,6,2.2,0.7,0.2,0.1
34,14851,6,2.2,0.7,0.2,0.1
35,14628,6,2.2,0.7,0.2,0.1
36,14858,7,2.2,0.7,0.2,0.1
37,5633,7,2.2,0.7,0.2,0.1
38,14756,7,2.2,0.7,0.2,0.1
39,14634,7,2.2,0.7,0.2,0.1
40,14846,7,2.2,0.7,0.2,0.1
41,14808,7,2.2,0.7,0.2,0.1
42,14849,8,2.2,0.7,0.2,0.1
43,14128,8,2.2,0.7,0.2,0.1
44,14709,8,2.2,0.7,0.2,0.1
45,14665,8,2.2,0.7,0.2,0.1
46,14092,8,2.2,0.7,0.2,0.1
47,14497,8,2.2,0.7,0.2,0.1
48,14848,9,2.2,0.7,0.2,0.1
49,14484,9,2.2,0.7,0.2,0.1
50,14630,9,2.2,0.7,0.2,0.1
51,14690,9,2.2,0.7,0.2,0.1
52,14842,9,2.2,0.7,0.2,0.1
53,14482,9,2.2,0.7,0.2,0.1
54,14130,10,2.2,0.7,0.2,0.1
55,14703,10,2.2,0.7,0.2,0.1
56,14513,10,2.2,0.7,0.2,0.1
57,14856,10,2.2,0.7,0.2,0.1
58,14655,10,2.2,0.7,0.2,0.1
59,14610,10,2.2,0.7,0.2,0.1
60,14718,11,2.2,0.7,0.2,0.1
61,14131,11,2.2,0.7,0.2,0.1
62,14735,11,2.2,0.7,0.2,0.1
63,14142,11,2.2,0.7,0.2,0.1
64,14755,11,2.2,0.7,0.2,0.1
65,14129,11,2.2,0.7,0.2,0.1
66,15383,12,2.2,0.7,0.2,0.1
67,14666,12,2.2,0.7,0.2,0.1
68,14636,12,2.2,0.7,0.2,0.1
69,14122,12,2.2,0.7,0.2,0.1
70,14638,12,2.2,0.7,0.2,0.1
71,14477,12,2.2,0.7,0.2,0.1
