,year,ID,r_c,r_r,r_poi,FAR
0,1,14632.0,0.1,0.6,0.3,1.8
1,1,6377.0,0.3,0.5,0.2,2.2
2,1,15554.0,0.2,0.4,0.4,1.8
3,1,14475.0,0.4,0.3,0.3,2.1
4,1,15543.0,0.4,0.2,0.4,1.8
5,1,14685.0,0.4,0.2,0.4,2.1
6,2,14766.0,0.1,0.7,0.2,1.8
7,2,14490.0,0.4,0.2,0.4,2.2
8,2,14709.0,0.2,0.4,0.4,1.8
9,2,14099.0,0.7,0.2,0.1,2.2
10,2,14733.0,0.7,0.2,0.1,1.9
11,2,14075.0,0.4,0.2,0.4,1.8
12,3,14601.0,0.1,0.6,0.3,2.0
13,3,14511.0,0.4,0.3,0.3,2.0
14,3,14510.0,0.7,0.2,0.1,1.9
15,3,14703.0,0.7,0.2,0.1,2.2
16,3,14672.0,0.7,0.2,0.1,2.2
17,3,14738.0,0.1,0.7,0.2,2.2
18,4,14656.0,0.3,0.3,0.4,2.0
19,4,14659.0,0.6,0.3,0.1,1.8
20,4,14524.0,0.7,0.2,0.1,1.8
21,4,14131.0,0.7,0.2,0.1,1.8
22,4,14700.0,0.4,0.2,0.4,1.8
23,4,14609.0,0.6,0.1,0.3,2.0
24,5,14100.0,0.6,0.1,0.3,2.2
25,5,14653.0,0.2,0.4,0.4,1.9
26,5,14057.0,0.6,0.3,0.1,2.0
27,5,15560.0,0.6,0.2,0.2,2.1
28,5,14634.0,0.3,0.3,0.4,1.8
29,5,14702.0,0.7,0.2,0.1,2.0
30,6,14543.0,0.6,0.2,0.2,2.0
31,6,14704.0,0.2,0.6,0.2,2.2
32,6,14628.0,0.6,0.2,0.2,2.0
33,6,14605.0,0.2,0.4,0.4,1.9
34,6,14581.0,0.6,0.2,0.2,2.2
35,6,14107.0,0.4,0.3,0.3,2.0
36,7,13763.0,0.7,0.2,0.1,2.0
37,7,14505.0,0.1,0.7,0.2,2.2
38,7,14660.0,0.6,0.2,0.2,2.0
39,7,14123.0,0.2,0.4,0.4,2.2
40,7,14098.0,0.6,0.2,0.2,2.2
41,7,14513.0,0.6,0.1,0.3,2.2
42,8,14102.0,0.6,0.3,0.1,1.9
43,8,14054.0,0.7,0.2,0.1,1.8
44,8,14092.0,0.7,0.2,0.1,2.1
45,8,14714.0,0.1,0.6,0.3,2.1
46,8,11969.0,0.7,0.2,0.1,2.2
47,8,14608.0,0.3,0.5,0.2,1.9
48,9,14117.0,0.7,0.2,0.1,1.9
49,9,15542.0,0.4,0.2,0.4,2.0
50,9,14540.0,0.5,0.2,0.3,2.0
51,9,14539.0,0.2,0.6,0.2,2.1
52,9,14332.0,0.6,0.3,0.1,1.8
53,9,14635.0,0.6,0.2,0.2,2.2
54,10,14654.0,0.6,0.2,0.2,2.2
55,10,11966.0,0.1,0.7,0.2,1.9
56,10,14512.0,0.6,0.1,0.3,1.8
57,10,14088.0,0.7,0.2,0.1,2.2
58,10,14076.0,0.7,0.2,0.1,2.0
59,10,14484.0,0.6,0.2,0.2,2.1
60,11,14497.0,0.7,0.2,0.1,2.1
61,11,14541.0,0.2,0.7,0.1,2.1
62,11,14538.0,0.6,0.1,0.3,1.9
63,11,14566.0,0.6,0.1,0.3,2.0
64,11,14542.0,0.6,0.2,0.2,1.9
65,11,14563.0,0.2,0.4,0.4,2.1
66,12,14720.0,0.4,0.2,0.4,1.8
67,12,14471.0,0.5,0.2,0.3,2.2
68,12,14638.0,0.7,0.2,0.1,2.2
69,12,14515.0,0.4,0.2,0.4,2.2
70,12,14477.0,0.6,0.1,0.3,2.1
71,12,14624.0,0.3,0.3,0.4,2.1
