,ID,year,FAR,r_c,r_r,r_poi
0,243,4,2.2,0.1,0.6,0.3
1,6377,4,2.2,0.1,0.6,0.3
2,11966,11,1.9,0.3,0.3,0.4
3,11967,2,2.2,0.1,0.7,0.2
4,11969,3,2.1,0.3,0.5,0.2
5,12090,1,2.2,0.1,0.7,0.2
6,12091,3,2.1,0.1,0.7,0.2
7,12715,5,2.2,0.1,0.6,0.3
8,13346,9,2.2,0.2,0.7,0.1
9,13763,9,2.0,0.1,0.7,0.2
10,14095,1,2.0,0.3,0.5,0.2
11,14098,2,2.1,0.1,0.7,0.2
12,14107,7,2.0,0.2,0.7,0.1
13,14115,2,2.2,0.1,0.7,0.2
14,14121,8,2.1,0.2,0.6,0.2
15,14123,10,2.1,0.2,0.6,0.2
16,14124,8,2.2,0.2,0.7,0.1
17,14125,8,2.1,0.2,0.6,0.2
18,14128,10,2.1,0.2,0.6,0.2
19,14472,5,2.2,0.1,0.6,0.3
20,14473,12,2.2,0.1,0.6,0.3
21,14475,1,2.0,0.3,0.5,0.2
22,14476,2,2.0,0.3,0.5,0.2
23,14485,2,2.1,0.1,0.7,0.2
24,14490,2,2.0,0.3,0.5,0.2
25,14509,3,2.0,0.3,0.5,0.2
26,14538,3,2.0,0.3,0.5,0.2
27,14540,8,2.1,0.2,0.6,0.2
28,14541,12,1.9,0.3,0.3,0.4
29,14542,7,2.1,0.2,0.6,0.2
30,14560,7,2.1,0.2,0.7,0.1
31,14566,12,1.9,0.3,0.3,0.4
32,14597,6,2.2,0.1,0.6,0.3
33,14601,4,2.0,0.3,0.5,0.2
34,14602,7,2.0,0.2,0.6,0.2
35,14603,1,2.2,0.2,0.7,0.1
36,14605,8,2.1,0.2,0.7,0.1
37,14606,8,2.0,0.2,0.6,0.2
38,14622,7,2.1,0.2,0.6,0.2
39,14623,6,2.2,0.2,0.6,0.2
40,14625,6,2.1,0.2,0.6,0.2
41,14628,6,2.2,0.2,0.7,0.1
42,14631,5,2.2,0.1,0.7,0.2
43,14632,5,2.2,0.1,0.7,0.2
44,14633,4,2.2,0.2,0.7,0.1
45,14634,5,2.1,0.2,0.6,0.2
46,14636,11,1.9,0.3,0.3,0.4
47,14638,10,1.9,0.3,0.3,0.4
48,14646,7,1.8,0.3,0.3,0.4
49,14647,9,1.8,0.4,0.2,0.4
50,14648,9,1.8,0.4,0.2,0.4
51,14649,9,1.8,0.4,0.2,0.4
52,14650,10,1.8,0.4,0.2,0.4
53,14651,12,2.1,0.4,0.2,0.4
54,14652,12,2.1,0.6,0.2,0.2
55,14653,12,2.1,0.6,0.2,0.2
56,14655,11,2.1,0.6,0.2,0.2
57,14656,11,2.1,0.6,0.2,0.2
58,14657,11,2.1,0.6,0.2,0.2
59,14658,10,2.1,0.6,0.2,0.2
60,14660,4,2.1,0.1,0.7,0.2
61,14685,9,2.1,0.4,0.4,0.2
62,14702,10,2.1,0.4,0.4,0.2
63,14703,3,2.2,0.2,0.7,0.1
64,14704,3,2.0,0.3,0.5,0.2
65,14705,5,2.0,0.3,0.5,0.2
66,14706,4,2.0,0.3,0.5,0.2
67,14709,11,2.1,0.4,0.4,0.2
68,15543,6,2.0,0.3,0.5,0.2
69,15544,6,2.0,0.3,0.5,0.2
70,15554,1,2.1,0.1,0.7,0.2
71,15560,1,2.2,0.2,0.7,0.1
