,Unnamed: 0,ID,year,FAR,r_c,r_r,r_poi
0,0,243,4,2,0.7,0.2,0.1
1,1,6377,11,2,0.6,0.3,0.1
2,2,14060,12,2,0.6,0.3,0.1
3,3,6377,11,2,0.7,0.2,0.1
4,4,11966,1,2,0.7,0.2,0.1
5,5,14563,1,2,0.7,0.2,0.1
6,6,14564,1,2,0.7,0.2,0.1
7,7,11967,8,2,0.6,0.3,0.1
8,8,12678,7,2,0.6,0.3,0.1
9,9,14099,7,2,0.6,0.3,0.1
10,10,14539,7,2,0.7,0.2,0.1
11,11,12678,8,2,0.7,0.2,0.1
12,12,14544,8,2,0.7,0.2,0.1
13,13,12715,8,2,0.7,0.2,0.1
14,14,14050,5,2,0.7,0.2,0.1
15,15,14072,5,2,0.7,0.2,0.1
16,16,14470,5,2,0.7,0.2,0.1
17,17,14054,12,2,0.6,0.3,0.1
18,18,14057,9,2,0.7,0.2,0.1
19,19,14099,9,2,0.7,0.2,0.1
20,20,14069,5,2,0.6,0.3,0.1
21,21,14070,5,2,0.7,0.2,0.1
22,22,14071,9,2,0.7,0.2,0.1
23,23,14075,11,2,0.7,0.2,0.1
24,24,14471,11,2,0.7,0.2,0.1
25,25,14474,11,2,0.7,0.2,0.1
26,26,14099,9,2,0.7,0.2,0.1
27,27,14100,2,2,0.7,0.2,0.1
28,28,14101,2,2,0.7,0.2,0.1
29,29,14102,3,2,0.6,0.3,0.1
30,30,14336,3,2,0.6,0.3,0.1
31,31,14540,3,2,0.7,0.2,0.1
32,32,14113,6,2,0.7,0.2,0.1
33,33,14586,6,2,0.7,0.2,0.1
34,34,14587,6,2,0.6,0.3,0.1
35,35,14592,6,2,0.6,0.3,0.1
36,36,14593,6,2,0.7,0.2,0.1
37,37,14594,6,2,0.6,0.3,0.1
38,38,14595,7,2,0.6,0.3,0.1
39,39,14113,3,2,0.7,0.2,0.1
40,40,14586,3,2,0.7,0.2,0.1
41,41,14587,3,2,0.7,0.2,0.1
42,42,14588,4,2,0.6,0.3,0.1
43,43,14589,4,2,0.6,0.3,0.1
44,44,14590,4,2,0.6,0.3,0.1
45,45,14594,4,2,0.7,0.2,0.1
46,46,14115,2,2,0.7,0.2,0.1
47,47,14597,2,2,0.7,0.2,0.1
48,48,14117,4,2,0.7,0.2,0.1
49,49,14131,1,2,0.7,0.2,0.1
50,50,14624,1,2,0.7,0.2,0.1
51,51,14726,1,2,0.6,0.3,0.1
52,52,14727,2,2,0.6,0.3,0.1
53,53,14472,12,2,0.7,0.2,0.1
54,54,14473,12,2,0.7,0.2,0.1
55,55,14835,12,2,0.7,0.2,0.1
56,56,14837,12,2,0.7,0.2,0.1
57,57,14581,8,2,0.6,0.3,0.1
58,58,14633,8,2,0.6,0.3,0.1
59,59,14660,9,2,0.6,0.3,0.1
60,60,14699,10,2,0.6,0.3,0.1
61,61,14700,10,2,0.6,0.3,0.1
62,62,14701,11,2,0.6,0.3,0.1
63,63,14754,7,2,0.7,0.2,0.1
64,64,14835,9,2,0.7,0.2,0.1
65,65,14836,10,2,0.7,0.2,0.1
66,66,14837,10,2,0.6,0.3,0.1
67,67,14838,10,2,0.6,0.3,0.1
68,68,14839,10,2,0.6,0.3,0.1
69,69,15542,5,2,0.7,0.2,0.1
70,70,15542,7,2,0.7,0.2,0.1
71,71,15544,2,2,0.7,0.2,0.1
