,ID,year,FAR,r_c,r_r,r_poi
0,243,4,2,0.4,0.3,0.3
1,6377,11,2,0.5,0.2,0.3
2,14060,12,2,0.5,0.2,0.3
3,6377,11,2,0.4,0.3,0.3
4,11966,1,2,0.4,0.3,0.3
5,14563,1,2,0.4,0.3,0.3
6,14564,1,2,0.4,0.3,0.3
7,11967,8,2,0.5,0.2,0.3
8,12678,7,2,0.5,0.2,0.3
9,14099,7,2,0.5,0.2,0.3
10,14539,7,2,0.4,0.3,0.3
11,12678,8,2,0.4,0.3,0.3
12,14544,8,2,0.4,0.3,0.3
13,12715,8,2,0.4,0.3,0.3
14,14050,5,2,0.4,0.3,0.3
15,14072,5,2,0.4,0.3,0.3
16,14470,5,2,0.4,0.3,0.3
17,14054,12,2,0.5,0.2,0.3
18,14057,9,2,0.4,0.3,0.3
19,14099,9,2,0.4,0.3,0.3
20,14069,5,2,0.5,0.2,0.3
21,14070,5,2,0.4,0.3,0.3
22,14071,9,2,0.4,0.3,0.3
23,14075,11,2,0.4,0.3,0.3
24,14471,11,2,0.4,0.3,0.3
25,14474,11,2,0.4,0.3,0.3
26,14099,9,2,0.4,0.3,0.3
27,14100,2,2,0.4,0.3,0.3
28,14101,2,2,0.4,0.3,0.3
29,14102,3,2,0.5,0.2,0.3
30,14336,3,2,0.5,0.2,0.3
31,14540,3,2,0.4,0.3,0.3
32,14113,6,2,0.4,0.3,0.3
33,14586,6,2,0.4,0.3,0.3
34,14587,6,2,0.5,0.2,0.3
35,14592,6,2,0.5,0.2,0.3
36,14593,6,2,0.4,0.3,0.3
37,14594,6,2,0.5,0.2,0.3
38,14595,7,2,0.5,0.2,0.3
39,14113,3,2,0.4,0.3,0.3
40,14586,3,2,0.4,0.3,0.3
41,14587,3,2,0.4,0.3,0.3
42,14588,4,2,0.5,0.2,0.3
43,14589,4,2,0.5,0.2,0.3
44,14590,4,2,0.5,0.2,0.3
45,14594,4,2,0.4,0.3,0.3
46,14115,2,2,0.4,0.3,0.3
47,14597,2,2,0.4,0.3,0.3
48,14117,4,2,0.4,0.3,0.3
49,14131,1,2,0.4,0.3,0.3
50,14624,1,2,0.4,0.3,0.3
51,14726,1,2,0.5,0.2,0.3
52,14727,2,2,0.5,0.2,0.3
53,14472,12,2,0.4,0.3,0.3
54,14473,12,2,0.4,0.3,0.3
55,14835,12,2,0.4,0.3,0.3
56,14837,12,2,0.4,0.3,0.3
57,14581,8,2,0.5,0.2,0.3
58,14633,8,2,0.5,0.2,0.3
59,14660,9,2,0.5,0.2,0.3
60,14699,10,2,0.5,0.2,0.3
61,14700,10,2,0.5,0.2,0.3
62,14701,11,2,0.5,0.2,0.3
63,14754,7,2,0.4,0.3,0.3
64,14835,9,2,0.4,0.3,0.3
65,14836,10,2,0.4,0.3,0.3
66,14837,10,2,0.5,0.2,0.3
67,14838,10,2,0.5,0.2,0.3
68,14839,10,2,0.5,0.2,0.3
69,15542,5,2,0.4,0.3,0.3
70,15542,7,2,0.4,0.3,0.3
71,15544,2,2,0.4,0.3,0.3
