,ID,year,FAR,r_c,r_r,r_poi
0,14470,4,2,0.3,0.5,0.2
1,14475,5,2,0.3,0.5,0.2
2,14474,3,2,0.3,0.5,0.2
3,14473,9,2,0.3,0.5,0.2
4,14472,8,2,0.3,0.5,0.2
5,14478,12,2,0.3,0.5,0.2
6,14477,11,2,0.3,0.5,0.2
7,14476,6,2,0.3,0.5,0.2
8,14483,12,2,0.3,0.5,0.2
9,14482,11,2,0.3,0.5,0.2
10,14535,9,2,0.3,0.5,0.2
11,14685,7,2,0.3,0.5,0.2
12,14526,8,2,0.3,0.5,0.2
13,14539,2,2,0.3,0.5,0.2
14,14538,4,2,0.3,0.5,0.2
15,14544,6,2,0.3,0.5,0.2
16,14543,11,2,0.3,0.5,0.2
17,14509,6,2,0.3,0.5,0.2
18,14706,5,2,0.3,0.5,0.2
19,14705,4,2,0.3,0.5,0.2
20,14704,5,2,0.3,0.5,0.2
21,14709,7,2,0.3,0.5,0.2
22,14060,1,2,0.3,0.5,0.2
23,14057,3,2,0.3,0.5,0.2
24,14054,4,2,0.3,0.5,0.2
25,14050,5,2,0.3,0.5,0.2
26,14072,6,2,0.3,0.5,0.2
27,14071,3,2,0.3,0.5,0.2
28,14070,6,2,0.3,0.5,0.2
29,14069,1,2,0.3,0.5,0.2
30,14075,3,2,0.3,0.5,0.2
31,14095,2,2,0.3,0.5,0.2
32,14092,10,2,0.3,0.5,0.2
33,14088,11,2,0.3,0.5,0.2
34,14837,8,2,0.3,0.5,0.2
35,14836,9,2,0.3,0.5,0.2
36,14835,10,2,0.3,0.5,0.2
37,243,3,2,0.3,0.5,0.2
38,14588,12,2,0.3,0.5,0.2
39,14587,10,2,0.3,0.5,0.2
40,14839,10,2,0.3,0.5,0.2
41,6377,1,2,0.3,0.5,0.2
42,14586,9,2,0.3,0.5,0.2
43,14838,8,2,0.3,0.5,0.2
44,14581,2,2,0.3,0.5,0.2
45,14593,8,2,0.3,0.5,0.2
46,12091,11,2,0.3,0.5,0.2
47,14592,8,2,0.3,0.5,0.2
48,12090,7,2,0.3,0.5,0.2
49,14597,5,2,0.3,0.5,0.2
50,14595,9,2,0.3,0.5,0.2
51,12715,2,2,0.3,0.5,0.2
52,14594,10,2,0.3,0.5,0.2
53,12678,5,2,0.3,0.5,0.2
54,14603,12,2,0.3,0.5,0.2
55,14601,4,2,0.3,0.5,0.2
56,15544,11,2,0.3,0.5,0.2
57,15543,3,2,0.3,0.5,0.2
58,15542,1,2,0.3,0.5,0.2
59,15558,1,2,0.3,0.5,0.2
60,15554,7,2,0.3,0.5,0.2
61,14099,2,2,0.3,0.5,0.2
62,14098,12,2,0.3,0.5,0.2
63,14115,6,2,0.3,0.5,0.2
64,15560,7,2,0.3,0.5,0.2
65,14113,9,2,0.3,0.5,0.2
66,14117,1,2,0.3,0.5,0.2
67,14491,12,2,0.3,0.5,0.2
68,14490,4,2,0.3,0.5,0.2
69,14485,10,2,0.3,0.5,0.2
70,14471,2,2,0.3,0.5,0.2
71,14702,7,2,0.3,0.5,0.2
