,year,ID,r_c,r_r,r_poi,FAR
0,1,14545.0,0.6,0.1,0.3,2.2
1,1,14623.0,0.4,0.2,0.4,1.8
2,1,14308.0,0.4,0.2,0.4,1.9
3,1,15360.0,0.2,0.6,0.2,2.2
4,1,14446.0,0.3,0.3,0.4,2.2
5,1,14877.0,0.2,0.7,0.1,1.8
6,1,14533.0,0.1,0.6,0.3,2.2
7,1,14702.0,0.3,0.5,0.2,2.2
8,1,14056.0,0.3,0.3,0.4,1.8
9,1,14872.0,0.2,0.6,0.2,2.2
10,1,14033.0,0.3,0.3,0.4,2.0
11,1,14864.0,0.2,0.4,0.4,2.0
12,1,14190.0,0.5,0.2,0.3,2.2
13,1,14591.0,0.2,0.4,0.4,2.2
14,1,14099.0,0.5,0.2,0.3,2.2
15,1,15368.0,0.6,0.1,0.3,2.1
16,1,14752.0,0.4,0.2,0.4,2.2
17,1,14761.0,0.2,0.6,0.2,1.9
18,1,14139.0,0.4,0.2,0.4,1.8
19,1,14703.0,0.6,0.1,0.3,2.0
20,1,14878.0,0.3,0.3,0.4,1.8
21,1,14119.0,0.1,0.7,0.2,2.1
22,1,14494.0,0.3,0.5,0.2,2.2
23,1,14575.0,0.4,0.2,0.4,2.2
24,1,14728.0,0.1,0.7,0.2,1.9
25,1,14731.0,0.4,0.2,0.4,2.2
26,1,14179.0,0.4,0.2,0.4,1.8
27,1,14393.0,0.6,0.1,0.3,2.2
28,1,12715.0,0.4,0.2,0.4,2.0
29,1,14610.0,0.2,0.4,0.4,1.9
30,2,14232.0,0.1,0.6,0.3,1.8
31,2,14449.0,0.4,0.2,0.4,2.2
32,2,14471.0,0.6,0.3,0.1,2.0
33,2,14256.0,0.2,0.6,0.2,2.2
34,2,15542.0,0.2,0.4,0.4,2.1
35,2,15538.0,0.2,0.4,0.4,2.2
36,2,14756.0,0.4,0.2,0.4,2.2
37,2,14113.0,0.3,0.5,0.2,1.9
38,2,14127.0,0.1,0.7,0.2,2.2
39,2,14724.0,0.5,0.2,0.3,2.1
40,2,9335.0,0.4,0.3,0.3,2.1
41,2,14715.0,0.7,0.2,0.1,2.1
42,2,14509.0,0.4,0.3,0.3,2.1
43,2,14755.0,0.3,0.3,0.4,2.2
44,2,14151.0,0.5,0.2,0.3,1.9
45,2,14034.0,0.6,0.3,0.1,2.0
46,2,15278.0,0.4,0.2,0.4,1.9
47,2,14791.0,0.4,0.2,0.4,2.2
48,2,15543.0,0.2,0.6,0.2,1.8
49,2,14366.0,0.4,0.2,0.4,2.2
