,year,ID,r_c,r_r,r_poi,FAR
0,1,14110,0.6,0.1,0.3,2.2
1,1,14049,0.4,0.2,0.4,1.8
2,1,14056,0.7,0.2,0.1,2.2
3,1,243,0.3,0.3,0.4,2.0
4,2,9302,0.6,0.1,0.3,2.2
5,2,14105,0.3,0.5,0.2,2.1
6,2,14082,0.7,0.2,0.1,2.2
7,2,12633,0.3,0.5,0.2,2.1
8,3,14063,0.6,0.1,0.3,2.2
9,3,14069,0.3,0.5,0.2,2.1
10,3,7312,0.7,0.2,0.1,2.2
11,3,11827,0.3,0.3,0.4,2.0
12,4,9296,0.6,0.1,0.3,2.2
13,4,14119,0.3,0.5,0.2,2.1
14,4,3965,0.7,0.2,0.1,2.2
15,4,9318,0.2,0.4,0.4,2.2
16,5,11969,0.6,0.1,0.3,2.2
17,5,9578,0.4,0.2,0.4,1.8
18,5,9310,0.7,0.2,0.1,2.2
19,5,14071,0.4,0.2,0.4,2.1
20,6,9306,0.6,0.1,0.3,2.2
21,6,9299,0.4,0.2,0.4,1.9
22,6,14128,0.7,0.2,0.1,2.2
23,6,14052,0.3,0.3,0.4,2.0
24,7,14112,0.6,0.1,0.3,2.2
25,7,14106,0.7,0.2,0.1,2.2
26,7,14115,0.7,0.2,0.1,2.2
27,7,14055,0.3,0.3,0.4,2.0
28,8,14131,0.6,0.1,0.3,2.2
29,8,14057,0.7,0.2,0.1,1.9
30,8,14043,0.3,0.5,0.2,2.0
31,8,9309,0.3,0.3,0.4,2.0
32,9,2238,0.6,0.1,0.3,2.2
33,9,14123,0.4,0.2,0.4,1.8
34,9,892,0.7,0.2,0.1,2.2
35,9,14117,0.3,0.3,0.4,2.0
36,10,9319,0.6,0.1,0.3,2.2
37,10,14066,0.7,0.2,0.1,2.2
38,10,14107,0.7,0.2,0.1,2.2
39,10,14051,0.4,0.2,0.4,2.1
40,11,14116,0.6,0.1,0.3,2.2
41,11,9322,0.7,0.2,0.1,1.9
42,11,14130,0.7,0.2,0.1,2.2
43,11,14122,0.3,0.3,0.4,2.0
44,12,14129,0.6,0.1,0.3,2.2
45,12,14054,0.3,0.3,0.4,1.8
46,12,9305,0.7,0.2,0.1,2.2
47,12,14053,0.3,0.3,0.4,2.0
48,1,9319,0.7,0.2,0.1,2.0
49,1,9318,0.5,0.2,0.3,2.2
50,1,14129,0.6,0.2,0.2,2.0
51,1,14208,0.1,0.7,0.2,2.1
52,1,9872,0.2,0.4,0.4,2.0
53,1,14035,0.6,0.1,0.3,1.9
54,2,11969,0.7,0.2,0.1,2.0
55,2,14249,0.6,0.1,0.3,2.2
56,2,14124,0.6,0.2,0.2,2.0
57,2,9300,0.1,0.7,0.2,2.1
58,2,14034,0.7,0.2,0.1,2.0
59,2,14069,0.6,0.1,0.3,1.9
60,3,9334,0.7,0.2,0.1,2.0
61,3,14145,0.5,0.2,0.3,2.2
62,3,14218,0.6,0.2,0.2,2.0
63,3,14204,0.7,0.2,0.1,2.1
64,3,14040,0.2,0.4,0.4,2.0
65,3,14115,0.6,0.1,0.3,1.9
66,4,14137,0.7,0.2,0.1,2.0
67,4,14118,0.6,0.1,0.3,2.2
68,4,14098,0.6,0.1,0.3,1.9
69,4,14231,0.1,0.7,0.2,2.1
70,4,14125,0.2,0.4,0.4,2.0
71,4,14100,0.6,0.1,0.3,1.9
72,5,14049,0.7,0.2,0.1,2.0
73,5,14158,0.3,0.5,0.2,1.9
74,5,14086,0.5,0.2,0.3,2.2
75,5,14206,0.1,0.7,0.2,2.1
76,5,14261,0.4,0.2,0.4,2.0
77,5,9312,0.6,0.1,0.3,1.9
78,6,9311,0.7,0.2,0.1,2.0
79,6,14238,0.5,0.2,0.3,2.2
80,6,13346,0.6,0.2,0.2,2.0
81,6,14172,0.7,0.2,0.1,2.1
82,6,14193,0.4,0.2,0.4,2.0
83,6,14093,0.6,0.1,0.3,1.9
84,7,14166,0.3,0.5,0.2,2.2
85,7,13009,0.5,0.2,0.3,2.2
86,7,14083,0.6,0.2,0.2,2.0
87,7,14055,0.5,0.2,0.3,2.0
88,7,14155,0.3,0.5,0.2,1.8
89,7,14178,0.6,0.1,0.3,1.9
90,8,14133,0.7,0.2,0.1,2.0
91,8,14262,0.6,0.1,0.3,2.2
92,8,14085,0.6,0.1,0.3,2.2
93,8,3584,0.7,0.2,0.1,2.1
94,8,14132,0.4,0.2,0.4,2.0
95,8,9317,0.6,0.1,0.3,2.0
96,9,48,0.7,0.2,0.1,2.0
97,9,14066,0.6,0.1,0.3,2.2
98,9,14105,0.6,0.2,0.2,2.0
99,9,14092,0.7,0.2,0.1,2.1
100,9,14061,0.6,0.1,0.3,2.1
101,9,14177,0.6,0.1,0.3,1.9
102,10,13941,0.7,0.2,0.1,2.0
103,10,14175,0.6,0.1,0.3,2.1
104,10,14037,0.6,0.2,0.2,2.0
105,10,14012,0.4,0.2,0.4,1.8
106,10,14268,0.2,0.4,0.4,2.0
107,10,14181,0.6,0.1,0.3,1.9
108,11,9303,0.7,0.2,0.1,2.0
109,11,14068,0.5,0.2,0.3,2.2
110,11,9296,0.5,0.2,0.3,2.1
111,11,14080,0.4,0.2,0.4,2.0
112,11,14077,0.4,0.2,0.4,2.0
113,11,14192,0.6,0.1,0.3,2.0
114,12,14154,0.7,0.2,0.1,2.0
115,12,14051,0.6,0.1,0.3,2.2
116,12,14180,0.6,0.2,0.2,2.0
117,12,14203,0.6,0.1,0.3,2.0
118,12,14127,0.6,0.1,0.3,2.1
119,12,14072,0.6,0.1,0.3,1.9
120,1,7312,0.4,0.2,0.4,1.9
121,1,9311,0.7,0.2,0.1,2.1
122,2,14036,0.5,0.2,0.3,2.0
123,2,9296,0.7,0.2,0.1,2.1
124,3,13346,0.1,0.7,0.2,2.0
125,3,9335,0.4,0.3,0.3,2.0
126,4,9925,0.5,0.2,0.3,2.0
127,4,9498,0.7,0.2,0.1,2.1
128,5,14012,0.6,0.3,0.1,2.1
129,5,9872,0.7,0.2,0.1,1.8
130,6,9318,0.4,0.2,0.4,1.9
131,6,5633,0.7,0.2,0.1,2.1
132,7,9327,0.1,0.7,0.2,2.0
133,7,4628,0.3,0.5,0.2,2.2
134,8,11969,0.6,0.3,0.1,2.1
135,8,12696,0.4,0.3,0.3,2.0
136,9,12800,0.3,0.3,0.4,2.0
137,9,11797,0.2,0.4,0.4,1.8
138,10,892,0.1,0.7,0.2,2.0
139,10,3584,0.6,0.1,0.3,2.1
140,11,9317,0.6,0.3,0.1,2.1
141,11,9313,0.4,0.3,0.3,2.0
142,12,12838,0.1,0.7,0.2,2.0
143,12,12826,0.7,0.2,0.1,2.1
144,1,12917,0.7,0.2,0.1,2.2
145,1,9305,0.4,0.2,0.4,2.0
146,2,9312,0.5,0.2,0.3,1.9
147,2,12826,0.6,0.2,0.2,2.1
148,3,13941,0.7,0.2,0.1,2.2
149,3,9299,0.6,0.1,0.3,2.2
150,4,13009,0.5,0.2,0.3,1.9
151,4,9303,0.7,0.2,0.1,2.0
152,5,892,0.7,0.2,0.1,2.2
153,5,12696,0.6,0.1,0.3,2.2
154,6,9872,0.7,0.2,0.1,2.2
155,6,12633,0.6,0.1,0.3,2.2
156,7,11797,0.7,0.2,0.1,2.1
157,7,9301,0.7,0.2,0.1,1.9
158,8,9925,0.7,0.2,0.1,2.2
159,8,9578,0.6,0.3,0.1,2.1
160,9,406,0.7,0.2,0.1,2.2
161,9,11969,0.6,0.1,0.3,2.2
162,10,9507,0.4,0.3,0.3,2.0
163,10,13763,0.6,0.1,0.3,1.9
164,11,243,0.5,0.2,0.3,1.9
165,11,9498,0.6,0.1,0.3,2.2
166,12,9302,0.7,0.2,0.1,2.2
167,12,13346,0.4,0.2,0.4,2.2
168,1,14183,0.2,0.7,0.1,2.2
169,1,14253,0.7,0.2,0.1,2.2
170,1,14201,0.6,0.3,0.1,2.0
171,1,14148,0.6,0.1,0.3,2.2
172,1,14214,0.3,0.3,0.4,1.9
173,1,14237,0.6,0.2,0.2,2.2
174,2,14096,0.4,0.3,0.3,1.9
175,2,14145,0.7,0.2,0.1,2.2
176,2,14213,0.6,0.3,0.1,2.0
