,year,ID,r_c,r_r,r_poi,FAR
0,1,14850,0.5,0.2,0.3,2.1
1,1,15345,0.6,0.3,0.1,1.8
2,1,14683,0.3,0.3,0.4,1.9
3,1,14519,0.6,0.3,0.1,2.1
4,1,14143,0.6,0.2,0.2,2.2
5,1,14851,0.6,0.3,0.1,2.0
6,2,14501,0.5,0.2,0.3,1.8
7,2,14757,0.6,0.3,0.1,1.8
8,2,14735,0.7,0.2,0.1,1.8
9,2,14586,0.6,0.1,0.3,1.9
10,2,14753,0.3,0.3,0.4,2.1
11,2,14069,0.6,0.3,0.1,1.9
12,3,14609,0.6,0.3,0.1,2.0
13,3,14709,0.2,0.7,0.1,1.8
14,3,14099,0.6,0.2,0.2,2.1
15,3,14510,0.6,0.1,0.3,2.2
16,3,14592,0.6,0.1,0.3,2.2
17,3,14513,0.4,0.3,0.3,1.8
18,4,14610,0.6,0.2,0.2,2.2
19,4,15542,0.2,0.6,0.2,2.1
20,4,243,0.6,0.3,0.1,2.1
21,4,14649,0.6,0.2,0.2,2.1
22,4,14498,0.6,0.1,0.3,2.2
23,4,14088,0.6,0.2,0.2,1.9
24,5,14490,0.2,0.6,0.2,2.1
25,5,14721,0.3,0.3,0.4,1.8
26,5,14057,0.2,0.7,0.1,2.0
27,5,14543,0.3,0.5,0.2,1.9
28,5,14092,0.2,0.4,0.4,2.2
29,5,14653,0.7,0.2,0.1,2.0
30,6,14656,0.6,0.1,0.3,2.1
31,6,14859,0.7,0.2,0.1,2.0
32,6,14685,0.3,0.3,0.4,1.9
33,6,14522,0.6,0.3,0.1,2.1
34,6,14700,0.6,0.1,0.3,2.2
35,6,14628,0.2,0.4,0.4,1.8
36,7,14650,0.5,0.2,0.3,2.1
37,7,14518,0.4,0.3,0.3,2.0
38,7,14560,0.3,0.3,0.4,1.9
39,7,14538,0.6,0.1,0.3,1.9
40,7,48,0.6,0.3,0.1,2.2
41,7,14680,0.6,0.3,0.1,1.9
42,8,14332,0.3,0.3,0.4,1.8
43,8,14587,0.3,0.3,0.4,1.8
44,8,14511,0.3,0.5,0.2,2.0
45,8,14516,0.1,0.6,0.3,1.9
46,8,14714,0.6,0.1,0.3,2.1
47,8,14711,0.5,0.2,0.3,1.9
48,9,14652,0.5,0.2,0.3,1.8
49,9,14102,0.2,0.7,0.1,2.2
50,9,12715,0.3,0.3,0.4,1.9
51,9,14682,0.3,0.3,0.4,2.0
52,9,14471,0.1,0.7,0.2,2.1
53,9,14662,0.6,0.3,0.1,1.9
54,10,14635,0.6,0.1,0.3,1.8
55,10,14754,0.6,0.2,0.2,2.2
56,10,15543,0.4,0.3,0.3,2.1
57,10,14660,0.6,0.3,0.1,2.1
58,10,14070,0.7,0.2,0.1,2.1
59,10,14601,0.6,0.2,0.2,2.2
60,11,14524,0.2,0.6,0.2,2.1
61,11,14336,0.2,0.6,0.2,1.8
62,11,12678,0.3,0.3,0.4,1.9
63,11,14756,0.6,0.3,0.1,2.1
64,11,14634,0.1,0.6,0.3,2.1
65,11,14698,0.1,0.6,0.3,1.9
66,12,14658,0.2,0.6,0.2,2.2
67,12,14472,0.7,0.2,0.1,1.9
68,12,14727,0.3,0.3,0.4,1.9
69,12,14473,0.6,0.3,0.1,2.1
70,12,14720,0.6,0.2,0.2,2.2
71,12,15544,0.3,0.3,0.4,2.2
72,1,14545,0.3,0.3,0.4,2.2
73,1,14307,0.4,0.2,0.4,2.1
74,1,14309,0.2,0.6,0.2,2.0
75,1,14308,0.6,0.2,0.2,2.1
76,2,14359,0.3,0.3,0.4,2.2
77,2,14417,0.2,0.6,0.2,2.2
78,2,14431,0.5,0.2,0.3,2.1
79,2,14037,0.6,0.2,0.2,2.1
80,3,14393,0.3,0.3,0.4,2.2
81,3,14310,0.3,0.5,0.2,2.0
82,3,14327,0.5,0.2,0.3,1.9
83,3,14371,0.6,0.2,0.2,2.1
84,4,14040,0.3,0.3,0.4,2.2
85,4,15537,0.4,0.2,0.4,2.0
86,4,14379,0.4,0.3,0.3,2.0
87,4,14104,0.6,0.2,0.2,2.1
88,5,14358,0.3,0.3,0.4,2.2
89,5,14552,0.2,0.4,0.4,2.2
90,5,14364,0.4,0.3,0.3,1.8
91,5,15536,0.6,0.2,0.2,2.1
92,6,14413,0.3,0.3,0.4,2.2
93,6,14419,0.2,0.6,0.2,2.2
94,6,14347,0.2,0.4,0.4,1.9
95,6,15184,0.7,0.2,0.1,2.2
96,7,14048,0.3,0.3,0.4,2.2
97,7,14343,0.2,0.6,0.2,2.2
98,7,14369,0.2,0.6,0.2,2.0
99,7,14549,0.1,0.7,0.2,1.8
100,8,14380,0.3,0.3,0.4,2.2
101,8,14046,0.2,0.4,0.4,2.2
102,8,14555,0.2,0.6,0.2,2.0
103,8,14441,0.6,0.2,0.2,2.1
104,9,14323,0.3,0.3,0.4,2.2
105,9,14322,0.5,0.2,0.3,1.9
106,9,14416,0.4,0.3,0.3,1.8
107,9,14042,0.6,0.2,0.2,2.1
108,10,14304,0.3,0.3,0.4,2.2
109,10,14557,0.2,0.4,0.4,2.2
110,10,14402,0.4,0.3,0.3,1.8
111,10,14546,0.4,0.2,0.4,2.1
112,11,14301,0.3,0.3,0.4,2.2
113,11,14429,0.4,0.2,0.4,1.8
114,11,14430,0.5,0.2,0.3,1.8
115,11,14300,0.6,0.2,0.2,1.9
116,12,14036,0.3,0.3,0.4,2.2
117,12,14405,0.2,0.6,0.2,2.2
118,12,14556,0.5,0.2,0.3,2.1
119,12,14296,0.4,0.2,0.4,2.1
120,1,14141,0.2,0.4,0.4,2.0
121,1,14562,0.2,0.7,0.1,2.1
122,2,14834,0.3,0.5,0.2,1.8
123,2,14561,0.7,0.2,0.1,2.0
124,3,14799,0.1,0.7,0.2,2.1
125,3,14790,0.7,0.2,0.1,2.0
126,4,14778,0.6,0.1,0.3,2.2
127,4,14794,0.3,0.3,0.4,2.0
128,5,14170,0.6,0.1,0.3,2.2
129,5,14819,0.7,0.2,0.1,2.0
130,6,14138,0.5,0.2,0.3,2.2
131,6,14767,0.7,0.2,0.1,2.0
132,7,14971,0.6,0.1,0.3,2.2
133,7,14616,0.2,0.7,0.1,2.1
134,8,14814,0.6,0.1,0.3,2.2
135,8,14686,0.4,0.2,0.4,1.9
