,year,ID,r_c,r_r,r_poi,FAR
0,1,14525.0,0.6,0.1,0.3,2.2
1,1,15245.0,0.2,0.6,0.2,1.9
2,1,15256.0,0.6,0.3,0.1,2.0
3,1,14678.0,0.4,0.2,0.4,2.2
4,1,14661.0,0.2,0.6,0.2,1.9
5,1,14323.0,0.3,0.3,0.4,2.0
6,1,15554.0,0.2,0.6,0.2,2.1
7,1,15183.0,0.4,0.2,0.4,1.8
8,1,14893.0,0.2,0.7,0.1,2.2
9,1,15264.0,0.1,0.6,0.3,2.1
10,1,12800.0,0.4,0.3,0.3,2.2
11,1,14871.0,0.3,0.5,0.2,1.8
12,1,15191.0,0.6,0.3,0.1,2.2
13,1,14080.0,0.4,0.2,0.4,2.2
14,1,14933.0,0.4,0.2,0.4,2.1
15,1,14863.0,0.6,0.1,0.3,1.8
16,1,15276.0,0.4,0.3,0.3,2.0
17,1,14069.0,0.2,0.6,0.2,1.8
18,1,14590.0,0.4,0.2,0.4,1.8
19,1,15252.0,0.1,0.6,0.3,1.9
20,1,15550.0,0.5,0.2,0.3,2.0
21,1,14722.0,0.4,0.2,0.4,2.2
22,1,14648.0,0.2,0.6,0.2,2.1
23,1,14389.0,0.6,0.3,0.1,1.8
24,1,12633.0,0.1,0.7,0.2,2.1
25,1,9496.0,0.4,0.2,0.4,1.8
26,1,14101.0,0.6,0.1,0.3,1.9
27,1,14951.0,0.6,0.2,0.2,1.8
28,1,14359.0,0.2,0.6,0.2,2.1
29,1,14168.0,0.5,0.2,0.3,1.8
30,2,15241.0,0.7,0.2,0.1,1.8
31,2,14167.0,0.6,0.3,0.1,1.9
32,2,14182.0,0.4,0.3,0.3,2.1
33,2,15329.0,0.4,0.2,0.4,2.2
34,2,14083.0,0.2,0.4,0.4,1.8
35,2,14711.0,0.6,0.1,0.3,2.1
36,2,14685.0,0.3,0.3,0.4,1.8
37,2,14486.0,0.6,0.1,0.3,1.9
38,2,14322.0,0.6,0.2,0.2,2.0
39,2,15300.0,0.4,0.2,0.4,1.9
40,2,14579.0,0.7,0.2,0.1,1.8
41,2,14102.0,0.7,0.2,0.1,2.2
42,2,14249.0,0.1,0.6,0.3,2.1
43,2,14823.0,0.4,0.3,0.3,2.1
44,2,15313.0,0.2,0.6,0.2,2.1
45,2,14793.0,0.4,0.2,0.4,2.2
46,2,14870.0,0.4,0.3,0.3,1.9
