,year,ID,r_c,r_r,r_poi,FAR
0,1,14537.0,0.1,0.6,0.3,2.0
1,1,15027.0,0.2,0.6,0.2,2.0
2,1,14387.0,0.3,0.5,0.2,1.9
3,1,14305.0,0.4,0.2,0.4,1.9
4,1,15337.0,0.3,0.3,0.4,1.8
5,1,14532.0,0.1,0.6,0.3,2.2
6,1,14483.0,0.4,0.2,0.4,2.0
7,1,15560.0,0.6,0.3,0.1,2.0
8,1,14700.0,0.2,0.4,0.4,1.9
9,1,14263.0,0.6,0.3,0.1,1.9
10,1,14634.0,0.7,0.2,0.1,1.8
11,1,14974.0,0.6,0.1,0.3,2.2
12,1,14084.0,0.2,0.4,0.4,2.0
13,1,15346.0,0.4,0.2,0.4,1.9
14,1,14534.0,0.3,0.5,0.2,1.9
15,1,14066.0,0.4,0.2,0.4,2.1
16,1,14080.0,0.4,0.2,0.4,2.2
17,1,15330.0,0.7,0.2,0.1,1.8
18,1,14628.0,0.4,0.2,0.4,2.0
19,1,15077.0,0.1,0.6,0.3,2.0
20,1,14822.0,0.6,0.2,0.2,1.9
21,1,14033.0,0.4,0.2,0.4,2.1
22,1,14623.0,0.7,0.2,0.1,2.2
23,1,15291.0,0.7,0.2,0.1,1.8
24,1,14397.0,0.5,0.2,0.3,1.9
25,1,14330.0,0.5,0.2,0.3,2.2
26,1,14598.0,0.4,0.2,0.4,2.0
27,1,12729.0,0.6,0.1,0.3,2.2
28,1,4628.0,0.6,0.3,0.1,2.2
29,1,14424.0,0.2,0.4,0.4,2.1
30,2,14758.0,0.1,0.6,0.3,2.0
31,2,14539.0,0.2,0.6,0.2,2.2
32,2,14682.0,0.5,0.2,0.3,2.0
33,2,14237.0,0.4,0.2,0.4,1.8
34,2,14635.0,0.3,0.3,0.4,1.8
35,2,15099.0,0.3,0.3,0.4,1.9
36,2,14638.0,0.4,0.2,0.4,2.2
37,2,14372.0,0.5,0.2,0.3,1.8
38,2,14075.0,0.1,0.6,0.3,2.2
39,2,15343.0,0.4,0.2,0.4,2.2
40,2,15153.0,0.3,0.3,0.4,1.8
41,2,14684.0,0.2,0.6,0.2,1.9
42,2,14808.0,0.4,0.2,0.4,2.2
43,2,14879.0,0.1,0.7,0.2,1.9
44,2,14656.0,0.4,0.2,0.4,2.2
45,2,14521.0,0.6,0.2,0.2,1.8
46,2,15068.0,0.6,0.2,0.2,2.0
47,2,14569.0,0.4,0.3,0.3,2.0
48,2,14301.0,0.3,0.3,0.4,1.9
49,2,14733.0,0.4,0.2,0.4,2.0
50,2,15151.0,0.3,0.5,0.2,1.9
51,2,14649.0,0.2,0.4,0.4,1.9
52,2,15002.0,0.4,0.2,0.4,1.9
53,2,14447.0,0.5,0.2,0.3,1.8
54,2,14538.0,0.6,0.1,0.3,2.1
55,2,14970.0,0.3,0.5,0.2,2.2
56,2,14500.0,0.7,0.2,0.1,1.9
57,2,14660.0,0.4,0.2,0.4,2.1
58,2,14830.0,0.6,0.2,0.2,2.2
59,2,14118.0,0.4,0.2,0.4,1.9
60,3,14161.0,0.7,0.2,0.1,1.9
61,3,14835.0,0.3,0.3,0.4,1.8
62,3,14068.0,0.5,0.2,0.3,2.2
63,3,14564.0,0.3,0.5,0.2,2.1
64,3,14446.0,0.5,0.2,0.3,2.2
65,3,15010.0,0.5,0.2,0.3,1.8
66,3,14053.0,0.4,0.3,0.3,2.1
67,3,14718.0,0.6,0.2,0.2,1.9
68,3,14292.0,0.6,0.1,0.3,2.1
69,3,14579.0,0.6,0.1,0.3,1.8
70,3,15289.0,0.2,0.7,0.1,2.2
71,3,14995.0,0.6,0.1,0.3,1.8
72,3,14284.0,0.3,0.5,0.2,2.1
73,3,14966.0,0.6,0.2,0.2,1.9
74,3,14472.0,0.2,0.4,0.4,2.2
75,3,15171.0,0.2,0.4,0.4,1.9
76,3,14038.0,0.2,0.4,0.4,2.2
