,year,ID,r_c,r_r,r_poi,FAR
0,1,14100.0,0.6,0.1,0.3,2.0
1,1,15128.0,0.2,0.6,0.2,2.1
2,1,14471.0,0.2,0.7,0.1,2.0
3,1,15364.0,0.3,0.3,0.4,1.8
4,1,15160.0,0.2,0.6,0.2,1.9
5,1,14113.0,0.7,0.2,0.1,2.0
6,1,14849.0,0.1,0.6,0.3,2.2
7,1,14117.0,0.4,0.2,0.4,2.2
8,1,14669.0,0.7,0.2,0.1,2.2
9,1,14033.0,0.1,0.7,0.2,1.9
10,1,14302.0,0.1,0.6,0.3,1.9
11,1,14691.0,0.1,0.6,0.3,2.2
12,1,14538.0,0.6,0.1,0.3,2.1
13,1,14633.0,0.2,0.7,0.1,2.2
14,1,15387.0,0.1,0.6,0.3,2.1
15,1,14711.0,0.3,0.5,0.2,1.8
16,1,3965.0,0.1,0.6,0.3,1.9
17,1,12729.0,0.7,0.2,0.1,2.2
18,1,14725.0,0.4,0.3,0.3,1.8
19,1,14946.0,0.2,0.4,0.4,2.0
20,1,14700.0,0.6,0.2,0.2,2.2
21,1,14785.0,0.6,0.2,0.2,1.9
22,1,14099.0,0.6,0.2,0.2,2.0
23,1,15064.0,0.3,0.5,0.2,1.8
24,1,14420.0,0.4,0.3,0.3,2.1
25,1,14092.0,0.3,0.3,0.4,2.1
26,1,14511.0,0.5,0.2,0.3,1.8
27,1,14945.0,0.1,0.6,0.3,1.8
28,1,15282.0,0.6,0.3,0.1,2.2
29,1,15119.0,0.6,0.2,0.2,2.0
30,2,9299.0,0.3,0.3,0.4,2.1
31,2,14749.0,0.5,0.2,0.3,1.9
32,2,14718.0,0.5,0.2,0.3,2.2
33,2,14654.0,0.3,0.3,0.4,1.8
34,2,15383.0,0.4,0.3,0.3,1.8
35,2,14276.0,0.4,0.2,0.4,2.1
36,2,14333.0,0.7,0.2,0.1,2.1
37,2,14647.0,0.4,0.2,0.4,2.1
38,2,15551.0,0.2,0.7,0.1,2.0
39,2,14145.0,0.4,0.2,0.4,1.9
40,2,14757.0,0.1,0.6,0.3,1.9
41,2,14154.0,0.6,0.3,0.1,1.9
42,2,14693.0,0.2,0.6,0.2,2.0
43,2,14484.0,0.6,0.3,0.1,2.1
44,2,15196.0,0.3,0.3,0.4,2.0
45,2,14627.0,0.6,0.2,0.2,2.2
46,2,15379.0,0.4,0.2,0.4,2.2
47,2,14898.0,0.2,0.7,0.1,1.8
48,2,14455.0,0.3,0.5,0.2,1.9
49,2,14212.0,0.1,0.6,0.3,2.2
50,2,15188.0,0.3,0.3,0.4,2.1
51,2,15273.0,0.2,0.4,0.4,1.9
52,2,15088.0,0.4,0.3,0.3,2.0
53,2,14558.0,0.7,0.2,0.1,2.0
54,2,9331.0,0.7,0.2,0.1,1.9
55,2,15354.0,0.5,0.2,0.3,2.1
56,2,14698.0,0.4,0.3,0.3,2.2
57,2,15140.0,0.6,0.1,0.3,2.0
58,2,9327.0,0.1,0.7,0.2,1.9
59,2,14098.0,0.4,0.2,0.4,2.2
60,3,15363.0,0.3,0.3,0.4,2.0
61,3,14404.0,0.4,0.2,0.4,2.2
62,3,14213.0,0.4,0.2,0.4,2.2
63,3,14386.0,0.6,0.2,0.2,1.9
64,3,14737.0,0.1,0.6,0.3,2.2
65,3,14279.0,0.4,0.3,0.3,1.9
66,3,14944.0,0.6,0.2,0.2,2.1
67,3,15142.0,0.6,0.3,0.1,2.2
68,3,14656.0,0.6,0.3,0.1,2.0
69,3,14169.0,0.2,0.6,0.2,2.0
70,3,14775.0,0.3,0.3,0.4,2.2
71,3,15129.0,0.7,0.2,0.1,1.9
72,3,14048.0,0.6,0.3,0.1,2.1
73,3,6377.0,0.2,0.6,0.2,2.1
