,year,ID,r_c,r_r,r_poi,FAR
0,1,14525.0,0.4,0.2,0.4,2.0
1,1,15252.0,0.6,0.3,0.1,2.1
2,1,14952.0,0.4,0.3,0.3,2.2
3,1,14230.0,0.3,0.3,0.4,1.8
4,1,13957.0,0.4,0.2,0.4,1.9
5,1,14239.0,0.4,0.2,0.4,1.8
6,1,4628.0,0.2,0.6,0.2,2.0
7,1,12729.0,0.4,0.2,0.4,1.9
8,1,15562.0,0.4,0.2,0.4,1.9
9,1,14346.0,0.1,0.6,0.3,2.2
10,1,14685.0,0.6,0.2,0.2,1.9
11,1,15247.0,0.2,0.4,0.4,2.1
12,1,14037.0,0.3,0.3,0.4,2.2
13,1,14915.0,0.4,0.3,0.3,1.8
14,1,14054.0,0.6,0.1,0.3,2.0
15,1,14550.0,0.4,0.2,0.4,1.9
16,1,14595.0,0.2,0.7,0.1,2.0
17,1,15109.0,0.2,0.7,0.1,2.2
18,1,15374.0,0.5,0.2,0.3,1.9
19,1,14446.0,0.6,0.2,0.2,1.8
20,1,48.0,0.2,0.6,0.2,2.1
21,1,14304.0,0.1,0.6,0.3,1.9
22,1,15330.0,0.5,0.2,0.3,2.1
23,1,15151.0,0.5,0.2,0.3,2.2
24,1,15381.0,0.1,0.6,0.3,2.1
25,1,14621.0,0.7,0.2,0.1,2.2
26,1,15140.0,0.4,0.2,0.4,2.0
27,1,14200.0,0.1,0.7,0.2,1.8
28,1,11966.0,0.2,0.6,0.2,1.8
29,1,14864.0,0.2,0.4,0.4,1.9
30,2,15177.0,0.6,0.1,0.3,2.0
31,2,14569.0,0.7,0.2,0.1,2.0
32,2,14821.0,0.6,0.2,0.2,2.2
33,2,15387.0,0.1,0.7,0.2,2.0
34,2,14120.0,0.2,0.6,0.2,1.9
35,2,15104.0,0.3,0.3,0.4,1.9
36,2,15343.0,0.7,0.2,0.1,1.9
37,2,14847.0,0.2,0.7,0.1,2.1
38,2,14410.0,0.3,0.3,0.4,2.2
39,2,15382.0,0.1,0.7,0.2,2.2
40,2,14873.0,0.6,0.2,0.2,2.2
41,2,15372.0,0.3,0.3,0.4,1.8
42,2,13009.0,0.5,0.2,0.3,1.8
43,2,14331.0,0.4,0.3,0.3,1.9
44,2,14131.0,0.6,0.1,0.3,2.1
45,2,14355.0,0.4,0.2,0.4,2.0
46,2,12044.0,0.4,0.2,0.4,2.0
47,2,14544.0,0.3,0.3,0.4,1.8
48,2,14123.0,0.4,0.2,0.4,1.9
49,2,14476.0,0.1,0.7,0.2,2.0
50,2,15538.0,0.2,0.6,0.2,1.8
51,2,14800.0,0.1,0.7,0.2,2.0
52,2,15041.0,0.6,0.3,0.1,1.9
53,2,14591.0,0.2,0.4,0.4,2.1
54,2,14742.0,0.2,0.4,0.4,2.1
55,2,15033.0,0.4,0.3,0.3,2.0
56,2,12091.0,0.4,0.2,0.4,2.1
57,2,14321.0,0.3,0.3,0.4,1.9
58,2,15011.0,0.4,0.3,0.3,1.9
59,2,14112.0,0.4,0.2,0.4,2.0
60,3,14732.0,0.5,0.2,0.3,1.9
61,3,14333.0,0.1,0.7,0.2,1.9
62,3,14782.0,0.6,0.3,0.1,1.8
63,3,9318.0,0.2,0.7,0.1,2.2
64,3,14819.0,0.1,0.6,0.3,2.2
65,3,14997.0,0.4,0.2,0.4,2.1
66,3,14268.0,0.4,0.3,0.3,2.1
67,3,14318.0,0.2,0.4,0.4,2.2
68,3,9331.0,0.4,0.2,0.4,2.0
69,3,15331.0,0.6,0.3,0.1,2.0
70,3,14755.0,0.5,0.2,0.3,2.2
71,3,15063.0,0.6,0.1,0.3,1.9
72,3,15340.0,0.3,0.3,0.4,1.9
73,3,15025.0,0.4,0.2,0.4,2.2
74,3,14344.0,0.4,0.2,0.4,2.2
75,3,15222.0,0.4,0.2,0.4,2.0
76,3,14075.0,0.6,0.1,0.3,1.9
77,3,14985.0,0.7,0.2,0.1,1.9
78,3,14042.0,0.6,0.1,0.3,2.2
79,3,15068.0,0.2,0.4,0.4,1.9
80,3,14104.0,0.1,0.7,0.2,2.2
81,3,14469.0,0.3,0.3,0.4,1.9
82,3,14955.0,0.3,0.3,0.4,2.0
83,3,14519.0,0.3,0.3,0.4,2.2
84,3,14297.0,0.6,0.2,0.2,2.1
85,3,14386.0,0.2,0.6,0.2,2.2
86,3,14660.0,0.2,0.6,0.2,1.9
87,3,14062.0,0.4,0.2,0.4,2.1
88,3,14142.0,0.2,0.6,0.2,2.2
89,3,14143.0,0.7,0.2,0.1,2.1
90,4,14146.0,0.2,0.6,0.2,1.8
91,4,15200.0,0.2,0.4,0.4,2.1
92,4,14398.0,0.3,0.3,0.4,2.2
93,4,14941.0,0.1,0.6,0.3,2.2
94,4,14877.0,0.4,0.2,0.4,1.9
95,4,15126.0,0.3,0.5,0.2,2.1
96,4,14362.0,0.5,0.2,0.3,1.9
97,4,14452.0,0.2,0.6,0.2,1.9
98,4,14421.0,0.4,0.2,0.4,2.0
99,4,14447.0,0.4,0.3,0.3,2.0
100,4,14631.0,0.1,0.7,0.2,2.1
101,4,14850.0,0.3,0.5,0.2,1.8
102,4,15220.0,0.4,0.3,0.3,1.8
103,4,15251.0,0.2,0.7,0.1,2.0
104,4,14274.0,0.4,0.2,0.4,2.1
105,4,9496.0,0.5,0.2,0.3,1.9
106,4,14147.0,0.5,0.2,0.3,2.1
107,4,15087.0,0.6,0.2,0.2,2.2
108,4,14506.0,0.2,0.4,0.4,2.2
109,4,14483.0,0.1,0.6,0.3,1.8
110,4,14614.0,0.1,0.7,0.2,1.8
111,4,14874.0,0.3,0.5,0.2,1.8
112,4,14764.0,0.4,0.2,0.4,1.8
113,4,14139.0,0.5,0.2,0.3,1.9
114,4,14127.0,0.3,0.3,0.4,2.2
115,4,14806.0,0.4,0.2,0.4,2.2
116,4,14928.0,0.1,0.7,0.2,1.9
117,4,14464.0,0.5,0.2,0.3,1.8
118,4,14949.0,0.6,0.1,0.3,2.2
119,4,14703.0,0.7,0.2,0.1,1.8
120,5,14491.0,0.2,0.7,0.1,2.1
121,5,15367.0,0.4,0.3,0.3,2.0
122,5,14397.0,0.4,0.2,0.4,2.0
123,5,14482.0,0.5,0.2,0.3,2.0
124,5,14709.0,0.3,0.3,0.4,1.8
125,5,14649.0,0.4,0.2,0.4,2.1
126,5,14169.0,0.4,0.2,0.4,2.1
127,5,14367.0,0.7,0.2,0.1,1.9
128,5,14259.0,0.4,0.2,0.4,2.2
129,5,14409.0,0.3,0.5,0.2,2.2
130,5,14287.0,0.1,0.7,0.2,1.9
131,5,15543.0,0.4,0.2,0.4,2.0
132,5,15043.0,0.6,0.1,0.3,2.1
133,5,14105.0,0.6,0.2,0.2,2.1
134,5,14771.0,0.6,0.3,0.1,1.9
135,5,14163.0,0.4,0.2,0.4,2.0
136,5,14707.0,0.4,0.2,0.4,2.0
137,5,15163.0,0.4,0.2,0.4,1.8
138,5,14216.0,0.3,0.3,0.4,2.0
139,5,14628.0,0.6,0.3,0.1,2.1
140,5,15206.0,0.2,0.6,0.2,2.2
141,5,14887.0,0.5,0.2,0.3,2.1
142,5,14334.0,0.7,0.2,0.1,2.2
143,5,14281.0,0.3,0.3,0.4,1.8
144,5,14851.0,0.2,0.7,0.1,2.1
145,5,14868.0,0.2,0.4,0.4,2.1
146,5,14762.0,0.6,0.3,0.1,1.8
147,5,15091.0,0.7,0.2,0.1,2.1
148,5,14101.0,0.1,0.7,0.2,2.2
149,5,14033.0,0.2,0.6,0.2,1.9
150,6,14422.0,0.4,0.3,0.3,2.2
151,6,14310.0,0.2,0.7,0.1,2.2
152,6,14538.0,0.6,0.2,0.2,2.2
153,6,14103.0,0.6,0.3,0.1,1.9
154,6,14097.0,0.7,0.2,0.1,2.2
155,6,15137.0,0.7,0.2,0.1,1.8
156,6,14156.0,0.6,0.3,0.1,1.9
157,6,14390.0,0.2,0.4,0.4,1.9
158,6,14108.0,0.3,0.3,0.4,2.0
159,6,14546.0,0.4,0.3,0.3,1.9
160,6,14092.0,0.7,0.2,0.1,2.0
161,6,14490.0,0.5,0.2,0.3,1.8
162,6,14073.0,0.1,0.6,0.3,1.8
163,6,15102.0,0.6,0.3,0.1,2.1
164,6,14098.0,0.4,0.2,0.4,2.1
165,6,15098.0,0.4,0.2,0.4,1.9
166,6,15333.0,0.2,0.7,0.1,1.9
167,6,14880.0,0.6,0.2,0.2,1.9
168,6,14254.0,0.6,0.3,0.1,2.1
169,6,15551.0,0.4,0.2,0.4,2.2
170,6,14830.0,0.5,0.2,0.3,2.1
171,6,14436.0,0.6,0.1,0.3,1.8
172,6,14578.0,0.4,0.2,0.4,1.8
173,6,14776.0,0.6,0.1,0.3,2.2
174,6,14360.0,0.2,0.4,0.4,1.9
175,6,14871.0,0.5,0.2,0.3,1.9
176,6,15537.0,0.4,0.2,0.4,1.8
177,6,15012.0,0.6,0.2,0.2,2.2
178,6,15217.0,0.4,0.3,0.3,2.2
179,6,3584.0,0.2,0.7,0.1,2.2
180,7,15157.0,0.4,0.2,0.4,2.0
181,7,14100.0,0.7,0.2,0.1,2.2
182,7,14684.0,0.3,0.3,0.4,2.0
