,ID,year,FAR,r_c,r_r,r_poi
0,14867,1,2.2,0.4,0.2,0.4
1,14414,1,2.2,0.4,0.2,0.4
2,14039,1,2.2,0.4,0.2,0.4
3,14788,1,2.2,0.4,0.2,0.4
4,14848,1,2.2,0.4,0.2,0.4
5,15139,1,2.2,0.4,0.2,0.4
6,14391,1,2.2,0.4,0.2,0.4
7,14640,1,2.2,0.4,0.2,0.4
8,15131,1,2.2,0.4,0.2,0.4
9,15377,1,2.2,0.4,0.2,0.4
10,15236,1,2.2,0.4,0.2,0.4
11,15350,1,2.2,0.4,0.2,0.4
12,14525,1,2.2,0.4,0.2,0.4
13,14634,1,2.2,0.4,0.2,0.4
14,15135,1,2.2,0.4,0.2,0.4
15,14411,1,2.2,0.4,0.2,0.4
16,14613,1,2.2,0.4,0.2,0.4
17,14656,1,2.2,0.4,0.2,0.4
18,14790,1,2.2,0.4,0.2,0.4
19,14105,1,2.2,0.4,0.2,0.4
20,14220,1,2.2,0.4,0.2,0.4
21,15383,1,2.2,0.4,0.2,0.4
22,14851,1,2.2,0.4,0.2,0.4
23,14767,1,2.2,0.4,0.2,0.4
24,14167,1,2.2,0.4,0.2,0.4
25,14811,1,2.2,0.4,0.2,0.4
26,15099,1,2.2,0.4,0.2,0.4
27,14755,1,2.2,0.4,0.2,0.4
28,14161,1,2.2,0.4,0.2,0.4
29,15360,1,2.2,0.4,0.2,0.4
30,15382,2,2.2,0.4,0.2,0.4
31,14186,2,2.2,0.4,0.2,0.4
32,15196,2,2.2,0.4,0.2,0.4
33,14227,2,2.2,0.4,0.2,0.4
34,14810,2,2.2,0.4,0.2,0.4
35,15371,2,2.2,0.4,0.2,0.4
36,15046,2,2.2,0.4,0.2,0.4
37,14961,2,2.2,0.4,0.2,0.4
38,15204,2,2.2,0.4,0.2,0.4
39,14279,2,2.2,0.4,0.2,0.4
40,14308,2,2.2,0.4,0.2,0.4
41,15156,2,2.2,0.4,0.2,0.4
42,14591,2,2.2,0.4,0.2,0.4
43,14978,2,2.2,0.4,0.2,0.4
44,14239,2,2.2,0.4,0.2,0.4
45,14547,2,2.2,0.4,0.2,0.4
46,14771,2,2.2,0.4,0.2,0.4
47,14315,2,2.2,0.4,0.2,0.4
48,15252,2,2.2,0.4,0.2,0.4
49,14490,2,2.2,0.4,0.2,0.4
50,14898,2,2.2,0.4,0.2,0.4
51,14048,2,2.2,0.4,0.2,0.4
52,14927,2,2.2,0.4,0.2,0.4
53,14557,2,2.2,0.4,0.2,0.4
54,15358,2,2.2,0.4,0.2,0.4
55,15246,2,2.2,0.4,0.2,0.4
56,15343,2,2.2,0.4,0.2,0.4
57,14865,2,2.2,0.4,0.2,0.4
58,14595,2,2.2,0.4,0.2,0.4
59,14184,2,2.2,0.4,0.2,0.4
60,15183,3,2.2,0.4,0.2,0.4
61,14537,3,2.2,0.4,0.2,0.4
62,14773,3,2.2,0.4,0.2,0.4
63,14794,3,2.2,0.4,0.2,0.4
64,15367,3,2.2,0.4,0.2,0.4
65,15209,3,2.2,0.4,0.2,0.4
66,14690,3,2.2,0.4,0.2,0.4
67,15111,3,2.2,0.4,0.2,0.4
68,15232,3,2.2,0.4,0.2,0.4
69,14135,3,2.2,0.4,0.2,0.4
70,14929,3,2.2,0.4,0.2,0.4
71,14636,3,2.2,0.4,0.2,0.4
72,15039,3,2.2,0.4,0.2,0.4
73,14630,3,2.2,0.4,0.2,0.4
74,14666,3,2.2,0.4,0.2,0.4
75,15189,3,2.2,0.4,0.2,0.4
76,15193,3,2.2,0.4,0.2,0.4
77,14298,3,2.2,0.4,0.2,0.4
78,14546,3,2.2,0.4,0.2,0.4
79,15388,3,2.2,0.4,0.2,0.4
80,14374,3,2.2,0.4,0.2,0.4
81,15326,3,2.2,0.4,0.2,0.4
82,15366,3,2.2,0.4,0.2,0.4
83,48,3,2.2,0.4,0.2,0.4
84,15093,3,2.2,0.4,0.2,0.4
85,14612,3,2.2,0.4,0.2,0.4
86,15140,3,2.2,0.4,0.2,0.4
