year,ID,r_c,r_r,r_poi,FAR
1,14336,0.7,0.2,0.1,2.2
1,14702,0.7,0.2,0.1,2.1
1,14344,0.3,0.3,0.4,2.2
1,14147,0.6,0.2,0.2,1.9
1,15309,0.6,0.1,0.3,1.9
1,14073,0.4,0.3,0.3,1.9
1,14330,0.4,0.3,0.3,1.8
1,14626,0.7,0.2,0.1,2.0
1,14075,0.7,0.2,0.1,1.9
1,4628,0.6,0.2,0.2,2.0
1,14392,0.1,0.6,0.3,2.1
1,15027,0.4,0.2,0.4,1.9
1,15193,0.3,0.3,0.4,2.1
1,15562,0.3,0.3,0.4,1.9
1,15075,0.7,0.2,0.1,2.2
1,15002,0.6,0.1,0.3,1.8
1,14848,0.2,0.4,0.4,2.1
1,14076,0.5,0.2,0.3,1.8
1,14476,0.6,0.2,0.2,2.2
1,14525,0.4,0.2,0.4,2.1
1,14408,0.4,0.3,0.3,2.1
1,14542,0.6,0.2,0.2,2.1
1,14805,0.6,0.3,0.1,2.1
1,14193,0.2,0.6,0.2,2.1
1,14217,0.7,0.2,0.1,2.2
1,9316,0.4,0.2,0.4,2.0
1,14353,0.3,0.5,0.2,1.8
1,15244,0.6,0.1,0.3,2.2
1,7312,0.1,0.7,0.2,1.9
1,14538,0.5,0.2,0.3,2.2
2,14505,0.7,0.2,0.1,2.2
2,15228,0.7,0.2,0.1,2.1
2,14636,0.3,0.3,0.4,2.2
2,14548,0.6,0.2,0.2,1.9
2,14719,0.6,0.1,0.3,1.9
2,14524,0.4,0.3,0.3,1.9
2,14399,0.4,0.3,0.3,1.8
2,14845,0.7,0.2,0.1,2.0
2,15363,0.7,0.2,0.1,1.9
2,14533,0.6,0.2,0.2,2.0
2,14926,0.1,0.6,0.3,2.1
2,15542,0.4,0.2,0.4,1.9
2,14555,0.3,0.3,0.4,2.1
2,14042,0.3,0.3,0.4,1.9
2,14605,0.7,0.2,0.1,2.2
2,14572,0.6,0.1,0.3,1.8
2,14080,0.2,0.4,0.4,2.1
2,15261,0.5,0.2,0.3,1.8
2,14546,0.6,0.2,0.2,2.2
2,14850,0.4,0.2,0.4,2.1
2,14586,0.7,0.2,0.1,1.9
2,14052,0.6,0.2,0.2,2.1
2,15097,0.6,0.3,0.1,2.1
2,14718,0.2,0.6,0.2,2.1
2,14672,0.7,0.2,0.1,2.2
2,14422,0.4,0.2,0.4,2.0
2,15087,0.3,0.5,0.2,1.8
2,14187,0.6,0.1,0.3,2.2
2,9335,0.1,0.7,0.2,1.9
2,14778,0.5,0.2,0.3,2.2
3,14491,0.7,0.2,0.1,2.2
3,14294,0.7,0.2,0.1,2.1
3,15341,0.3,0.3,0.4,2.2
3,15227,0.6,0.2,0.2,1.9
3,14614,0.6,0.1,0.3,1.9
3,14409,0.4,0.3,0.3,1.9
3,14410,0.4,0.3,0.3,1.8
3,14474,0.7,0.2,0.1,2.0
3,48,0.7,0.2,0.1,1.9
3,15017,0.6,0.2,0.2,2.0
3,9496,0.1,0.6,0.3,2.1
3,14146,0.4,0.2,0.4,1.9
3,14681,0.3,0.3,0.4,2.1
3,15253,0.3,0.3,0.4,1.9
3,14456,0.7,0.2,0.1,2.2
3,14595,0.6,0.1,0.3,1.8
3,14750,0.2,0.4,0.4,2.1
3,14954,0.5,0.2,0.3,1.8
3,14328,0.6,0.2,0.2,2.2
3,14596,0.4,0.2,0.4,2.1
3,14565,0.7,0.2,0.1,1.9
3,15162,0.6,0.2,0.2,2.1
3,14762,0.6,0.3,0.1,2.1
3,14404,0.2,0.6,0.2,2.1
3,14539,0.7,0.2,0.1,2.2
3,15198,0.4,0.2,0.4,2.0
3,15061,0.3,0.5,0.2,1.8
3,14929,0.6,0.1,0.3,2.2
3,15359,0.1,0.7,0.2,1.9
3,14974,0.5,0.2,0.3,2.2
4,14732,0.7,0.2,0.1,2.2
4,14835,0.7,0.2,0.1,2.1
4,15135,0.3,0.3,0.4,2.2
4,14302,0.6,0.2,0.2,1.9
4,14167,0.6,0.1,0.3,1.9
4,15138,0.4,0.3,0.3,1.9
4,14443,0.4,0.3,0.3,1.8
4,9314,0.7,0.2,0.1,2.0
4,12715,0.7,0.2,0.1,1.9
4,9312,0.6,0.2,0.2,2.0
4,14387,0.1,0.6,0.3,2.1
4,14759,0.4,0.2,0.4,1.9
4,14842,0.3,0.3,0.4,2.1
4,9327,0.3,0.3,0.4,1.9
4,14657,0.7,0.2,0.1,2.2
4,14953,0.6,0.1,0.3,1.8
4,14847,0.2,0.4,0.4,2.1
4,14579,0.5,0.2,0.3,1.8
4,14084,0.6,0.2,0.2,2.2
4,14532,0.4,0.2,0.4,2.1
4,14106,0.4,0.3,0.3,2.1
4,14263,0.6,0.2,0.2,2.1
4,15279,0.6,0.3,0.1,2.1
4,14557,0.2,0.6,0.2,2.1
4,12696,0.7,0.2,0.1,2.2
4,14726,0.4,0.2,0.4,2.0
4,14690,0.3,0.5,0.2,1.8
4,14087,0.6,0.1,0.3,2.2
4,12729,0.1,0.7,0.2,1.9
4,14740,0.5,0.2,0.3,2.2
5,15537,0.7,0.2,0.1,2.2
5,14575,0.7,0.2,0.1,2.1
5,14608,0.3,0.3,0.4,2.2
5,12759,0.6,0.2,0.2,1.9
5,14508,0.6,0.1,0.3,1.9
5,14055,0.4,0.3,0.3,1.9
5,15355,0.4,0.3,0.3,1.8
5,14430,0.7,0.2,0.1,2.0
5,14521,0.7,0.2,0.1,1.9
5,14689,0.2,0.7,0.1,2.1
5,14637,0.1,0.6,0.3,2.1
5,15116,0.4,0.2,0.4,1.9
5,15240,0.3,0.3,0.4,2.1
5,15304,0.3,0.3,0.4,1.9
5,14756,0.7,0.2,0.1,2.2
5,14569,0.6,0.1,0.3,1.8
5,14511,0.2,0.4,0.4,2.1
5,15254,0.5,0.2,0.3,1.8
5,14916,0.6,0.2,0.2,2.2
5,15273,0.4,0.2,0.4,2.1
5,14803,0.7,0.2,0.1,1.9
5,14717,0.6,0.2,0.2,2.1
5,14135,0.6,0.3,0.1,2.1
5,14861,0.2,0.6,0.2,2.1
5,15548,0.7,0.2,0.1,2.2
5,14592,0.4,0.2,0.4,2.0
5,14742,0.3,0.5,0.2,1.8
5,14112,0.6,0.1,0.3,2.2
5,14194,0.1,0.7,0.2,1.9
5,14460,0.5,0.2,0.3,2.2
6,14693,0.7,0.2,0.1,2.2
6,15015,0.7,0.2,0.1,2.1
6,14315,0.3,0.3,0.4,2.2
6,14079,0.6,0.2,0.2,1.9
6,14464,0.6,0.1,0.3,1.9
6,15378,0.4,0.3,0.3,1.9
6,15327,0.4,0.3,0.3,1.8
6,14879,0.7,0.2,0.1,2.0
6,15115,0.7,0.2,0.1,1.9
6,14811,0.6,0.2,0.2,2.0
6,14484,0.1,0.6,0.3,2.1
6,15317,0.4,0.2,0.4,1.9
6,14324,0.3,0.3,0.4,2.1
6,14601,0.3,0.3,0.4,1.9
6,14412,0.7,0.2,0.1,2.2
6,14827,0.6,0.1,0.3,1.8
6,14048,0.2,0.4,0.4,2.1
6,14220,0.5,0.2,0.3,1.8
6,14390,0.6,0.2,0.2,2.2
6,14667,0.4,0.2,0.4,2.1
6,14757,0.4,0.3,0.3,2.1
6,15147,0.6,0.2,0.2,2.1
6,14255,0.6,0.3,0.1,2.1
6,14969,0.2,0.6,0.2,2.1
6,15232,0.7,0.2,0.1,2.2
6,14122,0.4,0.2,0.4,2.0
6,14171,0.3,0.5,0.2,1.8
6,15316,0.6,0.1,0.3,2.2
6,14401,0.1,0.7,0.2,1.9
6,15022,0.5,0.2,0.3,2.2
7,14814,0.7,0.2,0.1,2.2
7,15535,0.7,0.2,0.1,2.1
7,15082,0.3,0.3,0.4,2.2
7,15129,0.6,0.2,0.2,1.9
7,9296,0.6,0.1,0.3,1.9
7,14545,0.4,0.3,0.3,1.9
7,14391,0.4,0.3,0.3,1.8
7,14945,0.7,0.2,0.1,2.0
7,14435,0.7,0.2,0.1,1.9
7,14623,0.6,0.2,0.2,2.0
7,15051,0.1,0.6,0.3,2.1
7,14378,0.4,0.2,0.4,1.9
