,ID,year,FAR,r_c,r_r,r_poi
0,243,4,2.0,0.2,0.6,0.2
1,406,9,2.1,0.1,0.6,0.3
2,892,8,2.1,0.1,0.6,0.3
3,4628,8,1.9,0.1,0.7,0.2
4,6377,4,2.0,0.2,0.6,0.2
5,9495,9,2.0,0.2,0.6,0.2
6,9496,9,2.0,0.2,0.6,0.2
7,9498,9,2.0,0.2,0.6,0.2
8,9578,10,1.8,0.5,0.2,0.3
9,9872,9,2.1,0.2,0.4,0.4
10,9925,8,2.1,0.1,0.6,0.3
11,11827,8,2.1,0.1,0.6,0.3
12,11966,2,1.9,0.7,0.2,0.1
13,11969,2,1.9,0.7,0.2,0.1
14,12044,4,1.9,0.3,0.5,0.2
15,12090,4,1.9,0.3,0.5,0.2
16,12633,7,1.9,0.3,0.5,0.2
17,12678,4,1.9,0.3,0.5,0.2
18,12715,4,2.1,0.1,0.6,0.3
19,12729,8,2.0,0.2,0.4,0.4
20,12759,10,1.8,0.5,0.2,0.3
21,12769,9,2.1,0.1,0.6,0.3
22,12800,9,2.1,0.1,0.6,0.3
23,13346,10,1.8,0.5,0.2,0.3
24,13763,10,1.8,0.5,0.2,0.3
25,13941,8,1.9,0.1,0.7,0.2
26,13957,9,2.0,0.2,0.6,0.2
27,14044,7,1.9,0.3,0.5,0.2
28,14045,7,1.9,0.3,0.5,0.2
29,14053,8,1.9,0.2,0.7,0.1
30,14057,4,2.0,0.4,0.4,0.2
31,14058,7,2.1,0.4,0.4,0.2
32,14060,4,2.1,0.4,0.4,0.2
33,14062,7,2.1,0.4,0.4,0.2
34,14063,7,2.1,0.4,0.4,0.2
35,14064,7,2.1,0.4,0.4,0.2
36,14065,7,2.1,0.4,0.4,0.2
37,14066,7,2.1,0.4,0.4,0.2
38,14067,7,2.1,0.2,0.4,0.4
39,14068,7,2.1,0.2,0.4,0.4
40,14073,8,1.9,0.2,0.7,0.1
41,14075,9,2.1,0.2,0.4,0.4
42,14076,6,2.1,0.2,0.4,0.4
43,14078,12,1.8,0.4,0.3,0.3
44,14079,6,2.1,0.2,0.4,0.4
45,14080,3,2.0,0.6,0.2,0.2
46,14081,8,2.0,0.2,0.4,0.4
47,14082,8,2.0,0.2,0.4,0.4
48,14083,8,2.1,0.1,0.6,0.3
49,14084,3,2.0,0.6,0.2,0.2
50,14085,3,2.0,0.6,0.2,0.2
51,14086,3,2.0,0.6,0.2,0.2
52,14087,3,2.0,0.6,0.2,0.2
53,14088,3,2.1,0.6,0.2,0.2
54,14089,3,2.1,0.6,0.2,0.2
55,14090,3,2.1,0.6,0.2,0.2
56,14091,3,2.1,0.7,0.2,0.1
57,14092,3,2.1,0.7,0.2,0.1
58,14093,3,1.9,0.7,0.2,0.1
59,14094,3,2.2,0.7,0.2,0.1
60,14095,6,2.1,0.2,0.4,0.4
61,14096,3,2.2,0.7,0.2,0.1
62,14097,7,2.1,0.2,0.7,0.1
63,14099,4,1.9,0.4,0.4,0.2
64,14101,2,2.1,0.6,0.2,0.2
65,14102,2,1.9,0.7,0.2,0.1
66,14107,10,2.0,0.4,0.3,0.3
67,14112,8,1.9,0.2,0.7,0.1
68,14113,11,1.9,0.3,0.5,0.2
69,14114,8,1.9,0.2,0.7,0.1
