,Unnamed: 0,ID,year,FAR,r_c,r_r,r_poi
0,0,243,3,2,0.7,0.2,0.1
1,1,406,1,2,0.7,0.2,0.1
2,2,892,3,2,0.7,0.2,0.1
3,3,3584,8,2,0.7,0.2,0.1
4,4,4628,6,2,0.7,0.2,0.1
5,5,6377,1,2,0.7,0.2,0.1
6,6,7312,5,2,0.6,0.3,0.1
7,7,9495,3,2,0.7,0.2,0.1
8,8,9496,3,2,0.6,0.3,0.1
9,9,9498,3,2,0.6,0.3,0.1
10,10,9872,1,2,0.7,0.2,0.1
11,11,9925,1,2,0.7,0.2,0.1
12,12,11797,6,2,0.6,0.3,0.1
13,13,11827,3,2,0.6,0.3,0.1
14,14,11966,4,2,0.6,0.3,0.1
15,15,11967,1,2,0.7,0.2,0.1
16,16,11969,12,2,0.7,0.2,0.1
17,17,12044,1,2,0.7,0.2,0.1
18,18,12090,6,2,0.6,0.3,0.1
19,19,12091,6,2,0.6,0.3,0.1
20,20,12633,8,2,0.7,0.2,0.1
21,21,12678,2,2,0.6,0.3,0.1
22,22,12696,12,2,0.6,0.3,0.1
23,23,12715,2,2,0.6,0.3,0.1
24,24,12729,6,2,0.6,0.3,0.1
25,25,12769,1,2,0.7,0.2,0.1
26,26,12800,3,2,0.6,0.3,0.1
27,27,12917,11,2,0.7,0.2,0.1
28,28,13009,6,2,0.6,0.3,0.1
29,29,13346,5,2,0.6,0.3,0.1
30,30,13763,5,2,0.6,0.3,0.1
31,31,13957,3,2,0.6,0.3,0.1
32,32,14043,2,2,0.6,0.3,0.1
33,33,14044,12,2,0.6,0.3,0.1
34,34,14045,12,2,0.6,0.3,0.1
35,35,14048,11,2,0.7,0.2,0.1
36,36,14050,2,2,0.6,0.3,0.1
37,37,14054,1,2,0.7,0.2,0.1
38,38,14055,11,2,0.7,0.2,0.1
39,39,14057,1,2,0.6,0.3,0.1
40,40,14060,1,2,0.6,0.3,0.1
41,41,14067,11,2,0.7,0.2,0.1
42,42,14068,8,2,0.7,0.2,0.1
43,43,14069,2,2,0.6,0.3,0.1
44,44,14070,2,2,0.7,0.2,0.1
45,45,14071,12,2,0.6,0.3,0.1
46,46,14072,2,2,0.7,0.2,0.1
47,47,14073,8,2,0.6,0.3,0.1
48,48,14074,12,2,0.6,0.3,0.1
49,49,14075,1,2,0.7,0.2,0.1
50,50,14076,7,2,0.6,0.3,0.1
51,51,14079,9,2,0.7,0.2,0.1
52,52,14080,11,2,0.7,0.2,0.1
53,53,14081,8,2,0.6,0.3,0.1
54,54,14082,8,2,0.6,0.3,0.1
55,55,14083,2,2,0.7,0.2,0.1
56,56,14084,10,2,0.7,0.2,0.1
