,ID,year,FAR,r_c,r_r,r_poi
0,14556,8,2,0.3,0.5,0.2
1,14557,6,2,0.3,0.5,0.2
2,14042,10,2,0.3,0.5,0.2
3,14040,9,2,0.3,0.5,0.2
4,14566,12,2,0.3,0.5,0.2
5,14567,2,2,0.3,0.5,0.2
6,14047,12,2,0.3,0.5,0.2
7,14044,7,2,0.3,0.5,0.2
8,14565,12,2,0.3,0.5,0.2
9,14045,7,2,0.3,0.5,0.2
10,14570,5,2,0.3,0.5,0.2
11,14050,4,2,0.3,0.5,0.2
12,14571,5,2,0.3,0.5,0.2
13,14568,2,2,0.3,0.5,0.2
14,14048,9,2,0.3,0.5,0.2
15,14569,3,2,0.3,0.5,0.2
16,14574,2,2,0.3,0.5,0.2
17,14054,4,2,0.3,0.5,0.2
18,14575,2,2,0.3,0.5,0.2
19,14055,5,2,0.3,0.5,0.2
20,14572,1,2,0.3,0.5,0.2
21,14573,1,2,0.3,0.5,0.2
22,14578,2,2,0.3,0.5,0.2
23,14058,6,2,0.3,0.5,0.2
24,14579,2,2,0.3,0.5,0.2
25,14576,2,2,0.3,0.5,0.2
26,14056,5,2,0.3,0.5,0.2
27,14577,2,2,0.3,0.5,0.2
28,14057,3,2,0.3,0.5,0.2
29,14582,4,2,0.3,0.5,0.2
30,14062,11,2,0.3,0.5,0.2
31,14583,2,2,0.3,0.5,0.2
32,14580,1,2,0.3,0.5,0.2
33,14060,1,2,0.3,0.5,0.2
34,14581,2,2,0.3,0.5,0.2
35,14586,6,2,0.3,0.5,0.2
36,14066,10,2,0.3,0.5,0.2
37,14587,7,2,0.3,0.5,0.2
38,14067,9,2,0.3,0.5,0.2
39,14584,5,2,0.3,0.5,0.2
40,14064,11,2,0.3,0.5,0.2
41,14585,5,2,0.3,0.5,0.2
42,14065,12,2,0.3,0.5,0.2
43,14590,8,2,0.3,0.5,0.2
44,14070,6,2,0.3,0.5,0.2
45,14591,12,2,0.3,0.5,0.2
46,14071,4,2,0.3,0.5,0.2
47,14588,7,2,0.3,0.5,0.2
48,14068,8,2,0.3,0.5,0.2
49,14589,8,2,0.3,0.5,0.2
50,14069,1,2,0.3,0.5,0.2
51,14466,7,2,0.3,0.5,0.2
52,14074,2,2,0.3,0.5,0.2
53,14467,8,2,0.3,0.5,0.2
54,14075,3,2,0.3,0.5,0.2
55,14464,7,2,0.3,0.5,0.2
56,14072,5,2,0.3,0.5,0.2
57,14465,9,2,0.3,0.5,0.2
58,14073,8,2,0.3,0.5,0.2
59,14470,4,2,0.3,0.5,0.2
60,14991,5,2,0.3,0.5,0.2
61,14471,3,2,0.3,0.5,0.2
62,14079,10,2,0.3,0.5,0.2
63,14468,8,2,0.3,0.5,0.2
64,14076,12,2,0.3,0.5,0.2
65,14474,3,2,0.3,0.5,0.2
66,14995,5,2,0.3,0.5,0.2
67,243,3,2,0.3,0.5,0.2
68,14475,4,2,0.3,0.5,0.2
69,14992,11,2,0.3,0.5,0.2
70,406,1,2,0.3,0.5,0.2
71,14472,6,2,0.3,0.5,0.2
72,14993,10,2,0.3,0.5,0.2
73,14473,7,2,0.3,0.5,0.2
74,14478,7,2,0.3,0.5,0.2
75,3584,7,2,0.3,0.5,0.2
76,14479,8,2,0.3,0.5,0.2
77,14996,8,2,0.3,0.5,0.2
78,14476,5,2,0.3,0.5,0.2
79,14997,10,2,0.3,0.5,0.2
80,892,1,2,0.3,0.5,0.2
81,14477,7,2,0.3,0.5,0.2
82,15002,1,2,0.3,0.5,0.2
83,14482,7,2,0.3,0.5,0.2
84,14483,8,2,0.3,0.5,0.2
85,14480,8,2,0.3,0.5,0.2
86,14481,8,2,0.3,0.5,0.2
87,4628,10,2,0.3,0.5,0.2
88,14486,2,2,0.3,0.5,0.2
89,15004,2,2,0.3,0.5,0.2
90,14487,1,2,0.3,0.5,0.2
91,14484,12,2,0.3,0.5,0.2
92,6377,2,2,0.3,0.5,0.2
93,14485,7,2,0.3,0.5,0.2
94,7312,2,2,0.3,0.5,0.2
95,14490,4,2,0.3,0.5,0.2
96,14491,7,2,0.3,0.5,0.2
97,14488,1,2,0.3,0.5,0.2
98,14489,6,2,0.3,0.5,0.2
99,14494,3,2,0.3,0.5,0.2
100,14495,11,2,0.3,0.5,0.2
101,14492,5,2,0.3,0.5,0.2
102,14493,6,2,0.3,0.5,0.2
103,15019,3,2,0.3,0.5,0.2
104,14499,11,2,0.3,0.5,0.2
105,14497,10,2,0.3,0.5,0.2
106,15022,8,2,0.3,0.5,0.2
107,15023,3,2,0.3,0.5,0.2
108,14503,11,2,0.3,0.5,0.2
109,15020,3,2,0.3,0.5,0.2
110,14500,11,2,0.3,0.5,0.2
111,15021,3,2,0.3,0.5,0.2
112,14501,11,2,0.3,0.5,0.2
113,15026,1,2,0.3,0.5,0.2
114,14506,12,2,0.3,0.5,0.2
115,15027,1,2,0.3,0.5,0.2
116,14507,11,2,0.3,0.5,0.2
117,15024,3,2,0.3,0.5,0.2
118,14504,12,2,0.3,0.5,0.2
119,15025,3,2,0.3,0.5,0.2
120,14505,12,2,0.3,0.5,0.2
121,14510,11,2,0.3,0.5,0.2
122,14511,9,2,0.3,0.5,0.2
123,15028,1,2,0.3,0.5,0.2
124,14508,8,2,0.3,0.5,0.2
125,15029,1,2,0.3,0.5,0.2
126,14509,5,2,0.3,0.5,0.2
127,14514,10,2,0.3,0.5,0.2
128,9495,10,2,0.3,0.5,0.2
129,14515,10,2,0.3,0.5,0.2
130,9496,10,2,0.3,0.5,0.2
131,14512,9,2,0.3,0.5,0.2
132,14513,9,2,0.3,0.5,0.2
133,14518,8,2,0.3,0.5,0.2
134,14519,8,2,0.3,0.5,0.2
135,14516,9,2,0.3,0.5,0.2
136,9498,10,2,0.3,0.5,0.2
137,14517,9,2,0.3,0.5,0.2
138,14522,10,2,0.3,0.5,0.2
139,11797,7,2,0.3,0.5,0.2
140,14523,11,2,0.3,0.5,0.2
141,11827,1,2,0.3,0.5,0.2
142,14520,12,2,0.3,0.5,0.2
143,9872,1,2,0.3,0.5,0.2
144,14521,11,2,0.3,0.5,0.2
145,9925,1,2,0.3,0.5,0.2
146,14526,6,2,0.3,0.5,0.2
147,14527,5,2,0.3,0.5,0.2
148,12044,1,2,0.3,0.5,0.2
149,14524,10,2,0.3,0.5,0.2
150,14525,4,2,0.3,0.5,0.2
151,12633,8,2,0.3,0.5,0.2
152,12678,5,2,0.3,0.5,0.2
153,12090,6,2,0.3,0.5,0.2
154,14657,12,2,0.3,0.5,0.2
155,12091,7,2,0.3,0.5,0.2
156,12729,9,2,0.3,0.5,0.2
157,12696,4,2,0.3,0.5,0.2
158,12715,2,2,0.3,0.5,0.2
159,14162,10,2,0.3,0.5,0.2
160,14160,11,2,0.3,0.5,0.2
161,14167,6,2,0.3,0.5,0.2
162,14685,6,2,0.3,0.5,0.2
163,14168,7,2,0.3,0.5,0.2
164,15215,11,2,0.3,0.5,0.2
165,14174,3,2,0.3,0.5,0.2
166,14175,3,2,0.3,0.5,0.2
167,14172,3,2,0.3,0.5,0.2
168,14173,2,2,0.3,0.5,0.2
169,14699,12,2,0.3,0.5,0.2
170,14176,1,2,0.3,0.5,0.2
171,14177,1,2,0.3,0.5,0.2
172,14702,6,2,0.3,0.5,0.2
173,14700,11,2,0.3,0.5,0.2
174,14701,11,2,0.3,0.5,0.2
175,14706,4,2,0.3,0.5,0.2
176,14707,11,2,0.3,0.5,0.2
177,14704,4,2,0.3,0.5,0.2
178,14705,4,2,0.3,0.5,0.2
179,14191,8,2,0.3,0.5,0.2
180,14708,10,2,0.3,0.5,0.2
181,14709,6,2,0.3,0.5,0.2
182,14594,7,2,0.3,0.5,0.2
183,14595,6,2,0.3,0.5,0.2
184,14203,4,2,0.3,0.5,0.2
185,14592,6,2,0.3,0.5,0.2
186,14593,6,2,0.3,0.5,0.2
187,14598,4,2,0.3,0.5,0.2
188,14599,5,2,0.3,0.5,0.2
189,14204,1,2,0.3,0.5,0.2
190,14597,4,2,0.3,0.5,0.2
191,14205,1,2,0.3,0.5,0.2
192,14082,5,2,0.3,0.5,0.2
193,14603,7,2,0.3,0.5,0.2
194,14083,2,2,0.3,0.5,0.2
195,14600,6,2,0.3,0.5,0.2
196,14080,3,2,0.3,0.5,0.2
197,14601,4,2,0.3,0.5,0.2
198,14081,4,2,0.3,0.5,0.2
199,14086,5,2,0.3,0.5,0.2
200,14087,3,2,0.3,0.5,0.2
201,14604,12,2,0.3,0.5,0.2
202,14084,3,2,0.3,0.5,0.2
203,14085,3,2,0.3,0.5,0.2
204,14090,2,2,0.3,0.5,0.2
205,15128,10,2,0.3,0.5,0.2
206,14091,5,2,0.3,0.5,0.2
207,14088,7,2,0.3,0.5,0.2
208,14089,2,2,0.3,0.5,0.2
209,14094,5,2,0.3,0.5,0.2
210,14095,3,2,0.3,0.5,0.2
211,14092,7,2,0.3,0.5,0.2
212,14093,3,2,0.3,0.5,0.2
213,14098,8,2,0.3,0.5,0.2
214,14099,2,2,0.3,0.5,0.2
215,14096,4,2,0.3,0.5,0.2
216,14097,3,2,0.3,0.5,0.2
217,14102,11,2,0.3,0.5,0.2
218,14103,6,2,0.3,0.5,0.2
219,14100,8,2,0.3,0.5,0.2
220,14101,10,2,0.3,0.5,0.2
221,14106,2,2,0.3,0.5,0.2
222,14624,10,2,0.3,0.5,0.2
223,14104,6,2,0.3,0.5,0.2
224,14110,2,2,0.3,0.5,0.2
225,14111,1,2,0.3,0.5,0.2
226,14108,1,2,0.3,0.5,0.2
227,14109,2,2,0.3,0.5,0.2
228,14114,10,2,0.3,0.5,0.2
229,14635,12,2,0.3,0.5,0.2
230,14115,5,2,0.3,0.5,0.2
231,14113,6,2,0.3,0.5,0.2
232,14118,9,2,0.3,0.5,0.2
233,14116,11,2,0.3,0.5,0.2
234,14117,2,2,0.3,0.5,0.2
235,14642,4,2,0.3,0.5,0.2
236,14643,3,2,0.3,0.5,0.2
237,14646,12,2,0.3,0.5,0.2
238,14647,12,2,0.3,0.5,0.2
239,14131,11,2,0.3,0.5,0.2
240,14135,7,2,0.3,0.5,0.2
241,15332,5,2,0.3,0.5,0.2
242,15335,5,2,0.3,0.5,0.2
243,15336,5,2,0.3,0.5,0.2
244,15333,4,2,0.3,0.5,0.2
245,15334,3,2,0.3,0.5,0.2
246,15339,1,2,0.3,0.5,0.2
247,15337,3,2,0.3,0.5,0.2
248,15338,1,2,0.3,0.5,0.2
249,15343,1,2,0.3,0.5,0.2
250,15344,2,2,0.3,0.5,0.2
251,14302,9,2,0.3,0.5,0.2
252,14303,9,2,0.3,0.5,0.2
253,15342,1,2,0.3,0.5,0.2
254,14300,9,2,0.3,0.5,0.2
255,14301,9,2,0.3,0.5,0.2
256,14306,12,2,0.3,0.5,0.2
257,15346,2,2,0.3,0.5,0.2
258,14307,11,2,0.3,0.5,0.2
259,14304,9,2,0.3,0.5,0.2
260,14305,9,2,0.3,0.5,0.2
261,14310,8,2,0.3,0.5,0.2
262,14311,8,2,0.3,0.5,0.2
263,14308,7,2,0.3,0.5,0.2
264,14309,8,2,0.3,0.5,0.2
265,14835,7,2,0.3,0.5,0.2
266,14838,6,2,0.3,0.5,0.2
267,14839,7,2,0.3,0.5,0.2
268,14836,7,2,0.3,0.5,0.2
269,14837,6,2,0.3,0.5,0.2
270,14321,9,2,0.3,0.5,0.2
271,14326,9,2,0.3,0.5,0.2
272,14327,9,2,0.3,0.5,0.2
