,ID,year,FAR,r_c,r_r,r_poi
0,243,10,2.2,0.6,0.2,0.2
1,406,10,2.2,0.6,0.2,0.2
2,892,9,1.9,0.1,0.6,0.3
3,3584,3,2.1,0.6,0.2,0.2
4,5633,11,1.8,0.2,0.7,0.1
5,6377,10,2.2,0.6,0.2,0.2
6,7312,4,2.1,0.6,0.2,0.2
7,9296,2,2.1,0.2,0.4,0.4
8,9299,2,2.1,0.2,0.4,0.4
9,9300,2,2.1,0.2,0.4,0.4
10,9302,2,2.1,0.2,0.4,0.4
11,9303,2,2.1,0.2,0.4,0.4
12,9304,2,2.1,0.2,0.4,0.4
13,9306,2,2.1,0.2,0.4,0.4
14,9310,2,2.1,0.2,0.4,0.4
15,9311,2,2.1,0.2,0.4,0.4
16,9312,2,2.1,0.2,0.4,0.4
17,9313,2,2.1,0.2,0.4,0.4
18,9314,2,2.1,0.2,0.4,0.4
19,9316,2,2.1,0.2,0.4,0.4
20,9317,2,2.1,0.2,0.4,0.4
21,9318,2,2.1,0.2,0.4,0.4
22,9319,2,2.1,0.2,0.4,0.4
23,9322,2,2.1,0.2,0.4,0.4
24,9324,2,2.1,0.2,0.4,0.4
25,9326,2,2.1,0.2,0.4,0.4
26,9331,2,2.1,0.2,0.4,0.4
27,9495,2,2.0,0.4,0.2,0.4
28,9496,2,2.0,0.4,0.2,0.4
29,9498,2,2.0,0.4,0.2,0.4
30,9578,5,2.2,0.4,0.3,0.3
31,9872,7,2.2,0.6,0.2,0.2
32,9925,8,2.2,0.6,0.1,0.3
33,11827,8,2.2,0.6,0.1,0.3
34,11967,11,2.1,0.5,0.2,0.3
35,12044,10,2.2,0.6,0.2,0.2
36,12090,10,2.1,0.4,0.3,0.3
37,12091,10,2.1,0.5,0.2,0.3
38,12678,10,2.2,0.6,0.2,0.2
39,12696,4,2.2,0.4,0.2,0.4
40,12715,10,2.2,0.6,0.2,0.2
41,12759,5,2.1,0.4,0.3,0.3
42,12769,7,2.2,0.6,0.2,0.2
43,12826,2,2.0,0.2,0.4,0.4
44,12836,2,2.0,0.2,0.4,0.4
45,13009,3,2.2,0.4,0.2,0.4
46,13957,2,2.0,0.4,0.2,0.4
47,14031,6,1.8,0.3,0.3,0.4
48,14035,6,1.8,0.2,0.7,0.1
49,14038,6,1.8,0.2,0.7,0.1
50,14044,8,2.0,0.4,0.4,0.2
51,14045,8,2.0,0.4,0.4,0.2
52,14050,5,2.1,0.5,0.2,0.3
53,14054,5,1.8,0.4,0.2,0.4
54,14055,1,2.2,0.5,0.2,0.3
55,14057,5,2.0,0.4,0.4,0.2
56,14060,10,2.2,0.6,0.2,0.2
57,14062,3,2.2,0.5,0.2,0.3
58,14063,3,1.9,0.3,0.3,0.4
