,ID,year,FAR,r_c,r_r,r_poi
0,48,9,2.1,0.3,0.3,0.4
1,5633,9,2.1,0.3,0.3,0.4
2,9507,9,2.0,0.3,0.5,0.2
3,11966,9,2.2,0.3,0.3,0.4
4,14031,11,2.1,0.2,0.7,0.1
5,14035,1,2.2,0.3,0.3,0.4
6,14038,1,2.2,0.3,0.3,0.4
7,14041,3,2.1,0.3,0.3,0.4
8,14046,4,2.0,0.3,0.3,0.4
9,14054,2,2.2,0.6,0.2,0.2
10,14130,2,2.1,0.3,0.3,0.4
11,14133,4,1.9,0.7,0.2,0.1
12,14134,4,1.9,0.7,0.2,0.1
13,14145,10,2.0,0.3,0.5,0.2
14,14183,4,1.8,0.4,0.4,0.2
15,14207,11,1.8,0.4,0.4,0.2
16,14208,4,2.1,0.4,0.4,0.2
17,14209,4,2.1,0.4,0.4,0.2
18,14212,4,1.9,0.3,0.5,0.2
19,14213,11,2.0,0.4,0.4,0.2
20,14220,4,1.8,0.4,0.4,0.2
21,14221,4,1.8,0.3,0.5,0.2
22,14222,4,1.8,0.3,0.5,0.2
23,14224,11,1.9,0.4,0.4,0.2
24,14225,4,2.1,0.3,0.3,0.4
25,14228,4,2.1,0.6,0.2,0.2
26,14229,11,2.1,0.2,0.7,0.1
27,14230,4,1.8,0.3,0.5,0.2
28,14231,4,2.2,0.2,0.7,0.1
29,14232,4,2.1,0.3,0.3,0.4
30,14233,2,2.0,0.3,0.5,0.2
31,14245,2,2.0,0.3,0.5,0.2
32,14246,4,2.1,0.7,0.2,0.1
33,14248,4,2.1,0.7,0.2,0.1
34,14249,4,2.1,0.7,0.2,0.1
35,14252,4,2.1,0.7,0.2,0.1
36,14253,11,2.0,0.6,0.2,0.2
37,14261,11,1.8,0.3,0.5,0.2
38,14262,4,1.9,0.3,0.5,0.2
39,14264,4,2.2,0.2,0.7,0.1
40,14269,4,1.8,0.4,0.4,0.2
41,14270,2,1.8,0.3,0.5,0.2
42,14271,4,1.8,0.4,0.4,0.2
43,14272,2,1.8,0.3,0.5,0.2
44,14275,4,2.0,0.4,0.4,0.2
45,14276,4,1.8,0.4,0.4,0.2
46,14277,4,1.8,0.4,0.4,0.2
47,14278,11,2.1,0.3,0.3,0.4
48,14279,1,2.2,0.3,0.3,0.4
49,14281,10,2.1,0.3,0.5,0.2
50,14286,2,1.9,0.3,0.5,0.2
51,14287,2,2.0,0.3,0.5,0.2
52,14288,4,2.0,0.4,0.4,0.2
53,14289,4,1.9,0.6,0.2,0.2
54,14297,11,1.8,0.6,0.2,0.2
55,14298,4,1.8,0.6,0.2,0.2
56,14299,11,2.0,0.3,0.5,0.2
57,14307,1,2.1,0.3,0.3,0.4
58,14312,4,1.9,0.3,0.5,0.2
59,14319,5,1.8,0.4,0.4,0.2
60,14320,5,2.1,0.7,0.2,0.1
61,14329,5,1.9,0.3,0.5,0.2
62,14338,2,2.1,0.3,0.5,0.2
63,14339,2,2.1,0.3,0.5,0.2
64,14341,5,1.9,0.4,0.4,0.2
65,14342,5,1.9,0.4,0.4,0.2
66,14344,5,1.9,0.4,0.4,0.2
67,14346,5,1.8,0.4,0.4,0.2
68,14347,5,1.8,0.4,0.4,0.2
69,14349,5,1.8,0.4,0.4,0.2
70,14350,5,1.8,0.4,0.4,0.2
71,14352,5,2.0,0.4,0.4,0.2
72,14353,5,2.0,0.4,0.4,0.2
73,14354,5,2.0,0.4,0.4,0.2
74,14355,5,2.0,0.4,0.4,0.2
75,14356,5,1.8,0.4,0.4,0.2
76,14357,5,1.8,0.4,0.4,0.2
77,14359,5,1.9,0.4,0.4,0.2
78,14368,5,1.8,0.4,0.4,0.2
79,14369,5,1.8,0.4,0.4,0.2
80,14370,5,1.8,0.4,0.4,0.2
81,14371,5,2.2,0.2,0.7,0.1
82,14373,5,2.0,0.3,0.3,0.4
83,14376,5,2.0,0.3,0.3,0.4
84,14377,5,2.0,0.3,0.3,0.4
85,14378,5,2.0,0.3,0.3,0.4
86,14380,5,2.0,0.3,0.3,0.4
87,14381,5,2.0,0.3,0.3,0.4
88,14383,5,2.0,0.3,0.3,0.4
89,14384,5,2.0,0.3,0.3,0.4
90,14409,1,2.1,0.3,0.3,0.4
91,14411,1,2.1,0.3,0.3,0.4
92,14412,1,2.1,0.3,0.3,0.4
93,14413,11,1.8,0.6,0.2,0.2
94,14414,11,1.9,0.4,0.4,0.2
95,14415,11,1.9,0.6,0.2,0.2
96,14419,5,1.9,0.4,0.4,0.2
97,14420,6,1.9,0.3,0.5,0.2
98,14421,11,1.9,0.3,0.5,0.2
99,14422,11,1.9,0.6,0.2,0.2
100,14433,6,1.8,0.4,0.4,0.2
101,14435,6,1.8,0.4,0.4,0.2
102,14438,6,1.9,0.3,0.5,0.2
103,14439,6,1.9,0.3,0.5,0.2
104,14440,6,1.9,0.7,0.2,0.1
105,14441,6,2.0,0.4,0.4,0.2
106,14442,6,2.0,0.4,0.4,0.2
107,14443,6,2.0,0.4,0.4,0.2
108,14454,6,1.9,0.7,0.2,0.1
109,14496,9,2.2,0.7,0.2,0.1
110,14502,9,2.2,0.7,0.2,0.1
111,14541,9,2.2,0.3,0.3,0.4
112,14563,9,2.1,0.3,0.3,0.4
113,14564,9,2.1,0.3,0.3,0.4
114,14565,1,2.1,0.3,0.3,0.4
115,14566,1,2.2,0.3,0.3,0.4
116,14592,1,2.2,0.3,0.3,0.4
117,14593,6,2.2,0.3,0.3,0.4
118,14595,1,2.2,0.3,0.3,0.4
119,14596,1,1.8,0.4,0.4,0.2
120,14610,9,2.2,0.3,0.3,0.4
121,14611,9,2.2,0.3,0.3,0.4
122,14636,6,2.1,0.3,0.3,0.4
123,14637,9,2.1,0.3,0.3,0.4
124,14638,6,2.1,0.4,0.4,0.2
125,14639,9,2.1,0.3,0.3,0.4
126,14644,9,1.8,0.3,0.5,0.2
127,14646,2,2.2,0.3,0.3,0.4
128,14647,10,2.2,0.3,0.3,0.4
129,14648,2,2.2,0.3,0.3,0.4
130,14649,10,2.2,0.3,0.3,0.4
131,14650,2,2.2,0.3,0.3,0.4
132,14651,2,2.1,0.3,0.3,0.4
133,14652,10,2.2,0.3,0.3,0.4
134,14653,10,2.2,0.3,0.3,0.4
135,14654,10,2.1,0.3,0.3,0.4
136,14655,10,2.2,0.3,0.3,0.4
137,14656,10,2.2,0.3,0.3,0.4
138,14657,6,2.2,0.3,0.3,0.4
139,14658,6,2.2,0.3,0.3,0.4
140,14661,10,1.8,0.4,0.4,0.2
141,14662,2,2.0,0.4,0.4,0.2
142,14663,10,2.0,0.4,0.4,0.2
143,14664,10,2.1,0.3,0.3,0.4
144,14666,10,1.9,0.7,0.2,0.1
145,14667,10,1.9,0.7,0.2,0.1
146,14668,6,1.9,0.7,0.2,0.1
147,14669,10,1.9,0.3,0.5,0.2
148,14670,6,1.9,0.4,0.4,0.2
149,14671,10,1.9,0.4,0.4,0.2
150,14672,2,1.9,0.3,0.5,0.2
151,14673,10,1.9,0.6,0.2,0.2
152,14675,2,2.1,0.3,0.3,0.4
153,14676,2,2.0,0.4,0.4,0.2
154,14677,6,2.1,0.3,0.3,0.4
155,14678,6,2.1,0.3,0.3,0.4
156,14679,1,2.1,0.3,0.3,0.4
157,14687,10,2.2,0.3,0.3,0.4
158,14688,1,2.2,0.3,0.3,0.4
159,14690,10,2.1,0.3,0.3,0.4
160,14693,1,2.2,0.3,0.3,0.4
161,14694,1,2.1,0.3,0.3,0.4
162,14695,1,2.2,0.3,0.3,0.4
163,14696,1,2.2,0.3,0.3,0.4
164,14697,1,2.2,0.3,0.3,0.4
165,14698,10,2.2,0.3,0.3,0.4
166,14699,1,2.2,0.3,0.3,0.4
167,14700,6,2.2,0.3,0.3,0.4
168,14701,1,2.2,0.3,0.3,0.4
169,14711,1,2.2,0.3,0.3,0.4
170,14713,2,2.2,0.3,0.3,0.4
171,14714,6,2.2,0.3,0.3,0.4
172,14724,6,2.1,0.6,0.2,0.2
173,14725,6,2.2,0.3,0.3,0.4
174,14735,1,2.2,0.3,0.3,0.4
175,14736,6,2.2,0.3,0.3,0.4
