,ID,year,FAR,r_c,r_r,r_poi
0,14152,12,2.0,0.5,0.2,0.3
1,14076,12,2.0,0.5,0.2,0.3
2,14477,12,2.0,0.5,0.2,0.3
3,14478,12,2.0,0.5,0.2,0.3
4,14479,12,2.0,0.5,0.2,0.3
5,14480,12,2.0,0.5,0.2,0.3
6,14481,12,2.0,0.5,0.2,0.3
7,14483,12,2.0,0.5,0.2,0.3
8,14496,12,2.0,0.5,0.2,0.3
9,14497,12,2.0,0.5,0.2,0.3
10,14499,12,2.0,0.5,0.2,0.3
11,14500,12,2.0,0.5,0.2,0.3
12,14501,12,2.0,0.5,0.2,0.3
13,14502,12,2.0,0.5,0.2,0.3
14,14503,12,2.0,0.5,0.2,0.3
15,14504,12,2.0,0.5,0.2,0.3
16,14505,12,2.0,0.5,0.2,0.3
17,14506,12,2.0,0.5,0.2,0.3
18,14507,12,2.0,0.5,0.2,0.3
19,14523,12,2.0,0.5,0.2,0.3
20,14532,12,2.0,0.5,0.2,0.3
21,9578,12,2.0,0.5,0.2,0.3
22,12759,12,2.0,0.5,0.2,0.3
23,14012,12,2.0,0.5,0.2,0.3
24,14128,12,2.0,0.5,0.2,0.3
25,14148,12,2.0,0.5,0.2,0.3
26,14149,12,2.0,0.5,0.2,0.3
27,14150,12,2.0,0.5,0.2,0.3
28,14151,12,2.0,0.5,0.2,0.3
29,14879,12,2.0,0.5,0.2,0.3
30,3732,11,2.1,0.6,0.2,0.2
31,14079,11,2.1,0.6,0.2,0.2
32,14088,11,2.1,0.6,0.2,0.2
33,14092,11,2.1,0.6,0.2,0.2
34,14332,11,2.1,0.6,0.2,0.2
35,14333,11,2.1,0.6,0.2,0.2
36,14482,11,2.1,0.6,0.2,0.2
37,14498,11,2.1,0.6,0.2,0.2
38,14508,11,2.1,0.6,0.2,0.2
39,14510,11,2.1,0.6,0.2,0.2
40,14511,11,2.1,0.6,0.2,0.2
41,14512,11,2.1,0.6,0.2,0.2
42,14513,11,2.1,0.6,0.2,0.2
43,14514,11,2.1,0.6,0.2,0.2
44,14515,11,2.1,0.6,0.2,0.2
45,14516,11,2.1,0.6,0.2,0.2
46,14517,11,2.1,0.6,0.2,0.2
47,14518,11,2.1,0.6,0.2,0.2
48,14519,11,2.1,0.6,0.2,0.2
49,14520,11,2.1,0.6,0.2,0.2
50,14521,11,2.1,0.6,0.2,0.2
51,14522,11,2.1,0.6,0.2,0.2
52,14524,11,2.1,0.6,0.2,0.2
53,14535,11,2.1,0.6,0.2,0.2
54,14707,11,2.1,0.6,0.2,0.2
55,14708,11,2.1,0.6,0.2,0.2
56,14720,11,2.1,0.6,0.2,0.2
57,14721,11,2.1,0.6,0.2,0.2
58,14722,11,2.1,0.6,0.2,0.2
59,14724,11,2.1,0.6,0.2,0.2
60,14131,10,2.1,0.6,0.2,0.2
61,14137,10,2.1,0.6,0.2,0.2
62,14484,10,2.1,0.6,0.2,0.2
63,14608,10,2.1,0.6,0.2,0.2
64,14609,10,2.1,0.6,0.2,0.2
65,14610,10,2.1,0.6,0.2,0.2
66,14611,10,2.1,0.6,0.2,0.2
67,14624,10,2.1,0.6,0.2,0.2
68,14699,10,2.1,0.6,0.2,0.2
69,14700,10,2.1,0.6,0.2,0.2
70,14701,10,2.1,0.6,0.2,0.2
71,14726,10,2.1,0.6,0.2,0.2
72,14727,10,2.1,0.6,0.2,0.2
73,14738,10,2.1,0.6,0.2,0.2
74,14739,10,2.1,0.6,0.2,0.2
75,14753,10,2.1,0.6,0.2,0.2
76,14757,10,2.1,0.6,0.2,0.2
77,14758,10,2.1,0.6,0.2,0.2
78,14759,10,2.1,0.6,0.2,0.2
79,14760,10,2.1,0.6,0.2,0.2
80,14761,10,2.1,0.6,0.2,0.2
81,14762,10,2.1,0.6,0.2,0.2
82,14763,10,2.1,0.6,0.2,0.2
83,14764,10,2.1,0.6,0.2,0.2
84,14766,10,2.1,0.6,0.2,0.2
85,14952,10,2.1,0.6,0.2,0.2
86,14953,10,2.1,0.6,0.2,0.2
87,14955,10,2.1,0.6,0.2,0.2
88,14956,10,2.1,0.6,0.2,0.2
89,15385,10,2.1,0.6,0.2,0.2
90,14413,9,1.8,0.3,0.3,0.4
91,14888,9,1.8,0.3,0.3,0.4
92,14897,9,1.8,0.3,0.3,0.4
93,14898,9,1.8,0.3,0.3,0.4
94,14899,9,1.8,0.3,0.3,0.4
95,14900,9,1.8,0.3,0.3,0.4
96,14901,9,1.8,0.3,0.3,0.4
97,14902,9,1.8,0.3,0.3,0.4
98,14919,9,1.8,0.3,0.3,0.4
99,14920,9,1.8,0.3,0.3,0.4
100,14921,9,1.8,0.3,0.3,0.4
101,14922,9,1.8,0.3,0.3,0.4
102,14923,9,1.8,0.3,0.3,0.4
103,14924,9,1.8,0.3,0.3,0.4
104,14925,9,1.8,0.3,0.3,0.4
105,14926,9,1.8,0.3,0.3,0.4
106,14927,9,1.8,0.3,0.3,0.4
107,14928,9,1.8,0.3,0.3,0.4
108,14929,9,1.8,0.3,0.3,0.4
109,14930,9,1.8,0.3,0.3,0.4
110,14957,9,1.8,0.3,0.3,0.4
111,14958,9,1.8,0.3,0.3,0.4
112,14959,9,1.8,0.3,0.3,0.4
113,14960,9,1.8,0.3,0.3,0.4
114,14961,9,1.8,0.3,0.3,0.4
115,14962,9,1.8,0.3,0.3,0.4
116,15354,9,1.8,0.3,0.3,0.4
117,15384,9,1.8,0.3,0.3,0.4
118,15386,9,1.8,0.3,0.3,0.4
119,15387,9,1.8,0.3,0.3,0.4
120,14596,8,2.0,0.4,0.4,0.2
121,14880,8,2.0,0.4,0.4,0.2
122,14947,8,2.0,0.4,0.4,0.2
123,14948,8,2.0,0.4,0.4,0.2
124,14949,8,2.0,0.4,0.4,0.2
125,11967,8,2.0,0.4,0.4,0.2
126,13346,8,2.0,0.4,0.4,0.2
127,13763,8,2.0,0.4,0.4,0.2
128,14100,8,2.0,0.4,0.4,0.2
129,14107,8,2.0,0.4,0.4,0.2
130,14121,8,2.0,0.4,0.4,0.2
131,14123,8,2.0,0.4,0.4,0.2
132,14124,8,2.0,0.4,0.4,0.2
133,14125,8,2.0,0.4,0.4,0.2
134,14540,8,2.0,0.4,0.4,0.2
135,14542,8,2.0,0.4,0.4,0.2
136,14560,8,2.0,0.4,0.4,0.2
137,14602,8,2.0,0.4,0.4,0.2
138,14605,8,2.0,0.4,0.4,0.2
139,14606,8,2.0,0.4,0.4,0.2
140,14622,8,2.0,0.4,0.4,0.2
141,14623,8,2.0,0.4,0.4,0.2
142,14625,8,2.0,0.4,0.4,0.2
143,14628,8,2.0,0.4,0.4,0.2
144,14631,8,2.0,0.4,0.4,0.2
145,14632,8,2.0,0.4,0.4,0.2
146,14633,8,2.0,0.4,0.4,0.2
147,14634,8,2.0,0.4,0.4,0.2
148,14660,8,2.0,0.4,0.4,0.2
149,14703,8,2.0,0.4,0.4,0.2
150,14157,7,1.8,0.3,0.5,0.2
151,14158,7,1.8,0.3,0.5,0.2
152,14810,7,1.8,0.3,0.5,0.2
153,14811,7,1.8,0.3,0.5,0.2
154,14875,7,1.8,0.3,0.5,0.2
155,14881,7,1.8,0.3,0.5,0.2
156,14882,7,1.8,0.3,0.5,0.2
157,14883,7,1.8,0.3,0.5,0.2
158,14884,7,1.8,0.3,0.5,0.2
159,14903,7,1.8,0.3,0.5,0.2
160,14904,7,1.8,0.3,0.5,0.2
161,14905,7,1.8,0.3,0.5,0.2
162,14915,7,1.8,0.3,0.5,0.2
163,14931,7,1.8,0.3,0.5,0.2
164,14932,7,1.8,0.3,0.5,0.2
165,14933,7,1.8,0.3,0.5,0.2
166,14934,7,1.8,0.3,0.5,0.2
167,14935,7,1.8,0.3,0.5,0.2
168,14936,7,1.8,0.3,0.5,0.2
169,14937,7,1.8,0.3,0.5,0.2
170,14938,7,1.8,0.3,0.5,0.2
171,14939,7,1.8,0.3,0.5,0.2
172,14940,7,1.8,0.3,0.5,0.2
173,14941,7,1.8,0.3,0.5,0.2
174,14942,7,1.8,0.3,0.5,0.2
175,14943,7,1.8,0.3,0.5,0.2
176,14944,7,1.8,0.3,0.5,0.2
177,14945,7,1.8,0.3,0.5,0.2
178,14946,7,1.8,0.3,0.5,0.2
179,14977,7,1.8,0.3,0.5,0.2
180,14050,6,2.2,0.1,0.7,0.2
181,14070,6,2.2,0.1,0.7,0.2
182,14071,6,2.2,0.1,0.7,0.2
183,14072,6,2.2,0.1,0.7,0.2
184,14075,6,2.2,0.1,0.7,0.2
185,14113,6,2.2,0.1,0.7,0.2
186,14470,6,2.2,0.1,0.7,0.2
187,14471,6,2.2,0.1,0.7,0.2
188,14472,6,2.2,0.1,0.7,0.2
189,14473,6,2.2,0.1,0.7,0.2
190,14474,6,2.2,0.1,0.7,0.2
191,14581,6,2.2,0.1,0.7,0.2
192,14586,6,2.2,0.1,0.7,0.2
193,14587,6,2.2,0.1,0.7,0.2
194,14588,6,2.2,0.1,0.7,0.2
195,14589,6,2.2,0.1,0.7,0.2
196,14590,6,2.2,0.1,0.7,0.2
197,14592,6,2.2,0.1,0.7,0.2
198,14593,6,2.2,0.1,0.7,0.2
199,14594,6,2.2,0.1,0.7,0.2
200,14595,6,2.2,0.1,0.7,0.2
201,14835,6,2.2,0.1,0.7,0.2
202,14836,6,2.2,0.1,0.7,0.2
203,14837,6,2.2,0.1,0.7,0.2
204,14838,6,2.2,0.1,0.7,0.2
205,14839,6,2.2,0.1,0.7,0.2
206,14841,6,2.2,0.1,0.7,0.2
207,15383,6,2.2,0.1,0.7,0.2
208,15542,6,2.2,0.1,0.7,0.2
209,15558,6,2.2,0.1,0.7,0.2
210,11966,5,2.1,0.7,0.2,0.1
211,11969,5,2.1,0.7,0.2,0.1
212,14077,5,2.1,0.7,0.2,0.1
213,14101,5,2.1,0.7,0.2,0.1
214,14102,5,2.1,0.7,0.2,0.1
215,14336,5,2.1,0.7,0.2,0.1
216,14541,5,2.1,0.7,0.2,0.1
217,14563,5,2.1,0.7,0.2,0.1
218,14564,5,2.1,0.7,0.2,0.1
219,14565,5,2.1,0.7,0.2,0.1
220,14566,5,2.1,0.7,0.2,0.1
221,14620,5,2.1,0.7,0.2,0.1
222,14621,5,2.1,0.7,0.2,0.1
223,14635,5,2.1,0.7,0.2,0.1
224,14636,5,2.1,0.7,0.2,0.1
225,14638,5,2.1,0.7,0.2,0.1
226,14639,5,2.1,0.7,0.2,0.1
227,14646,5,2.1,0.7,0.2,0.1
228,14647,5,2.1,0.7,0.2,0.1
229,14648,5,2.1,0.7,0.2,0.1
230,14649,5,2.1,0.7,0.2,0.1
231,14650,5,2.1,0.7,0.2,0.1
232,14651,5,2.1,0.7,0.2,0.1
233,14652,5,2.1,0.7,0.2,0.1
234,14653,5,2.1,0.7,0.2,0.1
235,14655,5,2.1,0.7,0.2,0.1
236,14656,5,2.1,0.7,0.2,0.1
237,14657,5,2.1,0.7,0.2,0.1
238,14658,5,2.1,0.7,0.2,0.1
239,14659,5,2.1,0.7,0.2,0.1
240,14193,4,1.9,0.4,0.2,0.4
241,14194,4,1.9,0.4,0.2,0.4
242,14195,4,1.9,0.4,0.2,0.4
243,14196,4,1.9,0.4,0.2,0.4
244,14197,4,1.9,0.4,0.2,0.4
245,14198,4,1.9,0.4,0.2,0.4
246,14199,4,1.9,0.4,0.2,0.4
247,14200,4,1.9,0.4,0.2,0.4
248,14201,4,1.9,0.4,0.2,0.4
249,14202,4,1.9,0.4,0.2,0.4
250,14218,4,1.9,0.4,0.2,0.4
251,14219,4,1.9,0.4,0.2,0.4
252,15330,4,1.9,0.4,0.2,0.4
253,15340,4,1.9,0.4,0.2,0.4
254,15341,4,1.9,0.4,0.2,0.4
255,15347,4,1.9,0.4,0.2,0.4
256,15348,4,1.9,0.4,0.2,0.4
257,15349,4,1.9,0.4,0.2,0.4
258,15350,4,1.9,0.4,0.2,0.4
259,15351,4,1.9,0.4,0.2,0.4
260,15352,4,1.9,0.4,0.2,0.4
261,15355,4,1.9,0.4,0.2,0.4
262,15356,4,1.9,0.4,0.2,0.4
263,15357,4,1.9,0.4,0.2,0.4
264,15358,4,1.9,0.4,0.2,0.4
265,15359,4,1.9,0.4,0.2,0.4
266,15553,4,1.9,0.4,0.2,0.4
267,14802,4,1.9,0.4,0.2,0.4
268,14808,4,1.9,0.4,0.2,0.4
269,14859,4,1.9,0.4,0.2,0.4
270,14145,3,1.9,0.4,0.2,0.4
271,14803,3,1.9,0.4,0.2,0.4
272,14804,3,1.9,0.4,0.2,0.4
273,14805,3,1.9,0.4,0.2,0.4
274,14806,3,1.9,0.4,0.2,0.4
275,14807,3,1.9,0.4,0.2,0.4
276,14809,3,1.9,0.4,0.2,0.4
277,14831,3,1.9,0.4,0.2,0.4
278,14847,3,1.9,0.4,0.2,0.4
279,14848,3,1.9,0.4,0.2,0.4
280,14849,3,1.9,0.4,0.2,0.4
281,14850,3,1.9,0.4,0.2,0.4
282,14851,3,1.9,0.4,0.2,0.4
283,14852,3,1.9,0.4,0.2,0.4
284,14860,3,1.9,0.4,0.2,0.4
285,14861,3,1.9,0.4,0.2,0.4
286,14863,3,1.9,0.4,0.2,0.4
287,14864,3,1.9,0.4,0.2,0.4
288,14865,3,1.9,0.4,0.2,0.4
289,14866,3,1.9,0.4,0.2,0.4
290,14867,3,1.9,0.4,0.2,0.4
291,14868,3,1.9,0.4,0.2,0.4
292,14869,3,1.9,0.4,0.2,0.4
293,14870,3,1.9,0.4,0.2,0.4
294,14871,3,1.9,0.4,0.2,0.4
295,14872,3,1.9,0.4,0.2,0.4
296,14874,3,1.9,0.4,0.2,0.4
297,15367,3,1.9,0.4,0.2,0.4
298,15368,3,1.9,0.4,0.2,0.4
299,15369,3,1.9,0.4,0.2,0.4
300,3584,2,2.2,0.1,0.7,0.2
301,9495,2,2.2,0.1,0.7,0.2
302,9496,2,2.2,0.1,0.7,0.2
303,9498,2,2.2,0.1,0.7,0.2
304,13957,2,2.2,0.1,0.7,0.2
305,14162,2,2.2,0.1,0.7,0.2
306,14167,2,2.2,0.1,0.7,0.2
307,14191,2,2.2,0.1,0.7,0.2
308,14203,2,2.2,0.1,0.7,0.2
309,14974,2,2.2,0.1,0.7,0.2
310,14975,2,2.2,0.1,0.7,0.2
311,14976,2,2.2,0.1,0.7,0.2
312,14991,2,2.2,0.1,0.7,0.2
313,14994,2,2.2,0.1,0.7,0.2
314,14995,2,2.2,0.1,0.7,0.2
315,14996,2,2.2,0.1,0.7,0.2
316,14997,2,2.2,0.1,0.7,0.2
317,14998,2,2.2,0.1,0.7,0.2
318,14999,2,2.2,0.1,0.7,0.2
319,15000,2,2.2,0.1,0.7,0.2
320,15001,2,2.2,0.1,0.7,0.2
321,15332,2,2.2,0.1,0.7,0.2
322,15333,2,2.2,0.1,0.7,0.2
323,15334,2,2.2,0.1,0.7,0.2
324,15335,2,2.2,0.1,0.7,0.2
325,15336,2,2.2,0.1,0.7,0.2
326,15337,2,2.2,0.1,0.7,0.2
327,15370,2,2.2,0.1,0.7,0.2
328,15546,2,2.2,0.1,0.7,0.2
329,14896,2,2.2,0.1,0.7,0.2
330,14142,1,2.2,0.1,0.7,0.2
331,14143,1,2.2,0.1,0.7,0.2
332,14144,1,2.2,0.1,0.7,0.2
333,14163,1,2.2,0.1,0.7,0.2
334,14206,1,2.2,0.1,0.7,0.2
335,14832,1,2.2,0.1,0.7,0.2
336,14840,1,2.2,0.1,0.7,0.2
337,14842,1,2.2,0.1,0.7,0.2
338,14843,1,2.2,0.1,0.7,0.2
339,14844,1,2.2,0.1,0.7,0.2
340,14845,1,2.2,0.1,0.7,0.2
341,14846,1,2.2,0.1,0.7,0.2
342,14853,1,2.2,0.1,0.7,0.2
343,14854,1,2.2,0.1,0.7,0.2
344,14855,1,2.2,0.1,0.7,0.2
345,14856,1,2.2,0.1,0.7,0.2
