,year,ID,r_c,r_r,r_poi,FAR
0,1,14125.0,0.7,0.2,0.1,2.2
1,1,14594.0,0.3,0.3,0.4,2.2
2,1,14653.0,0.2,0.7,0.1,1.8
3,1,14128.0,0.6,0.2,0.2,2.2
4,1,14490.0,0.4,0.2,0.4,2.1
5,1,14663.0,0.3,0.3,0.4,1.8
6,2,14699.0,0.4,0.3,0.3,2.2
7,2,14657.0,0.2,0.6,0.2,1.9
8,2,14098.0,0.5,0.2,0.3,2.2
9,2,14659.0,0.7,0.2,0.1,2.0
10,2,14506.0,0.3,0.5,0.2,2.1
11,2,14725.0,0.6,0.3,0.1,2.2
12,3,15554.0,0.6,0.3,0.1,2.1
13,3,14704.0,0.5,0.2,0.3,2.1
14,3,14566.0,0.3,0.5,0.2,1.8
15,3,12091.0,0.2,0.7,0.1,1.8
16,3,14656.0,0.4,0.2,0.4,1.8
17,3,15544.0,0.6,0.3,0.1,2.2
18,4,14589.0,0.7,0.2,0.1,2.2
19,4,14505.0,0.3,0.3,0.4,2.2
20,4,14502.0,0.3,0.3,0.4,2.2
21,4,14601.0,0.6,0.2,0.2,2.2
22,4,14691.0,0.4,0.2,0.4,2.1
23,4,14649.0,0.3,0.3,0.4,1.8
24,5,14708.0,0.7,0.2,0.1,2.2
25,5,14624.0,0.4,0.2,0.4,2.1
26,5,14123.0,0.2,0.6,0.2,2.1
27,5,14473.0,0.2,0.7,0.1,2.2
28,5,14513.0,0.3,0.3,0.4,2.1
29,5,14071.0,0.7,0.2,0.1,2.2
30,6,14764.0,0.2,0.6,0.2,2.1
31,6,14132.0,0.4,0.2,0.4,1.9
32,6,3732.0,0.7,0.2,0.1,2.0
33,6,14690.0,0.3,0.5,0.2,2.1
34,6,14730.0,0.4,0.2,0.4,2.2
35,6,14660.0,0.3,0.5,0.2,2.1
36,7,14542.0,0.2,0.4,0.4,2.2
37,7,14700.0,0.4,0.2,0.4,2.0
38,7,6377.0,0.7,0.2,0.1,2.0
39,7,14593.0,0.2,0.6,0.2,2.1
40,7,14760.0,0.7,0.2,0.1,2.1
41,7,14647.0,0.1,0.7,0.2,2.1
42,8,14057.0,0.4,0.3,0.3,1.9
43,8,14099.0,0.6,0.1,0.3,1.8
44,8,14805.0,0.5,0.2,0.3,1.9
45,8,14727.0,0.3,0.3,0.4,2.2
46,8,14766.0,0.6,0.1,0.3,1.9
47,8,14853.0,0.3,0.3,0.4,2.2
48,9,14654.0,0.2,0.6,0.2,1.9
49,9,14633.0,0.1,0.6,0.3,2.1
50,9,14544.0,0.6,0.2,0.2,1.8
51,9,14722.0,0.3,0.3,0.4,2.2
52,9,15543.0,0.1,0.6,0.3,2.2
53,9,14732.0,0.2,0.7,0.1,1.8
54,10,14703.0,0.1,0.7,0.2,2.1
55,10,14092.0,0.5,0.2,0.3,2.0
56,10,14646.0,0.7,0.2,0.1,1.9
57,10,14498.0,0.2,0.6,0.2,2.0
58,10,14685.0,0.6,0.3,0.1,1.9
59,10,14500.0,0.3,0.5,0.2,2.1
60,11,14850.0,0.6,0.3,0.1,2.2
61,11,14595.0,0.5,0.2,0.3,2.1
62,11,14541.0,0.3,0.5,0.2,1.8
63,11,14501.0,0.2,0.7,0.1,1.8
64,11,14581.0,0.6,0.2,0.2,2.0
65,11,14706.0,0.6,0.3,0.1,2.2
66,12,11966.0,0.2,0.4,0.4,2.2
67,12,14709.0,0.7,0.2,0.1,1.8
68,12,14848.0,0.2,0.7,0.1,2.2
69,12,14762.0,0.4,0.3,0.3,2.2
70,12,14610.0,0.4,0.2,0.4,2.2
71,12,14539.0,0.6,0.3,0.1,1.9
