,year,ID,r_c,r_r,r_poi,FAR
0,1,14610.0,0.6,0.2,0.2,1.8
1,1,14646.0,0.4,0.3,0.3,1.8
2,1,14724.0,0.4,0.3,0.3,2.1
3,1,14605.0,0.2,0.6,0.2,2.1
4,1,14131.0,0.7,0.2,0.1,1.9
5,1,14766.0,0.4,0.2,0.4,2.2
6,2,14654.0,0.3,0.3,0.4,2.1
7,2,14601.0,0.1,0.7,0.2,2.2
8,2,14333.0,0.6,0.2,0.2,2.2
9,2,14589.0,0.6,0.2,0.2,1.8
10,2,14100.0,0.3,0.5,0.2,2.0
11,2,14628.0,0.7,0.2,0.1,2.1
12,3,14709.0,0.3,0.3,0.4,1.9
13,3,14497.0,0.6,0.3,0.1,2.0
14,3,14101.0,0.2,0.7,0.1,2.0
15,3,14099.0,0.6,0.2,0.2,2.2
16,3,14757.0,0.2,0.7,0.1,2.0
17,3,14647.0,0.2,0.7,0.1,1.9
18,4,15543.0,0.3,0.5,0.2,2.2
19,4,14713.0,0.2,0.6,0.2,2.1
20,4,14706.0,0.1,0.6,0.3,2.1
21,4,15545.0,0.4,0.2,0.4,2.1
22,4,14699.0,0.3,0.5,0.2,1.8
23,4,14703.0,0.4,0.2,0.4,2.2
24,5,14653.0,0.2,0.6,0.2,1.9
25,5,14484.0,0.6,0.2,0.2,1.9
26,5,14117.0,0.4,0.2,0.4,1.8
27,5,14481.0,0.6,0.2,0.2,1.8
28,5,6377.0,0.6,0.2,0.2,2.1
29,5,14636.0,0.6,0.2,0.2,2.2
30,6,48.0,0.3,0.3,0.4,1.9
31,6,14592.0,0.6,0.3,0.1,2.0
32,6,14708.0,0.2,0.7,0.1,2.0
33,6,14761.0,0.2,0.7,0.1,2.2
34,6,14700.0,0.2,0.7,0.1,2.2
35,6,14543.0,0.4,0.2,0.4,1.9
36,7,14609.0,0.6,0.2,0.2,2.2
37,7,14538.0,0.2,0.4,0.4,2.2
38,7,14532.0,0.2,0.7,0.1,2.2
39,7,14510.0,0.2,0.7,0.1,1.9
40,7,14539.0,0.6,0.3,0.1,2.2
41,7,14718.0,0.2,0.7,0.1,1.9
42,8,14695.0,0.2,0.4,0.4,1.9
43,8,14128.0,0.5,0.2,0.3,1.9
44,8,14477.0,0.5,0.2,0.3,1.8
45,8,14075.0,0.2,0.7,0.1,2.2
46,8,14638.0,0.7,0.2,0.1,2.2
47,8,14071.0,0.6,0.2,0.2,2.2
48,9,14660.0,0.3,0.5,0.2,2.1
49,9,15554.0,0.5,0.2,0.3,1.8
50,9,14542.0,0.2,0.6,0.2,1.9
51,9,14482.0,0.2,0.7,0.1,1.9
52,9,14088.0,0.6,0.3,0.1,2.0
53,9,14092.0,0.2,0.7,0.1,2.0
54,10,14098.0,0.7,0.2,0.1,2.1
55,10,14659.0,0.7,0.2,0.1,2.1
56,10,14652.0,0.6,0.2,0.2,2.2
57,10,14701.0,0.1,0.6,0.3,2.0
58,10,14634.0,0.4,0.3,0.3,2.1
59,10,14513.0,0.6,0.3,0.1,2.0
60,11,14685.0,0.6,0.1,0.3,1.9
61,11,14649.0,0.2,0.4,0.4,2.2
62,11,14490.0,0.7,0.2,0.1,1.9
63,11,14702.0,0.2,0.7,0.1,1.9
64,11,14471.0,0.1,0.7,0.2,1.9
65,11,14076.0,0.2,0.6,0.2,1.9
66,12,14079.0,0.4,0.2,0.4,2.2
67,12,14581.0,0.2,0.7,0.1,2.2
68,12,14566.0,0.3,0.3,0.4,2.1
69,12,14656.0,0.2,0.7,0.1,1.9
70,12,14756.0,0.6,0.3,0.1,2.0
71,12,14838.0,0.2,0.7,0.1,2.0
