,ID,year,FAR,r_c,r_r,r_poi
0,48,1,2.2,0.4,0.2,0.4
1,14693,1,2.2,0.4,0.2,0.4
2,14766,1,2.2,0.4,0.2,0.4
3,14143,1,2.2,0.4,0.2,0.4
4,14490,1,2.2,0.4,0.2,0.4
5,15543,1,2.2,0.4,0.2,0.4
6,14732,2,2.2,0.4,0.2,0.4
7,14653,2,2.2,0.4,0.2,0.4
8,14660,2,2.2,0.4,0.2,0.4
9,14717,2,2.2,0.4,0.2,0.4
10,14076,2,2.2,0.4,0.2,0.4
11,14757,2,2.2,0.4,0.2,0.4
12,14532,3,2.2,0.4,0.2,0.4
13,14596,3,2.2,0.4,0.2,0.4
14,14126,3,2.2,0.4,0.2,0.4
15,14656,3,2.2,0.4,0.2,0.4
16,14682,3,2.2,0.4,0.2,0.4
17,14651,3,2.2,0.4,0.2,0.4
18,14652,4,2.2,0.4,0.2,0.4
19,14700,4,2.2,0.4,0.2,0.4
20,14855,4,2.2,0.4,0.2,0.4
21,14684,4,2.2,0.4,0.2,0.4
22,14601,4,2.2,0.4,0.2,0.4
23,14661,4,2.2,0.4,0.2,0.4
24,14054,5,2.2,0.4,0.2,0.4
25,14681,5,2.2,0.4,0.2,0.4
26,14144,5,2.2,0.4,0.2,0.4
27,14595,5,2.2,0.4,0.2,0.4
28,14667,5,2.2,0.4,0.2,0.4
29,15545,5,2.2,0.4,0.2,0.4
30,14075,6,2.2,0.4,0.2,0.4
31,14659,6,2.2,0.4,0.2,0.4
32,14685,6,2.2,0.4,0.2,0.4
33,14649,6,2.2,0.4,0.2,0.4
34,14851,6,2.2,0.4,0.2,0.4
35,14628,6,2.2,0.4,0.2,0.4
36,14858,7,2.2,0.4,0.2,0.4
37,5633,7,2.2,0.4,0.2,0.4
38,14756,7,2.2,0.4,0.2,0.4
39,14634,7,2.2,0.4,0.2,0.4
40,14846,7,2.2,0.4,0.2,0.4
41,14808,7,2.2,0.4,0.2,0.4
42,14849,8,2.2,0.4,0.2,0.4
43,14128,8,2.2,0.4,0.2,0.4
44,14709,8,2.2,0.4,0.2,0.4
45,14665,8,2.2,0.4,0.2,0.4
46,14092,8,2.2,0.4,0.2,0.4
47,14497,8,2.2,0.4,0.2,0.4
48,14848,9,2.2,0.4,0.2,0.4
49,14484,9,2.2,0.4,0.2,0.4
50,14630,9,2.2,0.4,0.2,0.4
51,14690,9,2.2,0.4,0.2,0.4
52,14842,9,2.2,0.4,0.2,0.4
53,14482,9,2.2,0.4,0.2,0.4
54,14130,10,2.2,0.4,0.2,0.4
55,14703,10,2.2,0.4,0.2,0.4
56,14513,10,2.2,0.4,0.2,0.4
57,14856,10,2.2,0.4,0.2,0.4
58,14655,10,2.2,0.4,0.2,0.4
59,14610,10,2.2,0.4,0.2,0.4
60,14718,11,2.2,0.4,0.2,0.4
61,14131,11,2.2,0.4,0.2,0.4
62,14735,11,2.2,0.4,0.2,0.4
63,14142,11,2.2,0.4,0.2,0.4
64,14755,11,2.2,0.4,0.2,0.4
65,14129,11,2.2,0.4,0.2,0.4
66,15383,12,2.2,0.4,0.2,0.4
67,14666,12,2.2,0.4,0.2,0.4
68,14636,12,2.2,0.4,0.2,0.4
69,14122,12,2.2,0.4,0.2,0.4
70,14638,12,2.2,0.4,0.2,0.4
71,14477,12,2.2,0.4,0.2,0.4
