,year,ID,r_c,r_r,r_poi,FAR
0,1,14737.0,0.7,0.2,0.1,2.2
1,1,14703.0,0.4,0.2,0.4,1.8
2,1,6377.0,0.6,0.3,0.1,1.9
3,1,14755.0,0.6,0.2,0.2,2.0
4,1,14762.0,0.4,0.3,0.3,2.1
5,1,14490.0,0.3,0.3,0.4,2.1
6,2,14659.0,0.6,0.2,0.2,1.9
7,2,13346.0,0.6,0.2,0.2,2.1
8,2,14601.0,0.3,0.3,0.4,1.9
9,2,14125.0,0.4,0.2,0.4,2.0
10,2,14524.0,0.4,0.3,0.3,1.8
11,2,14610.0,0.4,0.2,0.4,1.9
12,3,14628.0,0.6,0.2,0.2,2.2
13,3,14057.0,0.6,0.3,0.1,2.0
14,3,14635.0,0.6,0.2,0.2,2.0
15,3,15542.0,0.7,0.2,0.1,2.1
16,3,14478.0,0.5,0.2,0.3,1.9
17,3,15554.0,0.4,0.2,0.4,1.9
18,4,14099.0,0.4,0.2,0.4,2.2
19,4,14700.0,0.5,0.2,0.3,1.9
20,4,14539.0,0.1,0.6,0.3,2.2
21,4,14690.0,0.2,0.6,0.2,1.8
22,4,14757.0,0.7,0.2,0.1,2.0
23,4,14660.0,0.3,0.3,0.4,2.2
24,5,14709.0,0.4,0.2,0.4,1.8
25,5,14719.0,0.4,0.3,0.3,1.9
26,5,48.0,0.6,0.1,0.3,1.9
27,5,14542.0,0.4,0.2,0.4,1.9
28,5,14564.0,0.1,0.6,0.3,2.2
29,5,15543.0,0.6,0.3,0.1,2.0
30,6,14681.0,0.3,0.5,0.2,2.2
31,6,14624.0,0.5,0.2,0.3,2.2
32,6,14513.0,0.7,0.2,0.1,1.8
33,6,14535.0,0.6,0.2,0.2,1.9
34,6,14654.0,0.7,0.2,0.1,2.0
35,6,14759.0,0.5,0.2,0.3,2.1
36,7,14507.0,0.1,0.6,0.3,2.1
37,7,14581.0,0.7,0.2,0.1,2.2
38,7,12715.0,0.6,0.2,0.2,2.2
39,7,11969.0,0.7,0.2,0.1,2.0
40,7,14054.0,0.6,0.2,0.2,1.9
41,7,14131.0,0.5,0.2,0.3,2.2
42,8,14634.0,0.2,0.7,0.1,2.1
43,8,14685.0,0.4,0.2,0.4,2.2
44,8,14649.0,0.3,0.5,0.2,2.1
45,8,14653.0,0.1,0.6,0.3,1.9
46,8,14517.0,0.6,0.2,0.2,2.0
47,8,14638.0,0.6,0.1,0.3,2.1
48,9,14475.0,0.2,0.7,0.1,1.9
49,9,14499.0,0.2,0.6,0.2,1.8
50,9,14532.0,0.5,0.2,0.3,2.2
51,9,14592.0,0.4,0.2,0.4,2.2
52,9,14656.0,0.2,0.4,0.4,2.2
53,9,14117.0,0.3,0.3,0.4,2.1
54,10,14670.0,0.5,0.2,0.3,2.1
55,10,14761.0,0.4,0.2,0.4,1.9
56,10,14636.0,0.6,0.3,0.1,2.1
57,10,14092.0,0.7,0.2,0.1,2.1
58,10,14060.0,0.4,0.3,0.3,2.1
59,10,14497.0,0.7,0.2,0.1,2.2
60,11,14684.0,0.3,0.3,0.4,2.2
61,11,14113.0,0.7,0.2,0.1,1.9
62,11,14511.0,0.4,0.3,0.3,2.1
63,11,14333.0,0.5,0.2,0.3,2.0
64,11,14595.0,0.3,0.3,0.4,2.2
65,11,14766.0,0.6,0.2,0.2,2.0
66,12,14602.0,0.7,0.2,0.1,2.2
67,12,14482.0,0.5,0.2,0.3,2.1
68,12,14658.0,0.3,0.5,0.2,1.8
69,12,14088.0,0.6,0.1,0.3,2.1
70,12,14477.0,0.2,0.4,0.4,2.2
71,12,14652.0,0.5,0.2,0.3,2.2
