,ID,year,FAR,r_c,r_r,r_poi
0,48,7,1.899999976158142,0.2,0.6,0.2
1,6377,1,2.200000047683716,0.6,0.2,0.2
2,12091,3,2.0999999046325684,0.7,0.2,0.1
3,12678,1,2.200000047683716,0.6,0.2,0.2
4,13346,6,2.0999999046325684,0.1,0.6,0.3
5,13763,6,2.0999999046325684,0.1,0.6,0.3
6,14050,9,1.899999976158142,0.2,0.4,0.4
7,14054,9,1.899999976158142,0.2,0.4,0.4
8,14057,1,2.200000047683716,0.6,0.2,0.2
9,14060,1,2.200000047683716,0.6,0.2,0.2
10,14070,9,1.899999976158142,0.2,0.4,0.4
11,14071,2,2.0999999046325684,0.6,0.1,0.3
12,14072,9,1.899999976158142,0.2,0.4,0.4
13,14075,2,2.0999999046325684,0.6,0.1,0.3
14,14098,4,2.0999999046325684,0.4,0.4,0.2
15,14099,1,2.200000047683716,0.6,0.2,0.2
16,14100,4,2.0999999046325684,0.4,0.4,0.2
17,14101,4,2.0999999046325684,0.4,0.4,0.2
18,14115,3,2.0999999046325684,0.7,0.2,0.1
19,14117,2,2.0999999046325684,0.6,0.1,0.3
20,14121,6,2.0999999046325684,0.1,0.6,0.3
21,14123,8,1.899999976158142,0.1,0.7,0.2
22,14470,9,1.899999976158142,0.2,0.4,0.4
23,14471,2,2.0999999046325684,0.6,0.1,0.3
24,14474,2,2.0999999046325684,0.6,0.1,0.3
25,14484,7,1.899999976158142,0.2,0.6,0.2
26,14539,1,2.200000047683716,0.6,0.2,0.2
27,14540,4,2.0999999046325684,0.4,0.4,0.2
28,14541,5,2.0999999046325684,0.3,0.5,0.2
29,14543,4,2.0999999046325684,0.4,0.4,0.2
30,14560,6,2.0999999046325684,0.1,0.6,0.3
31,14566,5,2.0999999046325684,0.3,0.5,0.2
32,14581,2,2.0999999046325684,0.6,0.1,0.3
33,14597,3,2.0999999046325684,0.7,0.2,0.1
34,14603,3,2.0999999046325684,0.7,0.2,0.1
35,14605,8,1.899999976158142,0.1,0.7,0.2
36,14606,8,1.899999976158142,0.1,0.7,0.2
37,14610,7,1.899999976158142,0.2,0.6,0.2
38,14611,7,1.899999976158142,0.2,0.6,0.2
39,14620,12,1.7999999523162842,0.3,0.5,0.2
40,14622,6,2.0999999046325684,0.1,0.6,0.3
41,14623,8,1.899999976158142,0.1,0.7,0.2
42,14631,8,1.899999976158142,0.1,0.7,0.2
43,14632,8,1.899999976158142,0.1,0.7,0.2
44,14634,6,2.0999999046325684,0.1,0.6,0.3
45,14635,4,2.0999999046325684,0.4,0.4,0.2
46,14646,5,2.0999999046325684,0.3,0.5,0.2
47,14647,5,2.0999999046325684,0.3,0.5,0.2
48,14649,5,2.0999999046325684,0.3,0.5,0.2
49,14656,5,2.0999999046325684,0.3,0.5,0.2
50,14694,7,1.899999976158142,0.2,0.6,0.2
51,14738,7,1.899999976158142,0.2,0.6,0.2
52,14802,12,1.7999999523162842,0.3,0.5,0.2
53,14803,12,1.7999999523162842,0.3,0.5,0.2
54,14804,12,1.7999999523162842,0.3,0.5,0.2
55,14805,12,1.7999999523162842,0.3,0.5,0.2
56,14806,12,1.7999999523162842,0.3,0.5,0.2
57,14847,11,1.7999999523162842,0.5,0.2,0.3
58,14848,11,1.7999999523162842,0.5,0.2,0.3
59,14849,11,1.7999999523162842,0.5,0.2,0.3
60,14850,11,1.7999999523162842,0.5,0.2,0.3
61,14851,11,1.7999999523162842,0.5,0.2,0.3
62,14852,11,1.7999999523162842,0.5,0.2,0.3
63,14853,10,1.899999976158142,0.4,0.3,0.3
64,14854,10,1.899999976158142,0.4,0.3,0.3
65,14855,10,1.899999976158142,0.4,0.3,0.3
66,14856,10,1.899999976158142,0.4,0.3,0.3
67,14857,10,1.899999976158142,0.4,0.3,0.3
68,14858,10,1.899999976158142,0.4,0.3,0.3
69,15544,9,1.899999976158142,0.2,0.4,0.4
70,15554,3,2.0999999046325684,0.7,0.2,0.1
71,15560,3,2.0999999046325684,0.7,0.2,0.1
