,ID,year,FAR,r_c,r_r,r_poi
0,6377,1,2.2,0.3,0.5,0.2
1,11967,1,2.2,0.3,0.5,0.2
2,12678,1,2.2,0.3,0.5,0.2
3,12715,1,2.2,0.3,0.5,0.2
4,14057,1,2.2,0.3,0.5,0.2
5,14060,1,2.2,0.3,0.5,0.2
6,14072,2,2.2,0.1,0.6,0.3
7,14099,2,2.2,0.1,0.6,0.3
8,14117,2,2.2,0.1,0.6,0.3
9,14472,2,2.2,0.1,0.6,0.3
10,14473,2,2.2,0.1,0.6,0.3
11,14539,2,2.2,0.1,0.6,0.3
12,14544,3,2.2,0.3,0.5,0.2
13,14633,3,2.2,0.3,0.5,0.2
14,14660,3,2.2,0.3,0.5,0.2
15,14699,3,2.2,0.3,0.5,0.2
16,14700,3,2.2,0.3,0.5,0.2
17,14701,3,2.2,0.3,0.5,0.2
18,14754,4,2.2,0.1,0.6,0.3
19,15542,4,2.2,0.1,0.6,0.3
20,15558,4,2.2,0.1,0.6,0.3
21,14050,4,2.2,0.1,0.6,0.3
22,14054,4,2.2,0.1,0.6,0.3
23,14070,7,2.2,0.3,0.5,0.2
24,14075,4,2.2,0.1,0.6,0.3
25,14113,7,2.2,0.3,0.5,0.2
26,14470,5,2.2,0.3,0.5,0.2
27,14471,7,2.2,0.3,0.5,0.2
28,14474,5,2.2,0.3,0.5,0.2
29,14581,5,2.2,0.3,0.5,0.2
30,14586,5,2.2,0.3,0.5,0.2
31,14587,5,2.2,0.3,0.5,0.2
32,14588,5,2.2,0.3,0.5,0.2
33,14589,7,2.2,0.3,0.5,0.2
34,14590,6,2.2,0.1,0.6,0.3
35,14592,8,2.2,0.1,0.6,0.3
36,14593,6,2.2,0.1,0.6,0.3
37,14594,8,2.2,0.1,0.6,0.3
38,14595,6,2.2,0.1,0.6,0.3
39,14835,6,2.2,0.1,0.6,0.3
40,14836,6,2.2,0.1,0.6,0.3
41,14837,6,2.2,0.1,0.6,0.3
42,14838,7,2.2,0.3,0.5,0.2
43,14839,8,2.2,0.1,0.6,0.3
44,15383,7,2.2,0.3,0.5,0.2
45,243,8,2.2,0.1,0.6,0.3
46,2238,9,1.8,0.2,0.4,0.4
47,11966,9,1.8,0.2,0.4,0.4
48,14071,8,2.2,0.1,0.6,0.3
49,14128,8,2.2,0.1,0.6,0.3
50,14132,9,1.8,0.2,0.4,0.4
51,14636,9,1.8,0.2,0.4,0.4
52,14638,9,1.8,0.2,0.4,0.4
53,14648,9,1.8,0.2,0.4,0.4
54,14649,10,1.8,0.2,0.4,0.4
55,14650,10,1.8,0.2,0.4,0.4
56,14651,10,1.8,0.2,0.4,0.4
57,14652,10,1.8,0.2,0.4,0.4
58,14653,10,1.8,0.2,0.4,0.4
59,14655,10,1.8,0.2,0.4,0.4
60,14656,11,1.8,0.3,0.3,0.4
61,14679,11,1.8,0.3,0.3,0.4
62,14680,11,1.8,0.3,0.3,0.4
63,14712,11,1.8,0.3,0.3,0.4
64,14713,11,1.8,0.3,0.3,0.4
65,14714,11,1.8,0.3,0.3,0.4
66,14715,12,1.8,0.3,0.3,0.4
67,14716,12,1.8,0.3,0.3,0.4
68,14717,12,1.8,0.3,0.3,0.4
69,14723,12,1.8,0.3,0.3,0.4
70,15545,12,1.8,0.3,0.3,0.4
71,15559,12,1.8,0.3,0.3,0.4
