,ID,year,FAR,r_c,r_r,r_poi
0,5633,11,2,0.3,0.3,0.4
1,5633,12,2,0.3,0.3,0.4
2,14054,2,2,0.3,0.3,0.4
3,14088,2,2,0.3,0.3,0.4
4,14092,2,2,0.3,0.3,0.4
5,14477,2,2,0.3,0.3,0.4
6,14478,3,2,0.3,0.3,0.4
7,14482,3,2,0.3,0.3,0.4
8,14483,3,2,0.3,0.3,0.4
9,14535,3,2,0.3,0.3,0.4
10,14098,9,2,0.3,0.3,0.4
11,14100,9,2,0.3,0.3,0.4
12,14543,9,2,0.3,0.3,0.4
13,14122,12,2,0.3,0.3,0.4
14,14629,12,2,0.3,0.3,0.4
15,14630,12,2,0.3,0.3,0.4
16,14122,10,2,0.3,0.3,0.4
17,14629,10,2,0.3,0.3,0.4
18,14630,10,2,0.3,0.3,0.4
19,14128,1,2,0.3,0.3,0.4
20,14128,3,2,0.3,0.3,0.4
21,14129,5,2,0.3,0.3,0.4
22,14665,5,2,0.3,0.3,0.4
23,14131,5,2,0.3,0.3,0.4
24,14624,6,2,0.3,0.3,0.4
25,14739,6,2,0.3,0.3,0.4
26,14137,6,2,0.3,0.3,0.4
27,14763,7,2,0.3,0.3,0.4
28,14333,6,2,0.3,0.3,0.4
29,14724,6,2,0.3,0.3,0.4
30,14477,8,2,0.3,0.3,0.4
31,14478,8,2,0.3,0.3,0.4
32,14479,8,2,0.3,0.3,0.4
33,14480,8,2,0.3,0.3,0.4
34,14481,8,2,0.3,0.3,0.4
35,14483,9,2,0.3,0.3,0.4
36,14532,9,2,0.3,0.3,0.4
37,14496,10,2,0.3,0.3,0.4
38,14502,10,2,0.3,0.3,0.4
39,14581,9,2,0.3,0.3,0.4
40,14608,1,2,0.3,0.3,0.4
41,14753,1,2,0.3,0.3,0.4
42,14758,1,2,0.3,0.3,0.4
43,14759,1,2,0.3,0.3,0.4
44,14760,1,2,0.3,0.3,0.4
45,14761,2,2,0.3,0.3,0.4
46,14621,6,2,0.3,0.3,0.4
47,14625,12,2,0.3,0.3,0.4
48,14625,11,2,0.3,0.3,0.4
49,14628,10,2,0.3,0.3,0.4
50,14636,7,2,0.3,0.3,0.4
51,14638,7,2,0.3,0.3,0.4
52,14651,7,2,0.3,0.3,0.4
53,14637,2,2,0.3,0.3,0.4
54,14663,4,2,0.3,0.3,0.4
55,14676,4,2,0.3,0.3,0.4
56,14755,4,2,0.3,0.3,0.4
57,14756,4,2,0.3,0.3,0.4
58,14765,5,2,0.3,0.3,0.4
59,14755,11,2,0.3,0.3,0.4
60,14756,11,2,0.3,0.3,0.4
61,14765,11,2,0.3,0.3,0.4
62,14763,5,2,0.3,0.3,0.4
63,14766,5,2,0.3,0.3,0.4
64,14807,7,2,0.3,0.3,0.4
65,14808,8,2,0.3,0.3,0.4
66,14841,4,2,0.3,0.3,0.4
67,15542,7,2,0.3,0.3,0.4
68,15542,11,2,0.3,0.3,0.4
69,15544,12,2,0.3,0.3,0.4
70,15545,3,2,0.3,0.3,0.4
71,15559,4,2,0.3,0.3,0.4
