,ID,year,FAR,r_c,r_r,r_poi
0,3965,5,2,0.3,0.3,0.4
1,4628,7,2,0.3,0.3,0.4
2,9296,7,2,0.3,0.3,0.4
3,9299,7,2,0.3,0.3,0.4
4,9300,7,2,0.3,0.3,0.4
5,9302,7,2,0.3,0.3,0.4
6,9303,7,2,0.3,0.3,0.4
7,9309,7,2,0.3,0.3,0.4
8,9310,7,2,0.3,0.3,0.4
9,9311,7,2,0.3,0.3,0.4
10,9312,7,2,0.3,0.3,0.4
11,9313,7,2,0.3,0.3,0.4
12,9314,7,2,0.3,0.3,0.4
13,9316,7,2,0.3,0.3,0.4
14,9317,7,2,0.3,0.3,0.4
15,9318,7,2,0.3,0.3,0.4
16,9319,7,2,0.3,0.3,0.4
17,9322,7,2,0.3,0.3,0.4
18,9324,7,2,0.3,0.3,0.4
19,9326,7,2,0.3,0.3,0.4
20,9327,8,2,0.3,0.3,0.4
21,9328,5,2,0.3,0.3,0.4
22,9331,8,2,0.3,0.3,0.4
23,9334,5,2,0.3,0.3,0.4
24,9335,12,2,0.3,0.3,0.4
25,9495,8,2,0.3,0.3,0.4
26,9496,8,2,0.3,0.3,0.4
27,9498,8,2,0.3,0.3,0.4
28,9507,4,2,0.3,0.3,0.4
29,9578,11,2,0.3,0.3,0.4
30,12633,5,2,0.3,0.3,0.4
31,12696,9,2,0.3,0.3,0.4
32,12729,8,2,0.3,0.3,0.4
33,12800,11,2,0.3,0.3,0.4
34,12826,8,2,0.3,0.3,0.4
35,12831,5,2,0.3,0.3,0.4
36,12836,8,2,0.3,0.3,0.4
37,12838,12,2,0.3,0.3,0.4
38,13009,8,2,0.3,0.3,0.4
39,13715,5,2,0.3,0.3,0.4
40,13957,8,2,0.3,0.3,0.4
41,14031,6,2,0.3,0.3,0.4
42,14042,2,2,0.3,0.3,0.4
43,14044,12,2,0.3,0.3,0.4
44,14045,12,2,0.3,0.3,0.4
45,14049,8,2,0.3,0.3,0.4
46,14054,5,2,0.3,0.3,0.4
47,14056,12,2,0.3,0.3,0.4
48,14063,3,2,0.3,0.3,0.4
49,14073,8,2,0.3,0.3,0.4
50,14074,6,2,0.3,0.3,0.4
51,14088,5,2,0.3,0.3,0.4
52,14091,12,2,0.3,0.3,0.4
53,14092,5,2,0.3,0.3,0.4
54,14103,9,2,0.3,0.3,0.4
55,14104,9,2,0.3,0.3,0.4
56,14106,12,2,0.3,0.3,0.4
57,14112,8,2,0.3,0.3,0.4
58,14118,8,2,0.3,0.3,0.4
59,14120,11,2,0.3,0.3,0.4
60,14127,4,2,0.3,0.3,0.4
61,14128,3,2,0.3,0.3,0.4
62,14137,12,2,0.3,0.3,0.4
63,14139,2,2,0.3,0.3,0.4
64,14140,12,2,0.3,0.3,0.4
65,14141,2,2,0.3,0.3,0.4
66,14146,8,2,0.3,0.3,0.4
67,14147,8,2,0.3,0.3,0.4
68,14148,11,2,0.3,0.3,0.4
69,14149,11,2,0.3,0.3,0.4
70,14151,6,2,0.3,0.3,0.4
71,14153,3,2,0.3,0.3,0.4
72,14160,3,2,0.3,0.3,0.4
73,14163,1,2,0.3,0.3,0.4
74,14168,11,2,0.3,0.3,0.4
75,14173,10,2,0.3,0.3,0.4
76,14174,10,2,0.3,0.3,0.4
77,14175,10,2,0.3,0.3,0.4
78,14176,11,2,0.3,0.3,0.4
79,14179,1,2,0.3,0.3,0.4
80,14193,1,2,0.3,0.3,0.4
81,14196,6,2,0.3,0.3,0.4
82,14197,11,2,0.3,0.3,0.4
83,14198,1,2,0.3,0.3,0.4
84,14199,2,2,0.3,0.3,0.4
85,14202,2,2,0.3,0.3,0.4
86,14218,6,2,0.3,0.3,0.4
87,14219,6,2,0.3,0.3,0.4
88,14221,1,2,0.3,0.3,0.4
89,14222,1,2,0.3,0.3,0.4
90,14230,1,2,0.3,0.3,0.4
91,14231,11,2,0.3,0.3,0.4
92,14234,8,2,0.3,0.3,0.4
93,14235,8,2,0.3,0.3,0.4
94,14236,8,2,0.3,0.3,0.4
95,14237,6,2,0.3,0.3,0.4
96,14238,8,2,0.3,0.3,0.4
97,14239,6,2,0.3,0.3,0.4
98,14240,2,2,0.3,0.3,0.4
99,14254,2,2,0.3,0.3,0.4
100,14263,10,2,0.3,0.3,0.4
101,14264,11,2,0.3,0.3,0.4
102,14276,8,2,0.3,0.3,0.4
103,14278,4,2,0.3,0.3,0.4
104,14281,5,2,0.3,0.3,0.4
105,14289,3,2,0.3,0.3,0.4
106,14290,1,2,0.3,0.3,0.4
107,14294,2,2,0.3,0.3,0.4
108,14296,5,2,0.3,0.3,0.4
109,14297,2,2,0.3,0.3,0.4
110,14316,8,2,0.3,0.3,0.4
111,14317,5,2,0.3,0.3,0.4
112,14318,5,2,0.3,0.3,0.4
113,14319,8,2,0.3,0.3,0.4
114,14337,2,2,0.3,0.3,0.4
115,14340,2,2,0.3,0.3,0.4
116,14358,2,2,0.3,0.3,0.4
117,14365,1,2,0.3,0.3,0.4
118,14366,1,2,0.3,0.3,0.4
119,14371,1,2,0.3,0.3,0.4
120,14385,8,2,0.3,0.3,0.4
121,14414,11,2,0.3,0.3,0.4
122,14417,3,2,0.3,0.3,0.4
123,14418,10,2,0.3,0.3,0.4
124,14420,11,2,0.3,0.3,0.4
125,14423,2,2,0.3,0.3,0.4
126,14425,1,2,0.3,0.3,0.4
127,14426,1,2,0.3,0.3,0.4
128,14427,1,2,0.3,0.3,0.4
129,14428,1,2,0.3,0.3,0.4
130,14429,1,2,0.3,0.3,0.4
131,14430,1,2,0.3,0.3,0.4
132,14431,1,2,0.3,0.3,0.4
133,14432,1,2,0.3,0.3,0.4
134,14446,4,2,0.3,0.3,0.4
135,14461,2,2,0.3,0.3,0.4
136,14464,12,2,0.3,0.3,0.4
137,14466,12,2,0.3,0.3,0.4
138,14482,5,2,0.3,0.3,0.4
139,14488,11,2,0.3,0.3,0.4
140,14495,4,2,0.3,0.3,0.4
141,14527,12,2,0.3,0.3,0.4
142,14535,5,2,0.3,0.3,0.4
143,14545,10,2,0.3,0.3,0.4
144,14546,10,2,0.3,0.3,0.4
145,14547,3,2,0.3,0.3,0.4
146,14548,3,2,0.3,0.3,0.4
147,14549,3,2,0.3,0.3,0.4
148,14552,3,2,0.3,0.3,0.4
149,14557,10,2,0.3,0.3,0.4
150,14558,11,2,0.3,0.3,0.4
151,14567,4,2,0.3,0.3,0.4
152,14568,6,2,0.3,0.3,0.4
153,14569,6,2,0.3,0.3,0.4
154,14570,3,2,0.3,0.3,0.4
155,14571,3,2,0.3,0.3,0.4
156,14572,11,2,0.3,0.3,0.4
157,14579,11,2,0.3,0.3,0.4
158,14591,2,2,0.3,0.3,0.4
159,14596,1,2,0.3,0.3,0.4
160,14608,4,2,0.3,0.3,0.4
161,14612,3,2,0.3,0.3,0.4
162,14613,3,2,0.3,0.3,0.4
163,14614,6,2,0.3,0.3,0.4
164,14615,6,2,0.3,0.3,0.4
165,14616,5,2,0.3,0.3,0.4
166,14617,6,2,0.3,0.3,0.4
167,14618,5,2,0.3,0.3,0.4
168,14619,4,2,0.3,0.3,0.4
169,14621,11,2,0.3,0.3,0.4
170,14644,6,2,0.3,0.3,0.4
171,14663,8,2,0.3,0.3,0.4
172,14676,8,2,0.3,0.3,0.4
173,14724,11,2,0.3,0.3,0.4
174,14739,11,2,0.3,0.3,0.4
175,14753,4,2,0.3,0.3,0.4
176,14755,10,2,0.3,0.3,0.4
177,14756,10,2,0.3,0.3,0.4
178,14758,4,2,0.3,0.3,0.4
179,14759,4,2,0.3,0.3,0.4
180,14760,4,2,0.3,0.3,0.4
181,14765,10,2,0.3,0.3,0.4
182,14766,10,2,0.3,0.3,0.4
183,14767,2,2,0.3,0.3,0.4
184,14769,8,2,0.3,0.3,0.4
185,14774,2,2,0.3,0.3,0.4
186,14775,1,2,0.3,0.3,0.4
187,14776,3,2,0.3,0.3,0.4
188,14777,3,2,0.3,0.3,0.4
189,14778,3,2,0.3,0.3,0.4
190,14779,3,2,0.3,0.3,0.4
191,14782,6,2,0.3,0.3,0.4
192,14792,5,2,0.3,0.3,0.4
193,14793,6,2,0.3,0.3,0.4
194,14795,6,2,0.3,0.3,0.4
195,14796,6,2,0.3,0.3,0.4
196,14797,6,2,0.3,0.3,0.4
197,14798,6,2,0.3,0.3,0.4
198,14799,6,2,0.3,0.3,0.4
199,14801,4,2,0.3,0.3,0.4
200,14812,1,2,0.3,0.3,0.4
201,14813,3,2,0.3,0.3,0.4
202,14815,6,2,0.3,0.3,0.4
203,14816,8,2,0.3,0.3,0.4
204,14817,6,2,0.3,0.3,0.4
205,14818,4,2,0.3,0.3,0.4
206,14819,4,2,0.3,0.3,0.4
207,14825,10,2,0.3,0.3,0.4
208,14826,10,2,0.3,0.3,0.4
209,14828,7,2,0.3,0.3,0.4
210,14829,6,2,0.3,0.3,0.4
211,14830,6,2,0.3,0.3,0.4
212,14831,8,2,0.3,0.3,0.4
213,14832,3,2,0.3,0.3,0.4
214,14841,8,2,0.3,0.3,0.4
215,14863,4,2,0.3,0.3,0.4
216,14872,6,2,0.3,0.3,0.4
217,14875,2,2,0.3,0.3,0.4
218,14876,9,2,0.3,0.3,0.4
219,14878,9,2,0.3,0.3,0.4
220,14880,1,2,0.3,0.3,0.4
221,14885,11,2,0.3,0.3,0.4
222,14887,3,2,0.3,0.3,0.4
223,14897,7,2,0.3,0.3,0.4
224,14901,4,2,0.3,0.3,0.4
225,14915,11,2,0.3,0.3,0.4
226,14929,10,2,0.3,0.3,0.4
227,14931,2,2,0.3,0.3,0.4
228,14932,2,2,0.3,0.3,0.4
229,14933,2,2,0.3,0.3,0.4
230,14934,2,2,0.3,0.3,0.4
231,14935,2,2,0.3,0.3,0.4
232,14936,4,2,0.3,0.3,0.4
233,14937,4,2,0.3,0.3,0.4
234,14938,4,2,0.3,0.3,0.4
235,14947,1,2,0.3,0.3,0.4
236,14948,2,2,0.3,0.3,0.4
237,14949,2,2,0.3,0.3,0.4
238,14960,7,2,0.3,0.3,0.4
239,14966,4,2,0.3,0.3,0.4
240,14972,4,2,0.3,0.3,0.4
241,14976,2,2,0.3,0.3,0.4
242,14981,3,2,0.3,0.3,0.4
243,14991,9,2,0.3,0.3,0.4
244,14992,3,2,0.3,0.3,0.4
245,14993,3,2,0.3,0.3,0.4
246,14994,2,2,0.3,0.3,0.4
247,14997,10,2,0.3,0.3,0.4
248,14998,2,2,0.3,0.3,0.4
249,14999,10,2,0.3,0.3,0.4
250,15001,2,2,0.3,0.3,0.4
251,15012,4,2,0.3,0.3,0.4
252,15014,2,2,0.3,0.3,0.4
253,15022,10,2,0.3,0.3,0.4
254,15025,10,2,0.3,0.3,0.4
255,15033,10,2,0.3,0.3,0.4
256,15038,11,2,0.3,0.3,0.4
257,15039,4,2,0.3,0.3,0.4
258,15041,11,2,0.3,0.3,0.4
259,15048,1,2,0.3,0.3,0.4
260,15050,9,2,0.3,0.3,0.4
261,15052,11,2,0.3,0.3,0.4
262,15053,11,2,0.3,0.3,0.4
263,15054,9,2,0.3,0.3,0.4
264,15055,10,2,0.3,0.3,0.4
265,15060,11,2,0.3,0.3,0.4
266,15061,1,2,0.3,0.3,0.4
267,15062,9,2,0.3,0.3,0.4
268,15063,9,2,0.3,0.3,0.4
269,15064,10,2,0.3,0.3,0.4
270,15068,10,2,0.3,0.3,0.4
271,15069,10,2,0.3,0.3,0.4
272,15072,10,2,0.3,0.3,0.4
273,15078,7,2,0.3,0.3,0.4
274,15079,7,2,0.3,0.3,0.4
275,15082,4,2,0.3,0.3,0.4
276,15083,4,2,0.3,0.3,0.4
277,15084,4,2,0.3,0.3,0.4
278,15085,5,2,0.3,0.3,0.4
279,15086,5,2,0.3,0.3,0.4
280,15112,5,2,0.3,0.3,0.4
281,15121,12,2,0.3,0.3,0.4
282,15122,12,2,0.3,0.3,0.4
283,15123,3,2,0.3,0.3,0.4
284,15124,9,2,0.3,0.3,0.4
285,15125,12,2,0.3,0.3,0.4
286,15128,10,2,0.3,0.3,0.4
287,15133,9,2,0.3,0.3,0.4
288,15135,3,2,0.3,0.3,0.4
289,15136,12,2,0.3,0.3,0.4
290,15137,12,2,0.3,0.3,0.4
291,15138,7,2,0.3,0.3,0.4
292,15140,9,2,0.3,0.3,0.4
293,15142,9,2,0.3,0.3,0.4
294,15143,5,2,0.3,0.3,0.4
295,15144,5,2,0.3,0.3,0.4
296,15145,12,2,0.3,0.3,0.4
297,15148,9,2,0.3,0.3,0.4
298,15149,12,2,0.3,0.3,0.4
299,15158,9,2,0.3,0.3,0.4
300,15160,12,2,0.3,0.3,0.4
301,15161,12,2,0.3,0.3,0.4
302,15162,12,2,0.3,0.3,0.4
303,15170,7,2,0.3,0.3,0.4
304,15173,5,2,0.3,0.3,0.4
305,15174,12,2,0.3,0.3,0.4
306,15175,12,2,0.3,0.3,0.4
307,15176,9,2,0.3,0.3,0.4
308,15177,3,2,0.3,0.3,0.4
309,15179,12,2,0.3,0.3,0.4
310,15180,9,2,0.3,0.3,0.4
311,15181,12,2,0.3,0.3,0.4
312,15183,12,2,0.3,0.3,0.4
313,15184,3,2,0.3,0.3,0.4
314,15185,12,2,0.3,0.3,0.4
315,15186,3,2,0.3,0.3,0.4
316,15187,6,2,0.3,0.3,0.4
317,15193,9,2,0.3,0.3,0.4
318,15196,9,2,0.3,0.3,0.4
319,15197,7,2,0.3,0.3,0.4
320,15199,12,2,0.3,0.3,0.4
321,15203,9,2,0.3,0.3,0.4
322,15204,5,2,0.3,0.3,0.4
323,15205,1,2,0.3,0.3,0.4
324,15208,12,2,0.3,0.3,0.4
325,15210,3,2,0.3,0.3,0.4
326,15212,1,2,0.3,0.3,0.4
327,15214,9,2,0.3,0.3,0.4
328,15219,9,2,0.3,0.3,0.4
329,15221,9,2,0.3,0.3,0.4
330,15222,1,2,0.3,0.3,0.4
331,15226,7,2,0.3,0.3,0.4
332,15227,5,2,0.3,0.3,0.4
333,15229,5,2,0.3,0.3,0.4
334,15235,10,2,0.3,0.3,0.4
335,15236,10,2,0.3,0.3,0.4
336,15246,4,2,0.3,0.3,0.4
337,15250,4,2,0.3,0.3,0.4
338,15252,4,2,0.3,0.3,0.4
339,15257,5,2,0.3,0.3,0.4
340,15258,10,2,0.3,0.3,0.4
341,15259,10,2,0.3,0.3,0.4
342,15262,9,2,0.3,0.3,0.4
343,15263,9,2,0.3,0.3,0.4
344,15264,9,2,0.3,0.3,0.4
345,15270,1,2,0.3,0.3,0.4
346,15273,9,2,0.3,0.3,0.4
347,15274,9,2,0.3,0.3,0.4
348,15280,11,2,0.3,0.3,0.4
349,15299,9,2,0.3,0.3,0.4
350,15310,11,2,0.3,0.3,0.4
351,15318,11,2,0.3,0.3,0.4
352,15319,11,2,0.3,0.3,0.4
353,15330,7,2,0.3,0.3,0.4
354,15338,6,2,0.3,0.3,0.4
355,15339,6,2,0.3,0.3,0.4
356,15340,5,2,0.3,0.3,0.4
357,15341,5,2,0.3,0.3,0.4
358,15343,6,2,0.3,0.3,0.4
359,15349,7,2,0.3,0.3,0.4
