year,ID,r_c,r_r,r_poi,FAR
1,15326,0.6,0.3,0.1,2.0
1,15011,0.6,0.1,0.3,2.2
1,15248,0.6,0.3,0.1,2.0
1,12800,0.6,0.3,0.1,2.2
1,14543,0.6,0.3,0.1,2.2
1,15346,0.7,0.2,0.1,2.2
1,14484,0.6,0.3,0.1,2.0
1,14132,0.6,0.2,0.2,1.9
1,14654,0.6,0.2,0.2,2.2
1,15281,0.6,0.2,0.2,2.2
1,15164,0.3,0.3,0.4,2.2
1,14097,0.7,0.2,0.1,2.1
1,14478,0.7,0.2,0.1,2.2
1,15223,0.6,0.2,0.2,2.1
1,14392,0.6,0.2,0.2,2.2
1,14477,0.6,0.3,0.1,2.2
1,14231,0.6,0.2,0.2,2.1
1,14976,0.7,0.2,0.1,2.2
1,14087,0.5,0.2,0.3,2.2
1,14539,0.6,0.2,0.2,2.0
1,15333,0.6,0.2,0.2,1.9
1,15169,0.1,0.7,0.2,2.0
1,14476,0.6,0.3,0.1,1.8
1,15562,0.7,0.2,0.1,2.2
1,14532,0.6,0.3,0.1,2.2
1,15343,0.7,0.2,0.1,2.0
1,15028,0.5,0.2,0.3,1.9
1,14632,0.6,0.1,0.3,2.2
1,12091,0.6,0.3,0.1,2.1
1,14058,0.7,0.2,0.1,1.9
2,14085,0.6,0.3,0.1,2.0
2,14556,0.7,0.2,0.1,2.1
2,14095,0.6,0.3,0.1,2.0
2,14611,0.6,0.3,0.1,2.2
2,14308,0.6,0.3,0.1,2.2
2,14601,0.7,0.2,0.1,2.2
2,14537,0.7,0.2,0.1,1.8
2,15542,0.6,0.2,0.2,1.9
2,14324,0.6,0.2,0.2,2.2
2,14236,0.6,0.2,0.2,2.2
2,14790,0.6,0.2,0.2,2.2
2,14293,0.7,0.2,0.1,2.2
2,14524,0.7,0.2,0.1,2.2
2,14719,0.6,0.2,0.2,2.2
2,15536,0.6,0.2,0.2,2.2
2,14230,0.6,0.3,0.1,2.2
2,14037,0.6,0.2,0.2,2.1
2,14069,0.7,0.2,0.1,2.2
2,14102,0.5,0.2,0.3,2.2
2,14390,0.6,0.2,0.2,2.0
2,14687,0.6,0.2,0.2,1.9
2,14733,0.6,0.1,0.3,1.8
2,14191,0.6,0.3,0.1,1.8
2,14760,0.7,0.2,0.1,2.2
2,14048,0.7,0.2,0.1,2.1
2,14761,0.7,0.2,0.1,2.0
2,14545,0.5,0.2,0.3,1.9
2,15251,0.6,0.1,0.3,2.2
2,14161,0.6,0.3,0.1,2.1
2,14752,0.7,0.2,0.1,1.9
3,14321,0.6,0.3,0.1,2.0
3,14092,0.5,0.2,0.3,1.9
3,14459,0.6,0.3,0.1,2.0
3,7312,0.6,0.3,0.1,2.2
3,14125,0.6,0.3,0.1,2.2
3,14540,0.7,0.2,0.1,2.2
3,14453,0.6,0.3,0.1,2.0
3,14064,0.6,0.2,0.2,1.9
3,14605,0.6,0.2,0.2,2.2
3,14268,0.6,0.2,0.2,2.2
3,15064,0.6,0.2,0.2,2.2
3,12715,0.7,0.2,0.1,2.2
3,14602,0.7,0.2,0.1,2.2
3,14083,0.6,0.2,0.2,2.1
3,14546,0.6,0.2,0.2,2.2
3,14735,0.6,0.3,0.1,2.2
3,11969,0.6,0.2,0.2,2.1
3,14660,0.7,0.2,0.1,2.2
3,14498,0.5,0.2,0.3,2.2
3,6377,0.6,0.2,0.2,2.0
3,14078,0.6,0.2,0.2,1.9
3,14060,0.6,0.1,0.3,1.8
3,14105,0.6,0.3,0.1,1.8
3,15328,0.7,0.2,0.1,2.2
3,14404,0.7,0.2,0.1,2.1
3,14651,0.7,0.2,0.1,2.0
3,14080,0.5,0.2,0.3,1.9
3,14218,0.6,0.1,0.3,2.2
3,14932,0.6,0.3,0.1,2.1
3,14487,0.7,0.2,0.1,1.9
4,15183,0.6,0.3,0.1,2.0
4,48,0.5,0.2,0.3,1.9
4,15550,0.6,0.3,0.1,2.0
4,14699,0.6,0.3,0.1,2.2
4,14749,0.6,0.3,0.1,2.2
4,14513,0.7,0.2,0.1,2.2
4,14128,0.7,0.2,0.1,1.8
4,14706,0.6,0.2,0.2,1.9
4,14659,0.6,0.2,0.2,2.2
4,15355,0.6,0.2,0.2,2.2
4,14878,0.6,0.2,0.2,2.2
4,14104,0.7,0.2,0.1,2.2
4,15371,0.7,0.2,0.1,2.2
4,15543,0.6,0.2,0.2,2.2
4,15273,0.6,0.2,0.2,2.2
4,14501,0.6,0.3,0.1,2.2
4,14804,0.6,0.2,0.2,2.1
4,14690,0.7,0.2,0.1,2.2
4,14610,0.6,0.1,0.3,2.1
4,14175,0.6,0.2,0.2,2.0
4,14482,0.6,0.2,0.2,1.9
4,14709,0.5,0.2,0.3,2.2
4,14042,0.6,0.3,0.1,1.8
4,14033,0.7,0.2,0.1,2.2
4,14089,0.7,0.2,0.1,2.1
4,14683,0.7,0.2,0.1,2.0
4,14509,0.5,0.2,0.3,1.9
4,14141,0.6,0.1,0.3,2.2
4,14296,0.6,0.3,0.1,2.1
