population,row,column
128.282828283,82.0,-57.0
270.0,82.0,-56.0
124.752475248,82.0,-55.0
302.0,82.0,-54.0
261.616161616,82.0,-53.0
208.0,82.0,-52.0
500.0,82.0,-51.0
723.0,82.0,-50.0
125.252525253,82.0,-49.0
12.8712871287,82.0,-48.0
245.544554455,82.0,-47.0
82.0,82.0,-46.0
121.428571429,82.0,-45.0
64.7058823529,82.0,-44.0
86.0,82.0,-43.0
29.0,82.0,-42.0
63.2653061224,82.0,-41.0
152.475247525,82.0,-40.0
149.019607843,82.0,-39.0
160.0,82.0,-38.0
312.244897959,82.0,-37.0
403.96039604,82.0,-36.0
308.0,82.0,-35.0
280.198019802,82.0,-34.0
62.2448979592,82.0,-33.0
35.6435643564,82.0,-32.0
637.0,82.0,-31.0
331.0,82.0,-30.0
775.757575758,82.0,-29.0
576.237623762,82.0,-28.0
315.0,82.0,-27.0
148.0,82.0,-26.0
143.434343434,82.0,-25.0
153.921568627,82.0,-24.0
144.0,82.0,-23.0
216.0,82.0,-22.0
174.747474747,82.0,-21.0
213.0,82.0,-20.0
206.930693069,82.0,-19.0
230.0,82.0,-18.0
176.0,82.0,-17.0
8.08080808081,82.0,-16.0
41.0,82.0,-15.0
132.673267327,82.0,-14.0
443.0,82.0,-13.0
1051.51515152,82.0,-12.0
424.752475248,82.0,-11.0
769.0,82.0,-10.0
525.742574257,82.0,-9.0
184.848484848,82.0,-8.0
207.0,82.0,-7.0
627.0,82.0,-6.0
271.287128713,82.0,-5.0
231.313131313,82.0,-4.0
341.0,82.0,-3.0
227.0,82.0,-2.0
138.613861386,82.0,-1.0
274.747474747,82.0,0.0
112.0,82.0,1.0
40.0,82.0,2.0
6.93069306931,82.0,3.0
13.1313131313,82.0,4.0
26.2626262626,82.0,5.0
280.392156863,82.0,6.0
680.198019802,82.0,7.0
1896.96969697,82.0,8.0
177.777777778,82.0,9.0
386.138613861,82.0,10.0
345.544554455,82.0,11.0
223.232323232,82.0,12.0
635.353535354,82.0,13.0
853.465346535,82.0,14.0
2523.0,82.0,15.0
4114.0,82.0,16.0
10849.4949495,82.0,17.0
20063.3663366,82.0,18.0
24424.0,82.0,19.0
2668.0,82.0,20.0
558.0,82.0,21.0
258.0,82.0,22.0
381.0,82.0,23.0
161.0,82.0,24.0
101.01010101,82.0,25.0
65.3465346535,82.0,26.0
52.0,82.0,27.0
99.0,82.0,28.0
98.9898989899,82.0,29.0
183.0,82.0,30.0
149.504950495,82.0,31.0
157.425742574,82.0,32.0
263.0,82.0,33.0
94.9494949495,82.0,34.0
151.0,82.0,35.0
100.0,82.0,36.0
155.445544554,82.0,37.0
148.484848485,82.0,38.0
1594.0,82.0,39.0
492.0,82.0,40.0
168.62745098,82.0,41.0
106.060606061,82.0,42.0
102.0,82.0,43.0
49.504950495,82.0,44.0
86.1386138614,82.0,45.0
201.020408163,82.0,46.0
161.386138614,82.0,47.0
248.514851485,82.0,48.0
158.415841584,82.0,49.0
186.734693878,82.0,50.0
751.0,82.0,51.0
193.137254902,82.0,52.0
293.069306931,82.0,53.0
1037.75510204,82.0,54.0
1023.76237624,82.0,55.0
204.0,82.0,56.0
159.405940594,82.0,57.0
218.181818182,82.0,58.0
361.386138614,82.0,59.0
405.0,82.0,60.0
428.0,82.0,61.0
295.95959596,82.0,62.0
255.445544554,82.0,63.0
536.0,82.0,64.0
3639.0,82.0,65.0
216.0,82.0,66.0
203.03030303,82.0,67.0
205.940594059,82.0,68.0
99.0099009901,82.0,69.0
87.0,82.0,70.0
135.353535354,82.0,71.0
347.0,82.0,72.0
151.0,82.0,73.0
28.431372549,82.0,74.0
63.2653061224,82.0,75.0
38.0,82.0,76.0
91.0,82.0,77.0
110.891089109,82.0,78.0
113.131313131,82.0,79.0
228.712871287,82.0,80.0
659.0,82.0,81.0
1044.55445545,82.0,82.0
178.787878788,82.0,83.0
269.696969697,82.0,84.0
744.117647059,82.0,85.0
525.0,82.0,86.0
89.898989899,82.0,87.0
100.0,82.0,88.0
257.425742574,82.0,89.0
131.683168317,82.0,90.0
361.616161616,82.0,91.0
179.0,82.0,92.0
74.0,82.0,93.0
99.0,82.0,94.0
35.0,82.0,95.0
60.0,82.0,96.0
63.0,82.0,97.0
34.0,82.0,98.0
0.0,82.0,99.0
258.585858586,82.0,100.0
519.801980198,82.0,101.0
20.0,82.0,102.0
149.0,82.0,103.0
0.0,82.0,104.0
160.606060606,82.0,105.0
29.702970297,82.0,106.0
0.0,82.0,107.0
10.0,82.0,108.0
103.03030303,82.0,109.0
210.0,82.0,110.0
2413.0,82.0,111.0
1207.92079208,82.0,112.0
202.02020202,82.0,113.0
459.0,82.0,114.0
622.772277228,82.0,115.0
774.0,82.0,116.0
10.101010101,82.0,117.0
64.3564356436,82.0,118.0
136.633663366,82.0,119.0
67.0,82.0,120.0
61.2244897959,82.0,121.0
0.0,82.0,122.0
68.3168316832,81.0,-57.0
183.168316832,81.0,-56.0
70.0,81.0,-55.0
148.484848485,81.0,-54.0
263.0,81.0,-53.0
160.396039604,81.0,-52.0
149.0,81.0,-51.0
117.346938776,81.0,-50.0
40.5940594059,81.0,-49.0
22.7722772277,81.0,-48.0
339.0,81.0,-47.0
1078.57142857,81.0,-46.0
252.0,81.0,-45.0
732.352941176,81.0,-44.0
361.0,81.0,-43.0
167.346938776,81.0,-42.0
197.0,81.0,-41.0
202.941176471,81.0,-40.0
281.188118812,81.0,-39.0
239.795918367,81.0,-38.0
276.237623762,81.0,-37.0
172.0,81.0,-36.0
197.02970297,81.0,-35.0
702.040816327,81.0,-34.0
129.702970297,81.0,-33.0
64.0,81.0,-32.0
321.782178218,81.0,-31.0
235.353535354,81.0,-30.0
