assign_row,assign_col,area
33.0,39.0,238053.27536093842
31.0,33.0,5150.767639860707
27.0,27.0,8934.12055099701
34.0,27.0,18067.240723679803
40.0,36.0,182349.97237722782
28.0,14.0,150779.44547639583
38.0,36.0,12639.502668227358
39.0,10.0,58483.82089606229
41.0,26.0,23603.806050848787
38.0,43.0,418102.09524241445
29.0,32.0,50622.96326125783
15.0,21.0,53269.651831499934
40.0,10.0,35920.952052297675
40.0,10.0,12611.320799247042
40.0,10.0,45829.155844965586
41.0,10.0,21284.30366881819
40.0,10.0,176135.02834639765
41.0,10.0,100673.06771129061
39.0,10.0,132013.161623485
40.0,10.0,109069.81186417499
40.0,10.0,32441.230772910112
40.0,10.0,59531.398864497474
40.0,10.0,9604.352635114761
40.0,10.0,6073.672360410507
40.0,10.0,10152.712867457793
39.0,10.0,13981.076520983332
39.0,10.0,36050.021745125356
39.0,9.0,85974.74782006344
29.0,13.0,16249.710045741964
29.0,13.0,3910.385656868864
29.0,13.0,29270.425312774732
39.0,14.0,68625.65869974742
30.0,48.0,8837.635205793806
23.0,20.0,9766.483475583307
33.0,25.0,6927.97663643982
34.0,16.0,12294.969058897575
33.0,22.0,4240.46732621252
27.0,38.0,31464.29561206785
30.0,38.0,12107.202372902095
29.0,39.0,53351.86436990804
28.0,29.0,5446.932829375692
31.0,35.0,7484.27906671852
31.0,36.0,12854.15547533725
37.0,18.0,43483.75487686377
29.0,35.0,18206.026538930444
13.0,23.0,8305.022278078532
32.0,32.0,9106.17625921065
41.0,26.0,67352.68336704225
32.0,49.0,23695.289415891413
22.0,19.0,6915.978524776411
26.0,21.0,15179.157097177747
39.0,10.0,9873.052958385939
40.0,10.0,30138.81017255451
33.0,12.0,29410.456773724625
30.0,9.0,11412.13833242367
32.0,15.0,11396.539326417937
30.0,40.0,35992.308250952185
30.0,40.0,13270.257018915736
42.0,25.0,59358.621872862255
29.0,13.0,31253.13439737665
29.0,48.0,7265.244683290806
49.0,1.0,220738.13262216013
50.0,2.0,74814.16967631351
49.0,4.0,96564.48698388832
50.0,5.0,79645.76266630233
53.0,11.0,118192.42748930522
3.0,18.0,209841.45956802677
3.0,19.0,66322.20732922367
50.0,12.0,1065652.4819597802
9.0,25.0,154698.31697498122
38.0,14.0,23740.484864400874
9.0,27.0,778922.870726081
37.0,13.0,47705.283619373804
38.0,19.0,10431.12501513699
38.0,19.0,15886.6474777615
4.0,26.0,53407.45386550149
8.0,26.0,197301.39938822243
11.0,30.0,291728.2661310027
4.0,20.0,122621.56736951304
24.0,35.0,22940.141787654873
8.0,14.0,192627.92321714704
3.0,19.0,40574.80604072639
41.0,21.0,39538.80634435729
26.0,35.0,64794.47821533833
38.0,28.0,29576.483134374215
38.0,27.0,23529.673935850056
28.0,34.0,48590.00635728162
39.0,21.0,27306.907095913608
36.0,15.0,30790.251750427164
29.0,31.0,5578.060206449232
37.0,12.0,107807.69870723847
38.0,17.0,17771.660717625513
39.0,16.0,9589.71623105783
38.0,17.0,56780.350270724106
38.0,17.0,7737.975485907957
37.0,17.0,72328.17053437284
38.0,18.0,24397.359379860947
37.0,18.0,76651.74583056929
19.0,24.0,8145.570478655361
25.0,36.0,8728.005740214327
25.0,35.0,59866.66122397092
24.0,35.0,16537.039453908325
40.0,27.0,51326.25452960051
13.0,24.0,7792.530998988383
24.0,34.0,63172.11028211588
39.0,32.0,166051.74471956657
26.0,40.0,30768.736872284866
40.0,35.0,18975.07749879115
38.0,32.0,33376.39661495897
37.0,27.0,429647.1024818455
38.0,26.0,103715.41923113575
38.0,26.0,25314.090639306516
35.0,24.0,13399.50944664688
37.0,28.0,19609.13972425113
36.0,28.0,17810.97826144866
38.0,28.0,26972.524468537653
37.0,27.0,24575.290803872536
38.0,30.0,193764.49890922068
36.0,27.0,54935.61324054585
36.0,27.0,29548.723713990417
38.0,27.0,32380.583896905773
36.0,28.0,10026.33198988789
37.0,30.0,21190.893302998295
35.0,30.0,37847.15394252468
37.0,29.0,14586.79611660609
37.0,23.0,79433.02080794802
29.0,36.0,26883.262670491233
29.0,34.0,61026.04639215213
29.0,36.0,33729.979749684266
29.0,37.0,8499.952502577533
29.0,37.0,58865.22651207437
11.0,26.0,144759.23901840052
9.0,17.0,277248.4900305107
14.0,22.0,45488.469047618906
30.0,41.0,25318.286374918738
17.0,22.0,83696.3506879383
17.0,21.0,19829.208371309196
17.0,20.0,14893.210075839748
17.0,24.0,65737.60230621591
42.0,27.0,65924.20059423783
19.0,35.0,107540.32928241382
41.0,24.0,28491.624279662636
31.0,34.0,8611.348839599807
