,year,ID,r_c,r_r,r_poi,FAR
0,1,14382.0,0.7,0.2,0.1,2.1
1,1,15156.0,0.7,0.2,0.1,2.1
2,1,14324.0,0.1,0.6,0.3,2.1
3,1,14341.0,0.3,0.3,0.4,1.9
4,1,12769.0,0.4,0.2,0.4,2.2
5,1,14327.0,0.1,0.7,0.2,2.1
6,1,14804.0,0.5,0.2,0.3,1.9
7,1,15122.0,0.6,0.3,0.1,2.2
8,1,15083.0,0.3,0.3,0.4,1.9
9,1,9317.0,0.2,0.7,0.1,2.0
10,1,14151.0,0.2,0.4,0.4,1.9
11,1,14503.0,0.4,0.2,0.4,2.0
12,1,14335.0,0.7,0.2,0.1,2.0
13,1,15351.0,0.3,0.5,0.2,2.2
14,1,14772.0,0.4,0.3,0.3,1.9
15,1,14508.0,0.6,0.2,0.2,1.9
16,1,14972.0,0.1,0.6,0.3,1.9
17,1,14114.0,0.4,0.2,0.4,2.0
18,1,14080.0,0.4,0.2,0.4,1.8
19,1,14822.0,0.6,0.2,0.2,1.9
20,1,15076.0,0.2,0.7,0.1,2.1
21,1,12044.0,0.1,0.6,0.3,2.0
22,1,14102.0,0.5,0.2,0.3,1.9
23,1,14880.0,0.6,0.2,0.2,2.1
24,1,14909.0,0.2,0.6,0.2,2.2
25,1,9495.0,0.3,0.3,0.4,2.0
26,1,14400.0,0.2,0.4,0.4,1.9
27,1,14120.0,0.6,0.3,0.1,1.8
28,1,14777.0,0.3,0.5,0.2,1.9
29,1,14355.0,0.3,0.3,0.4,1.9
30,2,14870.0,0.2,0.6,0.2,2.0
31,2,14036.0,0.3,0.5,0.2,2.0
32,2,14659.0,0.6,0.1,0.3,2.2
33,2,15365.0,0.1,0.6,0.3,2.2
34,2,9310.0,0.4,0.2,0.4,1.8
35,2,12917.0,0.6,0.1,0.3,2.1
36,2,14554.0,0.4,0.3,0.3,1.9
37,2,15152.0,0.4,0.2,0.4,2.1
38,2,14364.0,0.4,0.2,0.4,1.9
39,2,14385.0,0.4,0.3,0.3,2.1
40,2,14336.0,0.4,0.2,0.4,2.0
41,2,15552.0,0.2,0.4,0.4,2.0
42,2,14897.0,0.4,0.2,0.4,1.8
43,2,14333.0,0.6,0.1,0.3,2.0
44,2,14477.0,0.4,0.3,0.3,1.9
45,2,14530.0,0.1,0.6,0.3,1.8
46,2,14729.0,0.5,0.2,0.3,2.0
47,2,15140.0,0.6,0.3,0.1,1.8
48,2,14416.0,0.4,0.2,0.4,1.9
49,2,14188.0,0.6,0.1,0.3,1.8
50,2,14860.0,0.4,0.2,0.4,1.8
51,2,14285.0,0.6,0.1,0.3,1.9
