,year,ID,r_c,r_r,r_poi,FAR
0,1,14525.0,0.6,0.1,0.3,2.2
1,1,14128.0,0.4,0.3,0.3,2.2
2,1,14455.0,0.6,0.3,0.1,1.9
3,1,14392.0,0.6,0.1,0.3,2.1
4,1,14725.0,0.4,0.2,0.4,2.0
5,1,14605.0,0.6,0.2,0.2,1.8
6,1,15554.0,0.2,0.6,0.2,2.1
7,1,14483.0,0.4,0.2,0.4,2.2
8,1,15343.0,0.6,0.1,0.3,2.2
9,1,14684.0,0.1,0.6,0.3,1.9
10,1,12800.0,0.4,0.3,0.3,2.2
11,1,14140.0,0.6,0.1,0.3,1.8
12,1,14083.0,0.4,0.3,0.3,2.2
13,1,14080.0,0.4,0.2,0.4,2.2
14,1,14600.0,0.4,0.2,0.4,1.9
15,1,14539.0,0.5,0.2,0.3,2.2
16,1,14141.0,0.4,0.2,0.4,2.2
17,1,15544.0,0.6,0.3,0.1,2.2
18,1,14836.0,0.4,0.3,0.3,2.0
19,1,14311.0,0.6,0.1,0.3,2.2
20,1,14556.0,0.4,0.2,0.4,2.1
21,1,14259.0,0.6,0.1,0.3,1.9
22,1,14648.0,0.2,0.6,0.2,2.1
23,1,14750.0,0.4,0.3,0.3,2.1
24,1,12633.0,0.1,0.7,0.2,2.1
25,1,14398.0,0.4,0.2,0.4,2.1
26,1,14101.0,0.6,0.1,0.3,1.9
27,1,15560.0,0.7,0.2,0.1,2.0
28,1,14087.0,0.3,0.5,0.2,2.0
29,1,14700.0,0.3,0.3,0.4,2.1
30,2,14464.0,0.5,0.2,0.3,1.9
31,2,14583.0,0.6,0.2,0.2,2.0
32,2,14701.0,0.7,0.2,0.1,2.1
33,2,14393.0,0.3,0.3,0.4,1.9
34,2,14222.0,0.6,0.1,0.3,1.9
35,2,14721.0,0.3,0.3,0.4,2.1
36,2,15549.0,0.6,0.1,0.3,2.0
37,2,243.0,0.2,0.6,0.2,1.8
38,2,14530.0,0.6,0.2,0.2,1.9
39,2,14399.0,0.2,0.4,0.4,2.0
40,2,14090.0,0.2,0.4,0.4,2.2
41,2,14537.0,0.7,0.2,0.1,2.0
42,2,892.0,0.6,0.2,0.2,2.1
43,2,9495.0,0.4,0.3,0.3,1.9
44,2,15178.0,0.2,0.7,0.1,2.1
45,2,15536.0,0.6,0.2,0.2,2.0
46,2,14582.0,0.4,0.2,0.4,1.8
47,2,15541.0,0.3,0.5,0.2,2.2
48,2,14693.0,0.6,0.2,0.2,1.9
49,2,14601.0,0.4,0.2,0.4,2.1
50,2,14170.0,0.4,0.2,0.4,1.8
51,2,14720.0,0.3,0.3,0.4,1.8
52,2,15074.0,0.4,0.2,0.4,2.1
53,2,14876.0,0.7,0.2,0.1,2.2
54,2,14509.0,0.6,0.1,0.3,1.9
