,year,ID,r_c,r_r,r_poi,FAR
0,1,14083.0,0.1,0.6,0.3,1.8
1,1,14447.0,0.6,0.1,0.3,1.8
2,1,9302.0,0.4,0.2,0.4,2.2
3,1,14314.0,0.7,0.2,0.1,2.0
4,1,14680.0,0.7,0.2,0.1,2.2
5,1,14165.0,0.7,0.2,0.1,1.9
6,1,14662.0,0.7,0.2,0.1,2.0
7,1,14912.0,0.6,0.1,0.3,1.9
8,1,14193.0,0.4,0.2,0.4,1.8
9,1,14759.0,0.4,0.3,0.3,2.2
10,1,15020.0,0.6,0.3,0.1,1.8
11,1,14521.0,0.1,0.6,0.3,2.2
12,1,14652.0,0.4,0.2,0.4,2.1
13,1,14567.0,0.3,0.5,0.2,2.2
14,1,14797.0,0.6,0.1,0.3,1.9
15,1,14894.0,0.2,0.7,0.1,2.1
16,1,15230.0,0.7,0.2,0.1,1.8
17,1,14057.0,0.5,0.2,0.3,2.2
18,1,9335.0,0.7,0.2,0.1,2.1
19,1,9319.0,0.1,0.7,0.2,1.8
20,1,15306.0,0.4,0.2,0.4,1.9
21,1,14549.0,0.1,0.7,0.2,1.9
22,1,14580.0,0.6,0.2,0.2,2.1
23,1,14117.0,0.2,0.7,0.1,2.0
24,1,14461.0,0.7,0.2,0.1,2.0
25,1,14709.0,0.2,0.4,0.4,1.8
26,1,14557.0,0.1,0.6,0.3,2.2
27,1,14032.0,0.3,0.3,0.4,1.8
28,1,14867.0,0.3,0.5,0.2,2.1
29,1,14099.0,0.4,0.3,0.3,2.1
30,2,14525.0,0.6,0.1,0.3,2.2
31,2,15245.0,0.2,0.6,0.2,1.9
32,2,14634.0,0.2,0.6,0.2,2.1
33,2,14394.0,0.3,0.3,0.4,2.1
34,2,12826.0,0.6,0.3,0.1,1.8
35,2,15317.0,0.5,0.2,0.3,2.2
36,2,15554.0,0.2,0.6,0.2,2.1
37,2,14545.0,0.4,0.2,0.4,1.8
38,2,14893.0,0.2,0.7,0.1,2.2
39,2,15264.0,0.1,0.6,0.3,2.1
40,2,12800.0,0.4,0.3,0.3,2.2
41,2,14135.0,0.6,0.2,0.2,2.0
42,2,15191.0,0.6,0.3,0.1,2.2
43,2,14080.0,0.4,0.2,0.4,2.2
44,2,14933.0,0.4,0.2,0.4,2.1
45,2,14863.0,0.6,0.1,0.3,2.0
46,2,15276.0,0.4,0.3,0.3,2.0
47,2,14069.0,0.2,0.6,0.2,1.8
48,2,14590.0,0.4,0.2,0.4,1.8
49,2,15252.0,0.5,0.2,0.3,1.9
50,2,15550.0,0.5,0.2,0.3,2.0
51,2,14722.0,0.4,0.2,0.4,2.2
52,2,14648.0,0.2,0.6,0.2,2.1
53,2,14204.0,0.7,0.2,0.1,2.0
54,2,14476.0,0.6,0.3,0.1,2.2
55,2,14691.0,0.6,0.2,0.2,2.0
56,2,14101.0,0.6,0.1,0.3,1.9
57,2,14093.0,0.1,0.7,0.2,2.0
58,2,14359.0,0.2,0.6,0.2,1.9
59,2,14659.0,0.7,0.2,0.1,2.2
60,3,14480.0,0.4,0.2,0.4,1.8
61,3,14895.0,0.2,0.4,0.4,2.2
62,3,14563.0,0.3,0.3,0.4,2.2
63,3,14064.0,0.4,0.2,0.4,2.0
64,3,14424.0,0.6,0.1,0.3,2.1
65,3,14161.0,0.4,0.2,0.4,2.0
66,3,14643.0,0.6,0.3,0.1,2.1
67,3,14089.0,0.6,0.1,0.3,1.8
68,3,14456.0,0.2,0.7,0.1,1.8
69,3,14102.0,0.6,0.2,0.2,2.0
70,3,14332.0,0.6,0.3,0.1,2.2
71,3,15091.0,0.7,0.2,0.1,2.0
72,3,12729.0,0.6,0.3,0.1,1.8
73,3,14446.0,0.4,0.2,0.4,2.0
74,3,14613.0,0.2,0.4,0.4,2.0
75,3,12044.0,0.6,0.3,0.1,2.0
76,3,14406.0,0.6,0.2,0.2,1.8
77,3,14221.0,0.5,0.2,0.3,1.9
78,3,14726.0,0.4,0.2,0.4,2.2
79,3,14703.0,0.6,0.1,0.3,2.2
80,3,14877.0,0.4,0.2,0.4,2.1
81,3,14746.0,0.4,0.3,0.3,1.9
82,3,9334.0,0.4,0.2,0.4,2.1
83,3,14229.0,0.6,0.2,0.2,2.0
84,3,14559.0,0.4,0.3,0.3,1.9
85,3,14528.0,0.1,0.6,0.3,2.0
86,3,14050.0,0.4,0.2,0.4,2.2
87,3,14751.0,0.4,0.2,0.4,2.0
88,3,14512.0,0.1,0.7,0.2,1.8
89,3,15543.0,0.2,0.4,0.4,1.9
90,4,14572.0,0.5,0.2,0.3,1.9
91,4,14408.0,0.5,0.2,0.3,2.2
92,4,14329.0,0.2,0.4,0.4,2.0
93,4,14086.0,0.6,0.3,0.1,2.1
94,4,14308.0,0.2,0.6,0.2,2.1
95,4,15346.0,0.6,0.2,0.2,1.9
96,4,15099.0,0.3,0.3,0.4,1.9
97,4,14238.0,0.4,0.2,0.4,2.2
98,4,14932.0,0.6,0.3,0.1,2.0
99,4,15344.0,0.7,0.2,0.1,1.9
100,4,14852.0,0.4,0.2,0.4,2.2
101,4,14331.0,0.6,0.1,0.3,2.1
102,4,15188.0,0.6,0.2,0.2,2.0
103,4,15345.0,0.1,0.7,0.2,2.1
104,4,892.0,0.1,0.6,0.3,1.8
105,4,14875.0,0.3,0.5,0.2,2.1
106,4,14097.0,0.5,0.2,0.3,1.8
107,4,14593.0,0.6,0.3,0.1,1.8
108,4,15140.0,0.7,0.2,0.1,1.9
109,4,14147.0,0.4,0.2,0.4,2.2
110,4,14539.0,0.1,0.6,0.3,1.8
111,4,14923.0,0.4,0.2,0.4,1.9
112,4,15060.0,0.1,0.7,0.2,1.8
113,4,15265.0,0.6,0.3,0.1,2.2
114,4,14404.0,0.4,0.3,0.3,2.0
115,4,14575.0,0.7,0.2,0.1,2.0
116,4,15260.0,0.6,0.3,0.1,1.9
117,4,14928.0,0.4,0.3,0.3,1.9
118,4,14708.0,0.4,0.2,0.4,2.2
119,4,14995.0,0.6,0.2,0.2,2.1
120,5,14191.0,0.7,0.2,0.1,2.1
121,5,14729.0,0.6,0.2,0.2,2.2
122,5,14541.0,0.3,0.3,0.4,2.1
123,5,14617.0,0.6,0.3,0.1,1.9
124,5,14477.0,0.3,0.3,0.4,2.0
125,5,14581.0,0.5,0.2,0.3,2.2
126,5,14235.0,0.6,0.3,0.1,1.8
127,5,15227.0,0.7,0.2,0.1,2.0
128,5,14530.0,0.6,0.2,0.2,1.9
129,5,14610.0,0.6,0.1,0.3,2.1
130,5,14510.0,0.6,0.2,0.2,2.0
131,5,14364.0,0.6,0.1,0.3,2.0
132,5,15007.0,0.1,0.6,0.3,1.8
133,5,14100.0,0.5,0.2,0.3,1.9
134,5,14081.0,0.4,0.3,0.3,1.8
135,5,14766.0,0.6,0.2,0.2,1.9
136,5,9498.0,0.6,0.1,0.3,2.1
137,5,14071.0,0.6,0.3,0.1,2.0
138,5,15273.0,0.6,0.1,0.3,1.8
139,5,14657.0,0.1,0.6,0.3,2.2
140,5,14724.0,0.3,0.3,0.4,1.9
141,5,14574.0,0.7,0.2,0.1,1.9
142,5,14177.0,0.3,0.5,0.2,1.8
143,5,14553.0,0.5,0.2,0.3,2.2
144,5,15354.0,0.1,0.7,0.2,2.1
145,5,15085.0,0.4,0.2,0.4,2.2
146,5,14790.0,0.4,0.2,0.4,2.0
147,5,14925.0,0.4,0.3,0.3,1.8
148,5,14513.0,0.6,0.1,0.3,2.1
149,5,15368.0,0.7,0.2,0.1,1.8
150,6,15108.0,0.3,0.3,0.4,2.2
151,6,14656.0,0.5,0.2,0.3,1.8
152,6,14482.0,0.6,0.2,0.2,2.2
153,6,15058.0,0.7,0.2,0.1,2.0
154,6,14679.0,0.1,0.6,0.3,1.8
155,6,14073.0,0.6,0.3,0.1,2.2
156,6,14774.0,0.7,0.2,0.1,2.2
157,6,14601.0,0.5,0.2,0.3,2.2
158,6,15333.0,0.7,0.2,0.1,1.8
159,6,15009.0,0.2,0.4,0.4,2.0
160,6,14094.0,0.6,0.1,0.3,1.8
161,6,14485.0,0.4,0.2,0.4,1.8
162,6,14649.0,0.6,0.3,0.1,1.8
163,6,14460.0,0.6,0.1,0.3,1.8
164,6,14504.0,0.5,0.2,0.3,1.8
165,6,15153.0,0.4,0.2,0.4,2.2
166,6,14561.0,0.4,0.2,0.4,1.9
167,6,15278.0,0.6,0.3,0.1,2.1
168,6,15387.0,0.7,0.2,0.1,2.1
169,6,15168.0,0.4,0.3,0.3,1.8
170,6,15178.0,0.2,0.4,0.4,2.2
171,6,14745.0,0.3,0.3,0.4,1.8
172,6,14326.0,0.1,0.6,0.3,2.2
173,6,15079.0,0.7,0.2,0.1,1.9
174,6,15288.0,0.6,0.3,0.1,1.8
175,6,14555.0,0.4,0.2,0.4,1.9
176,6,14628.0,0.3,0.5,0.2,2.2
177,6,14695.0,0.1,0.6,0.3,2.2
178,6,14206.0,0.7,0.2,0.1,2.2
179,6,14042.0,0.6,0.3,0.1,2.0
180,7,15536.0,0.3,0.3,0.4,1.9
181,7,14390.0,0.6,0.1,0.3,2.0
182,7,14578.0,0.6,0.1,0.3,2.2
183,7,9305.0,0.6,0.3,0.1,1.9
184,7,15281.0,0.2,0.6,0.2,2.1
185,7,14471.0,0.6,0.3,0.1,1.8
186,7,15539.0,0.3,0.5,0.2,2.0
187,7,14537.0,0.6,0.3,0.1,2.1
188,7,15030.0,0.2,0.6,0.2,1.9
189,7,14660.0,0.4,0.3,0.3,1.9
190,7,14475.0,0.4,0.3,0.3,1.9
191,7,14511.0,0.7,0.2,0.1,1.8
192,7,14304.0,0.4,0.3,0.3,1.9
193,7,14499.0,0.2,0.6,0.2,2.0
194,7,14248.0,0.1,0.7,0.2,2.0
195,7,14653.0,0.6,0.3,0.1,2.2
196,7,14685.0,0.6,0.1,0.3,2.1
197,7,14048.0,0.5,0.2,0.3,2.2
198,7,14405.0,0.3,0.5,0.2,2.2
199,7,48.0,0.4,0.2,0.4,2.2
200,7,14684.0,0.4,0.2,0.4,2.2
201,7,14049.0,0.4,0.2,0.4,2.0
202,7,14809.0,0.3,0.3,0.4,1.9
203,7,14534.0,0.5,0.2,0.3,2.1
204,7,14532.0,0.6,0.3,0.1,1.8
205,7,14466.0,0.6,0.3,0.1,2.0
206,7,14955.0,0.2,0.4,0.4,2.1
207,7,14392.0,0.2,0.4,0.4,2.0
208,7,14773.0,0.3,0.3,0.4,2.2
209,7,15095.0,0.6,0.3,0.1,2.1
210,8,14956.0,0.3,0.3,0.4,2.2
211,8,14352.0,0.5,0.2,0.3,1.8
212,8,14636.0,0.6,0.2,0.2,2.2
213,8,14464.0,0.7,0.2,0.1,2.0
214,8,12917.0,0.1,0.6,0.3,1.8
215,8,15548.0,0.6,0.3,0.1,2.2
216,8,15247.0,0.7,0.2,0.1,2.2
217,8,14866.0,0.6,0.3,0.1,1.8
218,8,14122.0,0.7,0.2,0.1,1.8
219,8,14046.0,0.2,0.4,0.4,2.0
220,8,14489.0,0.6,0.1,0.3,1.8
221,8,9301.0,0.2,0.7,0.1,1.8
222,8,14737.0,0.3,0.5,0.2,1.9
223,8,14591.0,0.7,0.2,0.1,2.2
224,8,9496.0,0.3,0.5,0.2,1.9
225,8,7312.0,0.4,0.2,0.4,2.2
226,8,14075.0,0.7,0.2,0.1,2.1
227,8,14162.0,0.6,0.3,0.1,2.1
228,8,15562.0,0.7,0.2,0.1,2.1
229,8,14141.0,0.4,0.3,0.3,1.8
230,8,15321.0,0.6,0.1,0.3,2.2
231,8,14711.0,0.3,0.5,0.2,2.2
232,8,14631.0,0.1,0.6,0.3,2.2
233,8,14459.0,0.7,0.2,0.1,1.9
234,8,14752.0,0.4,0.2,0.4,2.1
235,8,15069.0,0.4,0.2,0.4,1.9
236,8,14701.0,0.3,0.5,0.2,2.2
237,8,15537.0,0.2,0.6,0.2,2.2
238,8,14624.0,0.7,0.2,0.1,2.2
239,8,14336.0,0.6,0.3,0.1,1.8
240,9,14554.0,0.7,0.2,0.1,2.1
241,9,15343.0,0.6,0.2,0.2,2.2
242,9,14317.0,0.3,0.3,0.4,2.1
243,9,14544.0,0.6,0.1,0.3,2.2
244,9,14556.0,0.6,0.2,0.2,2.0
245,9,14960.0,0.5,0.2,0.3,2.2
246,9,14082.0,0.4,0.3,0.3,2.2
247,9,14922.0,0.7,0.2,0.1,2.0
248,9,14700.0,0.2,0.4,0.4,2.2
249,9,14492.0,0.5,0.2,0.3,2.0
250,9,14218.0,0.6,0.2,0.2,2.0
251,9,15243.0,0.6,0.1,0.3,2.0
252,9,14410.0,0.1,0.6,0.3,1.8
253,9,14356.0,0.5,0.2,0.3,1.9
254,9,12901.0,0.7,0.2,0.1,2.0
255,9,14319.0,0.6,0.2,0.2,1.9
256,9,15347.0,0.3,0.5,0.2,1.9
257,9,14449.0,0.6,0.3,0.1,2.0
258,9,14744.0,0.6,0.1,0.3,1.8
259,9,15320.0,0.1,0.6,0.3,2.2
260,9,14416.0,0.3,0.3,0.4,1.9
261,9,15037.0,0.7,0.2,0.1,1.9
262,9,14639.0,0.3,0.5,0.2,1.8
263,9,14318.0,0.5,0.2,0.3,2.2
264,9,14954.0,0.1,0.7,0.2,2.1
265,9,14131.0,0.4,0.3,0.3,2.2
266,9,14033.0,0.6,0.3,0.1,2.0
267,9,14163.0,0.4,0.3,0.3,1.8
268,9,15228.0,0.2,0.4,0.4,2.1
269,9,14526.0,0.7,0.2,0.1,1.9
270,10,14479.0,0.6,0.3,0.1,1.8
271,10,14749.0,0.6,0.3,0.1,1.8
272,10,14994.0,0.4,0.2,0.4,2.2
273,10,14673.0,0.3,0.5,0.2,2.2
274,10,14705.0,0.3,0.3,0.4,2.2
275,10,15096.0,0.1,0.6,0.3,1.9
276,10,14091.0,0.4,0.3,0.3,2.1
277,10,14145.0,0.6,0.2,0.2,1.9
278,10,14836.0,0.1,0.6,0.3,2.2
279,10,14258.0,0.3,0.3,0.4,2.0
280,10,14690.0,0.4,0.2,0.4,2.1
281,10,15170.0,0.2,0.7,0.1,2.0
282,10,14108.0,0.5,0.2,0.3,2.0
283,10,14892.0,0.1,0.6,0.3,2.0
284,10,14300.0,0.6,0.1,0.3,2.2
285,10,15134.0,0.3,0.5,0.2,2.2
286,10,14483.0,0.5,0.2,0.3,1.9
287,10,14538.0,0.6,0.1,0.3,1.8
288,10,12715.0,0.6,0.1,0.3,2.1
289,10,14255.0,0.3,0.5,0.2,1.9
290,10,14453.0,0.7,0.2,0.1,2.1
291,10,14543.0,0.6,0.3,0.1,1.9
292,10,14066.0,0.6,0.3,0.1,1.9
293,10,14515.0,0.4,0.3,0.3,1.8
294,10,14380.0,0.4,0.3,0.3,2.1
295,10,15266.0,0.2,0.6,0.2,1.9
296,10,15042.0,0.4,0.3,0.3,2.1
297,10,14490.0,0.4,0.2,0.4,1.8
298,10,14598.0,0.2,0.6,0.2,2.2
299,10,14104.0,0.3,0.3,0.4,2.2
300,11,14128.0,0.6,0.2,0.2,2.2
301,11,15355.0,0.5,0.2,0.3,1.8
302,11,11969.0,0.6,0.2,0.2,2.2
303,11,14276.0,0.7,0.2,0.1,2.0
304,11,14401.0,0.5,0.2,0.3,1.9
305,11,14034.0,0.6,0.3,0.1,2.2
306,11,14167.0,0.7,0.2,0.1,2.2
307,11,15549.0,0.6,0.1,0.3,2.2
308,11,14090.0,0.7,0.2,0.1,1.8
309,11,14095.0,0.2,0.4,0.4,2.0
310,11,14289.0,0.6,0.1,0.3,1.8
311,11,15151.0,0.4,0.2,0.4,1.8
312,11,14491.0,0.2,0.4,0.4,1.8
313,11,14260.0,0.7,0.2,0.1,2.2
314,11,14825.0,0.5,0.2,0.3,1.8
315,11,14115.0,0.1,0.6,0.3,2.0
316,11,13715.0,0.3,0.5,0.2,1.9
317,11,14756.0,0.6,0.3,0.1,2.1
318,11,14118.0,0.7,0.2,0.1,2.1
319,11,14150.0,0.4,0.3,0.3,1.8
320,11,15249.0,0.6,0.1,0.3,2.2
321,11,14600.0,0.7,0.2,0.1,2.0
322,11,14611.0,0.1,0.6,0.3,2.2
323,11,14215.0,0.7,0.2,0.1,1.9
324,11,15286.0,0.6,0.3,0.1,1.8
325,11,14301.0,0.4,0.2,0.4,1.9
326,11,14524.0,0.6,0.1,0.3,1.8
327,11,14642.0,0.2,0.4,0.4,1.8
328,11,14742.0,0.7,0.2,0.1,2.2
329,11,14536.0,0.6,0.3,0.1,1.8
330,12,9304.0,0.4,0.2,0.4,2.2
331,12,14055.0,0.5,0.2,0.3,2.2
332,12,14757.0,0.3,0.3,0.4,2.0
333,12,14295.0,0.2,0.4,0.4,2.0
334,12,14542.0,0.1,0.6,0.3,1.8
335,12,15363.0,0.3,0.5,0.2,2.0
336,12,14503.0,0.3,0.5,0.2,2.0
337,12,14056.0,0.6,0.1,0.3,2.0
338,12,14595.0,0.2,0.4,0.4,2.0
339,12,14546.0,0.7,0.2,0.1,2.2
340,12,14718.0,0.5,0.2,0.3,2.1
341,12,14127.0,0.7,0.2,0.1,1.9
342,12,14966.0,0.4,0.3,0.3,1.9
343,12,15360.0,0.6,0.3,0.1,2.1
344,12,15538.0,0.6,0.1,0.3,2.1
345,12,14311.0,0.7,0.2,0.1,2.0
