,year,ID,r_c,r_r,r_poi,FAR
0,1,14102.0,0.2,0.4,0.4,1.8
1,1,14546.0,0.4,0.3,0.3,1.8
2,1,14121.0,0.6,0.2,0.2,2.2
3,1,15007.0,0.6,0.1,0.3,1.8
4,1,14105.0,0.6,0.2,0.2,2.2
5,1,15028.0,0.6,0.1,0.3,2.0
6,1,14742.0,0.7,0.2,0.1,2.0
7,1,14106.0,0.6,0.2,0.2,2.1
8,1,14708.0,0.6,0.2,0.2,2.0
9,1,14300.0,0.1,0.7,0.2,2.1
10,1,15381.0,0.2,0.7,0.1,2.2
11,1,14388.0,0.6,0.2,0.2,2.1
12,1,14135.0,0.6,0.1,0.3,1.8
13,1,14765.0,0.4,0.2,0.4,2.2
14,1,15360.0,0.4,0.3,0.3,2.0
15,1,14513.0,0.2,0.6,0.2,2.0
16,1,14584.0,0.4,0.2,0.4,2.2
17,1,14108.0,0.6,0.1,0.3,2.0
18,1,14366.0,0.2,0.7,0.1,1.8
19,1,15562.0,0.3,0.3,0.4,1.9
20,1,15295.0,0.6,0.3,0.1,1.9
21,1,14435.0,0.5,0.2,0.3,2.1
22,1,14530.0,0.4,0.2,0.4,2.2
23,1,14870.0,0.1,0.7,0.2,2.2
24,1,14946.0,0.4,0.3,0.3,2.0
25,1,14553.0,0.3,0.5,0.2,2.1
26,1,14404.0,0.6,0.1,0.3,2.0
27,1,14042.0,0.5,0.2,0.3,1.8
28,1,14563.0,0.3,0.5,0.2,1.8
29,1,14922.0,0.6,0.3,0.1,2.1
30,2,14482.0,0.3,0.3,0.4,2.0
31,2,14089.0,0.3,0.3,0.4,2.2
32,2,14725.0,0.6,0.1,0.3,2.0
33,2,14463.0,0.5,0.2,0.3,1.9
34,2,15095.0,0.2,0.7,0.1,2.0
35,2,15219.0,0.3,0.3,0.4,2.1
36,2,15124.0,0.1,0.6,0.3,2.2
37,2,14088.0,0.7,0.2,0.1,1.9
38,2,14283.0,0.7,0.2,0.1,1.9
39,2,14539.0,0.3,0.5,0.2,2.2
40,2,14550.0,0.6,0.1,0.3,2.2
41,2,14834.0,0.3,0.5,0.2,1.9
42,2,15256.0,0.6,0.2,0.2,2.1
43,2,9331.0,0.6,0.2,0.2,2.1
44,2,14091.0,0.4,0.2,0.4,2.2
45,2,14087.0,0.4,0.3,0.3,1.9
46,2,14521.0,0.1,0.7,0.2,2.2
47,2,14048.0,0.4,0.2,0.4,2.1
48,2,14191.0,0.5,0.2,0.3,2.1
49,2,14141.0,0.4,0.2,0.4,2.0
50,2,14561.0,0.3,0.3,0.4,1.8
51,2,14514.0,0.7,0.2,0.1,2.1
52,2,14650.0,0.6,0.1,0.3,2.1
53,2,14596.0,0.4,0.2,0.4,2.1
54,2,14369.0,0.6,0.2,0.2,2.0
55,2,14711.0,0.1,0.6,0.3,2.1
56,2,14054.0,0.7,0.2,0.1,2.2
57,2,14090.0,0.1,0.7,0.2,1.9
58,2,14994.0,0.4,0.2,0.4,2.0
59,2,14456.0,0.3,0.5,0.2,2.0
60,3,15222.0,0.3,0.5,0.2,1.9
61,3,14424.0,0.6,0.3,0.1,2.0
62,3,14390.0,0.4,0.2,0.4,1.8
63,3,14410.0,0.4,0.3,0.3,2.0
64,3,14709.0,0.4,0.2,0.4,2.1
65,3,14443.0,0.1,0.7,0.2,1.8
66,3,14904.0,0.6,0.1,0.3,1.8
67,3,15241.0,0.1,0.7,0.2,2.0
68,3,15333.0,0.6,0.2,0.2,1.9
69,3,15239.0,0.2,0.6,0.2,2.0
70,3,7312.0,0.4,0.2,0.4,2.2
71,3,14884.0,0.6,0.3,0.1,2.0
72,3,14998.0,0.1,0.7,0.2,2.0
73,3,14787.0,0.7,0.2,0.1,2.0
74,3,14465.0,0.6,0.3,0.1,2.1
75,3,14608.0,0.2,0.7,0.1,2.2
76,3,15382.0,0.2,0.4,0.4,1.8
77,3,14111.0,0.6,0.1,0.3,2.0
78,3,14162.0,0.6,0.3,0.1,2.2
79,3,11966.0,0.1,0.6,0.3,2.2
80,3,14718.0,0.4,0.2,0.4,1.8
81,3,14132.0,0.3,0.3,0.4,2.0
82,3,14762.0,0.4,0.2,0.4,2.1
83,3,14947.0,0.1,0.6,0.3,1.9
84,3,14045.0,0.6,0.2,0.2,2.1
85,3,14444.0,0.3,0.3,0.4,1.8
86,3,15554.0,0.5,0.2,0.3,2.2
87,3,14377.0,0.5,0.2,0.3,2.1
88,3,14868.0,0.2,0.7,0.1,1.8
89,3,14773.0,0.2,0.7,0.1,2.0
90,4,14610.0,0.4,0.2,0.4,2.1
91,4,14875.0,0.2,0.7,0.1,1.8
92,4,14076.0,0.1,0.7,0.2,2.1
93,4,14528.0,0.4,0.3,0.3,1.8
94,4,14459.0,0.6,0.3,0.1,2.0
95,4,14559.0,0.6,0.3,0.1,2.1
96,4,15154.0,0.6,0.2,0.2,1.9
97,4,14958.0,0.5,0.2,0.3,2.0
98,4,14128.0,0.3,0.3,0.4,2.2
99,4,15010.0,0.4,0.2,0.4,2.0
100,4,14531.0,0.4,0.3,0.3,2.1
101,4,14564.0,0.4,0.2,0.4,2.1
102,4,15323.0,0.4,0.2,0.4,1.9
103,4,15058.0,0.2,0.7,0.1,1.9
104,4,14393.0,0.2,0.7,0.1,1.9
105,4,14525.0,0.4,0.2,0.4,2.0
106,4,14717.0,0.6,0.1,0.3,2.0
107,4,14336.0,0.1,0.6,0.3,1.8
108,4,14659.0,0.2,0.4,0.4,2.0
109,4,14182.0,0.7,0.2,0.1,1.9
110,4,14851.0,0.7,0.2,0.1,2.1
111,4,14652.0,0.3,0.5,0.2,2.0
112,4,14352.0,0.4,0.2,0.4,2.2
113,4,14493.0,0.1,0.7,0.2,1.8
114,4,14532.0,0.4,0.3,0.3,2.1
115,4,14084.0,0.4,0.2,0.4,2.0
116,4,15560.0,0.6,0.3,0.1,2.1
117,4,9322.0,0.4,0.2,0.4,2.2
118,4,14139.0,0.3,0.3,0.4,1.9
119,4,15177.0,0.1,0.6,0.3,2.1
120,5,14690.0,0.3,0.5,0.2,2.2
121,5,14085.0,0.6,0.2,0.2,1.9
122,5,14658.0,0.1,0.7,0.2,2.0
123,5,14221.0,0.4,0.3,0.3,1.8
124,5,14605.0,0.1,0.7,0.2,1.9
125,5,14238.0,0.4,0.2,0.4,1.9
126,5,14573.0,0.3,0.3,0.4,2.0
127,5,15120.0,0.2,0.4,0.4,2.1
128,5,14470.0,0.3,0.5,0.2,2.1
129,5,14258.0,0.5,0.2,0.3,1.9
130,5,15179.0,0.3,0.5,0.2,2.0
131,5,14099.0,0.2,0.6,0.2,1.8
132,5,15537.0,0.3,0.3,0.4,2.1
133,5,14057.0,0.4,0.2,0.4,2.2
134,5,15542.0,0.6,0.3,0.1,2.1
135,5,14887.0,0.3,0.3,0.4,2.2
136,5,14510.0,0.6,0.2,0.2,1.9
137,5,14053.0,0.6,0.2,0.2,1.9
138,5,14483.0,0.3,0.5,0.2,2.2
139,5,14724.0,0.7,0.2,0.1,2.2
140,5,14400.0,0.7,0.2,0.1,2.1
141,5,14080.0,0.4,0.2,0.4,1.9
142,5,14098.0,0.6,0.2,0.2,1.9
143,5,14626.0,0.4,0.2,0.4,2.0
144,5,15052.0,0.7,0.2,0.1,2.2
145,5,15029.0,0.4,0.2,0.4,2.1
146,5,15105.0,0.2,0.4,0.4,1.9
147,5,14123.0,0.7,0.2,0.1,2.0
148,5,14296.0,0.4,0.2,0.4,2.1
149,5,15093.0,0.6,0.2,0.2,2.2
150,6,9299.0,0.3,0.5,0.2,1.8
151,6,14474.0,0.5,0.2,0.3,2.2
152,6,14334.0,0.6,0.3,0.1,1.9
153,6,14103.0,0.2,0.6,0.2,2.0
154,6,14399.0,0.6,0.1,0.3,2.1
155,6,14068.0,0.4,0.2,0.4,1.9
156,6,14702.0,0.4,0.2,0.4,1.9
157,6,15252.0,0.4,0.3,0.3,1.9
158,6,14566.0,0.2,0.7,0.1,1.9
159,6,14745.0,0.4,0.3,0.3,2.1
160,6,14977.0,0.4,0.2,0.4,1.8
161,6,14308.0,0.6,0.1,0.3,2.0
162,6,14685.0,0.6,0.1,0.3,1.8
163,6,14373.0,0.7,0.2,0.1,1.8
164,6,14700.0,0.3,0.5,0.2,2.2
165,6,14660.0,0.2,0.7,0.1,2.2
166,6,14730.0,0.1,0.7,0.2,2.1
167,6,15126.0,0.2,0.4,0.4,2.1
168,6,14880.0,0.1,0.7,0.2,2.0
169,6,14740.0,0.4,0.2,0.4,2.2
170,6,15371.0,0.1,0.7,0.2,2.1
171,6,14412.0,0.2,0.7,0.1,2.1
172,6,15355.0,0.2,0.4,0.4,2.0
173,6,15346.0,0.2,0.4,0.4,1.9
174,6,14903.0,0.5,0.2,0.3,1.9
175,6,14097.0,0.5,0.2,0.3,2.0
176,6,15317.0,0.3,0.5,0.2,2.0
177,6,14744.0,0.7,0.2,0.1,2.2
178,6,14572.0,0.5,0.2,0.3,2.2
179,6,14196.0,0.4,0.2,0.4,1.8
180,7,14595.0,0.2,0.4,0.4,1.8
181,7,14639.0,0.4,0.2,0.4,2.2
182,7,15260.0,0.6,0.2,0.2,2.2
183,7,14360.0,0.1,0.6,0.3,1.8
184,7,14691.0,0.3,0.3,0.4,2.2
185,7,14518.0,0.3,0.5,0.2,2.0
186,7,14756.0,0.2,0.4,0.4,2.0
187,7,14774.0,0.3,0.3,0.4,2.2
188,7,14732.0,0.2,0.7,0.1,1.9
189,7,14515.0,0.1,0.7,0.2,2.1
190,7,15544.0,0.2,0.7,0.1,1.9
191,7,11969.0,0.7,0.2,0.1,2.0
192,7,15541.0,0.2,0.7,0.1,2.2
193,7,14703.0,0.6,0.2,0.2,1.8
194,7,14552.0,0.6,0.3,0.1,1.9
195,7,14498.0,0.6,0.2,0.2,2.1
196,7,14721.0,0.4,0.2,0.4,2.2
197,7,14295.0,0.6,0.1,0.3,2.0
198,7,14624.0,0.2,0.7,0.1,1.8
199,7,15551.0,0.7,0.2,0.1,2.0
200,7,15337.0,0.6,0.3,0.1,2.2
201,7,14653.0,0.5,0.2,0.3,2.1
202,7,14849.0,0.5,0.2,0.3,2.0
203,7,14301.0,0.6,0.2,0.2,2.1
204,7,14095.0,0.3,0.5,0.2,1.9
205,7,15183.0,0.3,0.5,0.2,2.2
206,7,14648.0,0.2,0.7,0.1,1.9
207,7,15057.0,0.7,0.2,0.1,2.0
208,7,14361.0,0.3,0.5,0.2,2.1
209,7,15069.0,0.2,0.7,0.1,1.8
210,8,14701.0,0.4,0.2,0.4,1.8
211,8,14706.0,0.4,0.2,0.4,2.2
212,8,14638.0,0.7,0.2,0.1,2.1
213,8,14050.0,0.3,0.5,0.2,2.0
214,8,15015.0,0.1,0.6,0.3,1.8
215,8,14527.0,0.4,0.2,0.4,1.9
216,8,14490.0,0.6,0.1,0.3,2.1
217,8,14143.0,0.7,0.2,0.1,2.0
218,8,15245.0,0.6,0.3,0.1,2.0
219,8,12800.0,0.5,0.2,0.3,1.9
