,year,ID,r_c,r_r,r_poi,FAR
0,1,14697.0,0.2,0.7,0.1,1.8
1,1,14805.0,0.3,0.3,0.4,2.0
2,1,14621.0,0.6,0.2,0.2,1.9
3,1,14700.0,0.1,0.6,0.3,2.2
4,1,11966.0,0.3,0.5,0.2,2.2
5,1,14764.0,0.1,0.6,0.3,2.1
6,2,14333.0,0.6,0.2,0.2,2.2
7,2,12715.0,0.4,0.3,0.3,1.8
8,2,14678.0,0.2,0.7,0.1,1.9
9,2,14482.0,0.2,0.4,0.4,1.9
10,2,14088.0,0.6,0.3,0.1,2.0
11,2,14092.0,0.2,0.7,0.1,2.0
12,3,14518.0,0.1,0.7,0.2,1.9
13,3,14601.0,0.3,0.3,0.4,2.2
14,3,14498.0,0.6,0.2,0.2,2.1
15,3,14589.0,0.6,0.2,0.2,1.8
16,3,14100.0,0.3,0.5,0.2,2.0
17,3,14628.0,0.5,0.2,0.3,1.9
18,4,14520.0,0.2,0.4,0.4,2.2
19,4,14835.0,0.2,0.4,0.4,2.2
20,4,14054.0,0.2,0.6,0.2,1.8
21,4,14666.0,0.6,0.3,0.1,2.0
22,4,14715.0,0.4,0.3,0.3,1.8
23,4,14144.0,0.4,0.3,0.3,2.0
24,5,14845.0,0.6,0.2,0.2,2.0
25,5,14540.0,0.4,0.2,0.4,2.2
26,5,14682.0,0.4,0.2,0.4,2.0
27,5,14564.0,0.6,0.2,0.2,2.2
28,5,14758.0,0.5,0.2,0.3,2.1
29,5,14622.0,0.4,0.2,0.4,2.0
30,6,14076.0,0.2,0.4,0.4,1.9
31,6,14681.0,0.2,0.7,0.1,2.2
32,6,14637.0,0.3,0.5,0.2,1.8
33,6,14840.0,0.1,0.6,0.3,2.2
34,6,14519.0,0.6,0.2,0.2,1.8
35,6,14710.0,0.6,0.3,0.1,1.8
36,7,14541.0,0.2,0.6,0.2,1.9
37,7,14671.0,0.4,0.2,0.4,2.1
38,7,14859.0,0.4,0.2,0.4,1.8
39,7,14837.0,0.2,0.6,0.2,2.2
40,7,15554.0,0.4,0.2,0.4,2.1
41,7,14516.0,0.6,0.3,0.1,1.8
42,8,14515.0,0.7,0.2,0.1,1.9
43,8,14625.0,0.4,0.2,0.4,2.1
44,8,14713.0,0.7,0.2,0.1,2.0
45,8,14506.0,0.4,0.2,0.4,1.8
46,8,14121.0,0.3,0.5,0.2,1.8
47,8,14511.0,0.1,0.6,0.3,2.0
48,9,14504.0,0.6,0.2,0.2,1.8
49,9,14760.0,0.6,0.1,0.3,1.9
50,9,14356.0,0.2,0.4,0.4,2.0
51,9,14676.0,0.4,0.3,0.3,2.1
52,9,14070.0,0.5,0.2,0.3,2.1
53,9,14703.0,0.4,0.3,0.3,2.0
54,10,14609.0,0.4,0.2,0.4,2.1
55,10,14842.0,0.6,0.3,0.1,1.8
56,10,14597.0,0.6,0.2,0.2,1.8
57,10,14473.0,0.6,0.3,0.1,2.2
58,10,14857.0,0.3,0.5,0.2,2.2
59,10,14592.0,0.4,0.2,0.4,1.8
60,11,2238.0,0.2,0.7,0.1,2.2
61,11,14652.0,0.3,0.5,0.2,2.0
62,11,14722.0,0.3,0.3,0.4,2.0
63,11,14491.0,0.6,0.1,0.3,1.8
64,11,14490.0,0.1,0.7,0.2,2.1
65,11,14648.0,0.4,0.3,0.3,2.1
66,12,15543.0,0.4,0.2,0.4,1.8
67,12,14079.0,0.5,0.2,0.3,1.9
68,12,14631.0,0.6,0.2,0.2,1.9
69,12,14735.0,0.1,0.6,0.3,2.1
70,12,14851.0,0.3,0.3,0.4,2.2
71,12,14839.0,0.1,0.7,0.2,1.9
