,year,ID,r_c,r_r,r_poi,FAR
0,1,14703.0,0.6,0.2,0.2,1.8
1,1,14057.0,0.5,0.2,0.3,2.0
2,1,14543.0,0.5,0.2,0.3,2.0
3,1,14100.0,0.4,0.2,0.4,2.0
4,1,14700.0,0.2,0.6,0.2,2.2
5,1,15544.0,0.5,0.2,0.3,2.1
6,2,14660.0,0.7,0.2,0.1,2.0
7,2,14490.0,0.3,0.5,0.2,2.0
8,2,14715.0,0.4,0.2,0.4,1.9
9,2,14581.0,0.7,0.2,0.1,2.0
10,2,14679.0,0.1,0.7,0.2,2.2
11,2,14601.0,0.2,0.7,0.1,1.8
12,3,15543.0,0.1,0.7,0.2,2.1
13,3,14099.0,0.3,0.3,0.4,1.8
14,3,14659.0,0.7,0.2,0.1,2.0
15,3,14498.0,0.4,0.2,0.4,1.9
16,3,14853.0,0.2,0.7,0.1,1.8
17,3,14539.0,0.5,0.2,0.3,1.9
18,4,14603.0,0.6,0.3,0.1,2.2
19,4,14709.0,0.2,0.7,0.1,2.1
20,4,15554.0,0.3,0.3,0.4,1.8
21,4,6377.0,0.6,0.2,0.2,2.2
22,4,14705.0,0.3,0.3,0.4,2.2
23,4,11969.0,0.3,0.5,0.2,2.2
24,5,14701.0,0.7,0.2,0.1,2.1
25,5,14628.0,0.6,0.3,0.1,2.2
26,5,14513.0,0.6,0.1,0.3,2.1
27,5,14696.0,0.7,0.2,0.1,2.1
28,5,14500.0,0.6,0.3,0.1,1.8
29,5,14563.0,0.3,0.3,0.4,1.8
30,6,14593.0,0.4,0.2,0.4,2.1
31,6,14131.0,0.5,0.2,0.3,2.0
32,6,14636.0,0.7,0.2,0.1,1.8
33,6,14685.0,0.6,0.1,0.3,1.9
34,6,14514.0,0.7,0.2,0.1,2.0
35,6,14115.0,0.6,0.2,0.2,1.9
36,7,14480.0,0.3,0.3,0.4,1.9
37,7,14638.0,0.7,0.2,0.1,2.2
38,7,14632.0,0.1,0.6,0.3,2.2
39,7,14532.0,0.6,0.3,0.1,1.9
40,7,13346.0,0.6,0.1,0.3,2.2
41,7,14497.0,0.6,0.2,0.2,2.0
42,8,14117.0,0.4,0.2,0.4,2.2
43,8,14649.0,0.2,0.4,0.4,2.0
44,8,14128.0,0.7,0.2,0.1,1.8
45,8,14524.0,0.4,0.2,0.4,1.8
46,8,14737.0,0.4,0.2,0.4,2.1
47,8,15542.0,0.6,0.1,0.3,2.1
48,9,14690.0,0.2,0.6,0.2,2.2
49,9,14542.0,0.6,0.2,0.2,2.1
50,9,14625.0,0.4,0.3,0.3,1.8
51,9,14475.0,0.6,0.1,0.3,2.1
52,9,14766.0,0.5,0.2,0.3,2.0
53,9,14589.0,0.7,0.2,0.1,2.0
54,10,14610.0,0.4,0.2,0.4,2.1
55,10,14092.0,0.4,0.2,0.4,2.2
56,10,14076.0,0.6,0.2,0.2,1.9
57,10,14510.0,0.7,0.2,0.1,1.8
58,10,14757.0,0.6,0.3,0.1,1.8
59,10,14609.0,0.7,0.2,0.1,2.0
60,11,14508.0,0.2,0.6,0.2,2.2
61,11,14484.0,0.5,0.2,0.3,2.0
62,11,14611.0,0.3,0.5,0.2,1.8
63,11,14656.0,0.2,0.4,0.4,1.9
64,11,14682.0,0.3,0.3,0.4,2.2
65,11,14511.0,0.6,0.1,0.3,2.2
66,12,14075.0,0.6,0.2,0.2,2.2
67,12,14657.0,0.6,0.3,0.1,2.1
68,12,48.0,0.1,0.6,0.3,1.9
69,12,14071.0,0.6,0.3,0.1,2.1
70,12,14739.0,0.4,0.2,0.4,2.2
71,12,14523.0,0.4,0.3,0.3,2.2
