year,idx,r_c,r_r,r_poi,FAR
1,578,0.2,0.4,0.4,1.8
1,1190,0.6,0.3,0.1,2.2
1,1072,0.6,0.2,0.2,1.9
1,947,0.6,0.3,0.1,1.8
1,727,0.7,0.2,0.1,1.9
1,83,0.7,0.2,0.1,2.1
1,327,0.6,0.1,0.3,2.2
1,942,0.7,0.2,0.1,2.0
1,570,0.5,0.2,0.3,2.2
1,794,0.7,0.2,0.1,1.8
1,136,0.6,0.2,0.2,2.1
1,1229,0.1,0.6,0.3,2.2
1,1015,0.7,0.2,0.1,2.0
1,1407,0.7,0.2,0.1,2.1
1,1406,0.7,0.2,0.1,2.2
1,1231,0.5,0.2,0.3,2.1
1,491,0.7,0.2,0.1,2.0
1,752,0.7,0.2,0.1,1.9
1,186,0.1,0.7,0.2,2.1
1,916,0.6,0.3,0.1,2.2
1,809,0.7,0.2,0.1,1.9
1,854,0.7,0.2,0.1,2.2
1,721,0.6,0.1,0.3,2.2
1,1422,0.7,0.2,0.1,2.2
1,1350,0.6,0.3,0.1,2.2
1,1423,0.4,0.2,0.4,2.0
1,694,0.6,0.1,0.3,2.1
1,124,0.7,0.2,0.1,1.9
1,1322,0.7,0.2,0.1,2.1
1,993,0.7,0.2,0.1,2.2
2,818,0.6,0.2,0.2,1.8
2,232,0.6,0.3,0.1,2.2
2,280,0.6,0.2,0.2,1.9
2,1131,0.6,0.3,0.1,2.2
2,1161,0.7,0.2,0.1,1.9
2,417,0.7,0.2,0.1,2.1
2,1339,0.6,0.1,0.3,2.2
2,324,0.7,0.2,0.1,2.0
2,369,0.4,0.4,0.4,2.0
2,36,0.7,0.2,0.1,1.8
2,890,0.6,0.2,0.2,2.1
2,100,0.7,0.2,0.1,1.9
2,1418,0.7,0.2,0.1,2.0
2,31,0.7,0.2,0.1,2.1
2,1257,0.7,0.2,0.1,2.2
2,1180,0.5,0.2,0.3,2.1
2,1075,0.6,0.2,0.2,1.9
2,633,0.7,0.2,0.1,1.9
2,42,0.1,0.6,0.3,2.0
2,340,0.6,0.3,0.1,2.2
2,905,0.7,0.2,0.1,2.2
2,1271,0.3,0.3,0.4,2.2
2,908,0.6,0.1,0.3,2.2
2,798,0.7,0.2,0.1,2.2
2,459,0.6,0.3,0.1,2.2
2,115,0.4,0.3,0.3,2.0
2,853,0.6,0.1,0.3,2.1
2,66,0.6,0.1,0.3,2.1
2,594,0.7,0.2,0.1,2.1
2,1297,0.7,0.2,0.1,2.2
3,911,0.6,0.1,0.3,1.8
3,943,0.6,0.3,0.1,2.2
3,160,0.7,0.2,0.1,2.1
3,812,0.6,0.3,0.1,1.9
3,1381,0.7,0.2,0.1,1.9
3,331,0.7,0.2,0.1,2.1
3,70,0.2,0.7,0.1,1.8
