,AREA,R_M,R_T,R_P,weighted_R_M,weighted_R_T,weighted_R_P,cost_balance,R_T_ratio,R_P_ratio
0,4939670.320791177,80385056768.0,-0.05154275894165039,-0.00016211159527301788,8038.505859375,-0.0,-0.0,0.0,-0.008478125557303429,-0.006235219072550535
1,4416175.449021754,70474211328.0,-0.046849727630615234,-0.00012239813804626465,7047.42138671875,-0.0,-0.0,0.0,-0.007641397416591644,-0.004730007145553827
2,4275832.798605183,56120741888.0,-0.03623533248901367,1.5113502740859985e-05,5612.07421875,-0.0,0.0,0.0,-0.005865323357284069,0.000583711895160377
3,4503523.033834095,100338515968.0,-0.02297496795654297,-0.00015085935592651367,10033.8515625,-0.0,-0.0,0.0,-0.0036972155794501305,-0.005860618781298399
4,5720420.850894442,52407689216.0,-0.02863931655883789,3.081560134887695e-05,5240.76904296875,-0.0,0.0,0.0,-0.004591766744852066,0.001195700140669942
5,3906749.509347725,57536868352.0,-0.02190399169921875,-3.5177916288375854e-05,5753.68701171875,-0.0,-0.0,0.0,-0.00349583406932652,-0.001366831362247467
6,4324950.633700093,81916796928.0,-0.03213357925415039,-0.00013291649520397186,8191.6796875,-0.0,-0.0,0.0,-0.005110590253025293,-0.005191255826503038
7,3333760.602389982,57281069056.0,-0.015418052673339844,-5.8904290199279785e-05,5728.10693359375,-0.0,-0.0,0.0,-0.00243965070694685,-0.002305901376530528
8,1944623.0295183996,43653865472.0,-0.008362770080566406,-4.1229650378227234e-05,4365.38671875,-0.0,-0.0,0.0,-0.0013200489338487387,-0.0016166090499609709
9,3413149.1607266855,58642980864.0,-0.015654563903808594,-6.789527833461761e-05,5864.29833984375,-0.0,-0.0,0.0,-0.0024677885230630636,-0.0026692706160247326
10,2294346.3319568145,52760920064.0,-0.003760814666748047,-4.7849491238594055e-05,5276.09228515625,-0.0,-0.0,0.0,-0.0005913961213082075,-0.00188472552690655
11,3311425.127052945,64733028352.0,-0.016896724700927734,-7.926113903522491e-05,6473.302734375,-0.0,-0.0,0.0,-0.0026554756332188845,-0.0031317644752562046
