year,idx,r_c,r_r,r_poi,FAR
1,1256,0.6,0.1,0.3,2.0
1,163,0.4,0.2,0.4,2.1
1,32,0.5,0.2,0.3,2.2
1,633,0.4,0.2,0.4,2.0
1,1444,0.6,0.1,0.3,2.0
1,1166,0.6,0.3,0.1,2.1
1,1406,0.5,0.2,0.3,1.9
1,995,0.4,0.2,0.4,2.2
1,830,0.4,0.4,0.4,2.2
1,1192,0.4,0.2,0.4,2.2
1,577,0.6,0.2,0.2,2.1
1,787,0.6,0.1,0.3,2.2
1,904,0.5,0.2,0.3,1.9
1,992,0.4,0.4,0.4,2.2
1,1390,0.4,0.4,0.4,2.1
1,850,0.7,0.2,0.1,2.1
1,118,0.4,0.2,0.4,1.9
1,907,0.6,0.2,0.2,2.0
1,824,0.4,0.3,0.3,2.2
1,456,0.6,0.1,0.3,2.1
1,83,0.4,0.4,0.4,1.9
1,774,0.4,0.2,0.4,2.2
1,589,0.4,0.3,0.3,2.1
1,1253,0.6,0.1,0.3,1.8
1,871,0.5,0.2,0.3,2.2
1,297,0.6,0.2,0.2,1.9
1,296,0.4,0.4,0.4,2.0
1,715,0.3,0.3,0.4,1.8
1,841,0.4,0.2,0.4,2.1
1,1393,0.6,0.3,0.1,2.1
2,723,0.6,0.1,0.3,2.0
2,743,0.4,0.2,0.4,2.1
2,1088,0.5,0.2,0.3,2.2
2,813,0.4,0.2,0.4,2.0
2,1420,0.3,0.3,0.4,1.8
2,1448,0.5,0.2,0.3,2.2
2,79,0.7,0.2,0.1,2.2
2,947,0.4,0.3,0.3,2.1
2,5,0.4,0.4,0.4,2.1
2,943,0.6,0.2,0.2,2.1
2,909,0.6,0.2,0.2,2.1
2,1119,0.4,0.2,0.4,2.1
2,1000,0.5,0.2,0.3,1.9
2,340,0.4,0.4,0.4,2.2
2,482,0.4,0.4,0.4,2.1
2,928,0.7,0.2,0.1,2.1
2,462,0.4,0.3,0.3,2.0
2,595,0.6,0.2,0.2,2.0
2,612,0.4,0.3,0.3,2.2
2,603,0.6,0.1,0.3,2.1
2,790,0.4,0.4,0.4,1.9
2,968,0.4,0.2,0.4,2.2
2,1124,0.4,0.3,0.3,2.1
2,725,0.6,0.1,0.3,1.8
2,509,0.5,0.2,0.3,2.2
2,218,0.4,0.2,0.4,2.1
2,1432,0.4,0.4,0.4,2.0
2,222,0.4,0.2,0.4,1.9
2,931,0.4,0.4,0.4,2.1
2,416,0.6,0.3,0.1,1.8
3,1212,0.6,0.1,0.3,2.0
3,1263,0.2,0.4,0.4,1.9
3,1440,0.5,0.2,0.3,2.2
3,519,0.4,0.2,0.4,2.0
3,851,0.6,0.1,0.3,2.0
3,573,0.6,0.1,0.3,2.1
3,1324,0.5,0.2,0.3,1.9
3,408,0.6,0.2,0.2,2.0
3,269,0.4,0.4,0.4,2.2
3,1224,0.4,0.2,0.4,2.2
3,643,0.6,0.2,0.2,2.1
3,437,0.6,0.1,0.3,2.2
3,70,0.5,0.2,0.3,1.9
3,997,0.4,0.4,0.4,2.2
3,1296,0.4,0.4,0.4,2.1
3,1184,0.4,0.2,0.4,2.2
3,189,0.4,0.3,0.3,2.0
3,1015,0.1,0.6,0.3,2.2
3,439,0.4,0.3,0.3,2.2
3,831,0.4,0.2,0.4,2.1
3,1443,0.4,0.4,0.4,1.9
3,1269,0.6,0.3,0.1,1.9
3,97,0.4,0.3,0.3,2.1
3,364,0.3,0.3,0.4,1.9
3,179,0.5,0.2,0.3,2.2
3,336,0.3,0.3,0.4,2.2
3,511,0.4,0.4,0.4,2.0
3,866,0.3,0.3,0.4,1.8
3,1158,0.6,0.3,0.1,1.9
3,637,0.4,0.2,0.4,2.1
4,628,0.6,0.1,0.3,2.0
4,986,0.2,0.7,0.1,2.0
4,464,0.5,0.2,0.3,2.2
4,230,0.4,0.2,0.4,2.0
4,1257,0.6,0.1,0.3,2.0
4,893,0.6,0.3,0.1,2.2
4,243,0.5,0.2,0.3,1.9
4,131,0.3,0.3,0.4,1.8
4,859,0.4,0.4,0.4,2.2
4,731,0.6,0.2,0.2,2.0
4,146,0.6,0.2,0.2,2.1
4,331,0.5,0.2,0.3,2.1
4,911,0.5,0.2,0.3,1.9
4,926,0.4,0.2,0.4,2.0
4,171,0.4,0.4,0.4,2.1
4,1054,0.6,0.1,0.3,1.9
4,422,0.4,0.3,0.3,2.0
4,250,0.6,0.2,0.2,2.0
4,553,0.4,0.3,0.3,2.2
4,505,0.7,0.2,0.1,1.8
4,1342,0.4,0.4,0.4,1.9
4,677,0.4,0.2,0.4,1.8
4,891,0.1,0.7,0.2,2.1
4,1291,0.6,0.1,0.3,1.8
4,386,0.5,0.2,0.3,2.2
4,1118,0.3,0.3,0.4,2.2
4,1360,0.4,0.4,0.4,2.0
4,932,0.3,0.3,0.4,1.8
4,874,0.4,0.4,0.4,2.1
4,678,0.4,0.2,0.4,2.1
5,1204,0.6,0.1,0.3,2.0
5,902,0.4,0.2,0.4,2.1
5,1129,0.5,0.2,0.3,2.2
5,186,0.4,0.2,0.4,2.0
5,917,0.6,0.1,0.3,2.0
5,905,0.2,0.4,0.4,2.1
5,341,0.4,0.2,0.4,2.2
5,311,0.6,0.2,0.2,2.0
5,6,0.4,0.4,0.4,2.2
5,212,0.6,0.2,0.2,2.1
5,842,0.6,0.2,0.2,2.1
5,786,0.6,0.1,0.3,2.2
5,1233,0.3,0.5,0.2,2.0
5,1414,0.4,0.4,0.4,2.2
5,148,0.4,0.4,0.4,2.1
5,187,0.4,0.2,0.4,2.2
5,567,0.7,0.2,0.1,2.1
5,1232,0.6,0.2,0.2,2.0
5,240,0.4,0.3,0.3,2.2
5,1222,0.6,0.1,0.3,2.2
5,69,0.4,0.4,0.4,1.9
5,791,0.4,0.2,0.4,1.8
5,96,0.4,0.4,0.4,2.2
5,583,0.6,0.1,0.3,1.8
5,92,0.5,0.2,0.3,2.2
5,325,0.4,0.2,0.4,2.1
5,157,0.4,0.4,0.4,2.0
5,914,0.4,0.2,0.4,1.8
5,316,0.5,0.2,0.3,1.8
5,930,0.5,0.2,0.3,1.9
6,404,0.7,0.2,0.1,2.2
6,209,0.4,0.2,0.4,2.1
6,544,0.5,0.2,0.3,2.2
6,918,0.4,0.2,0.4,2.0
6,1209,0.3,0.3,0.4,2.1
6,11,0.6,0.2,0.2,1.9
6,1193,0.4,0.4,0.4,1.8
6,903,0.4,0.3,0.3,2.1
6,221,0.6,0.1,0.3,1.8
6,418,0.7,0.2,0.1,2.2
6,941,0.6,0.2,0.2,2.1
6,86,0.5,0.2,0.3,2.1
6,1381,0.5,0.2,0.3,1.9
6,752,0.4,0.4,0.4,2.2
6,1272,0.4,0.4,0.4,2.1
6,908,0.4,0.2,0.4,2.2
6,213,0.4,0.3,0.3,2.0
6,1418,0.4,0.4,0.4,2.1
6,518,0.4,0.3,0.3,2.2
6,1429,0.6,0.1,0.3,2.2
6,1159,0.4,0.2,0.4,2.1
6,673,0.4,0.2,0.4,1.8
6,1173,0.4,0.3,0.3,2.1
6,1005,0.6,0.1,0.3,1.8
6,202,0.6,0.1,0.3,2.1
6,1401,0.3,0.3,0.4,2.2
6,1426,0.4,0.4,0.4,2.0
6,1402,0.4,0.2,0.4,1.8
6,1025,0.6,0.3,0.1,1.9
6,23,0.6,0.3,0.1,2.1
7,676,0.7,0.2,0.1,2.2
7,1208,0.4,0.2,0.4,2.1
7,185,0.5,0.2,0.3,2.2
7,811,0.4,0.2,0.4,2.0
7,1438,0.6,0.1,0.3,2.0
7,1062,0.6,0.1,0.3,2.1
7,1060,0.4,0.2,0.4,2.1
7,259,0.6,0.2,0.2,2.0
7,654,0.4,0.4,0.4,2.2
7,9,0.6,0.2,0.2,2.1
7,724,0.6,0.2,0.2,2.1
7,338,0.5,0.2,0.3,2.1
7,141,0.5,0.2,0.3,1.9
7,333,0.4,0.4,0.4,2.2
7,683,0.4,0.4,0.4,2.1
7,552,0.7,0.2,0.1,2.1
7,1411,0.4,0.3,0.3,2.0
7,873,0.2,0.4,0.4,2.0
7,1211,0.6,0.2,0.2,2.1
7,827,0.4,0.2,0.4,2.1
7,711,0.4,0.4,0.4,1.9
7,1220,0.4,0.2,0.4,1.8
7,661,0.6,0.2,0.2,2.0
7,1392,0.3,0.3,0.4,1.9
7,205,0.5,0.2,0.3,2.2
7,61,0.4,0.2,0.4,2.1
7,820,0.4,0.4,0.4,2.0
7,634,0.4,0.2,0.4,1.9
7,1424,0.4,0.2,0.4,2.1
7,692,0.6,0.3,0.1,1.8
8,302,0.6,0.1,0.3,2.0
8,380,0.4,0.2,0.4,2.1
8,916,0.5,0.2,0.3,2.2
8,71,0.4,0.2,0.4,2.0
8,133,0.6,0.1,0.3,2.0
8,755,0.6,0.2,0.2,1.8
8,592,0.4,0.2,0.4,2.1
8,1290,0.4,0.3,0.3,2.1
8,1335,0.4,0.4,0.4,2.2
8,232,0.3,0.5,0.2,1.8
8,1234,0.6,0.2,0.2,2.1
8,1178,0.3,0.3,0.4,2.2
8,555,0.5,0.2,0.3,1.9
8,965,0.4,0.4,0.4,2.2
8,164,0.4,0.4,0.4,2.1
8,115,0.4,0.2,0.4,2.2
8,617,0.2,0.7,0.1,2.2
8,1221,0.4,0.4,0.4,2.1
8,329,0.4,0.3,0.3,2.2
8,323,0.6,0.1,0.3,1.8
8,136,0.4,0.4,0.4,1.9
8,1020,0.4,0.2,0.4,2.2
8,1398,0.6,0.1,0.3,2.2
8,1002,0.3,0.3,0.4,1.9
8,616,0.5,0.2,0.3,2.2
8,110,0.3,0.3,0.4,2.2
8,760,0.4,0.4,0.4,2.0
