year,ID,r_c,r_r,r_poi,FAR
1,15326,0.6,0.3,0.1,2.0
1,15223,0.7,0.2,0.1,2.1
1,14498,0.6,0.3,0.1,2.0
1,14078,0.6,0.3,0.1,2.2
1,15328,0.6,0.3,0.1,2.2
1,14236,0.7,0.2,0.1,2.2
1,14344,0.6,0.3,0.1,2.0
1,14733,0.6,0.2,0.2,1.9
1,14687,0.6,0.2,0.2,2.2
1,14561,0.6,0.2,0.2,2.2
1,14996,0.6,0.2,0.2,2.2
1,14790,0.7,0.2,0.1,2.2
1,14392,0.7,0.2,0.1,2.2
1,14804,0.6,0.2,0.2,2.1
1,14293,0.6,0.2,0.2,2.2
1,14132,0.6,0.3,0.1,2.2
1,14487,0.6,0.2,0.2,2.1
1,14730,0.7,0.2,0.1,2.2
1,12091,0.5,0.2,0.3,2.2
1,14656,0.6,0.2,0.2,2.0
1,14085,0.6,0.2,0.2,1.9
1,15337,0.5,0.2,0.3,2.2
1,14205,0.6,0.3,0.1,1.8
1,14699,0.7,0.2,0.1,2.2
1,14690,0.7,0.2,0.1,2.1
1,14102,0.7,0.2,0.1,2.0
1,15281,0.5,0.2,0.3,1.9
1,14072,0.6,0.1,0.3,2.2
1,15273,0.6,0.3,0.1,2.1
1,14847,0.7,0.2,0.1,1.9
2,14396,0.6,0.3,0.1,2.0
2,14976,0.7,0.2,0.1,2.1
2,14174,0.6,0.3,0.1,2.0
2,14611,0.6,0.3,0.1,2.2
2,14735,0.6,0.3,0.1,2.2
2,14136,0.7,0.2,0.1,2.2
2,15248,0.6,0.3,0.1,2.0
2,15266,0.6,0.2,0.2,1.9
2,14532,0.6,0.2,0.2,2.2
2,14452,0.6,0.2,0.2,2.2
2,14308,0.6,0.2,0.2,2.2
2,14681,0.7,0.2,0.1,2.2
2,14736,0.7,0.2,0.1,2.2
2,14550,0.6,0.2,0.2,2.1
2,14197,0.6,0.2,0.2,2.2
2,14524,0.6,0.3,0.1,2.2
2,15230,0.6,0.2,0.2,2.1
2,14546,0.7,0.2,0.1,2.2
2,14068,0.5,0.2,0.3,2.2
2,13009,0.6,0.2,0.2,2.0
2,14540,0.6,0.2,0.2,1.9
2,14218,0.5,0.2,0.3,2.2
2,14878,0.6,0.3,0.1,1.8
2,15562,0.7,0.2,0.1,2.2
2,15027,0.7,0.2,0.1,2.1
2,14576,0.7,0.2,0.1,2.0
2,14390,0.5,0.2,0.3,1.9
2,14543,0.6,0.1,0.3,2.2
2,14125,0.6,0.3,0.1,2.1
2,14562,0.7,0.2,0.1,1.9
3,14122,0.6,0.3,0.1,2.0
3,14635,0.7,0.2,0.1,2.1
3,14073,0.6,0.3,0.1,2.0
3,14655,0.6,0.3,0.1,2.2
3,15363,0.6,0.3,0.1,2.2
3,14296,0.7,0.2,0.1,2.2
3,15536,0.6,0.3,0.1,2.0
3,14108,0.6,0.2,0.2,1.9
3,15183,0.6,0.2,0.2,2.2
3,14719,0.6,0.2,0.2,2.2
3,14510,0.6,0.2,0.2,2.2
3,14091,0.7,0.2,0.1,2.2
3,14321,0.7,0.2,0.1,2.2
3,14490,0.6,0.2,0.2,2.1
3,14595,0.6,0.2,0.2,2.2
3,14048,0.6,0.3,0.1,2.2
3,14037,0.6,0.2,0.2,2.1
3,14453,0.7,0.2,0.1,2.2
3,14104,0.5,0.2,0.3,2.2
3,14752,0.6,0.2,0.2,2.0
3,14042,0.6,0.2,0.2,1.9
3,12729,0.5,0.2,0.3,2.2
3,14556,0.6,0.3,0.1,1.8
3,14580,0.7,0.2,0.1,2.2
3,14083,0.7,0.2,0.1,2.1
3,14446,0.7,0.2,0.1,2.0
3,14334,0.5,0.2,0.3,1.9
3,15164,0.6,0.1,0.3,2.2
3,14706,0.6,0.3,0.1,2.1
3,15169,0.7,0.2,0.1,1.9
4,14703,0.6,0.3,0.1,2.0
4,14504,0.7,0.2,0.1,2.1
4,14258,0.6,0.3,0.1,2.0
4,14358,0.6,0.3,0.1,2.2
4,14098,0.6,0.3,0.1,2.2
4,15343,0.7,0.2,0.1,2.2
4,14742,0.7,0.2,0.1,1.8
4,14477,0.6,0.2,0.2,1.9
4,15346,0.6,0.2,0.2,2.2
4,14702,0.6,0.2,0.2,2.2
4,14513,0.6,0.2,0.2,2.2
4,7312,0.7,0.2,0.1,2.2
4,15355,0.7,0.2,0.1,2.2
4,14489,0.6,0.2,0.2,2.1
4,14501,0.6,0.2,0.2,2.2
4,14762,0.6,0.3,0.1,2.2
4,14161,0.6,0.2,0.2,2.1
4,15020,0.7,0.2,0.1,2.2
4,14060,0.5,0.2,0.3,2.2
4,14744,0.6,0.2,0.2,2.0
4,48,0.6,0.2,0.2,1.9
4,14476,0.6,0.1,0.3,1.8
4,15250,0.6,0.3,0.1,1.8
4,14097,0.7,0.2,0.1,2.2
4,14749,0.7,0.2,0.1,2.1
4,14651,0.7,0.2,0.1,2.0
4,14578,0.5,0.2,0.3,1.9
4,14682,0.6,0.1,0.3,2.2
4,14947,0.6,0.3,0.1,2.1
4,14058,0.7,0.2,0.1,1.9
5,14497,0.6,0.3,0.1,2.0
5,6377,0.7,0.2,0.1,2.1
5,14539,0.6,0.3,0.1,2.0
5,14114,0.6,0.3,0.1,2.2
5,14537,0.6,0.3,0.1,2.2
5,14391,0.7,0.2,0.1,2.2
5,14684,0.7,0.2,0.1,1.8
5,14624,0.6,0.2,0.2,1.9
5,14305,0.6,0.2,0.2,2.2
5,15542,0.6,0.2,0.2,2.2
5,14756,0.6,0.2,0.2,2.2
5,14545,0.7,0.2,0.1,2.2
5,14055,0.7,0.2,0.1,2.2
5,11969,0.6,0.2,0.2,2.1
5,14033,0.6,0.2,0.2,2.2
5,14628,0.6,0.3,0.1,2.2
5,14404,0.6,0.2,0.2,2.1
5,14447,0.7,0.2,0.1,2.2
5,14089,0.5,0.2,0.3,2.2
5,14467,0.6,0.2,0.2,2.0
5,15546,0.6,0.2,0.2,1.9
5,14099,0.6,0.1,0.3,1.8
5,14610,0.6,0.3,0.1,1.8
5,12633,0.7,0.2,0.1,2.2
5,14757,0.7,0.2,0.1,2.1
5,14685,0.7,0.2,0.1,2.0
5,14268,0.5,0.2,0.3,1.9
5,15537,0.6,0.1,0.3,2.2
5,14707,0.6,0.3,0.1,2.1
5,14766,0.7,0.2,0.1,1.9
6,14080,0.6,0.3,0.1,2.0
6,14451,0.7,0.2,0.1,2.1
6,14064,0.6,0.3,0.1,2.0
6,15064,0.6,0.3,0.1,2.2
6,14191,0.6,0.3,0.1,2.2
6,14475,0.7,0.2,0.1,2.2
6,14591,0.7,0.2,0.1,1.8
6,14538,0.6,0.2,0.2,1.9
6,14709,0.6,0.2,0.2,2.2
6,15360,0.6,0.2,0.2,2.2
6,14410,0.6,0.2,0.2,2.2
6,14075,0.7,0.2,0.1,2.2
6,14693,0.7,0.2,0.1,2.2
6,15333,0.6,0.2,0.2,2.1
6,13957,0.6,0.2,0.2,2.2
6,14482,0.6,0.3,0.1,2.2
6,14601,0.6,0.2,0.2,2.1
6,14198,0.7,0.2,0.1,2.2
6,14529,0.5,0.2,0.3,2.2
6,14700,0.6,0.2,0.2,2.0
6,14525,0.6,0.2,0.2,1.9
6,14468,0.5,0.2,0.3,2.2
6,14727,0.6,0.3,0.1,1.8
6,14092,0.7,0.2,0.1,2.2
6,14660,0.7,0.2,0.1,2.1
6,14081,0.7,0.2,0.1,2.0
6,14708,0.5,0.2,0.3,1.9
6,14138,0.6,0.1,0.3,2.2
6,14230,0.6,0.3,0.1,2.1
6,14117,0.7,0.2,0.1,1.9
7,14141,0.6,0.3,0.1,2.0
7,15545,0.7,0.2,0.1,2.1
7,14162,0.6,0.3,0.1,2.0
7,15175,0.6,0.3,0.1,2.2
7,14557,0.6,0.3,0.1,2.2
7,15371,0.7,0.2,0.1,2.2
7,14292,0.6,0.3,0.1,2.0
7,14069,0.6,0.2,0.2,1.9
7,14653,0.6,0.2,0.2,2.2
7,14100,0.6,0.2,0.2,2.2
7,14523,0.6,0.2,0.2,2.2
7,15332,0.7,0.2,0.1,2.2
7,15552,0.7,0.2,0.1,2.2
7,14229,0.6,0.2,0.2,2.1
7,14324,0.6,0.2,0.2,2.2
7,15024,0.6,0.3,0.1,2.2
7,14204,0.6,0.2,0.2,2.1
7,15551,0.7,0.2,0.1,2.2
7,14115,0.5,0.2,0.3,2.2
7,12800,0.6,0.2,0.2,2.0
7,14738,0.6,0.2,0.2,1.9
7,14285,0.6,0.1,0.3,1.8
7,14128,0.6,0.3,0.1,1.8
7,15311,0.7,0.2,0.1,2.2
7,14135,0.7,0.2,0.1,2.1
7,12715,0.7,0.2,0.1,2.0
7,14555,0.5,0.2,0.3,1.9
7,14294,0.6,0.1,0.3,2.2
7,14659,0.6,0.3,0.1,2.1
7,14105,0.7,0.2,0.1,1.9
8,14943,0.6,0.3,0.1,2.0
8,14634,0.7,0.2,0.1,2.1
8,14484,0.6,0.3,0.1,2.0
8,14461,0.6,0.3,0.1,2.2
8,14458,0.6,0.3,0.1,2.2
8,15549,0.7,0.2,0.1,2.2
8,12678,0.7,0.2,0.1,1.8
8,15140,0.6,0.2,0.2,1.9
8,14175,0.6,0.2,0.2,2.2
8,15002,0.6,0.2,0.2,2.2
8,14723,0.6,0.2,0.2,2.2
8,14623,0.7,0.2,0.1,2.2
8,14405,0.7,0.2,0.1,2.2
8,14095,0.6,0.2,0.2,2.1
8,15026,0.6,0.2,0.2,2.2
8,14086,0.6,0.3,0.1,2.2
8,14636,0.6,0.2,0.2,2.1
8,14087,0.7,0.2,0.1,2.2
8,15543,0.5,0.2,0.3,2.2
8,14600,0.6,0.2,0.2,2.0
8,14151,0.6,0.2,0.2,1.9
8,14071,0.6,0.1,0.3,1.8
8,14401,0.6,0.3,0.1,1.8
8,14112,0.7,0.2,0.1,2.2
8,14491,0.7,0.2,0.1,2.1
8,14602,0.7,0.2,0.1,2.0
8,14581,0.5,0.2,0.3,1.9
8,15139,0.6,0.1,0.3,2.2
8,14652,0.6,0.3,0.1,2.1
8,14056,0.7,0.2,0.1,1.9
9,14718,0.6,0.3,0.1,2.0
9,14880,0.7,0.2,0.1,2.1
9,14732,0.6,0.3,0.1,2.0
9,14257,0.6,0.3,0.1,2.2
9,14714,0.6,0.3,0.1,2.2
9,14082,0.7,0.2,0.1,2.2
9,14301,0.7,0.2,0.1,1.8
