year,idx,r_c,r_r,r_poi,FAR
1,554,0.2,0.4,0.4,1.8
1,831,0.3,0.3,0.4,2.1
1,1405,0.4,0.4,0.4,2.1
1,1286,0.4,0.2,0.4,1.8
1,602,0.4,0.4,0.4,1.9
1,1197,0.2,0.4,0.4,1.8
1,1019,0.2,0.4,0.4,1.8
1,745,0.4,0.2,0.4,1.8
1,261,0.2,0.4,0.4,2.0
1,1088,0.4,0.4,0.4,2.2
1,654,0.3,0.3,0.4,2.0
1,333,0.4,0.2,0.4,2.2
1,273,0.2,0.4,0.4,1.9
1,251,0.4,0.2,0.4,2.2
1,83,0.2,0.4,0.4,2.2
1,1361,0.4,0.4,0.4,2.0
1,766,0.1,0.6,0.3,1.8
1,171,0.4,0.2,0.4,1.9
1,1265,0.2,0.4,0.4,2.0
1,1411,0.4,0.2,0.4,2.2
1,1362,0.2,0.4,0.4,1.8
1,403,0.2,0.4,0.4,2.2
1,1004,0.4,0.4,0.4,2.0
1,86,0.2,0.4,0.4,1.9
1,1161,0.3,0.5,0.2,1.8
1,130,0.4,0.4,0.4,2.0
1,310,0.2,0.4,0.4,2.2
1,774,0.3,0.3,0.4,2.0
1,80,0.4,0.4,0.4,1.9
1,1244,0.4,0.2,0.4,1.9
2,787,0.3,0.3,0.4,1.9
2,205,0.3,0.3,0.4,2.1
2,268,0.4,0.4,0.4,2.1
2,456,0.4,0.2,0.4,1.8
2,170,0.4,0.4,0.4,1.9
2,702,0.2,0.4,0.4,2.1
2,1396,0.2,0.4,0.4,1.8
2,430,0.4,0.2,0.4,1.8
2,724,0.2,0.4,0.4,1.9
2,633,0.4,0.4,0.4,2.2
2,960,0.3,0.3,0.4,1.9
2,1398,0.3,0.3,0.4,2.1
2,369,0.2,0.4,0.4,1.9
2,1409,0.4,0.2,0.4,2.2
2,272,0.2,0.4,0.4,2.2
2,622,0.4,0.4,0.4,2.0
2,911,0.3,0.3,0.4,1.8
2,119,0.4,0.2,0.4,1.9
2,324,0.2,0.4,0.4,2.0
2,873,0.2,0.4,0.4,1.9
2,1393,0.2,0.4,0.4,1.8
2,906,0.2,0.4,0.4,2.2
2,834,0.4,0.4,0.4,2.0
2,691,0.2,0.4,0.4,1.9
2,1054,0.5,0.2,0.3,1.9
2,267,0.4,0.4,0.4,2.0
2,825,0.2,0.4,0.4,2.2
2,455,0.3,0.3,0.4,2.0
2,305,0.4,0.4,0.4,1.9
2,297,0.3,0.3,0.4,2.1
3,408,0.4,0.2,0.4,1.9
3,1440,0.3,0.3,0.4,2.1
3,855,0.4,0.4,0.4,2.1
3,732,0.4,0.2,0.4,1.8
3,241,0.4,0.4,0.4,1.9
3,475,0.2,0.4,0.4,2.1
3,1070,0.2,0.4,0.4,1.8
3,1426,0.4,0.2,0.4,1.8
3,1259,0.2,0.4,0.4,1.9
3,592,0.4,0.4,0.4,2.2
3,1360,0.1,0.6,0.3,2.2
3,323,0.3,0.3,0.4,2.1
3,869,0.2,0.4,0.4,1.9
3,604,0.3,0.3,0.4,1.8
3,936,0.2,0.4,0.4,2.2
3,1200,0.3,0.3,0.4,1.9
3,488,0.3,0.3,0.4,1.8
3,853,0.4,0.2,0.4,1.9
3,1297,0.2,0.4,0.4,2.0
3,1329,0.2,0.4,0.4,1.9
3,1189,0.3,0.3,0.4,1.8
3,462,0.2,0.4,0.4,2.2
3,587,0.4,0.4,0.4,2.0
3,1133,0.2,0.4,0.4,1.9
3,112,0.6,0.2,0.2,1.8
3,479,0.4,0.4,0.4,2.0
3,1359,0.2,0.4,0.4,2.2
3,88,0.3,0.3,0.4,2.0
3,854,0.4,0.4,0.4,1.9
3,986,0.4,0.2,0.4,1.9
4,1322,0.4,0.2,0.4,1.9
4,916,0.3,0.3,0.4,2.1
4,910,0.4,0.4,0.4,2.1
4,478,0.4,0.2,0.4,1.8
4,968,0.4,0.4,0.4,1.9
4,179,0.2,0.4,0.4,2.1
4,339,0.2,0.4,0.4,1.8
4,917,0.4,0.2,0.4,1.8
4,1153,0.4,0.4,0.4,2.0
4,517,0.6,0.2,0.2,1.8
4,982,0.1,0.6,0.3,2.2
4,797,0.3,0.3,0.4,2.2
4,903,0.2,0.4,0.4,1.8
4,1417,0.4,0.2,0.4,2.2
4,902,0.3,0.3,0.4,1.9
4,597,0.4,0.4,0.4,2.0
4,556,0.6,0.1,0.3,1.9
4,413,0.4,0.2,0.4,1.9
4,1226,0.2,0.4,0.4,2.0
4,328,0.3,0.3,0.4,1.8
4,1093,0.3,0.3,0.4,1.8
4,121,0.2,0.4,0.4,2.2
4,1024,0.4,0.4,0.4,2.0
4,1250,0.2,0.4,0.4,1.9
4,909,0.5,0.2,0.3,1.9
4,459,0.2,0.4,0.4,2.1
4,185,0.2,0.4,0.4,2.0
4,845,0.3,0.3,0.4,2.0
4,1190,0.4,0.4,0.4,1.9
4,1402,0.6,0.1,0.3,2.0
5,1330,0.4,0.2,0.4,1.9
5,808,0.4,0.4,0.4,1.8
5,331,0.4,0.4,0.4,2.1
5,981,0.4,0.2,0.4,1.8
5,67,0.4,0.4,0.4,1.9
5,725,0.2,0.4,0.4,2.1
5,703,0.2,0.4,0.4,1.8
5,874,0.4,0.2,0.4,1.8
5,867,0.2,0.4,0.4,1.9
5,145,0.4,0.4,0.4,2.2
5,521,0.4,0.2,0.4,1.9
5,269,0.4,0.2,0.4,2.2
5,303,0.4,0.2,0.4,2.2
5,482,0.4,0.2,0.4,2.2
5,1175,0.2,0.4,0.4,2.2
5,704,0.6,0.2,0.2,2.0
5,444,0.2,0.4,0.4,2.2
5,63,0.4,0.2,0.4,1.9
5,1429,0.2,0.4,0.4,2.0
5,1229,0.4,0.2,0.4,2.2
5,414,0.3,0.3,0.4,1.8
5,433,0.2,0.4,0.4,2.2
5,566,0.4,0.4,0.4,2.0
5,1099,0.2,0.4,0.4,1.9
5,16,0.6,0.2,0.2,1.8
5,969,0.4,0.4,0.4,2.0
5,270,0.2,0.4,0.4,2.0
5,1138,0.4,0.4,0.4,2.2
5,1156,0.4,0.4,0.4,1.9
5,1258,0.6,0.1,0.3,2.0
6,687,0.4,0.2,0.4,1.9
6,594,0.3,0.3,0.4,2.1
6,1213,0.4,0.4,0.4,2.1
6,1142,0.4,0.2,0.4,1.8
6,749,0.4,0.4,0.4,1.9
6,352,0.4,0.4,0.4,1.8
6,662,0.2,0.4,0.4,1.8
6,619,0.2,0.4,0.4,1.9
6,1283,0.2,0.4,0.4,1.9
6,1389,0.4,0.4,0.4,2.2
6,1018,0.3,0.3,0.4,2.0
6,257,0.4,0.2,0.4,2.2
6,540,0.2,0.4,0.4,1.9
6,830,0.4,0.2,0.4,2.2
6,568,0.2,0.4,0.4,2.2
6,610,0.4,0.3,0.3,1.9
6,1034,0.3,0.3,0.4,1.8
6,549,0.4,0.2,0.4,1.9
6,663,0.2,0.4,0.4,2.0
6,432,0.4,0.2,0.4,2.2
6,1332,0.3,0.3,0.4,1.8
6,357,0.2,0.4,0.4,2.2
6,124,0.4,0.4,0.4,2.0
6,1239,0.2,0.4,0.4,1.9
6,1249,0.5,0.2,0.3,1.9
6,875,0.4,0.4,0.4,2.0
6,1201,0.2,0.4,0.4,2.2
6,1107,0.6,0.3,0.1,1.9
6,229,0.4,0.4,0.4,1.9
6,907,0.4,0.2,0.4,1.9
7,842,0.4,0.2,0.4,1.9
7,811,0.3,0.3,0.4,2.1
7,256,0.4,0.4,0.4,2.1
7,798,0.4,0.2,0.4,2.2
7,33,0.4,0.4,0.4,1.9
7,924,0.2,0.4,0.4,2.1
7,957,0.2,0.4,0.4,1.8
7,896,0.4,0.2,0.4,1.8
7,1349,0.2,0.4,0.4,1.9
7,295,0.4,0.4,0.4,2.2
7,1056,0.3,0.3,0.4,2.0
7,135,0.4,0.2,0.4,2.2
7,1098,0.2,0.4,0.4,1.9
7,431,0.4,0.2,0.4,2.2
7,1416,0.4,0.4,0.4,2.2
7,1384,0.4,0.4,0.4,2.0
7,614,0.1,0.6,0.3,1.8
7,653,0.4,0.2,0.4,1.9
7,1246,0.2,0.4,0.4,2.0
7,1279,0.3,0.3,0.4,1.8
7,32,0.3,0.3,0.4,1.8
7,253,0.2,0.4,0.4,2.2
7,1207,0.4,0.4,0.4,2.0
7,670,0.2,0.4,0.4,1.9
7,73,0.5,0.2,0.3,1.9
7,1407,0.4,0.4,0.4,2.0
7,893,0.2,0.4,0.4,2.0
7,90,0.4,0.4,0.4,2.2
7,659,0.4,0.4,0.4,1.9
7,149,0.4,0.2,0.4,1.9
8,1284,0.4,0.2,0.4,1.9
8,1177,0.3,0.3,0.4,2.1
8,658,0.4,0.4,0.4,2.1
8,1320,0.4,0.2,0.4,1.8
8,388,0.4,0.4,0.4,1.9
8,1269,0.2,0.4,0.4,1.8
8,423,0.3,0.3,0.4,2.2
8,533,0.3,0.5,0.2,1.9
8,555,0.4,0.4,0.4,2.0
8,1065,0.4,0.4,0.4,2.2
8,1368,0.3,0.3,0.4,2.0
8,1419,0.4,0.2,0.4,2.2
8,722,0.2,0.4,0.4,1.9
8,680,0.4,0.2,0.4,2.2
8,166,0.2,0.4,0.4,2.2
8,1195,0.1,0.6,0.3,2.0
8,435,0.3,0.3,0.4,1.8
8,813,0.4,0.2,0.4,1.9
8,1450,0.2,0.4,0.4,2.0
8,197,0.4,0.2,0.4,2.2
8,201,0.3,0.3,0.4,1.8
8,1015,0.2,0.4,0.4,2.2
8,1032,0.4,0.4,0.4,2.0
8,857,0.2,0.4,0.4,1.9
8,1003,0.6,0.2,0.2,1.8
8,627,0.2,0.4,0.4,2.1
8,1109,0.5,0.2,0.3,1.9
8,603,0.3,0.3,0.4,2.0
8,1072,0.4,0.4,0.4,1.9
8,985,0.4,0.2,0.4,1.9
9,1129,0.4,0.2,0.4,1.9
9,115,0.3,0.3,0.4,2.1
9,1352,0.4,0.4,0.4,2.1
9,227,0.4,0.2,0.4,1.8
9,1257,0.4,0.4,0.4,1.9
9,487,0.2,0.4,0.4,2.1
9,1425,0.2,0.4,0.4,1.8
9,1167,0.4,0.2,0.4,1.8
9,1051,0.2,0.4,0.4,1.9
9,1423,0.5,0.2,0.3,2.1
9,752,0.4,0.2,0.4,2.1
9,1124,0.4,0.2,0.4,2.2
9,469,0.2,0.4,0.4,1.9
9,832,0.4,0.2,0.4,2.2
9,589,0.2,0.4,0.4,2.2
9,784,0.4,0.4,0.4,2.0
9,368,0.3,0.3,0.4,1.8
9,348,0.4,0.2,0.4,1.9
9,1418,0.2,0.4,0.4,2.0
9,1119,0.4,0.2,0.4,2.2
9,513,0.3,0.3,0.4,1.8
9,189,0.2,0.4,0.4,2.2
9,89,0.4,0.4,0.4,2.0
9,1005,0.2,0.4,0.4,1.9
9,1271,0.5,0.2,0.3,1.9
9,1441,0.4,0.4,0.4,2.0
9,971,0.2,0.4,0.4,2.0
9,905,0.3,0.3,0.4,2.0
9,1308,0.4,0.4,0.4,1.9
9,677,0.4,0.2,0.4,1.9
10,1278,0.4,0.2,0.4,1.9
10,382,0.3,0.3,0.4,2.1
10,1023,0.4,0.4,0.4,2.1
10,726,0.4,0.2,0.4,1.8
10,682,0.4,0.4,0.4,1.9
10,1364,0.2,0.4,0.4,2.1
10,942,0.2,0.4,0.4,1.8
10,219,0.4,0.2,0.4,1.8
10,1347,0.2,0.4,0.4,1.9
10,531,0.4,0.4,0.4,2.2
10,148,0.4,0.2,0.4,1.9
10,47,0.4,0.2,0.4,2.2
10,211,0.2,0.4,0.4,1.9
10,168,0.4,0.2,0.4,2.2
10,1081,0.3,0.3,0.4,1.9
10,1049,0.4,0.4,0.4,2.0
10,1382,0.1,0.6,0.3,1.8
10,1232,0.4,0.2,0.4,1.9
10,861,0.2,0.4,0.4,2.0
10,1399,0.4,0.2,0.4,2.2
10,138,0.3,0.3,0.4,1.8
10,301,0.2,0.4,0.4,2.2
10,794,0.4,0.4,0.4,2.0
10,927,0.2,0.4,0.4,1.9
10,1208,0.6,0.2,0.2,1.8
10,941,0.4,0.4,0.4,2.0
10,1053,0.3,0.3,0.4,1.8
10,35,0.3,0.3,0.4,2.0
10,133,0.4,0.4,0.4,1.9
10,317,0.4,0.4,0.4,2.1
11,567,0.4,0.2,0.4,1.9
11,70,0.3,0.3,0.4,2.0
11,255,0.4,0.4,0.4,2.1
11,376,0.4,0.2,0.4,1.8
11,1038,0.4,0.4,0.4,1.9
11,306,0.2,0.4,0.4,2.1
11,302,0.2,0.4,0.4,1.8
11,1021,0.6,0.2,0.2,2.1
11,1027,0.2,0.4,0.4,1.9
11,822,0.5,0.2,0.3,1.9
11,939,0.4,0.2,0.4,1.9
11,428,0.4,0.2,0.4,2.2
11,746,0.2,0.4,0.4,1.9
11,809,0.4,0.2,0.4,1.9
11,286,0.2,0.4,0.4,2.2
11,1427,0.4,0.4,0.4,2.0
11,1205,0.3,0.3,0.4,1.8
11,150,0.4,0.2,0.4,1.9
11,1204,0.2,0.4,0.4,2.0
11,596,0.2,0.4,0.4,1.9
11,1436,0.3,0.3,0.4,1.8
11,453,0.2,0.4,0.4,2.2
11,1439,0.4,0.4,0.4,2.0
11,1165,0.2,0.4,0.4,1.9
11,68,0.6,0.1,0.3,1.9
11,500,0.4,0.4,0.4,2.0
11,865,0.4,0.3,0.3,2.1
11,97,0.3,0.3,0.4,2.0
11,313,0.4,0.4,0.4,1.9
11,694,0.4,0.4,0.4,2.1
12,1114,0.2,0.4,0.4,1.8
12,141,0.4,0.2,0.4,2.1
12,1413,0.4,0.4,0.4,2.1
12,914,0.4,0.2,0.4,1.8
12,1198,0.4,0.4,0.4,1.9
12,1108,0.2,0.4,0.4,2.1
12,904,0.2,0.4,0.4,1.8
12,1221,0.4,0.2,0.4,1.8
12,1245,0.2,0.4,0.4,1.9
12,1339,0.4,0.4,0.4,2.2
12,375,0.4,0.2,0.4,1.9
12,938,0.4,0.2,0.4,2.2
12,860,0.2,0.4,0.4,1.9
12,1106,0.4,0.2,0.4,2.2
12,175,0.2,0.4,0.4,2.2
12,676,0.4,0.4,0.4,2.0
12,671,0.3,0.3,0.4,1.8
12,87,0.4,0.2,0.4,1.9
12,311,0.2,0.4,0.4,2.0
12,1306,0.4,0.2,0.4,2.2
12,1086,0.2,0.4,0.4,1.8
12,289,0.2,0.4,0.4,2.2
12,218,0.4,0.4,0.4,2.0
12,915,0.2,0.4,0.4,1.9
12,187,0.3,0.5,0.2,1.8
12,964,0.4,0.4,0.4,2.0
12,1421,0.2,0.4,0.4,2.0
12,1057,0.1,0.6,0.3,2.2
12,37,0.4,0.4,0.4,1.9
12,1037,0.4,0.2,0.4,1.9
