year,AREA,weighted_R_M,weighted_R_T,weighted_R_P,cost_balance,R_T_ratio,R_P_ratio
0,1887039.2139534885,3217.975830078125,1913.0706787109375,-2240.8203125,0.0,0.0008648482034914196,-0.0013250875053927302
1,2758560.7894068714,5448.57958984375,3790.283203125,1345.8984375,0.0,0.001714969053864479,0.0007952511659823358
2,2489936.0546929776,3748.5927734375,3406.71533203125,1515.4296875,0.0,0.0015440662391483784,0.0008946210145950317
3,2596293.411392673,6195.20068359375,3731.34619140625,4313.671875,0.0,0.0016938179032877088,0.0025400712620466948
4,2636248.5084649264,5164.8203125,4439.7353515625,7175.9765625,0.0,0.002018805593252182,0.004207736346870661
5,2705198.727242805,7500.876953125,4854.583984375,7778.7109375,0.0,0.0022119078785181046,0.004540448542684317
6,3022598.0877514505,5186.38818359375,4678.15380859375,344.7265625,0.0,0.002136245835572481,0.0002011770848184824
7,1959493.5000414643,3977.84765625,2931.5947265625,2978.3203125,0.0,0.001341557945124805,0.001735085854306817
8,2058744.8742493156,4404.85546875,3273.3916015625,711.328125,0.0,0.0014999834820628166,0.0004142281541135162
9,1584252.1818611391,2503.489501953125,2118.30126953125,-791.2109375,0.0,0.0009721386013552547,-0.00046095874859020114
10,1457658.9283815916,2489.265625,2532.38671875,-23.4375,0.0,0.001163303037174046,-1.3654852409672458e-05
11,1252694.479895967,2315.4853515625,1865.7684326171875,475.1953125,0.0,0.0008580766734667122,0.0002767755067907274
