,AREA,R_M,R_T,R_P,weighted_R_M,weighted_R_T,weighted_R_P,cost_balance,R_T_ratio,R_P_ratio
0,962958.6905104552,3871557376.0,0.007874488830566406,28.6748046875,774.3114624023438,1574.897705078125,5734.9609375,0.0,0.0007119692745618522,0.003375394269824028
1,1667211.3950467105,9446410240.0,0.008680343627929688,19.2958984375,1889.2821044921875,1736.0687255859375,3859.1796875,0.0,0.0007853895076550543,0.0022662286646664143
2,1454145.1865919393,6296223232.0,0.013115882873535156,64.861328125,1259.24462890625,2623.176513671875,12972.265625,0.0,0.0011876458302140236,0.0075601208955049515
3,1062220.0966056765,-21848977408.0,0.007174491882324219,24.8115234375,-4369.79541015625,1434.8984375,4962.3046875,0.0,0.0006504241609945893,0.002883647568523884
4,1474462.50582315,-7380524032.0,0.007069587707519531,20.4853515625,-1476.1048583984375,1413.91748046875,4097.0703125,0.0,0.0006413309019990265,0.002375195734202862
5,1267675.881012043,-17167096832.0,0.009050369262695312,51.4423828125,-3433.41943359375,1810.0738525390625,10288.4765625,0.0,0.0008215480484068394,0.0059291766956448555
6,978935.214269827,-13169853440.0,0.007541656494140625,17.8740234375,-2633.970703125,1508.331298828125,3574.8046875,0.0,0.0006851574289612472,0.0020558994729071856
7,1227523.2291603473,-27973048320.0,0.0076503753662109375,18.7607421875,-5594.60986328125,1530.0750732421875,3752.1484375,0.0,0.0006955110584385693,0.00215324480086565
8,892010.6695635029,-26986870784.0,0.00620269775390625,29.7666015625,-5397.3740234375,1240.53955078125,5953.3203125,0.0,0.0005642922478727996,0.003404798684641719
9,1079746.127697147,-7729231360.0,0.00677490234375,26.3515625,-1545.8463134765625,1354.98046875,5270.3125,0.0,0.0006166967214085162,0.003005117643624544
10,3402627.259166413,-30154420224.0,0.004680633544921875,-26.083984375,-6030.88427734375,936.126708984375,-5216.796875,0.0,0.0004263253358658403,-0.002983477897942066
11,1512321.3771193377,-4405158400.0,0.006615638732910156,12.8505859375,-881.0316772460938,1323.127685546875,2570.1171875,0.0,0.0006028280477039516,0.0014676887076348066
