year,idx,r_c,r_r,r_poi,FAR
1,1256,0.6,0.1,0.3,2.0
1,850,0.4,0.2,0.4,2.1
1,910,0.5,0.2,0.3,2.2
1,69,0.4,0.2,0.4,2.0
1,1232,0.4,0.2,0.4,2.2
1,439,0.4,0.2,0.4,2.1
1,1178,0.4,0.2,0.4,2.1
1,503,0.5,0.2,0.3,1.9
1,965,0.4,0.4,0.4,2.2
1,1263,0.4,0.3,0.3,1.9
1,573,0.6,0.2,0.2,2.1
1,71,0.5,0.2,0.3,2.1
1,1411,0.5,0.2,0.3,1.9
1,808,0.6,0.1,0.3,1.8
1,1118,0.4,0.4,0.4,2.1
1,1241,0.7,0.2,0.1,2.1
1,857,0.6,0.1,0.3,2.2
1,338,0.2,0.4,0.4,2.0
1,935,0.4,0.3,0.3,2.2
1,143,0.3,0.3,0.4,1.8
1,637,0.4,0.4,0.4,1.9
1,364,0.4,0.2,0.4,2.2
1,482,0.4,0.3,0.3,2.1
1,1393,0.6,0.1,0.3,1.8
1,995,0.5,0.2,0.3,2.2
1,323,0.3,0.3,0.4,2.2
1,502,0.4,0.4,0.4,2.0
1,1000,0.3,0.3,0.4,1.8
1,360,0.6,0.3,0.1,1.9
1,20,0.6,0.3,0.1,2.1
2,1039,0.6,0.1,0.3,2.0
2,839,0.4,0.2,0.4,2.1
2,218,0.5,0.2,0.3,2.2
2,272,0.4,0.2,0.4,2.0
2,1224,0.6,0.1,0.3,2.0
2,544,0.4,0.2,0.4,2.1
2,86,0.5,0.2,0.3,1.9
2,904,0.6,0.2,0.2,2.0
2,130,0.4,0.4,0.4,2.2
2,1158,0.4,0.3,0.3,1.9
2,187,0.6,0.2,0.2,2.1
2,1184,0.4,0.2,0.4,2.1
2,854,0.5,0.2,0.3,1.9
2,776,0.4,0.4,0.4,2.2
2,177,0.4,0.4,0.4,2.1
2,1199,0.7,0.2,0.1,2.1
2,462,0.7,0.2,0.1,2.1
2,603,0.6,0.2,0.2,2.0
2,135,0.4,0.3,0.3,2.2
2,1104,0.6,0.1,0.3,2.2
2,213,0.4,0.4,0.4,1.9
2,278,0.4,0.2,0.4,2.2
2,368,0.3,0.3,0.4,1.8
2,1233,0.3,0.3,0.4,1.9
2,930,0.5,0.2,0.3,2.2
2,661,0.6,0.2,0.2,2.1
2,986,0.4,0.4,0.4,2.0
2,125,0.4,0.2,0.4,1.9
