year,idx,r_c,r_r,r_poi,FAR
1,1409,0.3,0.5,0.2,2.0
1,440,0.1,0.6,0.3,2.0
1,567,0.6,0.1,0.3,1.8
1,786,0.4,0.3,0.3,2.1
1,298,0.3,0.3,0.4,2.1
1,274,0.4,0.4,0.4,2.0
1,1000,0.4,0.2,0.4,1.9
1,748,0.1,0.7,0.2,1.8
1,77,0.4,0.4,0.4,2.1
1,311,0.6,0.1,0.3,1.8
1,579,0.4,0.4,0.4,1.8
1,503,0.2,0.6,0.2,1.9
1,205,0.4,0.2,0.4,2.0
1,234,0.3,0.3,0.4,1.8
1,74,0.7,0.2,0.1,1.9
1,303,0.4,0.3,0.3,2.0
1,1067,0.5,0.2,0.3,1.9
1,86,0.4,0.4,0.4,2.2
1,128,0.2,0.4,0.4,2.1
1,80,0.6,0.3,0.1,1.9
1,612,0.3,0.3,0.4,2.1
1,643,0.7,0.2,0.1,1.8
1,196,0.4,0.2,0.4,2.0
1,651,0.4,0.2,0.4,2.2
1,1316,0.1,0.6,0.3,2.1
1,598,0.7,0.2,0.1,2.2
1,108,0.2,0.4,0.4,2.0
1,588,0.5,0.2,0.3,2.2
1,517,0.4,0.3,0.3,2.0
1,107,0.4,0.4,0.4,2.2
2,573,0.3,0.5,0.2,2.0
2,435,0.7,0.2,0.1,1.8
2,112,0.2,0.4,0.4,2.1
2,1046,0.5,0.2,0.3,2.2
2,1007,0.3,0.3,0.4,2.1
2,509,0.4,0.4,0.4,2.0
2,1116,0.4,0.3,0.3,1.9
2,751,0.1,0.7,0.2,1.8
2,402,0.4,0.4,0.4,2.1
2,71,0.6,0.3,0.1,1.9
2,300,0.4,0.4,0.4,1.8
2,535,0.2,0.4,0.4,2.1
2,625,0.6,0.1,0.3,2.1
2,533,0.1,0.7,0.2,1.8
2,307,0.7,0.2,0.1,1.9
2,553,0.3,0.3,0.4,2.2
2,640,0.5,0.2,0.3,1.9
2,518,0.4,0.4,0.4,2.2
2,1355,0.5,0.2,0.3,2.1
2,750,0.1,0.6,0.3,1.8
2,1423,0.3,0.3,0.4,2.1
2,113,0.7,0.2,0.1,1.8
2,794,0.6,0.2,0.2,1.8
2,595,0.3,0.5,0.2,2.0
2,41,0.4,0.2,0.4,2.1
2,432,0.2,0.7,0.1,1.9
2,343,0.2,0.4,0.4,2.0
2,1367,0.5,0.2,0.3,2.2
2,342,0.2,0.7,0.1,2.1
2,530,0.4,0.4,0.4,2.2
3,545,0.3,0.5,0.2,2.0
3,1111,0.3,0.3,0.4,2.2
3,617,0.4,0.2,0.4,2.0
3,338,0.4,0.2,0.4,2.1
3,507,0.3,0.3,0.4,2.1
3,78,0.6,0.1,0.3,2.2
3,461,0.4,0.4,0.4,2.1
3,299,0.1,0.7,0.2,1.8
3,1430,0.4,0.4,0.4,2.1
3,1449,0.4,0.3,0.3,1.9
3,124,0.4,0.4,0.4,1.8
3,920,0.2,0.4,0.4,1.8
3,1057,0.6,0.1,0.3,2.1
3,193,0.6,0.2,0.2,2.0
3,953,0.4,0.4,0.4,2.2
3,88,0.3,0.3,0.4,2.2
3,84,0.5,0.2,0.3,1.9
3,1066,0.4,0.2,0.4,2.1
3,766,0.5,0.2,0.3,2.1
