year,row,column,r_c,r_r,r_poi,FAR,assigned_grid
1,19,5,0.2,0.4,0.4,2.0,"(19, 5)"
1,26,21,0.1,0.6,0.3,1.8,"(26, 21)"
1,35,24,0.6,0.2,0.2,1.9,"(35, 24)"
1,50,31,0.7,0.2,0.1,2.2,"(50, 31)"
1,22,48,0.6,0.3,0.1,2.2,"(22, 48)"
1,4,35,0.2,0.7,0.1,2.2,"(4, 35)"
1,6,45,0.1,0.6,0.3,2.2,"(6, 45)"
1,5,10,0.2,0.7,0.1,2.0,"(5, 10)"
1,25,23,0.4,0.2,0.4,2.2,"(25, 23)"
1,33,37,0.6,0.1,0.3,1.8,"(33, 37)"
1,3,10,0.6,0.3,0.1,1.8,"(3, 10)"
1,9,41,0.1,0.6,0.3,1.8,"(9, 41)"
1,47,16,0.1,0.7,0.2,1.9,"(47, 16)"
1,5,40,0.3,0.3,0.4,2.1,"(5, 40)"
1,11,30,0.2,0.4,0.4,2.2,"(11, 30)"
1,38,7,0.3,0.5,0.2,2.2,"(38, 7)"
1,47,40,0.1,0.7,0.2,1.8,"(47, 40)"
1,28,29,0.6,0.1,0.3,2.2,"(28, 29)"
1,6,24,0.1,0.7,0.2,2.0,"(6, 24)"
1,4,11,0.2,0.7,0.1,2.2,"(4, 11)"
1,36,45,0.2,0.4,0.4,2.1,"(36, 45)"
1,27,12,0.6,0.1,0.3,1.9,"(27, 12)"
1,20,51,0.4,0.2,0.4,1.8,"(20, 51)"
1,18,45,0.7,0.2,0.1,2.2,"(18, 45)"
1,49,1,0.4,0.3,0.3,2.2,"(49, 1)"
1,26,35,0.4,0.3,0.3,2.1,"(26, 35)"
1,39,50,0.6,0.3,0.1,1.9,"(39, 50)"
1,52,17,0.2,0.7,0.1,2.1,"(52, 17)"
1,3,11,0.4,0.3,0.3,2.1,"(3, 11)"
1,46,4,0.2,0.4,0.4,2.1,"(46, 4)"
2,9,24,0.3,0.5,0.2,2.2,"(9, 24)"
2,5,30,0.7,0.2,0.1,1.8,"(5, 30)"
2,36,35,0.3,0.3,0.4,2.0,"(36, 35)"
2,23,51,0.2,0.4,0.4,2.1,"(23, 51)"
2,46,1,0.6,0.3,0.1,1.8,"(46, 1)"
2,27,27,0.2,0.6,0.2,1.8,"(27, 27)"
2,24,22,0.4,0.4,0.4,1.8,"(24, 22)"
2,41,47,0.2,0.4,0.4,1.8,"(41, 47)"
2,42,40,0.2,0.7,0.1,2.0,"(42, 40)"
2,17,8,0.4,0.4,0.4,2.2,"(17, 8)"
2,40,46,0.6,0.3,0.1,1.9,"(40, 46)"
2,42,24,0.3,0.3,0.4,1.8,"(42, 24)"
2,20,45,0.2,0.4,0.4,1.8,"(20, 45)"
2,6,23,0.2,0.7,0.1,2.1,"(6, 23)"
2,21,51,0.6,0.1,0.3,2.1,"(21, 51)"
2,19,48,0.4,0.3,0.3,1.9,"(19, 48)"
2,31,39,0.1,0.7,0.2,2.1,"(31, 39)"
2,47,1,0.6,0.2,0.2,2.2,"(47, 1)"
2,38,33,0.3,0.5,0.2,2.0,"(38, 33)"
2,38,26,0.4,0.3,0.3,2.0,"(38, 26)"
2,11,6,0.3,0.5,0.2,2.1,"(11, 6)"
2,8,26,0.7,0.2,0.1,2.0,"(8, 26)"
2,38,30,0.2,0.6,0.2,2.0,"(38, 30)"
2,12,8,0.2,0.4,0.4,2.2,"(12, 8)"
2,20,13,0.7,0.2,0.1,1.9,"(20, 13)"
2,38,9,0.4,0.3,0.3,2.2,"(38, 9)"
2,39,33,0.6,0.2,0.2,2.0,"(39, 33)"
2,16,22,0.1,0.7,0.2,2.2,"(16, 22)"
2,52,2,0.4,0.4,0.4,1.9,"(52, 2)"
2,20,9,0.6,0.2,0.2,1.9,"(20, 9)"
3,3,13,0.3,0.3,0.4,1.8,"(3, 13)"
3,54,15,0.1,0.7,0.2,2.2,"(54, 15)"
3,32,15,0.7,0.2,0.1,2.1,"(32, 15)"
3,7,21,0.3,0.3,0.4,2.2,"(7, 21)"
3,33,17,0.6,0.2,0.2,1.8,"(33, 17)"
3,19,49,0.4,0.4,0.4,1.9,"(19, 49)"
3,4,36,0.3,0.3,0.4,2.0,"(4, 36)"
3,28,12,0.5,0.2,0.3,1.9,"(28, 12)"
3,36,15,0.2,0.7,0.1,1.9,"(36, 15)"
3,17,46,0.4,0.2,0.4,2.2,"(17, 46)"
3,18,2,0.6,0.3,0.1,2.0,"(18, 2)"
3,5,12,0.2,0.6,0.2,2.1,"(5, 12)"
3,28,16,0.4,0.4,0.4,2.0,"(28, 16)"
3,20,43,0.2,0.7,0.1,2.0,"(20, 43)"
3,34,44,0.5,0.2,0.3,2.2,"(34, 44)"
3,41,4,0.1,0.7,0.2,2.2,"(41, 4)"
3,5,20,0.1,0.7,0.2,1.9,"(5, 20)"
3,36,11,0.7,0.2,0.1,2.0,"(36, 11)"
3,47,2,0.2,0.6,0.2,2.1,"(47, 2)"
3,41,21,0.6,0.2,0.2,2.2,"(41, 21)"
3,4,30,0.5,0.2,0.3,2.1,"(4, 30)"
3,19,36,0.6,0.3,0.1,1.8,"(19, 36)"
3,11,8,0.1,0.6,0.3,2.1,"(11, 8)"
3,53,14,0.3,0.3,0.4,2.2,"(53, 14)"
3,46,39,0.4,0.4,0.4,2.2,"(46, 39)"
3,38,36,0.6,0.3,0.1,2.1,"(38, 36)"
3,50,5,0.1,0.6,0.3,1.8,"(50, 5)"
3,38,18,0.1,0.7,0.2,1.8,"(38, 18)"
3,18,18,0.2,0.6,0.2,2.0,"(18, 18)"
3,53,17,0.7,0.2,0.1,2.2,"(53, 17)"
4,32,32,0.1,0.7,0.2,2.2,"(32, 32)"
4,6,30,0.2,0.6,0.2,2.1,"(6, 30)"
4,11,7,0.6,0.3,0.1,2.1,"(11, 7)"
4,5,45,0.2,0.6,0.2,2.2,"(5, 45)"
4,31,35,0.3,0.5,0.2,2.0,"(31, 35)"
4,29,48,0.4,0.3,0.3,1.8,"(29, 48)"
4,5,41,0.4,0.3,0.3,2.2,"(5, 41)"
4,34,38,0.1,0.7,0.2,2.0,"(34, 38)"
4,5,35,0.2,0.7,0.1,2.2,"(5, 35)"
4,22,53,0.4,0.2,0.4,1.9,"(22, 53)"
4,6,8,0.1,0.6,0.3,2.2,"(6, 8)"
4,51,16,0.5,0.2,0.3,1.9,"(51, 16)"
4,43,8,0.2,0.6,0.2,1.9,"(43, 8)"
4,48,15,0.5,0.2,0.3,1.8,"(48, 15)"
4,27,39,0.2,0.6,0.2,2.1,"(27, 39)"
4,52,1,0.1,0.7,0.2,1.8,"(52, 1)"
4,5,25,0.6,0.1,0.3,2.1,"(5, 25)"
4,9,35,0.6,0.3,0.1,1.9,"(9, 35)"
4,27,40,0.7,0.2,0.1,2.2,"(27, 40)"
4,31,33,0.1,0.7,0.2,2.1,"(31, 33)"
4,37,37,0.4,0.2,0.4,1.8,"(37, 37)"
4,7,9,0.1,0.6,0.3,2.0,"(7, 9)"
4,12,6,0.1,0.7,0.2,2.1,"(12, 6)"
4,17,48,0.2,0.6,0.2,2.1,"(17, 48)"
4,27,7,0.4,0.2,0.4,2.1,"(27, 7)"
4,36,41,0.2,0.7,0.1,1.9,"(36, 41)"
4,48,2,0.6,0.1,0.3,2.2,"(48, 2)"
4,2,12,0.5,0.2,0.3,2.1,"(2, 12)"
4,11,27,0.3,0.5,0.2,1.9,"(11, 27)"
4,6,37,0.6,0.1,0.3,1.8,"(6, 37)"
5,33,39,0.6,0.2,0.2,2.0,"(33, 39)"
5,15,7,0.4,0.3,0.3,2.0,"(15, 7)"
5,46,2,0.4,0.4,0.4,1.8,"(46, 2)"
5,44,2,0.6,0.1,0.3,1.8,"(44, 2)"
5,11,32,0.4,0.2,0.4,2.1,"(11, 32)"
5,16,7,0.6,0.3,0.1,2.1,"(16, 7)"
5,26,3,0.3,0.3,0.4,2.1,"(26, 3)"
5,37,25,0.4,0.3,0.3,1.8,"(37, 25)"
5,38,47,0.3,0.3,0.4,1.9,"(38, 47)"
5,38,8,0.6,0.1,0.3,2.1,"(38, 8)"
5,13,47,0.2,0.4,0.4,2.1,"(13, 47)"
5,29,35,0.2,0.4,0.4,1.9,"(29, 35)"
5,34,27,0.5,0.2,0.3,2.0,"(34, 27)"
5,15,13,0.7,0.2,0.1,2.1,"(15, 13)"
5,4,9,0.3,0.3,0.4,1.8,"(4, 9)"
5,42,32,0.6,0.1,0.3,2.0,"(42, 32)"
5,24,49,0.1,0.6,0.3,1.8,"(24, 49)"
5,12,35,0.7,0.2,0.1,2.1,"(12, 35)"
5,5,7,0.1,0.6,0.3,2.0,"(5, 7)"
5,40,10,0.1,0.7,0.2,2.0,"(40, 10)"
5,43,5,0.5,0.2,0.3,1.8,"(43, 5)"
5,12,24,0.7,0.2,0.1,2.1,"(12, 24)"
5,48,18,0.6,0.2,0.2,1.8,"(48, 18)"
5,52,22,0.6,0.2,0.2,1.9,"(52, 22)"
5,27,38,0.2,0.7,0.1,2.1,"(27, 38)"
5,38,32,0.1,0.7,0.2,2.1,"(38, 32)"
5,44,3,0.1,0.7,0.2,2.1,"(44, 3)"
5,36,14,0.6,0.2,0.2,2.2,"(36, 14)"
5,9,26,0.3,0.3,0.4,2.1,"(9, 26)"
5,38,19,0.6,0.2,0.2,2.1,"(38, 19)"
6,21,47,0.4,0.3,0.3,2.2,"(21, 47)"
6,24,35,0.4,0.2,0.4,1.9,"(24, 35)"
6,14,6,0.2,0.7,0.1,2.2,"(14, 6)"
6,51,1,0.2,0.4,0.4,2.0,"(51, 1)"
6,30,43,0.4,0.2,0.4,2.0,"(30, 43)"
6,27,36,0.3,0.3,0.4,2.0,"(27, 36)"
6,15,21,0.1,0.7,0.2,1.8,"(15, 21)"
6,31,42,0.7,0.2,0.1,1.8,"(31, 42)"
6,20,20,0.6,0.1,0.3,1.9,"(20, 20)"
6,37,33,0.6,0.1,0.3,1.8,"(37, 33)"
6,38,17,0.3,0.3,0.4,1.9,"(38, 17)"
6,22,52,0.1,0.7,0.2,2.2,"(22, 52)"
6,31,46,0.6,0.3,0.1,2.2,"(31, 46)"
6,37,6,0.4,0.4,0.4,2.0,"(37, 6)"
6,32,48,0.3,0.3,0.4,1.9,"(32, 48)"
6,39,21,0.1,0.7,0.2,1.9,"(39, 21)"
6,47,28,0.6,0.3,0.1,1.8,"(47, 28)"
6,37,31,0.7,0.2,0.1,1.8,"(37, 31)"
6,37,17,0.7,0.2,0.1,1.8,"(37, 17)"
6,26,40,0.2,0.6,0.2,2.0,"(26, 40)"
6,45,15,0.7,0.2,0.1,1.9,"(45, 15)"
6,52,4,0.3,0.5,0.2,2.1,"(52, 4)"
6,18,17,0.1,0.6,0.3,1.9,"(18, 17)"
6,30,41,0.6,0.1,0.3,1.9,"(30, 41)"
6,26,19,0.4,0.2,0.4,2.2,"(26, 19)"
6,4,12,0.3,0.5,0.2,2.1,"(4, 12)"
6,51,17,0.2,0.4,0.4,1.9,"(51, 17)"
6,35,43,0.6,0.2,0.2,2.2,"(35, 43)"
6,5,38,0.3,0.5,0.2,2.0,"(5, 38)"
6,18,20,0.6,0.1,0.3,2.1,"(18, 20)"
7,15,8,0.6,0.2,0.2,2.0,"(15, 8)"
7,28,8,0.2,0.6,0.2,2.0,"(28, 8)"
7,31,36,0.6,0.2,0.2,2.0,"(31, 36)"
7,36,43,0.6,0.2,0.2,1.8,"(36, 43)"
7,46,27,0.4,0.2,0.4,2.0,"(46, 27)"
7,29,38,0.4,0.4,0.4,1.9,"(29, 38)"
7,7,10,0.5,0.2,0.3,1.8,"(7, 10)"
7,37,8,0.4,0.2,0.4,2.1,"(37, 8)"
7,19,3,0.5,0.2,0.3,1.9,"(19, 3)"
7,42,15,0.7,0.2,0.1,1.9,"(42, 15)"
7,17,12,0.7,0.2,0.1,2.1,"(17, 12)"
7,29,36,0.3,0.3,0.4,1.9,"(29, 36)"
7,50,11,0.5,0.2,0.3,1.9,"(50, 11)"
7,7,12,0.6,0.2,0.2,2.1,"(7, 12)"
7,3,19,0.6,0.2,0.2,1.9,"(3, 19)"
7,49,10,0.4,0.3,0.3,2.2,"(49, 10)"
7,22,46,0.3,0.3,0.4,2.1,"(22, 46)"
7,14,22,0.2,0.7,0.1,1.8,"(14, 22)"
7,41,10,0.4,0.4,0.4,2.2,"(41, 10)"
7,11,26,0.7,0.2,0.1,1.8,"(11, 26)"
7,15,6,0.5,0.2,0.3,2.1,"(15, 6)"
7,39,20,0.3,0.3,0.4,2.0,"(39, 20)"
7,34,18,0.4,0.4,0.4,2.1,"(34, 18)"
7,29,39,0.5,0.2,0.3,2.2,"(29, 39)"
7,44,24,0.1,0.7,0.2,2.0,"(44, 24)"
7,13,23,0.2,0.4,0.4,1.8,"(13, 23)"
7,5,44,0.5,0.2,0.3,2.1,"(5, 44)"
7,4,15,0.1,0.6,0.3,2.2,"(4, 15)"
7,25,2,0.2,0.4,0.4,2.1,"(25, 2)"
7,38,28,0.1,0.7,0.2,1.8,"(38, 28)"
8,18,38,0.6,0.2,0.2,1.9,"(18, 38)"
8,37,45,0.4,0.2,0.4,1.8,"(37, 45)"
8,36,39,0.5,0.2,0.3,2.1,"(36, 39)"
8,48,27,0.4,0.2,0.4,2.2,"(48, 27)"
8,23,32,0.2,0.6,0.2,1.8,"(23, 32)"
8,40,23,0.4,0.2,0.4,1.8,"(40, 23)"
8,4,34,0.4,0.3,0.3,2.1,"(4, 34)"
8,20,17,0.1,0.6,0.3,2.1,"(20, 17)"
8,35,37,0.6,0.1,0.3,2.1,"(35, 37)"
8,51,18,0.5,0.2,0.3,2.2,"(51, 18)"
8,20,42,0.4,0.3,0.3,2.0,"(20, 42)"
8,16,9,0.4,0.3,0.3,2.2,"(16, 9)"
8,23,20,0.4,0.3,0.3,1.9,"(23, 20)"
8,36,37,0.6,0.3,0.1,1.9,"(36, 37)"
8,40,35,0.6,0.2,0.2,1.9,"(40, 35)"
8,46,40,0.6,0.2,0.2,2.0,"(46, 40)"
8,37,23,0.1,0.7,0.2,2.2,"(37, 23)"
8,20,10,0.6,0.2,0.2,2.2,"(20, 10)"
8,24,3,0.1,0.7,0.2,1.8,"(24, 3)"
8,26,4,0.2,0.4,0.4,1.9,"(26, 4)"
8,10,37,0.3,0.3,0.4,2.2,"(10, 37)"
8,29,13,0.2,0.7,0.1,1.8,"(29, 13)"
8,5,37,0.7,0.2,0.1,2.2,"(5, 37)"
8,34,13,0.3,0.5,0.2,2.1,"(34, 13)"
8,23,52,0.4,0.2,0.4,2.1,"(23, 52)"
8,29,32,0.3,0.5,0.2,1.8,"(29, 32)"
8,54,16,0.7,0.2,0.1,2.0,"(54, 16)"
8,31,44,0.2,0.4,0.4,2.1,"(31, 44)"
8,4,18,0.6,0.3,0.1,2.2,"(4, 18)"
8,39,16,0.4,0.4,0.4,2.1,"(39, 16)"
9,32,50,0.3,0.5,0.2,2.1,"(32, 50)"
9,18,36,0.7,0.2,0.1,2.1,"(18, 36)"
9,42,9,0.2,0.6,0.2,1.8,"(42, 9)"
9,33,25,0.7,0.2,0.1,1.8,"(33, 25)"
9,39,22,0.4,0.2,0.4,1.9,"(39, 22)"
9,6,9,0.2,0.7,0.1,2.0,"(6, 9)"
9,50,2,0.1,0.6,0.3,1.9,"(50, 2)"
9,25,22,0.6,0.3,0.1,2.1,"(25, 22)"
9,5,21,0.7,0.2,0.1,1.9,"(5, 21)"
9,13,11,0.5,0.2,0.3,2.2,"(13, 11)"
9,41,9,0.7,0.2,0.1,2.1,"(41, 9)"
9,34,19,0.1,0.7,0.2,2.0,"(34, 19)"
9,13,24,0.1,0.7,0.2,2.0,"(13, 24)"
9,44,15,0.5,0.2,0.3,2.1,"(44, 15)"
9,26,14,0.4,0.4,0.4,1.9,"(26, 14)"
9,21,11,0.2,0.4,0.4,2.2,"(21, 11)"
9,52,25,0.2,0.4,0.4,2.1,"(52, 25)"
9,45,24,0.4,0.3,0.3,2.0,"(45, 24)"
9,53,4,0.2,0.7,0.1,1.8,"(53, 4)"
9,9,11,0.3,0.5,0.2,2.2,"(9, 11)"
9,27,15,0.1,0.6,0.3,1.8,"(27, 15)"
9,48,25,0.6,0.1,0.3,1.8,"(48, 25)"
9,3,9,0.6,0.1,0.3,2.1,"(3, 9)"
