year,AREA,R_M,R_T,R_P,weighted_R_M,weighted_R_T,weighted_R_P,cost_balance
0,8491130.259765625,58734791961.91577,-0.07902956008911133,2.5693327e-05,5873.479196191577,-3951.4780044555664,2569.332718849182,0.0
1,6528471.8466796875,87512476593.40901,-0.038317203521728516,7.941201e-05,8751.247659340901,-1915.8601760864258,7941.201329231262,0.0
2,5180993.0771484375,45978454992.84448,-0.03484964370727539,7.477775e-05,4597.845499284448,-1742.4821853637695,7477.7752161026,0.0
3,11439155.863769531,170006578207.47055,-0.07940530776977539,0.000107727945,17000.657820747056,-3970.2653884887695,10772.794485092163,19578.41158789816
4,8657646.044921875,79684518510.50607,-0.04109477996826172,0.00017151423,7968.451851050607,-2054.738998413086,17151.422798633575,0.0
5,4225044.544433594,81039369105.56737,-0.008179187774658203,5.90086e-06,8103.936910556737,-408.95938873291016,590.0859832763672,0.0
6,4640943.4384765625,72730962816.0606,-0.01607370376586914,2.2340566e-05,7273.096281606059,-803.685188293457,2234.05659198761,0.0
7,6135477.701660156,105253446050.3461,-0.010303020477294922,0.000118022785,10525.34460503461,-515.1510238647461,11802.278459072113,0.0
8,4907489.77734375,133164655914.32143,-0.017367839813232422,5.102344e-05,13316.465591432143,-868.3919906616211,5102.343857288361,0.0
9,6605370.275390625,95312309481.96014,-0.027956485748291016,2.7190894e-05,9531.230948196015,-1397.8242874145508,2719.089388847351,0.0
10,6331737.375488281,78335141555.25084,-0.013181209564208984,0.00013457611,7833.514155525084,-659.0604782104492,13457.611203193665,0.0
11,5298850.048339844,80132989128.05557,-0.021330833435058594,-2.9016286e-05,8013.298912805557,-1066.5416717529297,-2901.628613471985,0.0
