year,ID,r_c,r_r,r_poi,FAR
1,14485,0.6,0.1,0.3,2.0
1,14610,0.4,0.3,0.3,2.2
1,15543,0.6,0.2,0.2,2.1
1,14601,0.6,0.1,0.3,1.8
1,14490,0.4,0.2,0.4,2.0
1,11967,0.6,0.1,0.3,2.2
2,14663,0.6,0.1,0.3,2.0
2,3732,0.4,0.3,0.3,2.2
2,14703,0.6,0.2,0.2,2.1
2,6377,0.6,0.1,0.3,1.8
2,14685,0.4,0.2,0.4,2.0
2,14654,0.6,0.1,0.3,2.2
3,14660,0.6,0.1,0.3,2.0
3,14700,0.4,0.3,0.3,2.2
3,14699,0.6,0.2,0.2,2.1
3,14709,0.6,0.1,0.3,1.8
3,14099,0.4,0.2,0.4,2.0
3,14513,0.6,0.1,0.3,2.2
4,14623,0.6,0.1,0.3,2.0
4,14491,0.4,0.3,0.3,2.2
4,14728,0.2,0.7,0.1,2.1
4,14705,0.6,0.1,0.3,1.8
4,14714,0.4,0.2,0.4,2.0
4,15542,0.6,0.1,0.3,2.2
5,14690,0.6,0.1,0.3,2.0
5,14659,0.4,0.3,0.3,2.2
5,14581,0.6,0.2,0.2,2.1
5,14475,0.6,0.1,0.3,1.8
5,15554,0.4,0.2,0.4,2.0
5,14715,0.6,0.1,0.3,2.2
6,14649,0.6,0.1,0.3,2.0
6,14592,0.4,0.3,0.3,2.2
6,14689,0.6,0.2,0.2,2.1
6,14707,0.6,0.1,0.3,1.8
6,11969,0.4,0.2,0.4,2.0
6,14628,0.6,0.1,0.3,2.2
7,14766,0.6,0.1,0.3,2.0
7,14057,0.4,0.3,0.3,2.2
7,48,0.6,0.2,0.2,2.1
7,14511,0.6,0.1,0.3,1.8
7,14656,0.4,0.2,0.4,2.0
7,14131,0.6,0.1,0.3,2.2
8,14539,0.6,0.1,0.3,2.0
8,14634,0.4,0.3,0.3,2.2
8,14102,0.6,0.2,0.2,2.1
8,14484,0.6,0.1,0.3,1.8
8,14757,0.4,0.2,0.4,2.0
8,14532,0.1,0.6,0.3,1.8
9,14075,0.6,0.1,0.3,2.0
9,14128,0.7,0.2,0.1,2.2
9,14706,0.6,0.2,0.2,2.1
9,14497,0.6,0.1,0.3,1.8
9,14117,0.4,0.2,0.4,2.0
9,14542,0.6,0.3,0.1,2.2
10,14125,0.6,0.1,0.3,2.0
10,14509,0.4,0.3,0.3,2.2
10,14054,0.6,0.2,0.2,2.1
10,15560,0.6,0.1,0.3,1.8
10,14624,0.4,0.2,0.4,2.0
10,14732,0.6,0.1,0.3,2.2
11,14100,0.6,0.1,0.3,2.0
11,14123,0.4,0.3,0.3,2.2
11,14538,0.6,0.2,0.2,2.1
11,14708,0.6,0.1,0.3,1.8
11,14510,0.4,0.2,0.4,2.0
11,14333,0.6,0.1,0.3,2.2
12,14482,0.6,0.1,0.3,2.0
12,14605,0.4,0.3,0.3,2.2
12,14631,0.6,0.2,0.2,2.1
12,14726,0.6,0.1,0.3,1.8
12,14701,0.4,0.2,0.4,2.0
12,14563,0.6,0.1,0.3,2.2
