,year,ID,r_c,r_r,r_poi,FAR
0,1,14048,0.6,0.1,0.3,2.2
1,1,14422,0.7,0.2,0.1,2.2
2,1,14571,0.7,0.2,0.1,2.2
3,1,14552,0.6,0.1,0.3,2.1
4,2,14103,0.6,0.1,0.3,2.2
5,2,14308,0.3,0.5,0.2,2.1
6,2,14328,0.7,0.2,0.1,2.2
7,2,14393,0.3,0.3,0.4,2.0
8,3,14324,0.6,0.1,0.3,2.2
9,3,14545,0.7,0.2,0.1,2.2
10,3,15363,0.7,0.2,0.1,2.2
11,3,14296,0.3,0.5,0.2,2.1
12,4,14294,0.6,0.1,0.3,2.2
13,4,15366,0.7,0.2,0.1,1.9
14,4,14570,0.3,0.5,0.2,2.0
15,4,14546,0.4,0.2,0.4,2.1
16,5,14395,0.6,0.1,0.3,2.2
17,5,14550,0.4,0.2,0.4,2.0
18,5,14391,0.7,0.2,0.1,2.2
19,5,14309,0.3,0.3,0.4,2.0
20,6,14292,0.6,0.1,0.3,2.2
21,6,14301,0.4,0.2,0.4,2.2
22,6,14036,0.7,0.2,0.1,2.2
23,6,14382,0.3,0.3,0.4,2.0
24,7,15539,0.6,0.1,0.3,2.2
25,7,14104,0.3,0.5,0.2,2.1
26,7,14410,0.7,0.2,0.1,2.2
27,7,14405,0.3,0.3,0.4,2.0
28,8,14402,0.6,0.1,0.3,2.2
29,8,14042,0.7,0.2,0.1,2.2
30,8,14300,0.7,0.2,0.1,2.2
31,8,14105,0.6,0.1,0.3,2.1
32,9,14388,0.6,0.1,0.3,2.2
33,9,14337,0.3,0.5,0.2,2.1
34,9,14408,0.7,0.2,0.1,2.2
35,9,14390,0.4,0.2,0.4,2.1
36,10,14555,0.6,0.1,0.3,2.2
37,10,14396,0.3,0.5,0.2,2.1
38,10,15537,0.7,0.2,0.1,2.2
39,10,15538,0.6,0.3,0.1,1.8
40,11,14556,0.6,0.1,0.3,2.2
41,11,14394,0.7,0.2,0.1,1.9
42,11,14040,0.3,0.5,0.2,2.0
43,11,14557,0.4,0.2,0.4,2.1
44,12,14547,0.6,0.1,0.3,2.2
45,12,14397,0.4,0.2,0.4,1.8
46,12,14392,0.7,0.2,0.1,2.2
47,12,14310,0.3,0.3,0.4,2.0
48,1,14142,0.7,0.2,0.1,2.0
49,1,14477,0.6,0.3,0.1,1.9
50,1,13763,0.6,0.2,0.2,2.0
51,1,14490,0.7,0.2,0.1,2.1
52,1,14491,0.6,0.3,0.1,1.8
53,1,14601,0.6,0.1,0.3,1.9
54,2,14682,0.7,0.2,0.1,2.0
55,2,14850,0.3,0.5,0.2,1.9
56,2,14672,0.6,0.2,0.2,2.0
57,2,14075,0.6,0.1,0.3,2.2
58,2,14128,0.4,0.2,0.4,2.0
59,2,14482,0.6,0.1,0.3,2.0
60,3,14636,0.4,0.2,0.4,2.2
61,3,14839,0.5,0.2,0.3,2.2
62,3,14098,0.6,0.2,0.2,2.0
63,3,14483,0.3,0.3,0.4,2.2
64,3,14731,0.4,0.2,0.4,2.0
65,3,14639,0.6,0.1,0.3,1.9
66,4,14539,0.7,0.2,0.1,2.0
67,4,14609,0.5,0.2,0.3,2.2
68,4,14706,0.6,0.2,0.2,2.0
69,4,14660,0.7,0.2,0.1,2.1
70,4,6377,0.4,0.2,0.4,2.0
71,4,14500,0.6,0.1,0.3,1.9
72,5,14735,0.2,0.6,0.2,2.2
73,5,14806,0.6,0.1,0.3,2.2
74,5,14664,0.6,0.2,0.2,2.0
75,5,14592,0.1,0.7,0.2,2.1
76,5,14651,0.4,0.2,0.4,1.9
77,5,14590,0.4,0.2,0.4,1.9
78,6,14733,0.7,0.2,0.1,2.0
79,6,14700,0.5,0.2,0.3,2.2
80,6,14659,0.5,0.2,0.3,2.2
81,6,14694,0.1,0.7,0.2,2.1
82,6,14611,0.4,0.2,0.4,2.0
83,6,15542,0.6,0.1,0.3,1.9
84,7,14681,0.7,0.2,0.1,2.0
85,7,14652,0.5,0.2,0.3,2.2
86,7,14757,0.6,0.2,0.2,2.0
87,7,15543,0.7,0.2,0.1,2.1
88,7,14588,0.4,0.2,0.4,2.0
89,7,14515,0.6,0.1,0.3,1.9
90,8,14564,0.4,0.2,0.4,1.9
91,8,14563,0.6,0.1,0.3,2.2
92,8,14723,0.6,0.2,0.2,2.0
93,8,14497,0.7,0.2,0.1,2.1
94,8,14634,0.4,0.2,0.4,2.0
95,8,14076,0.6,0.1,0.3,1.9
96,9,14758,0.7,0.2,0.1,2.0
97,9,15560,0.6,0.3,0.1,1.9
98,9,14092,0.6,0.2,0.2,2.0
99,9,14705,0.1,0.7,0.2,2.1
100,9,14057,0.6,0.3,0.1,1.9
101,9,14542,0.6,0.1,0.3,2.2
102,10,14685,0.7,0.2,0.1,2.0
103,10,14509,0.6,0.1,0.3,2.2
104,10,14656,0.6,0.2,0.2,2.0
105,10,14333,0.2,0.4,0.4,2.1
106,10,14532,0.3,0.3,0.4,1.9
107,10,14703,0.6,0.1,0.3,1.9
108,11,14521,0.7,0.2,0.1,2.0
109,11,14708,0.6,0.1,0.3,2.2
110,11,14623,0.6,0.2,0.2,2.0
111,11,48,0.6,0.1,0.3,2.2
112,11,14473,0.4,0.2,0.4,2.0
113,11,14595,0.6,0.1,0.3,1.9
114,12,14602,0.7,0.2,0.1,2.0
115,12,14117,0.6,0.3,0.1,1.9
116,12,14511,0.6,0.2,0.2,2.0
117,12,14099,0.6,0.1,0.3,2.0
118,12,14709,0.4,0.2,0.4,1.9
119,12,14475,0.6,0.1,0.3,1.9
120,1,14786,0.6,0.3,0.1,2.1
121,1,14829,0.6,0.2,0.2,1.9
122,2,14783,0.1,0.7,0.2,2.0
123,2,15014,0.7,0.2,0.1,2.1
124,3,14613,0.6,0.3,0.1,1.9
125,3,14789,0.7,0.2,0.1,2.1
126,4,14768,0.6,0.3,0.1,2.1
127,4,14795,0.7,0.2,0.1,2.1
128,5,14614,0.6,0.3,0.1,2.1
129,5,14824,0.6,0.3,0.1,2.0
130,6,14561,0.4,0.2,0.4,1.9
131,6,14790,0.7,0.2,0.1,2.1
132,7,14779,0.1,0.7,0.2,2.0
133,7,14562,0.7,0.2,0.1,2.1
134,8,14774,0.6,0.3,0.1,2.1
135,8,14791,0.3,0.5,0.2,2.0
136,9,14801,0.1,0.7,0.2,2.0
137,9,14816,0.7,0.2,0.1,2.1
138,10,14139,0.6,0.3,0.1,2.1
139,10,14773,0.7,0.2,0.1,2.1
140,11,14141,0.5,0.2,0.3,2.0
141,11,15006,0.7,0.2,0.1,2.1
142,12,14140,0.6,0.3,0.1,2.1
143,12,14830,0.4,0.3,0.3,2.0
144,1,14282,0.7,0.2,0.1,2.2
145,1,14231,0.4,0.2,0.4,2.1
146,2,14277,0.7,0.2,0.1,2.2
147,2,14233,0.5,0.2,0.3,2.1
148,3,14227,0.7,0.2,0.1,2.2
149,3,14238,0.4,0.2,0.4,2.0
150,4,14286,0.5,0.2,0.3,1.9
151,4,14258,0.6,0.1,0.3,2.2
152,5,14270,0.4,0.2,0.4,1.9
153,5,14297,0.6,0.1,0.3,1.9
154,6,14268,0.7,0.2,0.1,2.2
155,6,14260,0.6,0.1,0.3,2.2
156,7,14257,0.7,0.2,0.1,2.2
157,7,14034,0.6,0.1,0.3,2.2
158,8,14259,0.6,0.1,0.3,1.9
159,8,14229,0.6,0.1,0.3,1.9
160,9,14033,0.7,0.2,0.1,2.2
161,9,14225,0.6,0.1,0.3,1.9
162,10,14032,0.6,0.2,0.2,2.2
163,10,14289,0.6,0.1,0.3,2.2
164,11,14264,0.7,0.2,0.1,2.1
165,11,14256,0.6,0.1,0.3,2.2
166,12,14263,0.6,0.2,0.2,2.2
167,12,14230,0.6,0.1,0.3,1.9
168,1,15346,0.2,0.4,0.4,1.9
169,1,15315,0.7,0.2,0.1,2.2
170,1,15292,0.5,0.2,0.3,1.9
171,1,15074,0.7,0.2,0.1,2.1
172,1,15275,0.3,0.3,0.4,2.0
173,1,14083,0.6,0.2,0.2,2.2
174,2,14489,0.6,0.2,0.2,1.9
175,2,15071,0.7,0.2,0.1,2.2
176,2,9324,0.5,0.2,0.3,1.9
177,2,15064,0.7,0.2,0.1,2.1
178,2,14460,0.3,0.3,0.4,1.9
179,2,14114,0.6,0.2,0.2,2.2
180,3,14528,0.6,0.2,0.2,1.9
181,3,15291,0.7,0.2,0.1,2.2
182,3,15260,0.4,0.2,0.4,1.9
183,3,14749,0.7,0.2,0.1,2.1
184,3,14334,0.3,0.3,0.4,1.9
185,3,14533,0.6,0.2,0.2,2.2
186,4,14462,0.1,0.6,0.3,2.1
187,4,12826,0.7,0.2,0.1,2.2
188,4,14744,0.7,0.2,0.1,1.8
189,4,15279,0.2,0.7,0.1,1.8
190,4,15276,0.3,0.3,0.4,1.9
191,4,14525,0.6,0.2,0.2,2.2
192,5,14558,0.6,0.2,0.2,1.9
193,5,14752,0.7,0.2,0.1,2.2
194,5,9311,0.4,0.2,0.4,1.9
195,5,15242,0.6,0.1,0.3,2.2
196,5,15249,0.3,0.3,0.4,2.0
197,5,14463,0.6,0.2,0.2,2.2
198,6,14537,0.6,0.2,0.2,1.9
199,6,14091,0.7,0.2,0.1,2.2
200,6,14742,0.6,0.3,0.1,2.0
201,6,12633,0.7,0.2,0.1,2.1
202,6,14135,0.3,0.3,0.4,2.0
203,6,14476,0.6,0.2,0.2,2.2
204,7,15296,0.6,0.2,0.2,1.9
205,7,15277,0.7,0.2,0.1,2.2
206,7,14086,0.6,0.3,0.1,2.0
207,7,14418,0.6,0.1,0.3,2.2
208,7,14456,0.3,0.3,0.4,1.9
209,7,14090,0.6,0.2,0.2,2.2
210,8,14062,0.6,0.2,0.2,1.9
211,8,15236,0.7,0.2,0.1,2.2
212,8,15065,0.5,0.2,0.3,1.9
213,8,14493,0.7,0.2,0.1,2.1
214,8,14178,0.3,0.3,0.4,2.0
215,8,15238,0.6,0.2,0.2,2.2
216,9,15240,0.6,0.2,0.2,1.9
217,9,14081,0.7,0.2,0.1,2.2
218,9,14464,0.2,0.4,0.4,2.2
219,9,14530,0.4,0.2,0.4,1.9
220,9,14068,0.3,0.3,0.4,2.0
221,9,15033,0.6,0.2,0.2,2.2
222,10,14095,0.6,0.2,0.2,1.9
223,10,14087,0.7,0.2,0.1,2.2
224,10,14089,0.6,0.3,0.1,2.0
225,10,14492,0.7,0.2,0.1,2.1
226,10,14466,0.7,0.2,0.1,2.2
227,10,15541,0.6,0.2,0.2,2.2
228,11,14559,0.7,0.2,0.1,1.8
229,11,14064,0.7,0.2,0.1,2.2
230,11,14080,0.7,0.2,0.1,1.8
231,11,15283,0.7,0.2,0.1,2.1
232,11,15309,0.6,0.2,0.2,2.2
233,11,13715,0.6,0.2,0.2,2.2
234,12,14065,0.6,0.2,0.2,1.9
235,12,14536,0.7,0.2,0.1,2.2
236,12,15303,0.4,0.3,0.3,1.8
237,12,14093,0.7,0.2,0.1,2.1
238,12,15321,0.3,0.3,0.4,1.9
239,12,15295,0.6,0.2,0.2,2.2
240,1,15192,0.5,0.2,0.3,2.2
241,1,15129,0.7,0.2,0.1,1.9
242,1,15550,0.6,0.2,0.2,2.0
243,1,14174,0.7,0.2,0.1,2.1
244,1,14981,0.6,0.2,0.2,2.2
245,2,14911,0.5,0.2,0.3,2.2
246,2,15208,0.7,0.2,0.1,1.9
247,2,15342,0.6,0.2,0.2,2.0
248,2,3584,0.7,0.2,0.1,2.1
249,2,15562,0.6,0.2,0.2,2.2
250,3,12800,0.5,0.2,0.3,2.2
251,3,15551,0.7,0.2,0.1,1.9
252,3,15139,0.6,0.2,0.2,2.0
253,3,15199,0.7,0.2,0.1,2.1
254,3,15360,0.4,0.2,0.4,1.9
255,4,14173,0.5,0.2,0.3,2.2
256,4,15204,0.7,0.2,0.1,1.9
257,4,15002,0.6,0.2,0.2,2.0
258,4,15125,0.7,0.2,0.1,2.1
259,4,14580,0.6,0.2,0.2,2.2
260,5,15135,0.5,0.2,0.3,2.2
261,5,14166,0.7,0.2,0.1,1.9
262,5,15024,0.6,0.2,0.2,2.0
263,5,14106,0.7,0.2,0.1,2.1
264,5,15183,0.6,0.2,0.2,2.2
265,6,14974,0.5,0.2,0.3,2.2
266,6,14997,0.7,0.2,0.1,1.9
267,6,14984,0.6,0.2,0.2,2.0
268,6,15056,0.7,0.2,0.1,2.1
269,6,14976,0.6,0.2,0.2,2.2
270,7,14487,0.5,0.2,0.3,2.2
271,7,14191,0.7,0.2,0.1,1.9
272,7,15189,0.6,0.2,0.2,2.0
273,7,15027,0.7,0.2,0.1,2.1
274,7,15215,0.6,0.2,0.2,2.2
275,8,15343,0.5,0.2,0.3,2.2
276,8,14167,0.7,0.2,0.1,1.9
277,8,15181,0.6,0.2,0.2,2.0
278,8,14109,0.7,0.2,0.1,2.1
279,8,15333,0.6,0.2,0.2,2.2
280,9,14576,0.5,0.2,0.3,2.2
281,9,15059,0.7,0.2,0.1,1.9
282,9,14108,0.6,0.2,0.2,2.0
283,9,9872,0.7,0.2,0.1,2.1
284,9,15050,0.6,0.2,0.2,2.2
285,10,15173,0.5,0.2,0.3,2.2
286,10,15026,0.7,0.2,0.1,1.9
287,10,14914,0.6,0.2,0.2,2.0
288,10,14572,0.7,0.2,0.1,2.1
289,10,14165,0.5,0.2,0.3,2.0
290,11,15187,0.5,0.2,0.3,2.2
291,11,15020,0.5,0.2,0.3,2.0
292,11,14998,0.6,0.2,0.2,2.0
293,11,15131,0.7,0.2,0.1,2.1
294,11,15370,0.6,0.2,0.2,2.2
295,12,14574,0.5,0.2,0.3,2.2
296,12,14575,0.7,0.2,0.1,1.9
297,12,15019,0.6,0.2,0.2,2.0
298,12,15224,0.7,0.2,0.1,2.1
299,12,15126,0.6,0.2,0.2,2.2
300,1,15359,0.5,0.2,0.3,2.0
301,2,14194,0.5,0.2,0.3,1.9
302,3,14211,0.2,0.6,0.2,2.1
303,4,12044,0.5,0.2,0.3,2.0
304,5,406,0.5,0.2,0.3,2.0
305,6,15347,0.5,0.2,0.3,2.0
306,7,12917,0.5,0.2,0.3,2.0
307,8,892,0.5,0.2,0.3,2.0
308,9,14197,0.6,0.1,0.3,2.2
309,10,14195,0.5,0.2,0.3,2.0
310,11,13957,0.5,0.2,0.3,2.0
311,12,9925,0.5,0.2,0.3,2.0
312,1,14948,0.7,0.2,0.1,2.2
313,1,14945,0.6,0.2,0.2,2.2
314,2,14918,0.6,0.1,0.3,2.2
315,2,14946,0.4,0.2,0.4,1.8
316,3,14955,0.6,0.1,0.3,2.2
317,3,14959,0.5,0.2,0.3,2.1
318,4,14905,0.6,0.1,0.3,2.2
319,4,14960,0.7,0.2,0.1,2.2
320,5,14894,0.6,0.1,0.3,2.2
321,5,14924,0.6,0.2,0.2,2.2
322,6,15353,0.6,0.1,0.3,2.2
323,6,14882,0.6,0.2,0.2,2.2
324,7,14925,0.6,0.1,0.3,2.2
325,7,14950,0.4,0.2,0.4,1.8
326,8,14939,0.7,0.2,0.1,2.2
327,8,14958,0.6,0.2,0.2,2.2
328,9,14957,0.6,0.2,0.2,2.1
329,9,15385,0.7,0.2,0.1,2.2
330,10,14937,0.7,0.2,0.1,2.2
331,10,14159,0.6,0.2,0.2,2.2
332,11,14875,0.7,0.2,0.1,2.2
333,11,14934,0.6,0.2,0.2,2.2
334,12,14927,0.7,0.2,0.1,2.2
335,12,14916,0.6,0.2,0.2,2.2
336,1,14148,0.6,0.2,0.2,1.9
337,1,15371,0.7,0.2,0.1,2.1
338,2,15082,0.7,0.2,0.1,2.2
339,2,14863,0.3,0.3,0.4,2.0
340,3,12759,0.6,0.2,0.2,1.9
341,3,15086,0.3,0.3,0.4,1.9
342,4,14871,0.6,0.2,0.2,1.9
343,4,14865,0.6,0.3,0.1,2.1
344,5,14876,0.6,0.2,0.2,1.9
345,5,15008,0.6,0.3,0.1,2.1
346,6,15017,0.6,0.2,0.2,1.9
347,6,14965,0.6,0.3,0.1,2.1
348,7,15548,0.6,0.2,0.2,1.9
349,7,15083,0.3,0.3,0.4,1.9
350,8,14879,0.6,0.2,0.2,1.9
351,8,14151,0.4,0.2,0.4,2.2
352,9,14161,0.4,0.2,0.4,2.0
353,9,14866,0.3,0.3,0.4,1.9
354,10,14870,0.4,0.3,0.3,2.0
355,10,14150,0.6,0.3,0.1,2.1
356,11,14152,0.6,0.2,0.2,1.9
357,11,15547,0.6,0.3,0.1,2.1
358,12,14809,0.4,0.3,0.3,2.0
359,12,15011,0.6,0.3,0.1,2.1
