year,ID,r_c,r_r,r_poi,FAR
1,14166,0.4,0.3,0.3,2.0
1,14790,0.4,0.3,0.3,1.9
1,14393,0.6,0.2,0.2,2.2
1,14715,0.4,0.2,0.4,2.1
1,14718,0.5,0.2,0.3,1.9
1,14657,0.3,0.3,0.4,2.2
1,14169,0.6,0.1,0.3,1.9
1,14134,0.6,0.3,0.1,2.2
1,14634,0.7,0.2,0.1,2.2
1,14472,0.6,0.1,0.3,2.1
1,14594,0.4,0.2,0.4,1.8
1,14387,0.7,0.2,0.1,2.2
1,15157,0.6,0.1,0.3,2.0
1,14527,0.7,0.2,0.1,1.9
1,14296,0.7,0.2,0.1,2.0
1,14556,0.6,0.2,0.2,2.1
1,14804,0.3,0.3,0.4,2.1
1,14555,0.6,0.3,0.1,2.2
1,14458,0.6,0.2,0.2,2.2
1,15380,0.7,0.2,0.1,2.2
1,14148,0.6,0.3,0.1,2.2
1,14802,0.6,0.1,0.3,2.2
1,14653,0.6,0.2,0.2,1.9
1,14563,0.4,0.2,0.4,1.9
1,14391,0.6,0.2,0.2,2.0
1,14245,0.2,0.4,0.4,1.9
1,15365,0.3,0.3,0.4,2.2
1,14257,0.6,0.2,0.2,1.9
1,14404,0.3,0.3,0.4,2.1
1,14652,0.6,0.1,0.3,1.8
2,14603,0.4,0.3,0.3,2.0
2,15342,0.4,0.3,0.3,1.9
2,14446,0.6,0.2,0.2,2.2
2,14625,0.4,0.2,0.4,2.1
2,11966,0.6,0.3,0.1,2.0
2,12678,0.3,0.3,0.4,2.2
2,15056,0.6,0.1,0.3,1.9
2,14707,0.6,0.3,0.1,2.2
2,14828,0.7,0.2,0.1,2.2
2,14529,0.6,0.1,0.3,2.1
2,14450,0.4,0.2,0.4,1.8
2,14048,0.7,0.2,0.1,2.2
2,14311,0.6,0.1,0.3,2.0
2,14416,0.7,0.2,0.1,1.9
2,14131,0.7,0.2,0.1,2.0
2,14750,0.6,0.2,0.2,2.1
2,15538,0.3,0.3,0.4,2.1
2,15371,0.6,0.3,0.1,2.2
2,12769,0.6,0.2,0.2,2.2
2,15212,0.7,0.2,0.1,2.2
2,14747,0.6,0.3,0.1,2.2
2,14654,0.6,0.1,0.3,2.2
2,14639,0.6,0.2,0.2,1.9
2,14702,0.4,0.2,0.4,1.9
2,12826,0.6,0.2,0.2,2.0
2,14876,0.2,0.4,0.4,1.9
2,14218,0.3,0.3,0.4,2.2
2,14588,0.6,0.2,0.2,1.9
2,14701,0.3,0.3,0.4,2.1
2,14085,0.6,0.1,0.3,1.8
3,14308,0.5,0.2,0.3,2.0
3,14584,0.4,0.3,0.3,1.9
3,14558,0.6,0.2,0.2,2.2
3,14361,0.4,0.2,0.4,2.1
3,14994,0.6,0.3,0.1,2.0
3,14377,0.3,0.3,0.4,2.2
3,14140,0.6,0.1,0.3,1.9
3,15082,0.6,0.3,0.1,2.2
3,14695,0.7,0.2,0.1,2.2
3,15026,0.6,0.1,0.3,2.1
3,14766,0.4,0.2,0.4,1.8
3,14959,0.7,0.2,0.1,2.2
3,14493,0.6,0.1,0.3,2.0
3,14730,0.7,0.2,0.1,1.9
3,14679,0.7,0.2,0.1,2.0
3,15221,0.6,0.2,0.2,2.1
3,14600,0.3,0.3,0.4,2.1
3,14561,0.6,0.3,0.1,2.2
3,14708,0.6,0.2,0.2,2.2
3,14295,0.7,0.2,0.1,2.2
3,14092,0.6,0.3,0.1,2.2
3,14489,0.6,0.1,0.3,2.2
3,14638,0.6,0.2,0.2,1.9
3,14976,0.4,0.2,0.4,1.9
3,14467,0.6,0.2,0.2,2.0
3,14099,0.2,0.4,0.4,1.9
3,15312,0.3,0.3,0.4,2.2
3,14720,0.6,0.2,0.2,1.9
3,14477,0.3,0.3,0.4,2.1
3,14333,0.6,0.1,0.3,1.8
4,15559,0.4,0.3,0.3,2.0
4,14510,0.7,0.2,0.1,1.9
4,14162,0.6,0.2,0.2,2.2
4,15110,0.4,0.2,0.4,2.1
4,14494,0.6,0.3,0.1,2.0
4,14732,0.3,0.3,0.4,2.2
4,14575,0.6,0.1,0.3,1.9
4,14765,0.6,0.3,0.1,2.2
4,14067,0.7,0.2,0.1,2.2
4,15334,0.6,0.1,0.3,2.1
4,14478,0.4,0.2,0.4,1.8
4,14601,0.7,0.2,0.1,2.2
4,15170,0.6,0.1,0.3,2.0
4,14745,0.7,0.2,0.1,1.9
4,14125,0.7,0.2,0.1,2.0
4,14536,0.6,0.2,0.2,2.1
4,15549,0.3,0.3,0.4,2.1
4,14086,0.6,0.3,0.1,2.2
4,15178,0.6,0.2,0.2,2.2
4,14424,0.7,0.2,0.1,2.2
4,14193,0.6,0.3,0.1,2.2
4,14476,0.6,0.1,0.3,2.2
4,14570,0.6,0.2,0.2,1.9
4,13763,0.4,0.2,0.4,1.9
4,14034,0.6,0.2,0.2,2.0
4,14485,0.2,0.4,0.4,1.9
4,15360,0.3,0.3,0.4,2.2
4,14744,0.6,0.2,0.2,1.9
4,14646,0.3,0.3,0.4,2.1
4,14172,0.6,0.1,0.3,1.8
5,14064,0.4,0.3,0.3,2.0
5,14823,0.7,0.2,0.1,1.9
5,14624,0.6,0.2,0.2,2.2
5,15187,0.4,0.2,0.4,2.1
5,15346,0.6,0.3,0.1,2.0
5,14572,0.3,0.3,0.4,2.2
5,15301,0.6,0.1,0.3,1.9
