,AREA,weighted_R_M,weighted_R_T,weighted_R_P,cost_balance,repetitive_penalty
0,4253958.7592341965,6994.17333984375,-1998.1622314453125,6010.4765625,0.0,0
1,3307230.1005128524,4986.75146484375,-1469.6597900390625,5550.31005859375,0.0,0
2,3560872.9278272795,4940.2587890625,-1356.577880859375,6041.955078125,0.0,0
3,4831927.193615518,9577.1884765625,-1591.6585693359375,6492.9013671875,0.0,0
4,3507054.022309945,7102.2626953125,-758.981689453125,5197.43212890625,0.0,0
5,5923554.201364189,10716.6025390625,-1596.49853515625,9658.6533203125,0.0,0
6,6399626.09177662,14344.9951171875,-1669.1446533203125,6218.44091796875,0.0,0
7,5411622.67224108,33758.37109375,-430.2740173339844,2784.375,0.0,0
8,5344932.748842162,9389.587890625,-841.9513549804688,6766.6171875,0.0,0
9,3974617.5056842747,11762.53125,-823.8792724609375,3745.406982421875,0.0,0
